,Open,High,Low,Close,Volume,DeliveryPct
2024-01-16,370.0,444.0,368.0,434.2,31632076.0,40.49
2024-01-17,426.65,448.9,404.45,427.55,5556401.0,29.89
2024-01-18,428.35,484.0,412.0,453.5,4649404.0,25.16
2024-01-19,460.0,473.9,433.0,436.25,2620363.0,25.54
2024-01-22,440.0,457.95,429.0,431.25,1053631.0,32.56
2024-01-23,431.75,434.15,408.4,420.75,1750547.0,38.76
2024-01-24,422.95,431.4,410.3,419.25,1671073.0,23.53
2024-01-25,418.65,450.7,415.5,444.15,1789841.0,37.12
2024-01-26,418.65,450.7,415.5,444.15,1789841.0,37.12
2024-01-29,448.2,455.95,433.55,448.75,1288468.0,37.42
2024-01-30,453.15,465.0,442.4,461.5,1451007.0,35.93
2024-01-31,462.9,553.8,462.5,553.8,3967756.0,23.66
2024-02-01,554.0,638.8,545.6,608.6,5600019.0,16.26
2024-02-02,615.0,639.9,578.0,586.1,853709.0,40.12
2024-02-05,599.0,606.0,560.0,570.3,430187.0,45.97
2024-02-06,581.7,594.8,562.25,576.6,349722.0,53.08
2024-02-07,582.9,588.9,565.0,570.2,223516.0,64.3
2024-02-08,571.0,600.0,571.0,592.65,503466.0,45.4
2024-02-09,606.0,619.0,586.0,597.55,1651937.0,76.46
2024-02-12,615.0,615.0,537.8,545.95,623792.0,46.65
2024-02-13,520.1,600.5,512.6,580.45,1198528.0,35.67
2024-02-14,582.0,608.5,549.55,589.4,1460808.0,32.28
2024-02-15,610.0,637.4,581.55,628.5,2019973.0,44.17
2024-02-16,644.0,660.0,606.0,630.3,1028672.0,44.71
2024-02-19,637.5,670.0,610.6,652.5,1006718.0,51.19
2024-02-20,663.0,663.0,640.0,645.45,570477.0,68.92
2024-02-21,647.0,661.95,626.25,649.35,648077.0,54.8
2024-02-22,655.1,658.0,623.25,626.2,385756.0,62.55
2024-02-23,631.8,634.95,600.0,605.6,357251.0,63.97
2024-02-26,607.65,610.0,581.0,594.8,350241.0,53.44
2024-02-27,597.65,618.95,588.05,609.5,470010.0,64.69
2024-02-28,612.8,615.6,580.05,604.45,380042.0,61.57
2024-02-29,604.3,605.0,576.05,587.25,182120.0,38.97
2024-03-01,595.95,628.0,592.55,616.1,353444.0,58.97
2024-03-04,612.7,632.05,595.3,622.9,409080.0,63.04
2024-03-05,625.45,649.0,618.0,642.6,629309.0,68.34
2024-03-06,645.0,655.0,620.1,647.95,584412.0,63.99
2024-03-07,650.05,659.0,632.0,639.55,192429.0,57.27
2024-03-08,650.05,659.0,632.0,639.55,192429.0,57.27
2024-03-11,628.0,642.65,598.1,625.9,368178.0,56.47
2024-03-12,618.05,635.05,608.25,614.9,462846.0,55.13
2024-03-13,619.65,622.05,570.0,581.8,585578.0,54.59
2024-03-14,582.0,611.05,567.75,601.75,259282.0,35.75
2024-03-15,600.0,610.0,581.0,600.5,242155.0,45.2
2024-03-18,610.0,628.4,603.0,621.3,211601.0,38.8
2024-03-19,622.9,625.45,605.5,615.5,112704.0,43.35
2024-03-20,618.3,623.95,601.05,619.15,148048.0,40.46
2024-03-21,617.15,646.8,617.15,633.05,220754.0,46.77
2024-03-22,629.8,696.35,625.0,696.35,551309.0,53.95
2024-03-25,629.8,696.35,625.0,696.35,551309.0,53.95
2024-03-26,714.4,749.45,701.15,729.1,1165735.0,35.95
2024-03-27,729.15,802.0,710.1,798.1,1053989.0,31.44
2024-03-28,795.0,837.7,758.2,821.45,844305.0,38.72
2024-03-29,795.0,837.7,758.2,821.45,844305.0,38.72
2024-04-01,825.0,846.0,782.05,795.7,796525.0,53.97
2024-04-02,803.7,808.7,762.0,764.15,285424.0,59.96
2024-04-03,770.0,791.0,756.0,766.8,281538.0,50.78
2024-04-04,778.0,784.8,750.0,755.05,193381.0,54.9
2024-04-05,758.55,792.8,751.05,775.1,452592.0,41.38
2024-04-08,778.9,800.0,757.0,763.45,167393.0,61.33
2024-04-09,769.95,780.0,740.0,744.65,315475.0,56.08
2024-04-10,747.95,781.85,731.15,771.35,488239.0,39.23
2024-04-11,747.95,781.85,731.15,771.35,488239.0,39.23
2024-04-12,769.9,794.0,765.9,780.95,724448.0,73.51
2024-04-15,751.6,769.95,741.9,741.95,418412.0,61.77
2024-04-16,726.0,749.0,708.0,710.4,361329.0,61.63
2024-04-17,726.0,749.0,708.0,710.4,361329.0,61.63
2024-04-18,724.9,745.9,723.05,740.5,589121.0,63.36
2024-04-19,720.0,744.9,708.1,738.8,612944.0,72.14
2024-04-22,755.0,775.7,728.0,775.7,554173.0,58.3
2024-04-23,775.95,814.45,775.95,814.45,856568.0,72.17
2024-04-24,824.0,850.2,791.6,805.0,740443.0,46.86
2024-04-25,809.9,820.95,792.0,795.15,266969.0,43.38
2024-04-26,805.0,829.0,800.05,807.4,169399.0,51.21
2024-04-29,810.1,821.0,806.35,809.35,91312.0,62.86
2024-04-30,824.0,849.8,811.1,849.8,773574.0,56.0
2024-05-01,824.0,849.8,811.1,849.8,773574.0,56.0
2024-05-02,859.9,880.0,826.0,832.2,419517.0,55.44
2024-05-03,834.0,840.6,790.6,803.1,312999.0,60.13
2024-05-06,809.0,821.0,775.0,814.65,185783.0,50.9
2024-05-07,818.95,820.0,795.15,799.55,149800.0,58.86
2024-05-08,795.15,839.5,786.0,826.4,257156.0,51.36
2024-05-09,825.0,827.4,806.75,809.65,131641.0,65.62
2024-05-10,810.75,825.8,777.55,810.2,479737.0,46.17
2024-05-13,818.0,849.4,800.0,832.8,255682.0,50.73
2024-05-14,858.0,874.4,849.0,873.2,494246.0,54.0
2024-05-15,883.0,916.85,880.0,897.85,831593.0,56.12
2024-05-16,912.3,934.0,883.05,914.3,368727.0,45.64
2024-05-17,921.35,928.45,891.1,895.5,372394.0,61.58
2024-05-20,912.0,928.0,904.85,920.0,83963.0,47.96
2024-05-21,966.0,966.0,886.75,890.0,480795.0,56.53
2024-05-22,902.8,908.2,862.65,876.35,235536.0,50.78
2024-05-23,865.0,896.0,856.05,860.05,197939.0,66.43
2024-05-24,855.0,892.6,855.0,885.0,431909.0,73.65
2024-05-27,889.8,909.0,865.2,905.65,505807.0,64.09
2024-05-28,906.0,950.9,903.05,950.9,379587.0,79.35
2024-05-29,973.4,998.4,932.9,998.1,523981.0,55.33
2024-05-30,1002.5,1030.0,980.0,1001.3,560699.0,72.31
2024-05-31,1002.5,1051.35,1000.0,1008.6,672707.0,55.76
2024-06-03,1047.8,1059.0,1014.0,1019.95,316850.0,65.61
2024-06-04,1020.0,1020.0,968.95,968.95,143495.0,64.23
2024-06-05,920.5,939.95,920.5,924.3,669559.0,76.66
2024-06-06,968.0,970.5,935.0,966.5,479039.0,85.49
2024-06-07,990.0,1063.15,976.65,1063.15,653300.0,46.4
2024-06-10,1063.2,1169.45,1063.2,1167.15,714028.0,41.03
2024-06-11,1200.0,1224.0,1135.95,1140.95,512813.0,42.14
2024-06-12,1165.0,1195.45,1150.0,1181.35,223544.0,42.68
2024-06-13,1192.0,1194.95,1158.0,1165.55,147595.0,49.96
2024-06-14,1165.0,1220.0,1156.05,1184.15,305888.0,42.33
2024-06-17,1165.0,1220.0,1156.05,1184.15,305888.0,42.33
2024-06-18,1221.7,1254.8,1202.1,1230.1,370755.0,40.7
2024-06-19,1249.75,1353.1,1236.05,1353.1,867520.0,39.17
2024-06-20,1424.4,1449.95,1314.6,1337.55,807885.0,45.64
2024-06-21,1360.0,1365.0,1275.0,1307.65,336733.0,49.72
2024-06-24,1321.0,1321.0,1210.0,1232.8,353762.0,51.14
2024-06-25,1239.9,1356.05,1239.9,1349.35,551521.0,42.23
2024-06-26,1349.35,1379.8,1318.0,1343.4,242973.0,60.84
2024-06-27,1347.2,1379.7,1335.0,1358.9,211920.0,61.6
2024-06-28,1358.95,1369.8,1305.1,1354.5,215752.0,55.55
2024-07-01,1300.0,1360.95,1300.0,1334.2,115181.0,62.47
2024-07-02,1370.0,1371.2,1310.95,1323.9,106770.0,48.04
2024-07-03,1334.5,1370.0,1323.95,1357.7,193693.0,71.16
2024-07-04,1369.25,1400.0,1330.0,1337.85,125698.0,63.03
2024-07-05,1345.0,1351.95,1270.0,1294.55,124860.0,59.01
2024-07-08,1294.55,1308.0,1229.05,1247.6,196061.0,63.73
2024-07-09,1247.6,1264.45,1185.05,1200.65,279260.0,72.88
2024-07-10,1225.95,1261.9,1200.0,1209.15,189919.0,48.54
2024-07-11,1233.3,1254.0,1203.5,1209.7,130711.0,66.45
2024-07-12,1219.6,1231.35,1175.0,1210.75,177720.0,65.25
2024-07-15,1218.5,1297.0,1192.15,1280.8,253930.0,53.69
2024-07-16,1311.0,1312.0,1203.05,1226.7,1001394.0,56.1
2024-07-17,1311.0,1312.0,1203.05,1226.7,1001394.0,56.1
2024-07-18,1239.0,1279.9,1182.75,1238.95,1287563.0,62.29
2024-07-19,1227.9,1234.8,1128.0,1146.35,694381.0,54.12
2024-07-22,1129.0,1169.75,1116.55,1140.95,329473.0,64.15
2024-07-23,1140.95,1167.0,1037.1,1116.15,420045.0,61.31
2024-07-24,1108.9,1148.3,1108.0,1136.7,211830.0,67.13
2024-07-25,1120.0,1148.0,1097.05,1105.35,533041.0,88.23
2024-07-26,1114.4,1147.0,1113.05,1132.75,273503.0,77.3
2024-07-29,1170.0,1177.0,1114.3,1124.0,4531976.0,87.12
2024-07-30,1140.05,1142.5,1124.4,1132.2,400941.0,77.54
2024-07-31,1133.0,1150.9,1124.0,1140.7,579082.0,79.84
2024-08-01,1150.0,1198.0,1139.95,1173.65,486902.0,63.33
2024-08-02,1160.0,1175.9,1132.05,1148.65,173027.0,59.02
2024-08-05,1100.0,1115.0,1044.55,1090.25,292451.0,56.76
2024-08-06,1090.25,1128.0,1060.05,1069.95,251174.0,68.2
2024-08-07,1075.0,1120.0,1070.0,1111.6,146243.0,57.99
2024-08-08,1107.55,1124.25,1055.0,1067.85,199204.0,67.51
2024-08-09,1089.0,1166.0,1075.15,1145.5,320907.0,58.32
2024-08-12,1135.0,1139.9,1077.05,1103.75,1188394.0,78.54
2024-08-13,1103.75,1111.95,1061.75,1089.8,386547.0,67.89
2024-08-14,1089.8,1125.0,1060.0,1106.05,439543.0,64.7
2024-08-15,1089.8,1125.0,1060.0,1106.05,439543.0,64.7
2024-08-16,1131.0,1150.0,1112.25,1136.7,468421.0,73.97
2024-08-19,1150.0,1150.0,1111.4,1119.85,133913.0,64.27
2024-08-20,1119.0,1121.1,1070.0,1085.2,253728.0,62.3
2024-08-21,1090.0,1132.75,1068.0,1126.0,488029.0,67.03
2024-08-22,1133.85,1238.6,1126.0,1222.25,1848816.0,65.6
2024-08-23,1232.2,1273.0,1189.35,1264.1,770525.0,53.52
2024-08-26,1265.0,1305.0,1237.85,1296.45,594694.0,62.43
2024-08-27,1290.0,1290.0,1260.0,1278.9,215606.0,51.47
2024-08-28,1283.95,1303.7,1250.0,1264.45,210437.0,58.38
2024-08-29,1258.4,1284.35,1235.0,1252.7,229460.0,45.61
2024-08-30,1252.7,1264.85,1236.4,1242.15,145096.0,64.13
2024-09-02,1242.2,1244.8,1170.45,1204.65,275174.0,63.91
2024-09-03,1209.6,1227.4,1184.0,1190.45,251326.0,71.4
2024-09-04,1175.0,1200.0,1142.0,1154.75,309347.0,67.65
2024-09-05,1154.75,1176.0,1150.0,1162.95,107430.0,68.63
