,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,1273.55,1278.95,1245.25,1271.2,39746.0,
2016-08-23,1261.1,1284.15,1261.1,1280.4,35265.0,
2016-08-24,1280.4,1283.9,1273.25,1277.55,11583.0,
2016-08-25,1280.05,1282.0,1240.0,1279.5,15874.0,
2016-08-26,1276.95,1282.0,1268.0,1275.15,20573.0,
2016-08-29,1275.15,1289.9,1263.55,1275.85,83424.0,
2016-08-30,1275.0,1277.35,1268.0,1269.75,77767.0,
2016-08-31,1269.75,1278.5,1246.85,1261.4,35388.0,
2016-09-01,1265.0,1289.8,1265.0,1284.75,16939.0,
2016-09-02,1293.9,1293.9,1265.1,1282.75,13169.0,
2016-09-06,1294.1,1305.0,1275.0,1299.7,29378.0,
2016-09-07,1304.15,1349.9,1300.0,1345.95,40865.0,
2016-09-08,1351.0,1374.9,1335.9,1351.1,49811.0,
2016-09-09,1345.0,1374.9,1340.15,1352.8,15755.0,
2016-09-12,1338.9,1344.0,1310.0,1325.5,25056.0,
2016-09-14,1310.1,1377.3,1310.1,1363.35,33641.0,
2016-09-15,1378.0,1378.0,1302.05,1328.1,35134.0,
2016-09-16,1328.1,1376.85,1290.0,1303.25,86890.0,
2016-09-19,1307.0,1360.0,1302.85,1340.1,57966.0,
2016-09-20,1349.0,1350.0,1301.05,1313.2,38943.0,
2016-09-21,1322.0,1374.0,1309.1,1329.0,82988.0,
2016-09-22,1355.6,1359.9,1326.0,1339.35,66699.0,
2016-09-23,1340.0,1351.0,1321.35,1341.35,51781.0,
2016-09-26,1351.0,1359.85,1340.0,1352.2,13659.0,
2016-09-27,1358.75,1369.9,1341.0,1347.6,44735.0,
2016-09-28,1354.9,1399.0,1348.0,1390.0,141308.0,
2016-09-29,1390.4,1427.0,1381.55,1403.6,207947.0,
2016-09-30,1395.0,1410.2,1373.6,1389.15,54576.0,
2016-10-03,1399.0,1409.9,1382.5,1398.55,84388.0,
2016-10-04,700.25,724.9,696.0,699.35,107866.0,
2016-10-05,700.0,710.0,700.0,708.95,40972.0,
2016-10-06,709.0,710.0,702.0,707.3,20850.0,
2016-10-07,707.3,710.15,698.2,709.35,282807.0,
2016-10-10,718.0,718.0,695.0,710.7,26114.0,
2016-10-13,709.0,714.75,700.0,710.15,99558.0,
2016-10-14,709.95,730.1,709.95,724.1,94118.0,
2016-10-17,728.6,730.0,724.0,729.05,94556.0,
2016-10-18,735.0,739.9,725.0,734.8,92777.0,
2016-10-19,738.0,742.0,724.0,727.85,138062.0,
2016-10-20,731.9,739.85,642.1,659.7,1399812.0,
2016-10-21,662.0,670.0,610.0,615.15,1759954.0,
2016-10-24,619.0,629.8,617.0,619.85,352427.0,
2016-10-25,620.9,623.0,595.0,596.4,333677.0,
2016-10-26,596.0,607.0,582.55,599.3,571374.0,
2016-10-27,594.0,602.5,582.0,587.3,241111.0,
2016-10-28,586.2,629.8,585.0,620.75,531402.0,
2016-11-01,632.05,639.9,625.95,638.35,299590.0,
2016-11-02,630.0,634.75,619.0,623.6,118904.0,
