,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,500.1,507.25,499.5,504.05,64666.0,
2016-08-23,507.0,507.8,501.9,505.8,63868.0,
2016-08-24,505.0,508.8,504.95,507.3,76908.0,
2016-08-25,505.25,510.9,502.5,503.4,93273.0,
2016-08-26,507.75,507.9,496.25,497.75,64217.0,
2016-08-29,496.0,501.2,490.5,497.55,82289.0,
2016-08-30,499.0,501.0,478.0,483.8,486625.0,
2016-08-31,488.8,490.0,480.0,482.1,164764.0,
2016-09-01,482.9,484.95,478.1,479.75,92021.0,
2016-09-02,480.9,483.95,478.0,478.8,122733.0,
2016-09-06,478.85,485.0,478.85,479.6,149332.0,
2016-09-07,482.9,496.0,473.0,477.15,474735.0,
2016-09-08,479.65,483.05,477.3,478.65,243340.0,
2016-09-09,482.5,484.05,467.0,470.5,258716.0,
2016-09-12,467.9,475.0,460.0,462.85,318660.0,
2016-09-14,465.8,474.8,465.0,469.85,143010.0,
2016-09-15,471.05,482.4,471.05,480.65,127434.0,
2016-09-16,486.9,486.9,465.0,467.3,317175.0,
2016-09-19,470.9,479.5,470.9,476.1,144146.0,
2016-09-20,481.5,485.0,478.15,482.05,273923.0,
2016-09-21,483.75,487.6,482.45,484.75,171483.0,
2016-09-22,485.4,488.35,477.95,480.25,182906.0,
2016-09-23,482.5,482.5,475.5,476.4,118479.0,
2016-09-26,475.9,476.5,469.1,470.4,131379.0,
2016-09-27,471.4,475.5,467.95,469.4,94104.0,
2016-09-28,473.7,480.9,472.95,474.85,599475.0,
2016-09-29,479.45,480.0,460.55,465.0,249691.0,
2016-09-30,469.9,471.6,459.8,469.45,166849.0,
2016-10-03,474.45,481.5,470.6,480.5,133492.0,
2016-10-04,484.6,484.6,476.0,479.95,85151.0,
2016-10-05,481.0,483.9,474.0,475.25,303561.0,
2016-10-06,477.55,481.0,474.0,476.1,97147.0,
2016-10-07,478.3,479.0,474.4,477.05,55211.0,
2016-10-10,478.4,478.95,474.65,477.4,52282.0,
2016-10-13,479.95,479.95,468.05,470.2,112828.0,
2016-10-14,470.05,474.0,464.8,465.4,119624.0,
2016-10-17,466.9,479.0,466.1,477.5,255315.0,
2016-10-18,476.9,482.0,475.3,479.9,77278.0,
2016-10-19,481.9,482.9,476.8,477.9,186994.0,
2016-10-20,480.0,487.9,478.3,486.55,533727.0,
2016-10-21,487.5,512.9,483.6,497.95,500411.0,
2016-10-24,503.0,505.0,497.0,499.65,212878.0,
2016-10-25,503.9,503.9,497.1,500.0,214960.0,
2016-10-26,502.8,502.8,496.0,497.25,73610.0,
2016-10-27,495.0,500.0,471.0,472.85,854018.0,
2016-10-28,473.5,481.0,471.1,478.9,115527.0,
2016-11-01,486.0,487.8,481.05,482.8,131613.0,
2016-11-02,481.15,481.95,471.95,474.5,251062.0,
2016-11-03,472.05,478.4,467.8,470.75,192076.0,
2016-11-04,472.9,475.0,465.3,470.0,264719.0,
2016-11-07,473.5,475.0,465.6,467.7,250905.0,
2016-11-08,470.0,472.0,464.1,466.85,175142.0,
2016-11-09,448.9,459.6,434.1,455.4,557773.0,
2016-11-10,460.4,470.3,460.4,466.15,311923.0,
2016-11-11,465.0,470.35,462.15,464.1,179452.0,
2016-11-15,464.1,465.95,454.1,459.9,336912.0,
2016-11-16,464.0,464.5,454.05,455.15,205121.0,
2016-11-17,92.35,94.8,90.5,90.9,775704.0,
2016-11-18,90.9,91.9,90.3,90.95,424305.0,
2016-11-21,91.8,91.8,87.5,87.9,757123.0,
2016-11-22,88.9,88.9,81.15,83.9,1181873.0,
2016-11-23,84.7,85.7,81.4,81.75,887730.0,
2016-11-24,81.9,81.9,80.25,80.7,821677.0,
2016-11-25,81.5,82.25,80.0,81.95,713866.0,
2016-11-28,81.0,83.7,80.8,83.35,1453997.0,
2016-11-29,83.8,84.45,83.0,83.8,634615.0,
2016-11-30,84.2,84.8,82.55,83.7,1016741.0,
2016-12-01,84.6,84.6,81.0,82.0,553414.0,
2016-12-02,81.05,82.0,80.75,81.1,634170.0,
2016-12-05,81.05,81.6,80.3,80.95,339555.0,
2016-12-06,81.1,83.8,81.1,82.7,555404.0,
2016-12-07,83.3,83.3,81.5,81.9,354272.0,
2016-12-08,82.0,83.4,82.0,83.05,561029.0,
2016-12-09,83.4,83.8,82.6,83.3,612137.0,
2016-12-12,83.75,83.75,82.65,83.45,434240.0,
2016-12-13,83.4,83.7,82.7,83.3,301023.0,
2016-12-14,83.6,86.4,83.5,85.9,1158405.0,
2016-12-15,85.6,86.55,84.9,85.9,537935.0,
2016-12-16,86.35,86.55,85.55,86.3,417998.0,
2016-12-19,86.3,86.3,85.2,85.5,214482.0,
2016-12-20,85.8,85.8,84.2,84.3,404787.0,
2016-12-21,84.5,84.7,82.85,83.55,294541.0,
2016-12-22,83.85,83.85,82.55,83.4,240310.0,
2016-12-23,83.6,83.6,81.95,82.55,365013.0,
2016-12-26,83.15,83.15,80.4,80.7,255325.0,
2016-12-27,80.7,81.0,80.0,80.1,512316.0,
2016-12-28,80.35,81.6,80.35,80.7,303235.0,
