,Open,High,Low,Close,Volume,DeliveryPct
2016-08-16,112.1,115.3,112.05,113.3,419293.0,
2016-08-17,113.3,115.1,112.75,114.4,39754.0,
2016-08-18,114.5,116.0,114.45,115.65,39228.0,
2016-08-19,115.95,117.0,115.0,115.65,50733.0,
2016-08-22,114.0,118.4,114.0,118.0,163825.0,
2016-08-23,118.55,121.9,118.05,119.3,205336.0,
2016-08-24,119.5,120.05,115.8,118.3,154832.0,
2016-08-25,118.5,121.15,117.55,118.45,92520.0,
2016-08-26,118.0,119.45,116.8,117.75,67952.0,
2016-08-29,116.0,119.8,116.0,118.75,108562.0,
2016-08-30,118.1,119.6,116.4,117.65,56461.0,
2016-08-31,116.1,117.95,115.55,116.3,72040.0,
2016-09-01,115.2,116.7,113.55,113.7,69431.0,
2016-09-02,113.0,116.4,113.0,114.8,78470.0,
2016-09-06,114.8,116.7,114.5,115.0,53793.0,
2016-09-07,115.0,117.95,114.7,116.3,114823.0,
2016-09-08,116.7,119.9,116.0,116.45,111820.0,
2016-09-09,117.4,119.8,116.0,116.95,217282.0,
2016-09-12,114.6,115.95,113.0,114.1,58470.0,
2016-09-14,113.75,115.8,113.75,114.95,46363.0,
2016-09-15,114.0,115.9,114.0,114.3,48071.0,
2016-09-16,115.2,116.1,114.0,114.75,58736.0,
2016-09-19,115.75,115.9,112.35,113.3,44676.0,
2016-09-20,113.35,115.0,112.45,114.3,46315.0,
2016-09-21,113.95,115.0,113.0,113.75,30497.0,
2016-09-22,114.5,116.4,114.0,115.85,59185.0,
2016-09-23,116.55,123.0,115.1,120.95,385609.0,
2016-09-26,121.3,121.7,117.2,118.0,297503.0,
2016-09-27,117.5,120.0,116.2,116.6,72353.0,
2016-09-28,117.0,119.4,117.0,117.5,61238.0,
2016-09-29,118.0,119.95,108.0,112.05,341996.0,
2016-09-30,109.0,115.95,109.0,114.1,64608.0,
2016-10-03,115.5,120.0,114.6,117.85,174311.0,
2016-10-04,117.6,120.5,116.95,117.45,70826.0,
2016-10-05,117.1,121.2,117.1,120.4,179123.0,
2016-10-06,119.1,121.5,118.75,120.05,82498.0,
2016-10-07,119.0,121.5,119.0,120.0,90242.0,
2016-10-10,119.05,122.0,118.9,119.15,178308.0,
2016-10-13,119.1,119.6,112.0,114.0,97035.0,
2016-10-14,115.4,116.4,113.9,114.9,61163.0,
2016-10-17,121.25,124.2,117.2,122.55,410486.0,
2016-10-18,121.2,123.5,119.85,120.9,123538.0,
2016-10-19,122.0,122.5,120.0,120.8,54186.0,
2016-10-20,121.2,122.5,119.0,119.45,104667.0,
2016-10-21,118.05,119.8,116.5,117.4,154583.0,
2016-10-24,117.15,121.2,117.15,119.9,99549.0,
2016-10-25,118.6,120.05,118.6,119.05,82722.0,
2016-10-26,119.65,119.95,115.75,116.7,92522.0,
2016-10-27,116.1,118.95,115.85,116.45,362605.0,
2016-10-28,116.8,118.75,116.6,117.4,347040.0,
2016-11-01,121.35,123.05,119.65,122.5,86192.0,
2016-11-02,121.9,121.9,118.45,118.95,49896.0,
2016-11-03,119.0,121.4,116.55,117.65,46843.0,
2016-11-04,116.8,118.85,114.15,114.75,67995.0,
2016-11-07,118.05,127.5,117.35,124.0,601526.0,
2016-11-08,122.5,136.4,122.5,132.5,1952420.0,
2016-11-09,111.65,132.25,106.1,130.3,718298.0,
2016-11-10,131.7,139.5,131.7,135.3,913154.0,
2016-11-11,133.8,137.9,127.15,127.9,236149.0,
2016-11-15,129.9,129.9,115.0,118.3,211390.0,
2016-11-16,120.0,123.7,116.2,118.2,98269.0,
2016-11-17,119.15,119.8,116.0,116.75,61659.0,
2016-11-18,116.5,118.9,113.95,116.45,138961.0,
2016-11-21,123.0,123.2,107.7,110.05,418455.0,
2016-11-22,112.3,113.85,110.0,111.3,99285.0,
2016-11-23,113.95,114.8,111.0,112.95,215245.0,
2016-11-24,112.0,114.9,111.25,112.05,124590.0,
2016-11-25,112.9,114.0,111.9,112.9,90425.0,
2016-11-28,113.1,124.0,112.2,122.05,389449.0,
2016-11-29,122.05,130.7,120.1,126.75,466722.0,
2016-11-30,127.0,127.85,124.35,127.0,134265.0,
2016-12-01,128.3,128.9,124.3,125.55,93549.0,
2016-12-02,123.7,124.55,120.55,121.0,52471.0,
2016-12-05,122.0,122.75,118.8,120.3,56870.0,
2016-12-06,120.2,121.5,119.65,120.4,39503.0,
2016-12-07,124.05,124.8,119.05,119.9,200310.0,
2016-12-08,120.9,125.6,120.6,122.2,173137.0,
2016-12-09,123.35,123.85,120.0,121.35,109029.0,
2016-12-12,120.95,122.05,119.15,120.1,40176.0,
2016-12-13,120.05,123.5,119.25,122.7,56891.0,
2016-12-14,121.55,123.1,119.0,119.6,40498.0,
2016-12-15,119.5,121.8,119.05,120.0,38869.0,
2016-12-16,121.1,130.0,118.45,125.1,924929.0,
2016-12-19,125.0,125.0,120.95,121.45,112905.0,
2016-12-20,124.0,127.0,122.2,124.55,611605.0,
2016-12-21,125.0,125.05,121.05,122.05,75617.0,
2016-12-22,122.35,122.9,118.4,118.9,82822.0,
2016-12-23,116.8,127.5,116.8,125.25,216205.0,
2016-12-26,124.1,125.0,121.0,123.2,84829.0,
2016-12-27,123.2,125.8,117.7,121.85,137199.0,
2016-12-28,122.35,125.45,121.8,122.35,69895.0,
2016-12-29,122.0,125.2,122.0,124.1,97304.0,
2016-12-30,124.05,125.3,123.15,123.85,65581.0,
2017-01-02,124.0,125.8,124.0,124.9,61883.0,
2017-01-03,125.35,126.5,124.55,125.8,96688.0,
2017-01-04,126.05,127.3,124.9,125.15,57633.0,
2017-01-05,125.5,127.45,125.0,126.05,61694.0,
2017-01-06,126.8,138.7,125.65,134.9,791352.0,
2017-01-09,135.9,135.9,130.65,134.1,252555.0,
2017-01-10,134.55,146.4,134.05,143.75,972613.0,
2017-01-11,144.45,145.3,140.55,141.55,308579.0,
2017-01-12,142.6,142.6,136.0,138.8,342286.0,
2017-01-13,138.95,143.8,137.35,138.4,282612.0,
2017-01-16,138.0,141.2,137.1,138.4,112355.0,
2017-01-17,138.75,143.5,138.0,139.5,273631.0,
2017-01-18,140.0,141.05,136.65,137.3,108563.0,
2017-01-19,137.7,139.45,137.1,137.7,95240.0,
2017-01-20,138.1,139.85,133.0,135.5,144067.0,
2017-01-23,134.8,137.5,134.8,136.3,63288.0,
2017-01-24,137.0,141.45,135.4,137.6,190288.0,
2017-01-25,138.45,139.65,136.75,139.0,89523.0,
2017-01-27,138.0,141.2,135.65,140.5,316526.0,
2017-01-30,139.05,141.1,137.8,139.85,111759.0,
2017-01-31,140.9,140.9,136.6,137.45,99499.0,
2017-02-01,136.0,140.85,134.25,139.95,132811.0,
2017-02-02,140.0,144.0,140.0,143.5,365834.0,
2017-02-03,152.0,171.4,152.0,168.1,3848883.0,
2017-02-06,169.15,172.0,163.6,167.15,843328.0,
2017-02-07,167.4,170.45,164.05,169.5,905624.0,
2017-02-08,170.0,170.85,164.55,165.45,272231.0,
2017-02-09,165.45,166.75,161.8,162.15,119346.0,
2017-02-10,163.4,167.85,162.05,163.3,376125.0,
2017-02-13,164.25,170.0,160.2,168.7,310625.0,
2017-02-14,171.0,186.8,170.0,176.05,2205997.0,
2017-02-15,176.0,176.4,170.85,173.7,231599.0,
2017-02-16,175.0,179.95,174.25,178.4,470728.0,
2017-02-17,180.0,185.5,172.0,181.25,3031668.0,
2017-02-20,178.0,179.3,174.6,177.6,433781.0,
2017-02-21,178.15,179.25,175.5,176.65,197069.0,
2017-02-22,177.0,177.25,172.0,172.2,194478.0,
2017-02-23,172.45,173.7,167.85,172.1,267520.0,
2017-02-27,172.1,177.7,171.65,174.7,247405.0,
2017-02-28,175.0,179.7,174.5,178.6,211459.0,
2017-03-01,178.95,183.5,175.5,182.65,540319.0,
2017-03-02,182.95,183.9,172.2,173.3,259790.0,
2017-03-03,173.95,177.3,172.2,172.95,161904.0,
2017-03-06,173.9,174.5,172.2,172.65,78668.0,
2017-03-07,173.5,174.5,166.8,168.05,230798.0,
2017-03-08,168.4,170.4,166.7,167.65,313429.0,
2017-03-09,167.6,174.5,167.15,172.95,324005.0,
2017-03-10,173.6,175.0,168.35,169.85,76319.0,
2017-03-14,171.6,176.4,170.7,175.45,198009.0,
2017-03-15,176.85,177.7,170.5,171.2,311127.0,
2017-03-16,172.9,174.9,171.8,172.25,358768.0,
2017-03-17,172.25,173.9,170.6,171.35,100322.0,
2017-03-20,172.55,174.25,168.8,173.25,97596.0,
2017-03-21,175.0,178.5,172.2,173.2,317555.0,
2017-03-22,172.05,175.75,171.25,173.1,113724.0,
2017-03-23,172.1,177.5,172.1,174.15,187621.0,
2017-03-24,175.0,176.9,173.6,175.0,262775.0,
2017-03-27,176.2,177.2,174.0,175.5,118700.0,
2017-03-28,175.55,186.0,175.55,176.65,368421.0,
2017-03-29,177.95,181.5,176.0,179.45,191322.0,
2017-03-30,180.8,182.85,177.5,179.05,225740.0,
2017-03-31,181.0,184.0,178.85,182.7,269704.0,
2017-04-03,185.05,196.0,185.05,189.65,996190.0,
2017-04-05,191.9,198.8,191.7,195.0,892842.0,
2017-04-06,194.5,197.4,192.3,194.15,241489.0,
2017-04-07,194.25,198.25,190.5,191.2,238600.0,
2017-04-10,192.75,194.9,191.5,192.2,423446.0,
2017-04-11,193.35,199.8,193.0,197.85,413872.0,
2017-04-12,199.0,204.3,192.5,195.9,277074.0,
2017-04-13,195.1,198.0,191.0,191.75,397835.0,
2017-04-17,194.0,195.9,191.25,193.45,166051.0,
2017-04-18,193.9,201.0,193.9,196.35,392613.0,
2017-04-19,196.0,208.4,195.0,206.9,969358.0,
2017-04-20,208.7,214.5,207.05,210.4,617779.0,
2017-04-21,212.45,214.0,207.0,211.9,271313.0,
2017-04-24,213.9,219.0,213.1,215.45,355233.0,
2017-04-25,217.6,219.3,210.5,212.15,202234.0,
2017-04-26,214.2,216.45,207.0,212.9,247875.0,
2017-04-27,213.1,214.0,210.1,211.55,106219.0,
2017-04-28,211.8,217.8,211.8,216.8,217140.0,
2017-05-02,218.4,219.4,213.0,214.35,162325.0,
2017-05-03,215.85,217.0,213.45,216.15,242783.0,
2017-05-04,217.9,217.9,214.95,215.35,83870.0,
2017-05-05,215.5,217.5,211.0,213.05,120247.0,
2017-05-08,214.2,219.35,214.2,216.45,176995.0,
2017-05-09,216.0,228.35,216.0,227.15,426271.0,
2017-05-10,228.75,236.5,228.75,235.1,521769.0,
2017-05-11,236.0,238.0,220.15,221.55,1457849.0,
2017-05-12,222.8,227.0,216.65,217.55,498982.0,
2017-05-15,219.5,223.4,218.35,219.7,179020.0,
2017-05-16,219.45,222.8,219.0,220.05,114259.0,
2017-05-17,220.5,222.8,218.5,219.95,205059.0,
2017-05-18,218.2,223.2,216.55,220.0,178146.0,
2017-05-19,221.95,223.5,216.25,217.0,155268.0,
2017-05-22,219.75,219.75,212.5,213.55,167612.0,
2017-05-23,213.7,215.6,200.1,203.5,228012.0,
2017-05-24,202.0,210.95,199.3,200.9,223425.0,
2017-05-25,201.95,203.5,198.0,201.25,211631.0,
2017-05-26,201.6,207.5,200.45,202.35,208796.0,
2017-05-29,202.15,214.55,202.05,213.05,286301.0,
2017-05-30,214.0,215.9,209.9,211.45,74421.0,
2017-05-31,212.05,220.85,211.6,217.65,177935.0,
2017-06-01,219.0,224.4,218.0,219.5,220900.0,
2017-06-02,221.45,221.45,213.5,214.8,155425.0,
2017-06-05,215.0,221.95,214.15,218.1,173906.0,
2017-06-06,220.15,220.15,216.0,216.7,65880.0,
2017-06-07,217.05,219.45,214.0,216.1,89588.0,
2017-06-08,216.85,219.7,215.0,218.6,91249.0,
2017-06-09,216.0,221.0,216.0,219.4,90116.0,
2017-06-12,218.05,218.95,214.45,216.05,60837.0,
2017-06-13,218.0,218.0,211.2,213.9,69107.0,
2017-06-14,216.75,216.75,211.05,211.4,54426.0,
2017-06-15,211.4,215.55,210.0,212.2,95187.0,
2017-06-16,213.85,221.85,212.1,220.4,210045.0,
2017-06-19,220.0,229.3,218.25,224.65,360888.0,
2017-06-20,225.0,227.2,220.0,225.3,125398.0,
2017-06-21,225.0,225.0,221.0,221.9,50239.0,
2017-06-22,224.0,232.5,221.85,230.2,410702.0,
2017-06-23,232.05,232.05,225.0,228.45,187689.0,
2017-06-27,229.0,232.85,219.35,223.7,176461.0,
2017-06-28,223.0,227.0,220.6,223.2,113827.0,
2017-06-29,225.5,239.5,224.8,231.4,514054.0,
2017-06-30,228.5,236.45,226.45,232.35,234871.0,
2017-07-03,232.3,243.3,228.45,236.45,332438.0,
2017-07-04,236.6,241.0,231.2,232.45,350979.0,
2017-07-05,233.0,236.0,230.15,234.2,113168.0,
2017-07-06,236.0,237.7,228.5,231.55,166749.0,
2017-07-07,232.0,234.0,227.5,229.35,141503.0,
2017-07-10,230.7,263.8,229.4,234.95,46276.0,
2017-07-11,235.5,239.95,231.5,232.7,475139.0,
2017-07-12,235.4,235.95,231.05,232.2,386672.0,
2017-07-13,232.15,249.0,232.15,236.9,533766.0,
2017-07-14,238.1,248.0,236.35,237.5,391079.0,
2017-07-17,239.3,243.3,234.3,235.8,208370.0,
2017-07-18,236.3,239.6,233.0,234.45,762180.0,
2017-07-19,236.4,246.0,235.1,239.8,418378.0,
2017-07-20,241.25,245.2,239.0,239.6,277684.0,
2017-07-21,239.6,243.05,235.55,239.7,139586.0,
2017-07-24,240.0,240.65,232.0,233.0,150270.0,
2017-07-25,233.05,234.9,228.45,231.4,199775.0,
2017-07-26,233.5,233.5,231.0,232.9,221058.0,
2017-07-27,232.0,249.0,232.0,233.5,775336.0,
2017-07-28,233.5,235.3,231.0,234.75,94051.0,
2017-07-31,237.65,237.65,230.55,231.25,100225.0,
2017-08-01,232.8,233.85,230.0,231.55,361129.0,
2017-08-02,231.1,232.55,225.1,226.8,115568.0,
2017-08-03,227.0,229.3,224.0,226.05,91194.0,
2017-08-04,224.1,229.0,221.5,223.85,76295.0,
2017-08-07,224.1,227.45,222.1,226.4,78454.0,
2017-08-08,228.0,230.45,224.2,224.9,362123.0,
2017-08-09,228.0,228.0,219.0,219.9,174486.0,
2017-08-10,221.0,221.75,211.2,215.4,134179.0,
2017-08-11,211.0,214.0,206.0,209.4,147901.0,
2017-08-14,208.3,217.2,208.3,215.4,81113.0,
2017-08-16,219.0,219.55,216.0,217.7,449644.0,
2017-08-17,222.0,222.0,208.3,210.35,477852.0,
2017-08-18,211.95,217.3,209.0,215.7,188995.0,
2017-08-21,218.0,222.95,215.5,220.75,189113.0,
2017-08-22,221.05,223.8,220.0,221.2,89004.0,
2017-08-23,223.0,225.0,222.0,224.3,70558.0,
2017-08-24,225.95,237.0,223.6,233.25,294750.0,
2017-08-28,232.5,247.55,232.5,245.35,872535.0,
2017-08-29,244.95,247.0,242.1,246.1,603346.0,
2017-08-30,257.9,262.8,249.0,259.85,2250568.0,
2017-08-31,260.0,264.9,253.4,255.9,771866.0,
2017-09-01,261.0,266.0,260.0,264.8,1410375.0,
2017-09-04,264.0,268.0,253.25,255.9,402481.0,
2017-09-05,257.0,263.0,256.2,260.45,237238.0,
2017-09-06,259.5,263.0,255.0,261.6,179190.0,
2017-09-07,262.0,264.9,257.25,263.95,263017.0,
2017-09-08,257.05,278.65,257.05,275.4,835700.0,
2017-09-11,280.9,329.9,280.1,326.15,3206037.0,
2017-09-12,328.6,338.0,303.05,312.4,1887691.0,
2017-09-13,311.0,316.5,297.0,298.8,895094.0,
2017-09-14,298.0,309.9,298.0,305.5,457093.0,
2017-09-15,305.5,346.3,304.0,323.3,2782421.0,
2017-09-18,325.35,342.95,316.25,336.35,1569862.0,
2017-09-19,337.3,366.7,330.2,349.45,2124522.0,
2017-09-20,351.9,351.9,338.0,339.95,504049.0,
2017-09-21,341.0,344.9,325.0,331.4,560235.0,
2017-09-22,330.0,330.0,316.0,318.05,407949.0,
2017-09-25,314.4,324.35,300.1,317.5,731418.0,
2017-09-26,316.5,325.45,316.5,319.45,319286.0,
2017-09-27,322.45,324.9,308.1,311.65,377936.0,
2017-09-28,313.0,327.95,309.0,318.95,481743.0,
2017-09-29,321.7,329.9,319.0,325.1,313208.0,
2017-10-03,329.0,366.45,328.0,359.8,1679088.0,
2017-10-04,358.95,369.0,349.5,356.35,1488066.0,
2017-10-05,355.8,363.4,353.0,355.65,400178.0,
2017-10-06,357.7,371.9,353.1,358.25,945363.0,
2017-10-09,359.9,363.7,354.0,355.5,324054.0,
2017-10-10,358.2,361.5,350.1,352.1,308488.0,
2017-10-11,353.0,354.5,331.1,334.35,645834.0,
2017-10-12,337.0,344.0,330.5,332.85,478665.0,
2017-10-13,328.7,344.25,328.7,336.1,332581.0,
2017-10-16,339.7,341.0,327.0,329.6,345740.0,
2017-10-17,332.4,332.4,326.0,327.05,195106.0,
2017-10-18,327.5,327.8,321.15,322.85,152825.0,
2017-10-19,323.2,328.8,323.0,326.55,58501.0,
2017-10-23,327.0,328.9,319.0,322.3,153127.0,
2017-10-24,324.0,324.0,317.0,317.65,131505.0,
2017-10-25,320.0,333.8,312.1,329.65,625228.0,
2017-10-26,328.7,331.0,323.0,325.65,330238.0,
2017-10-27,323.5,327.8,321.3,324.1,262835.0,
2017-10-30,326.8,339.25,324.1,333.0,553060.0,
2017-10-31,336.8,339.0,333.0,334.7,184586.0,
2017-11-01,338.0,338.0,328.0,329.5,132965.0,
2017-11-02,330.05,345.0,328.5,336.2,308560.0,
2017-11-03,340.9,345.0,334.8,337.95,1241044.0,
2017-11-06,338.9,339.6,331.25,333.8,169195.0,
2017-11-07,336.75,344.7,331.5,339.15,442499.0,
2017-11-08,344.0,344.6,335.0,340.5,288430.0,
2017-11-09,339.5,352.0,337.0,343.4,729174.0,
2017-11-10,344.0,349.0,339.0,340.5,247437.0,
2017-11-13,342.2,344.0,327.0,328.75,228471.0,
2017-11-14,333.0,341.0,328.1,331.7,553990.0,
2017-11-15,334.0,334.45,314.45,321.6,291276.0,
2017-11-16,322.15,340.0,322.15,338.7,353621.0,
2017-11-17,342.0,346.45,336.0,339.35,261438.0,
2017-11-20,336.8,342.0,332.0,335.15,187896.0,
2017-11-21,337.05,337.75,332.25,334.3,159733.0,
