,Open,High,Low,Close,Volume,DeliveryPct
2022-12-29,367.0,373.0,351.0,363.85,7525533.0,46.79
2022-12-30,365.0,370.8,342.35,344.5,1383751.0,38.73
2023-01-02,344.0,355.05,334.0,352.65,626106.0,24.53
2023-01-03,352.5,360.35,352.0,358.25,457611.0,36.95
2023-01-04,358.0,358.0,352.3,354.75,186551.0,38.8
2023-01-05,353.0,355.75,344.05,347.25,99709.0,46.57
2023-01-06,347.0,352.0,342.0,345.3,167591.0,68.69
2023-01-09,345.0,347.4,336.0,339.9,145951.0,56.22
2023-01-10,340.0,343.8,335.15,337.45,569204.0,88.46
2023-01-11,342.5,342.5,331.0,332.45,167618.0,48.12
2023-01-12,332.0,335.9,328.0,328.8,157134.0,31.2
2023-01-13,329.8,337.6,328.0,334.7,86403.0,46.9
2023-01-16,337.95,340.0,332.0,333.75,112551.0,54.26
2023-01-17,336.0,336.05,332.0,333.2,49211.0,54.79
2023-01-18,334.0,335.7,330.8,332.95,72953.0,39.57
2023-01-19,334.9,341.55,332.45,335.0,450363.0,87.11
2023-01-20,335.0,338.8,333.0,334.5,169620.0,78.18
2023-01-23,335.0,338.4,333.05,336.4,103954.0,57.94
2023-01-24,338.0,342.95,336.2,340.4,672183.0,90.71
2023-01-25,340.8,342.95,330.5,332.0,70179.0,48.6
2023-01-26,340.8,342.95,330.5,332.0,70179.0,48.6
2023-01-27,331.1,335.8,315.0,316.4,241863.0,63.55
2023-01-30,314.0,325.25,312.7,322.05,117095.0,55.91
2023-01-31,322.05,327.2,319.0,319.7,120634.0,60.93
2023-02-01,318.1,324.75,304.5,308.05,163043.0,65.56
2023-02-02,303.0,317.0,303.0,307.95,62909.0,52.62
2023-02-03,309.95,309.95,290.35,300.1,230638.0,58.65
2023-02-06,296.0,311.5,296.0,307.8,63341.0,41.57
2023-02-07,307.8,308.65,300.3,303.1,67125.0,48.61
2023-02-08,301.0,307.45,301.0,305.1,45681.0,48.65
2023-02-09,305.1,318.6,303.0,316.85,128916.0,36.63
2023-02-10,317.7,321.0,315.05,318.9,48826.0,52.96
2023-02-13,322.0,329.1,312.15,313.25,113862.0,47.41
2023-02-14,311.2,318.95,311.15,314.55,69940.0,56.32
2023-02-15,318.0,320.95,314.55,315.1,49956.0,44.45
2023-02-16,319.85,319.85,313.05,317.25,125893.0,69.91
2023-02-17,317.25,319.35,315.05,318.15,73145.0,71.74
2023-02-20,319.9,328.85,308.0,315.05,136656.0,55.25
2023-02-21,312.0,315.0,303.6,306.15,107722.0,52.89
2023-02-22,309.2,309.2,294.7,298.5,160067.0,62.94
2023-02-23,298.95,299.9,290.5,293.2,78168.0,51.07
2023-02-24,304.0,304.0,293.55,296.55,35781.0,43.62
2023-02-27,294.0,298.5,291.75,292.5,59294.0,69.73
2023-02-28,292.5,298.35,291.2,294.4,213921.0,87.67
2023-03-01,298.8,298.8,291.0,293.0,112961.0,65.02
2023-03-02,292.95,293.35,289.0,290.2,108481.0,71.3
2023-03-03,292.0,294.7,291.3,293.2,54886.0,63.21
2023-03-06,293.2,309.6,292.65,298.85,171985.0,56.33
2023-03-07,293.2,309.6,292.65,298.85,171985.0,56.33
2023-03-08,298.85,303.45,297.4,301.8,95727.0,68.64
2023-03-09,306.35,306.35,298.7,301.35,79133.0,73.76
2023-03-10,299.0,299.05,294.85,297.7,35527.0,71.87
2023-03-13,297.65,297.7,291.3,293.25,142056.0,81.8
2023-03-14,293.25,296.9,288.0,288.9,126308.0,76.19
2023-03-15,291.95,294.7,288.7,290.35,52306.0,65.03
2023-03-16,293.0,293.25,276.1,283.6,88012.0,41.97
2023-03-17,283.0,286.55,279.25,280.65,87101.0,66.15
2023-03-20,276.0,281.1,272.0,272.85,65229.0,64.45
2023-03-21,275.0,302.25,273.5,291.95,173192.0,47.26
2023-03-22,291.95,294.8,286.6,289.85,52696.0,43.86
2023-03-23,286.95,302.0,286.65,299.9,228472.0,80.67
2023-03-24,299.0,302.95,290.05,292.05,80809.0,42.03
2023-03-27,275.75,287.95,275.75,278.0,123483.0,56.62
2023-03-28,278.0,283.35,274.1,276.1,132468.0,72.04
2023-03-29,273.35,284.0,272.4,280.3,215948.0,59.85
2023-03-30,273.35,284.0,272.4,280.3,215948.0,59.85
2023-03-31,278.05,284.5,275.0,280.25,138689.0,59.26
2023-04-03,284.4,293.55,280.5,285.75,184857.0,63.99
2023-04-04,284.4,293.55,280.5,285.75,184857.0,63.99
2023-04-05,284.7,288.2,278.5,282.65,116597.0,52.99
2023-04-06,282.65,287.0,280.55,286.05,74563.0,57.25
2023-04-07,282.65,287.0,280.55,286.05,74563.0,57.25
2023-04-10,289.9,290.7,281.0,281.55,46791.0,60.79
2023-04-11,285.0,285.0,276.1,280.65,78718.0,51.46
2023-04-12,280.0,293.25,280.0,291.55,252331.0,79.9
2023-04-13,293.6,298.4,291.2,296.1,104964.0,53.46
2023-04-14,293.6,298.4,291.2,296.1,104964.0,53.46
2023-04-17,291.65,298.0,289.35,289.95,57665.0,62.79
2023-04-18,287.0,297.85,287.0,295.15,323326.0,78.88
2023-04-19,299.55,299.55,292.0,293.1,57466.0,57.55
2023-04-20,291.0,299.65,291.0,296.1,62905.0,53.9
2023-04-21,298.95,299.95,290.55,297.2,292698.0,85.15
2023-04-24,299.75,317.9,298.65,309.55,408181.0,44.28
2023-04-25,314.2,316.7,308.2,315.05,149604.0,72.53
2023-04-26,315.05,322.0,312.15,320.9,191192.0,64.08
2023-04-27,320.9,320.9,312.95,314.7,77236.0,67.4
2023-04-28,315.65,317.5,313.05,314.05,58369.0,60.24
2023-05-01,315.65,317.5,313.05,314.05,58369.0,60.24
2023-05-02,319.7,319.7,299.05,301.2,127941.0,60.2
2023-05-03,301.2,322.0,301.2,317.5,155216.0,41.33
2023-05-04,314.05,336.65,314.05,334.15,315540.0,40.89
2023-05-05,334.1,335.0,313.15,316.2,224122.0,32.98
2023-05-08,316.5,322.95,301.3,304.85,199989.0,56.57
2023-05-09,307.95,313.0,305.45,306.35,59059.0,44.04
2023-05-10,310.4,321.7,301.35,308.25,185379.0,38.39
2023-05-11,314.0,317.75,311.55,314.55,86908.0,55.17
2023-05-12,318.55,334.25,316.05,331.65,966319.0,65.81
2023-05-15,331.1,335.0,322.5,327.9,213764.0,72.19
2023-05-16,329.45,331.45,319.9,324.6,242543.0,77.36
2023-05-17,324.6,329.4,318.05,326.6,192804.0,58.24
2023-05-18,328.4,344.35,328.35,340.0,337437.0,45.63
2023-05-19,338.3,345.85,335.3,341.55,157329.0,54.23
2023-05-22,341.55,344.7,333.1,336.95,81440.0,46.23
2023-05-23,336.2,339.2,327.5,330.35,97277.0,48.78
2023-05-24,330.3,336.85,326.15,334.65,61011.0,53.06
2023-05-25,334.95,335.8,329.35,334.5,352132.0,92.18
2023-05-26,334.5,340.5,332.15,333.7,76098.0,56.6
2023-05-29,334.7,334.7,322.05,326.15,139782.0,51.14
2023-05-30,326.45,330.75,322.7,329.15,84896.0,38.76
2023-05-31,329.25,340.0,323.0,336.05,824432.0,76.62
2023-06-01,333.7,333.7,327.1,328.85,74116.0,48.01
2023-06-02,329.8,332.85,325.25,328.35,62322.0,43.61
2023-06-05,328.4,334.7,327.25,331.45,142217.0,67.6
2023-06-06,331.05,341.9,330.4,337.85,338410.0,69.73
2023-06-07,337.8,341.4,335.0,337.3,144310.0,73.18
2023-06-08,337.3,343.7,335.5,341.15,344971.0,68.5
2023-06-09,340.3,345.0,336.85,341.45,197114.0,79.45
2023-06-12,344.0,349.9,339.05,342.45,201327.0,44.13
2023-06-13,343.5,361.8,342.0,355.85,687460.0,49.59
