,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,780.0,782.0,768.8,772.85,612762.0,
2016-08-23,773.35,780.0,771.05,778.35,572986.0,
2016-08-24,779.0,781.9,772.1,777.0,1141719.0,
2016-08-25,778.0,784.0,772.05,780.75,1477112.0,
2016-08-26,782.5,789.0,772.85,780.8,853973.0,
2016-08-29,780.7,788.9,775.15,781.4,762039.0,
2016-08-30,781.9,787.05,780.2,786.15,799025.0,
2016-08-31,795.0,814.95,793.15,806.9,3346444.0,
2016-09-01,813.0,817.45,807.5,810.7,1161928.0,
2016-09-02,812.0,815.75,808.3,813.6,930759.0,
2016-09-06,819.9,822.0,815.0,818.05,1027879.0,
2016-09-07,818.85,823.0,802.45,804.1,1171053.0,
2016-09-08,804.75,822.3,800.25,819.75,1724362.0,
2016-09-09,819.7,825.4,808.6,818.85,1144933.0,
2016-09-12,811.95,815.0,805.0,813.3,741529.0,
2016-09-14,813.9,820.0,803.3,805.95,2041155.0,
2016-09-15,806.95,811.75,803.3,808.6,1182665.0,
2016-09-16,810.9,819.95,804.7,806.6,4352409.0,
2016-09-19,808.4,812.2,799.1,802.85,2257955.0,
2016-09-20,802.0,803.3,791.5,792.75,1557067.0,
2016-09-21,794.1,795.75,786.65,788.4,2317848.0,
2016-09-22,799.0,801.9,791.0,795.15,2111498.0,
2016-09-23,795.7,803.4,793.05,796.15,4190651.0,
2016-09-26,792.15,794.25,784.35,787.75,1117777.0,
2016-09-27,785.25,798.25,782.5,784.45,1427314.0,
2016-09-28,783.0,791.8,778.5,782.3,1955271.0,
2016-09-29,787.5,799.45,769.25,772.6,55058370.0,
2016-09-30,772.0,782.3,766.1,777.0,2432078.0,
2016-10-03,788.95,792.7,783.15,788.05,982792.0,
2016-10-04,790.9,796.6,782.3,791.7,1152157.0,
2016-10-05,794.8,794.8,780.5,782.15,1007548.0,
2016-10-06,782.0,790.0,777.5,783.0,1362633.0,
2016-10-07,782.6,785.0,775.15,782.65,740458.0,
2016-10-10,784.9,785.5,779.0,780.2,749600.0,
2016-10-13,778.0,778.15,765.3,772.35,1764056.0,
2016-10-14,776.0,783.95,770.6,781.75,1033080.0,
2016-10-17,782.9,782.9,764.0,769.25,1920064.0,
2016-10-18,774.9,780.95,769.9,776.95,1627353.0,
2016-10-19,779.0,785.0,772.45,774.0,1057893.0,
2016-10-20,781.9,783.0,770.55,772.35,1661867.0,
2016-10-21,770.05,783.15,768.95,781.5,1767446.0,
2016-10-24,781.9,789.55,777.5,787.35,939931.0,
2016-10-25,789.95,793.0,780.55,786.55,3267465.0,
2016-10-26,783.0,821.0,781.1,811.5,4431744.0,
