,Open,High,Low,Close,Volume,DeliveryPct
2016-08-18,929.0,935.0,920.0,926.15,25202.0,
2016-08-19,926.2,942.0,926.2,930.95,12320.0,
2016-08-22,930.0,940.0,921.0,927.75,6406.0,
2016-08-23,927.75,935.8,917.5,921.5,6411.0,
2016-08-24,921.5,957.9,921.5,932.4,270961.0,
2016-08-25,932.0,949.0,929.0,935.25,11285.0,
2016-08-26,923.3,935.0,913.1,921.8,24461.0,
2016-08-29,919.45,933.0,919.45,925.5,7460.0,
2016-08-30,935.0,1042.3,934.0,1005.75,429143.0,
2016-08-31,1008.0,1119.95,1004.45,1081.75,701966.0,
2016-09-01,1078.0,1085.0,1050.0,1061.2,152906.0,
2016-09-02,1060.0,1270.0,1051.1,1161.3,1466322.0,
2016-09-06,1174.7,1199.0,1114.0,1127.0,206837.0,
2016-09-07,1134.0,1160.0,1123.0,1136.5,143709.0,
2016-09-08,1136.5,1162.0,1118.0,1126.95,112278.0,
2016-09-09,1131.0,1197.0,1128.0,1141.7,254156.0,
2016-09-12,1125.0,1168.0,1110.1,1150.05,176566.0,
2016-09-14,1155.1,1176.5,1125.0,1135.15,104864.0,
2016-09-15,1146.0,1147.0,1125.0,1132.25,37611.0,
2016-09-16,1143.55,1209.3,1135.0,1198.8,404277.0,
2016-09-19,1190.0,1276.0,1172.45,1247.95,408969.0,
2016-09-20,1255.0,1258.7,1192.0,1201.35,117269.0,
2016-09-21,1207.0,1230.05,1182.0,1193.0,78404.0,
2016-09-22,1199.0,1220.0,1180.0,1186.9,49919.0,
2016-09-23,1190.1,1196.9,1170.0,1174.7,42577.0,
2016-09-26,1162.0,1204.85,1159.6,1166.75,74957.0,
2016-09-27,1174.65,1188.0,1155.0,1162.3,48857.0,
2016-09-28,1169.0,1173.7,1135.95,1144.9,31666.0,
2016-09-29,1151.0,1153.6,990.0,1082.95,85046.0,
2016-09-30,1085.0,1085.0,1052.25,1070.1,59607.0,
2016-10-03,1066.2,1090.0,1066.2,1077.5,48626.0,
2016-10-04,1084.85,1099.0,1062.0,1072.05,33638.0,
2016-10-05,1078.0,1091.7,1061.0,1063.0,38104.0,
2016-10-06,1063.05,1080.0,1051.05,1062.75,32951.0,
2016-10-07,1062.8,1068.0,1042.5,1049.65,16184.0,
2016-10-10,1050.0,1064.0,1040.0,1047.1,28869.0,
2016-10-13,1048.7,1049.0,1022.0,1035.95,77221.0,
2016-10-14,1048.0,1048.0,1029.2,1038.05,37611.0,
2016-10-17,1030.0,1063.7,1002.25,1010.85,178928.0,
2016-10-18,1015.0,1030.05,1014.0,1024.5,80983.0,
2016-10-19,1033.8,1039.0,1021.0,1027.55,31359.0,
2016-10-20,1035.0,1097.7,1021.0,1073.35,91342.0,
2016-10-21,1082.35,1135.0,1080.0,1122.3,218459.0,
2016-10-24,1142.0,1189.75,1135.2,1180.0,183486.0,
2016-10-25,1184.0,1188.75,1144.05,1150.7,59834.0,
2016-10-26,1150.7,1170.0,1127.0,1148.45,68985.0,
2016-10-27,1149.0,1185.0,1146.05,1178.4,51773.0,
2016-10-28,1165.0,1199.85,1151.25,1178.05,60163.0,
2016-11-01,1190.0,1199.0,1132.0,1162.05,60658.0,
2016-11-02,1163.0,1187.6,1142.65,1169.95,44339.0,
2016-11-03,1200.0,1267.0,1184.35,1193.9,856779.0,
2016-11-04,1198.95,1208.9,1142.1,1152.55,148000.0,
2016-11-07,1160.1,1185.0,1155.65,1171.95,76408.0,
2016-11-08,1179.95,1209.0,1168.5,1184.5,333817.0,
2016-11-09,1080.0,1210.0,1001.0,1187.15,116087.0,
2016-11-10,1204.0,1232.75,1170.15,1200.2,151033.0,
2016-11-11,1184.0,1215.0,1160.1,1181.35,237308.0,
2016-11-15,1181.4,1184.95,1062.2,1104.05,79900.0,
2016-11-16,1130.95,1149.3,1101.35,1126.45,27846.0,
2016-11-17,1121.0,1144.0,1114.0,1118.15,13782.0,
2016-11-18,1102.0,1198.95,1102.0,1185.7,61226.0,
2016-11-21,1185.0,1280.0,1185.0,1235.8,222232.0,
2016-11-22,1241.0,1248.75,1175.6,1192.05,70139.0,
2016-11-23,1196.0,1224.85,1187.5,1204.0,45619.0,
2016-11-24,1215.0,1215.0,1180.0,1188.05,23097.0,
2016-11-25,1188.1,1202.0,1148.05,1165.35,48405.0,
2016-11-28,1174.0,1190.0,1150.0,1159.55,27092.0,
2016-11-29,1169.0,1190.0,1161.5,1172.2,14882.0,
2016-11-30,1178.95,1199.0,1150.1,1156.05,72280.0,
2016-12-01,1156.1,1176.9,1156.1,1164.65,28210.0,
2016-12-02,1161.0,1168.1,1088.0,1137.1,180154.0,
2016-12-05,1122.2,1155.0,1115.0,1150.4,31505.0,
2016-12-06,1160.0,1175.0,1151.05,1169.65,31357.0,
2016-12-07,1137.55,1175.0,1120.15,1127.2,58926.0,
2016-12-08,1139.0,1147.0,1115.1,1119.45,51701.0,
2016-12-09,1128.0,1133.95,1096.35,1107.55,46768.0,
2016-12-12,1107.6,1118.0,1093.0,1096.75,32624.0,
2016-12-13,1101.2,1109.0,1069.0,1077.2,57950.0,
2016-12-14,1077.0,1090.0,1059.2,1062.55,33500.0,
2016-12-15,1060.0,1074.95,1030.0,1059.95,56083.0,
2016-12-16,1061.0,1094.7,1034.6,1088.15,88264.0,
2016-12-19,1096.0,1096.0,1041.0,1049.75,46897.0,
2016-12-20,1050.0,1062.0,1015.15,1027.85,78765.0,
2016-12-21,1033.0,1050.0,1023.35,1029.05,49469.0,
2016-12-22,1027.0,1058.9,1021.0,1043.45,28868.0,
2016-12-23,1043.5,1047.95,1011.55,1021.35,35379.0,
2016-12-26,1020.0,1030.4,1010.0,1015.0,22058.0,
2016-12-27,1021.0,1037.45,1016.05,1031.55,29943.0,
2016-12-28,1047.7,1064.0,1030.25,1050.05,27989.0,
2016-12-29,1052.65,1070.0,1035.05,1066.9,28433.0,
2016-12-30,1070.0,1087.6,1062.0,1070.95,31604.0,
2017-01-02,1074.95,1090.0,1066.8,1088.65,23365.0,
2017-01-03,1091.0,1096.4,1068.0,1072.2,29856.0,
2017-01-04,1075.05,1111.55,1074.0,1087.15,32472.0,
2017-01-05,1099.0,1110.0,1088.0,1103.5,114438.0,
2017-01-06,1110.0,1136.6,1110.0,1115.8,80469.0,
2017-01-09,1120.0,1120.95,1108.65,1117.15,129989.0,
2017-01-10,1119.5,1125.0,1097.0,1107.6,79526.0,
2017-01-11,1090.3,1111.0,1090.3,1103.5,20610.0,
2017-01-12,1105.0,1110.15,1090.0,1093.3,17965.0,
2017-01-13,1095.2,1102.0,1091.25,1093.15,7448.0,
2017-01-16,1091.35,1108.5,1085.0,1097.55,7281.0,
2017-01-17,1105.0,1105.05,1091.0,1094.95,7130.0,
2017-01-18,1103.95,1104.9,1083.6,1090.25,12119.0,
2017-01-19,1094.0,1099.0,1085.15,1091.9,8056.0,
2017-01-20,1091.0,1104.0,1070.15,1087.15,415838.0,
2017-01-23,1088.0,1102.05,1078.05,1097.0,10183.0,
2017-01-24,1104.4,1112.0,1095.0,1108.6,25242.0,
2017-01-25,1115.25,1115.25,1096.0,1104.35,27532.0,
2017-01-27,1097.0,1105.8,1090.3,1103.9,9524.0,
