,Open,High,Low,Close,Volume,DeliveryPct
2018-04-09,61.6,73.9,57.25,71.65,67619635.0,
2018-04-10,69.85,71.5,65.4,66.85,15217104.0,
2018-04-11,67.25,69.7,66.05,66.95,9094509.0,
2018-04-12,67.1,67.7,65.1,66.4,2408408.0,
2018-04-13,66.7,68.2,66.5,67.7,2406014.0,
2018-04-16,66.9,68.1,66.0,67.25,2128485.0,
2018-04-17,67.6,70.2,66.85,68.5,4825528.0,
2018-04-18,69.0,71.7,65.9,68.05,6054807.0,
2018-04-19,69.2,72.7,68.5,71.85,3326199.0,
2018-04-20,72.5,85.5,72.1,83.7,18742753.0,
2018-04-23,83.0,90.9,80.4,83.95,17221425.0,
2018-04-24,84.5,86.7,80.55,81.65,4452462.0,
2018-04-25,81.7,82.0,74.4,75.65,4514470.0,
2018-04-26,75.5,75.65,70.25,73.1,5474867.0,
2018-04-27,73.0,76.9,72.2,75.35,3916156.0,
2018-04-30,75.5,76.9,73.8,75.55,1401796.0,
2018-05-02,75.8,80.8,75.2,78.4,3896698.0,
2018-05-03,80.0,80.4,76.5,79.0,2774372.0,
2018-05-04,78.65,79.55,76.6,77.2,1027937.0,
2018-05-07,77.2,77.45,70.3,73.2,2951116.0,
2018-05-08,73.6,74.95,72.35,72.9,2464144.0,
2018-05-09,73.05,74.6,72.0,72.4,2289495.0,
2018-05-10,72.85,73.4,71.1,71.55,1916462.0,
2018-05-11,71.95,71.95,68.2,69.3,1544306.0,
2018-05-14,69.45,71.7,66.2,68.1,2301609.0,
2018-05-15,68.45,68.8,66.0,66.75,1411571.0,
2018-05-16,66.5,66.8,63.0,65.0,4602647.0,
2018-05-17,65.15,68.65,64.5,65.1,4371369.0,
2018-05-18,65.5,65.75,63.0,63.95,1314524.0,
2018-05-21,63.85,63.85,61.8,63.05,775558.0,
2018-05-22,62.95,68.0,62.55,66.35,1436399.0,
2018-05-23,66.4,68.5,64.1,65.15,782434.0,
2018-05-24,65.2,67.45,64.1,65.4,899280.0,
2018-05-25,66.0,67.4,64.25,65.7,1135981.0,
2018-05-28,68.45,70.0,67.1,69.05,1783592.0,
2018-05-29,69.9,70.9,69.65,70.1,1536212.0,
2018-05-30,70.8,75.75,70.0,72.45,3715096.0,
2018-05-31,73.45,74.7,71.0,72.6,1438929.0,
2018-06-01,72.5,75.0,71.6,72.7,1163627.0,
2018-06-04,75.25,77.4,73.45,75.95,3209752.0,
2018-06-05,75.35,75.35,69.35,70.2,2973410.0,
2018-06-06,70.0,71.5,69.5,70.2,2222313.0,
2018-06-07,70.8,73.5,70.55,71.35,1917055.0,
2018-06-08,71.0,71.35,69.9,70.1,1723456.0,
2018-06-11,70.7,72.0,70.5,71.2,749228.0,
2018-06-12,71.45,78.25,70.8,76.5,4730394.0,
2018-06-13,76.0,76.5,74.5,75.15,1108764.0,
2018-06-14,74.8,75.8,73.5,75.3,784144.0,
2018-06-15,74.25,75.9,73.85,75.5,722753.0,
2018-06-18,75.0,77.0,74.7,76.3,1033699.0,
2018-06-19,75.35,77.4,74.95,76.45,712324.0,
2018-06-20,76.8,77.8,73.7,74.15,1624077.0,
2018-06-21,74.35,75.5,73.1,74.95,501222.0,
2018-06-22,74.6,76.0,73.8,75.25,402803.0,
2018-06-25,74.3,75.6,72.3,73.45,341342.0,
2018-06-26,73.0,73.95,71.8,73.05,347334.0,
2018-06-27,72.65,73.95,70.0,72.75,615039.0,
2018-06-28,73.5,74.8,73.0,74.1,765093.0,
2018-06-29,74.35,77.2,74.35,76.85,1434309.0,
2018-07-02,76.9,77.2,73.75,74.15,397673.0,
2018-07-03,73.85,74.35,72.65,72.95,358312.0,
2018-07-04,72.95,74.4,71.8,72.65,730881.0,
2018-07-05,72.45,73.55,71.6,72.05,249308.0,
2018-07-06,71.8,73.75,71.3,72.75,316737.0,
2018-07-09,73.0,73.75,72.4,72.85,153710.0,
2018-07-10,73.35,75.8,73.0,74.8,654263.0,
2018-07-11,74.6,79.9,74.6,77.65,3235521.0,
2018-07-12,78.15,80.5,77.8,78.8,1942177.0,
2018-07-13,79.5,79.8,74.5,75.55,833505.0,
2018-07-16,75.05,76.0,72.45,73.75,620634.0,
2018-07-17,74.35,75.25,73.5,74.2,418992.0,
2018-07-18,74.8,75.2,72.75,74.0,1479785.0,
2018-07-19,74.1,74.5,73.05,73.9,201717.0,
2018-07-20,74.6,75.45,73.2,74.9,301490.0,
2018-07-23,76.0,78.5,75.3,77.65,898533.0,
2018-07-24,77.65,78.45,76.3,76.7,341120.0,
2018-07-25,76.7,78.55,76.0,77.6,431358.0,
2018-07-26,77.6,83.85,77.15,81.75,1660530.0,
2018-07-27,82.95,84.6,80.9,81.9,969417.0,
2018-07-30,81.95,82.35,78.5,79.6,785646.0,
2018-07-31,79.65,79.65,77.6,78.0,768527.0,
2018-08-01,77.8,79.0,76.0,76.3,422485.0,
