,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,553.0,554.0,543.95,550.6,875532.0,
2016-08-23,549.9,553.75,544.8,551.9,1287983.0,
2016-08-24,552.5,557.8,551.1,555.1,2907273.0,
2016-08-25,555.65,567.0,555.1,557.4,1959482.0,
2016-08-26,559.0,579.65,558.5,577.85,3495177.0,
2016-08-29,579.85,579.85,566.5,571.75,1447720.0,
2016-08-30,574.0,582.15,571.6,572.75,1157107.0,
2016-08-31,575.15,580.4,568.5,573.05,2082122.0,
2016-09-01,573.0,578.75,570.0,572.55,1108620.0,
2016-09-02,572.55,583.55,572.55,574.95,1824794.0,
2016-09-06,577.25,594.5,576.0,593.25,2227954.0,
2016-09-07,593.95,594.95,582.7,588.45,1597410.0,
2016-09-08,585.2,588.0,580.55,583.35,1174755.0,
2016-09-09,582.0,586.95,575.1,583.15,1576689.0,
2016-09-12,574.5,574.5,553.3,560.35,1653557.0,
2016-09-14,563.95,574.9,560.6,571.85,1602058.0,
2016-09-15,575.0,575.0,563.1,564.5,1451590.0,
2016-09-16,568.8,582.0,566.3,571.05,2209945.0,
2016-09-19,574.0,577.8,568.55,574.35,1013963.0,
2016-09-20,570.05,575.0,563.7,567.35,1188427.0,
2016-09-21,571.85,574.65,567.7,570.65,938805.0,
2016-09-22,580.0,585.4,575.45,583.45,1145274.0,
2016-09-23,579.0,583.15,571.4,573.15,1136631.0,
2016-09-26,574.9,574.9,562.1,568.3,965280.0,
2016-09-27,573.9,573.9,564.25,571.0,877179.0,
2016-09-28,572.8,590.0,570.0,588.35,1291584.0,
2016-09-29,592.0,592.05,532.8,563.6,4014725.0,
2016-09-30,564.9,581.0,557.2,578.8,1445130.0,
2016-10-03,585.0,599.0,578.1,593.1,1639394.0,
2016-10-04,598.0,603.8,584.35,597.75,2120226.0,
2016-10-05,604.45,607.9,589.0,591.85,1893526.0,
2016-10-06,596.8,602.0,582.1,587.9,1411775.0,
2016-10-07,594.3,603.65,586.7,601.9,1493762.0,
2016-10-10,605.0,605.0,591.55,592.85,983342.0,
2016-10-13,592.0,593.5,578.15,584.25,1484059.0,
2016-10-14,586.7,588.1,577.0,585.65,1346992.0,
2016-10-17,589.0,593.65,576.05,577.6,1500956.0,
2016-10-18,582.8,614.55,580.1,612.95,3810269.0,
2016-10-19,615.0,619.8,605.6,615.65,3267041.0,
2016-10-20,617.25,624.25,606.15,608.95,4823547.0,
2016-10-21,610.5,612.0,595.25,599.5,2830895.0,
2016-10-24,604.1,612.85,601.1,602.8,2053848.0,
2016-10-25,603.0,605.0,595.5,597.85,1460675.0,
2016-10-26,595.9,595.9,584.0,586.0,1790309.0,
2016-10-27,584.0,589.5,581.65,585.75,2115815.0,
2016-10-28,582.5,588.35,581.25,582.75,2111164.0,
2016-11-01,586.0,592.9,584.0,589.05,1617446.0,
2016-11-02,581.0,581.0,568.4,573.2,1953437.0,
2016-11-03,573.0,573.0,548.35,550.25,2662737.0,
2016-11-04,550.5,551.65,527.45,532.6,5565371.0,
2016-11-07,544.9,551.0,539.05,542.55,3133740.0,
2016-11-08,544.0,550.65,539.45,549.0,2286826.0,
2016-11-09,500.0,534.7,467.85,525.7,8405778.0,
2016-11-10,535.0,563.5,535.0,552.1,4203893.0,
2016-11-11,536.1,544.5,517.35,520.3,4897948.0,
2016-11-15,520.45,520.9,475.5,479.75,6308539.0,
2016-11-16,488.0,524.75,483.75,512.5,5836917.0,
2016-11-17,516.3,523.75,503.4,506.45,3522972.0,
2016-11-18,506.0,522.8,506.0,518.4,2063285.0,
2016-11-21,521.0,522.65,495.6,500.9,2839679.0,
2016-11-22,502.5,520.85,502.5,518.3,3209495.0,
2016-11-23,525.0,528.4,520.0,525.85,2620284.0,
2016-11-24,526.0,529.2,515.55,520.05,3847561.0,
2016-11-25,523.95,537.6,520.35,535.3,1666452.0,
2016-11-28,531.1,546.65,530.55,540.25,1781683.0,
2016-11-29,542.0,550.75,540.35,544.55,1784073.0,
2016-11-30,547.3,568.6,546.1,564.4,3685252.0,
2016-12-01,567.1,575.9,566.1,571.05,3645452.0,
2016-12-02,566.3,567.05,547.7,555.8,2979349.0,
2016-12-05,558.0,569.4,552.1,564.95,1755616.0,
2016-12-06,566.6,567.75,559.0,561.4,1328171.0,
2016-12-07,566.5,566.95,549.6,553.3,1969220.0,
2016-12-08,559.4,572.65,558.1,568.3,1471229.0,
2016-12-09,568.55,572.75,566.25,570.2,1015359.0,
2016-12-12,571.2,572.0,560.8,565.95,875398.0,
2016-12-13,566.65,569.95,550.3,552.0,1711580.0,
2016-12-14,554.0,556.0,546.0,548.25,1288498.0,
2016-12-15,540.2,558.4,540.2,556.45,1577006.0,
2016-12-16,558.0,558.0,547.5,551.6,1679464.0,
2016-12-19,549.9,554.3,545.35,548.25,758588.0,
2016-12-20,549.0,551.15,540.4,546.0,991998.0,
2016-12-21,548.05,548.7,542.25,543.25,1048319.0,
2016-12-22,542.0,543.0,534.75,539.7,882449.0,
2016-12-23,537.7,546.45,533.0,541.8,1065094.0,
2016-12-26,542.0,542.3,530.45,536.35,1191300.0,
2016-12-27,537.45,541.8,533.75,538.85,1231824.0,
2016-12-28,544.0,554.4,541.0,548.1,1327585.0,
2016-12-29,549.0,559.8,545.4,556.6,1302910.0,
2016-12-30,559.75,565.95,556.8,559.7,892551.0,
2017-01-02,560.2,562.05,526.1,530.1,5617319.0,
2017-01-03,525.0,533.9,518.5,531.3,5211185.0,
2017-01-04,535.0,535.0,515.85,516.95,4106970.0,
2017-01-05,519.05,525.8,516.8,523.1,2396011.0,
2017-01-06,524.5,530.7,522.05,524.6,1736549.0,
2017-01-09,526.0,530.75,522.95,524.4,1934745.0,
2017-01-10,525.9,527.1,518.6,521.55,2355798.0,
2017-01-11,524.2,533.85,523.05,532.85,4172550.0,
2017-01-12,535.35,537.0,523.3,525.6,4378207.0,
2017-01-13,528.95,534.2,522.0,530.55,3315463.0,
2017-01-16,531.15,543.8,530.65,541.05,6422541.0,
2017-01-17,545.35,548.6,529.05,531.9,6961054.0,
2017-01-18,531.9,538.0,527.3,529.55,2775143.0,
2017-01-19,531.7,532.5,525.0,525.95,2728068.0,
2017-01-20,526.0,530.55,515.0,517.1,2526444.0,
2017-01-23,516.0,526.55,513.05,525.7,2079475.0,
2017-01-24,528.5,528.85,523.3,526.35,1297763.0,
2017-01-25,529.5,548.0,528.0,546.1,4476861.0,
2017-01-27,548.0,563.0,546.1,557.75,4817483.0,
2017-01-30,557.45,563.0,549.1,559.5,1459648.0,
2017-01-31,561.75,568.5,551.1,553.55,2512937.0,
2017-02-01,557.0,572.7,556.15,570.8,4237589.0,
2017-02-02,572.9,573.55,557.55,559.95,2658513.0,
2017-02-03,560.1,564.95,555.85,558.95,2225919.0,
2017-02-06,561.7,563.95,553.4,561.0,1668819.0,
2017-02-07,561.0,561.05,551.25,555.0,1721999.0,
2017-02-08,557.0,560.7,550.0,554.95,2388126.0,
2017-02-09,555.0,561.0,551.1,557.9,1082539.0,
2017-02-10,561.0,563.75,552.0,554.1,1421006.0,
2017-02-13,556.1,559.85,550.0,555.15,1240832.0,
2017-02-14,556.0,556.05,543.15,546.05,1700782.0,
2017-02-15,546.05,552.0,538.1,548.45,2578918.0,
2017-02-16,550.3,553.65,544.5,549.15,2131395.0,
2017-02-17,550.5,561.85,549.2,556.5,2476338.0,
2017-02-20,556.5,562.4,553.5,559.25,1055793.0,
2017-02-21,559.0,562.4,552.55,557.05,1952689.0,
2017-02-22,558.5,563.0,554.6,559.5,1788013.0,
2017-02-23,562.3,568.95,562.2,565.7,5321498.0,
2017-02-27,568.0,569.2,564.15,565.55,1373054.0,
2017-02-28,568.0,568.45,559.55,560.8,1346522.0,
2017-03-01,563.0,567.0,560.0,561.1,904161.0,
2017-03-02,564.0,567.3,550.7,552.7,1384310.0,
2017-03-03,552.5,556.0,550.3,554.9,1265870.0,
2017-03-06,557.0,568.45,555.15,566.5,1608785.0,
2017-03-07,568.5,573.0,564.45,568.9,1934760.0,
2017-03-08,570.3,579.0,565.1,569.45,3174652.0,
2017-03-09,567.2,570.5,565.45,567.5,896713.0,
2017-03-10,569.3,570.5,560.45,565.5,1348396.0,
2017-03-14,574.9,581.9,567.3,580.2,2442220.0,
2017-03-15,582.05,590.0,582.05,587.0,2598840.0,
2017-03-16,590.0,594.0,589.5,592.9,1954626.0,
2017-03-17,594.65,594.65,584.6,585.4,1832848.0,
2017-03-20,588.4,592.5,581.45,590.7,893945.0,
2017-03-21,591.6,593.1,582.2,589.25,1103048.0,
2017-03-22,584.0,588.4,578.9,585.35,1356376.0,
2017-03-23,587.0,601.0,586.0,599.45,1729437.0,
2017-03-24,600.5,606.0,599.3,601.7,1599421.0,
2017-03-27,601.2,609.75,595.4,607.9,1584959.0,
2017-03-28,609.5,615.6,605.4,614.55,1558378.0,
2017-03-29,615.0,617.9,611.2,615.6,1191286.0,
2017-03-30,615.5,629.0,615.0,622.4,2173428.0,
2017-03-31,623.0,625.7,616.4,618.45,1120717.0,
2017-04-03,619.0,626.5,617.5,624.95,1054059.0,
2017-04-05,625.7,628.8,620.4,625.5,1661921.0,
2017-04-06,622.9,626.95,620.85,624.8,1063438.0,
2017-04-07,621.0,631.55,619.25,625.25,1022006.0,
2017-04-10,626.0,633.55,624.15,627.95,947529.0,
2017-04-11,628.0,629.45,621.75,623.95,981845.0,
2017-04-12,621.0,631.0,620.0,629.6,1566487.0,
2017-04-13,630.0,635.25,624.2,632.25,1107319.0,
2017-04-17,632.0,640.8,628.25,637.45,651774.0,
2017-04-18,640.45,650.45,639.4,642.95,1841277.0,
2017-04-19,642.95,645.5,632.95,643.45,696980.0,
2017-04-20,645.0,646.95,638.5,642.4,726760.0,
2017-04-21,644.0,646.8,637.85,643.7,818834.0,
2017-04-24,643.5,660.2,640.25,658.0,1086616.0,
2017-04-25,665.0,681.25,663.0,674.35,2401433.0,
2017-04-26,687.8,687.8,664.15,675.9,3040443.0,
2017-04-27,676.5,676.5,665.65,670.25,1442317.0,
2017-04-28,669.8,674.0,667.45,668.9,1171723.0,
2017-05-02,668.85,711.45,665.1,705.45,3765671.0,
2017-05-03,703.25,714.8,700.1,707.55,2231766.0,
2017-05-04,704.95,718.0,704.05,716.4,1296627.0,
2017-05-05,715.0,727.5,711.25,720.9,1441825.0,
2017-05-08,723.7,724.0,701.0,703.8,1404312.0,
2017-05-09,705.0,705.0,681.0,682.75,2591402.0,
2017-05-10,682.9,698.5,682.9,697.35,1619719.0,
2017-05-11,697.35,706.45,689.15,690.15,981371.0,
2017-05-12,691.0,698.45,677.0,683.05,847669.0,
2017-05-15,685.0,687.35,678.65,684.5,659643.0,
2017-05-16,686.0,698.35,682.3,694.8,862363.0,
2017-05-17,696.0,696.0,687.2,690.35,1260327.0,
2017-05-18,683.5,687.8,671.7,675.15,1143626.0,
2017-05-19,677.05,690.8,675.0,683.5,2373251.0,
2017-05-22,688.9,689.9,674.75,676.25,760868.0,
2017-05-23,676.35,678.95,662.95,670.5,1702103.0,
2017-05-24,670.95,676.55,667.85,673.15,1029672.0,
2017-05-25,673.4,691.9,671.05,687.25,2101524.0,
2017-05-26,686.0,708.8,685.8,704.95,1656670.0,
2017-05-29,706.0,713.35,700.1,703.4,1008082.0,
2017-05-30,698.55,714.2,695.65,711.85,907939.0,
2017-05-31,715.0,738.7,713.25,734.1,3250001.0,
2017-06-01,733.9,740.85,732.0,738.75,2138407.0,
2017-06-02,742.0,743.15,730.5,732.2,760194.0,
2017-06-05,731.5,741.3,723.1,738.5,1689341.0,
2017-06-06,740.0,741.5,732.5,738.85,957516.0,
2017-06-07,740.4,745.0,732.0,739.2,1398165.0,
2017-06-08,745.0,749.9,740.3,742.85,986634.0,
2017-06-09,741.9,762.05,736.8,760.1,1415374.0,
2017-06-12,758.7,765.3,753.7,757.65,1983515.0,
2017-06-13,759.6,784.7,759.05,781.2,3548867.0,
2017-06-14,783.0,783.0,768.35,773.3,1723048.0,
2017-06-15,772.15,780.2,768.75,776.6,1122314.0,
2017-06-16,779.9,784.85,773.9,779.55,2474575.0,
2017-06-19,781.4,782.6,770.5,773.75,710867.0,
2017-06-20,777.0,794.0,770.2,775.05,1792933.0,
2017-06-21,774.8,777.3,768.15,772.75,797527.0,
2017-06-22,773.0,777.95,766.0,770.05,804720.0,
2017-06-23,771.7,774.85,746.4,753.6,1259535.0,
