,Open,High,Low,Close,Volume,DeliveryPct
2022-05-17,872.0,918.95,860.0,875.25,48792877.0,39.18
2022-05-18,885.55,891.0,874.1,876.35,8919761.0,29.94
2022-05-19,867.0,867.0,838.0,840.85,7372427.0,39.92
2022-05-20,848.55,856.8,825.0,826.15,7078291.0,30.07
2022-05-23,826.15,852.7,803.65,816.85,12444648.0,16.23
2022-05-24,818.0,834.7,816.85,823.1,4287864.0,22.86
2022-05-25,831.5,841.45,814.25,820.3,4013031.0,29.21
2022-05-26,820.3,824.8,801.0,811.65,2796468.0,30.79
2022-05-27,818.55,824.65,814.35,821.6,2215807.0,29.92
2022-05-30,829.9,841.4,825.3,837.75,3133717.0,34.22
2022-05-31,810.0,822.0,810.0,811.3,4373090.0,38.49
2022-06-01,811.4,817.45,808.5,810.4,1670031.0,37.89
2022-06-02,809.95,813.8,804.0,805.7,1565763.0,44.43
2022-06-03,808.65,810.75,800.0,800.25,2052785.0,40.6
2022-06-06,800.25,801.7,775.1,777.35,3033514.0,43.63
2022-06-07,772.9,772.9,751.8,753.0,3774512.0,38.01
2022-06-08,752.9,752.9,736.1,738.05,4103499.0,29.79
2022-06-09,729.9,736.0,720.1,721.7,3729113.0,30.89
2022-06-10,713.0,719.75,708.05,709.7,3464178.0,31.16
2022-06-13,690.9,690.9,667.0,668.25,7781730.0,39.84
2022-06-14,664.1,684.0,663.0,674.3,5348769.0,27.58
2022-06-15,681.0,709.7,679.1,690.15,9204318.0,16.66
2022-06-16,703.45,706.0,667.0,669.35,4049782.0,29.76
2022-06-17,669.1,669.35,651.0,654.55,4043000.0,33.52
2022-06-20,660.45,666.7,650.0,661.4,3522551.0,32.47
2022-06-21,667.0,671.4,663.0,665.2,2355354.0,41.65
2022-06-22,666.0,684.9,664.1,668.6,3472810.0,19.5
2022-06-23,670.2,674.7,658.6,665.15,1798979.0,28.62
2022-06-24,669.3,673.55,659.1,661.65,1743400.0,36.33
2022-06-27,670.0,670.0,661.7,664.8,1405766.0,36.97
2022-06-28,663.25,664.8,659.0,663.35,1004747.0,38.69
2022-06-29,660.1,696.85,657.8,678.5,4653282.0,25.05
2022-06-30,678.5,683.7,671.0,673.9,1681412.0,40.97
2022-07-01,675.0,679.95,669.0,676.65,1330472.0,40.94
2022-07-04,678.0,694.0,678.0,692.3,1832039.0,38.33
2022-07-05,698.0,712.9,697.0,702.65,3662593.0,32.11
2022-07-06,707.0,713.6,701.5,702.95,1253320.0,31.64
2022-07-07,708.0,714.7,696.0,698.05,1843219.0,30.4
2022-07-08,701.25,710.8,701.25,708.1,2152750.0,60.73
2022-07-11,707.95,721.9,704.35,718.2,1638255.0,37.2
2022-07-12,718.7,724.4,714.35,717.6,1355821.0,42.32
2022-07-13,719.9,723.9,715.45,718.85,887093.0,40.23
2022-07-14,720.1,721.25,709.0,712.3,874964.0,47.59
2022-07-15,719.45,721.25,705.05,708.5,999239.0,38.98
2022-07-18,710.0,713.65,693.0,696.5,1620545.0,51.6
2022-07-19,697.0,699.0,688.0,688.85,1592940.0,48.99
2022-07-20,694.3,696.75,686.75,687.7,1377738.0,49.38
2022-07-21,688.0,693.0,687.05,687.55,799923.0,41.94
2022-07-22,689.05,694.3,687.7,688.65,948078.0,37.83
2022-07-25,688.0,690.0,682.0,683.95,671602.0,52.88
2022-07-26,684.0,684.8,675.0,675.35,662692.0,51.64
2022-07-27,675.0,679.6,672.9,674.35,690747.0,45.3
2022-07-28,677.0,679.25,674.0,674.9,741896.0,60.84
2022-07-29,676.15,683.8,675.0,677.8,1519288.0,55.58
2022-08-01,680.0,685.6,678.4,682.9,949173.0,50.19
2022-08-02,682.4,688.95,680.2,685.5,1061968.0,48.17
2022-08-03,685.0,688.0,677.0,678.3,951585.0,51.33
2022-08-04,682.0,683.45,670.7,673.7,1036357.0,51.09
2022-08-05,675.0,694.95,674.1,687.35,3867024.0,49.46
2022-08-10,682.5,687.95,680.75,682.6,1133206.0,41.72
2022-08-11,685.45,689.8,681.3,682.65,1055646.0,46.0
2022-08-12,683.25,687.1,681.05,682.4,867471.0,56.78
2022-08-15,683.25,687.1,681.05,682.4,867471.0,56.78
2022-08-16,693.0,706.6,691.3,697.65,4029367.0,32.67
