,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,386.1,392.0,383.5,385.45,4994.0,
2016-08-23,385.45,398.95,378.0,385.55,15104.0,
2016-08-24,385.0,396.25,378.6,389.25,21117.0,
2016-08-25,390.15,395.0,381.7,392.0,31268.0,
2016-08-26,388.15,388.15,380.1,381.7,8283.0,
2016-08-29,381.7,389.0,378.1,385.35,15888.0,
2016-08-30,390.0,398.5,380.25,396.0,38546.0,
2016-08-31,390.8,391.5,386.0,387.05,3218.0,
2016-09-01,385.0,389.9,382.0,382.5,4114.0,
2016-09-02,382.3,387.8,380.05,382.15,1944.0,
2016-09-06,383.6,404.85,379.1,400.35,35442.0,
2016-09-07,401.0,407.0,392.0,400.25,8728.0,
2016-09-08,400.0,401.0,392.2,394.35,2336.0,
2016-09-09,390.15,390.15,382.4,385.1,3555.0,
2016-09-12,380.0,386.3,371.2,379.35,21994.0,
2016-09-14,381.95,382.0,370.1,375.35,11164.0,
2016-09-15,377.0,385.85,372.0,381.2,11750.0,
2016-09-16,385.15,389.9,375.0,381.15,10303.0,
2016-09-19,373.55,379.0,372.05,373.7,6781.0,
2016-09-20,372.1,380.9,371.05,374.8,6261.0,
2016-09-21,374.25,383.0,370.9,374.25,4464.0,
2016-09-22,373.35,377.25,370.8,372.5,5216.0,
2016-09-23,372.05,374.6,366.15,368.15,5438.0,
2016-09-26,370.2,374.95,356.7,371.3,25215.0,
2016-09-27,371.0,372.0,367.1,369.85,2006.0,
2016-09-28,362.1,378.9,362.1,376.25,6389.0,
2016-09-29,376.2,376.25,344.1,361.95,20021.0,
2016-09-30,345.0,375.0,345.0,370.8,12195.0,
2016-10-03,371.0,377.85,365.15,369.3,48753.0,
2016-10-04,369.3,369.9,354.1,368.05,33902.0,
2016-10-05,367.4,375.9,362.1,365.15,13576.0,
2016-10-06,362.15,369.0,362.15,366.55,5430.0,
2016-10-07,365.1,370.0,362.1,368.05,33979.0,
2016-10-10,368.2,368.25,364.0,365.2,1134.0,
2016-10-13,362.5,365.0,355.05,364.8,10226.0,
2016-10-14,369.85,369.85,358.3,365.05,15258.0,
2016-10-17,361.8,368.5,355.25,364.9,30736.0,
2016-10-18,360.85,366.0,360.05,364.95,41942.0,
2016-10-19,364.95,365.0,360.2,363.0,5381.0,
