,Open,High,Low,Close,Volume,DeliveryPct
2023-07-17,554.0,582.7,550.5,563.3,417232.0,69.68
2023-07-18,573.9,573.9,531.0,544.3,284708.0,64.14
2023-07-19,564.7,572.0,541.25,566.25,208966.0,57.48
2023-07-20,572.7,572.7,557.0,564.05,108284.0,61.59
2023-07-21,564.5,564.5,550.05,558.7,189224.0,58.26
2023-07-24,567.0,580.0,560.05,575.1,6245467.0,85.84
2023-07-25,578.0,584.7,560.75,574.9,1710743.0,52.77
2023-07-26,572.0,579.7,572.0,574.5,439499.0,79.66
2023-07-27,580.0,580.0,574.0,575.5,374132.0,82.96
2023-07-28,578.0,599.0,573.0,596.9,553490.0,68.58
2023-07-31,599.75,632.2,599.5,629.05,716078.0,59.08
2023-08-01,636.0,652.0,612.85,647.6,758470.0,44.92
2023-08-02,648.7,650.0,599.7,621.5,647800.0,56.57
2023-08-03,628.0,639.8,609.0,635.45,385344.0,54.38
2023-08-04,643.4,646.15,631.75,641.5,195597.0,63.84
2023-08-07,644.85,683.0,634.8,651.6,805742.0,59.12
2023-08-08,644.35,678.0,627.55,667.3,710071.0,45.25
2023-08-09,681.7,686.7,655.2,659.3,366373.0,50.36
2023-08-10,655.0,669.95,580.3,619.1,765173.0,59.99
2023-08-11,621.4,629.0,597.05,625.6,350860.0,50.41
2023-08-14,625.0,625.0,597.5,602.5,278336.0,65.4
2023-08-15,625.0,625.0,597.5,602.5,278336.0,65.4
2023-08-16,618.8,618.8,590.1,595.35,136791.0,53.55
2023-08-17,595.35,596.15,560.0,568.5,531748.0,57.69
2023-08-18,571.0,592.35,560.55,570.4,313662.0,63.99
2023-08-21,584.0,589.0,523.25,530.4,524212.0,63.77
2023-08-22,529.1,549.5,498.05,537.7,1031761.0,41.34
2023-08-23,543.0,573.95,543.0,561.9,369198.0,58.53
2023-08-24,567.2,578.0,549.5,551.9,201980.0,60.62
2023-08-25,552.95,558.3,537.0,550.15,213461.0,54.55
2023-08-28,557.0,557.7,527.35,541.8,246182.0,60.76
2023-08-29,541.0,550.0,533.1,541.8,161456.0,51.16
2023-08-30,539.05,547.75,535.0,540.05,163498.0,64.06
2023-08-31,540.0,548.0,535.5,536.9,79591.0,59.96
2023-09-01,536.9,556.0,536.0,548.35,174756.0,53.32
2023-09-04,560.0,570.3,543.55,561.15,164871.0,58.96
2023-09-05,563.0,573.6,557.7,564.25,127115.0,57.42
2023-09-06,565.0,569.95,560.55,565.8,141611.0,75.29
2023-09-07,569.0,569.7,556.55,559.65,128778.0,79.05
2023-09-08,560.0,564.8,550.2,555.25,118983.0,77.55
2023-09-11,555.9,590.0,554.3,584.25,335546.0,63.42
2023-09-12,584.9,595.05,556.55,567.2,235340.0,61.53
2023-09-13,568.1,579.0,537.4,575.75,230181.0,63.71
2023-09-14,570.1,587.0,570.1,575.4,106319.0,70.06
2023-09-15,579.35,583.95,556.65,572.95,264812.0,70.81
2023-09-18,562.95,572.3,559.75,561.7,77516.0,64.74
2023-09-19,562.95,572.3,559.75,561.7,77516.0,64.74
2023-09-20,551.1,565.7,547.3,553.15,80062.0,61.77
2023-09-21,554.9,562.2,544.0,548.2,74635.0,53.0
2023-09-22,548.2,550.7,532.55,536.25,128493.0,70.07
2023-09-25,540.9,542.0,526.7,530.45,99577.0,62.38
2023-09-26,532.9,540.5,529.35,534.6,61708.0,65.86
2023-09-27,531.1,540.0,530.0,535.75,45514.0,72.17
2023-09-28,542.0,542.0,530.05,536.0,73834.0,67.35
2023-09-29,527.0,542.0,527.0,536.1,68600.0,69.33
2023-10-02,527.0,542.0,527.0,536.1,68600.0,69.33
2023-10-03,558.0,558.0,536.0,549.9,214579.0,70.82
2023-10-04,554.0,565.0,540.3,550.5,2185590.0,94.47
2023-10-05,558.0,565.5,546.0,550.25,154983.0,68.82
2023-10-06,551.05,567.0,551.05,564.25,163189.0,73.81
2023-10-09,555.0,563.7,547.3,550.4,187916.0,70.14
2023-10-10,547.0,583.4,543.0,579.55,292799.0,68.41
2023-10-11,581.0,597.1,576.5,594.15,316475.0,66.07
2023-10-12,599.0,613.0,592.0,602.8,421816.0,63.73
2023-10-13,598.9,605.35,591.0,593.2,224880.0,75.21
2023-10-16,603.8,603.8,574.25,577.1,130303.0,66.61
2023-10-17,602.0,602.0,565.7,571.4,121684.0,58.26
2023-10-18,572.05,579.8,560.0,565.45,93437.0,63.47
2023-10-19,568.9,572.0,560.4,566.1,85627.0,57.83
2023-10-20,570.9,575.0,554.0,555.5,91989.0,62.15
2023-10-23,564.0,564.0,514.3,518.35,542161.0,58.07
2023-10-24,564.0,564.0,514.3,518.35,542161.0,58.07
2023-10-25,501.05,531.7,500.0,516.45,585161.0,67.38
2023-10-26,516.45,523.7,514.0,515.45,353866.0,65.84
2023-10-27,517.9,535.75,516.0,527.8,141223.0,54.33
2023-10-30,525.05,531.5,516.25,518.7,101159.0,65.71
2023-10-31,516.25,526.5,515.0,515.45,105397.0,61.3
2023-11-01,511.0,528.0,510.0,522.15,92327.0,62.1
2023-11-02,527.9,533.65,521.0,523.6,129204.0,58.45
2023-11-03,528.05,536.5,526.8,529.85,152010.0,70.65
2023-11-06,529.85,549.5,492.0,539.55,172683.0,57.78
2023-11-07,540.0,540.25,530.1,533.65,56489.0,52.81
2023-11-08,536.9,539.9,530.1,530.65,50360.0,57.61
2023-11-09,525.3,537.0,522.25,532.9,70437.0,53.67
2023-11-10,533.0,539.9,518.45,521.8,164701.0,66.93
2023-11-13,528.0,536.0,521.25,524.05,95701.0,62.73
2023-11-14,528.0,536.0,521.25,524.05,95701.0,62.73
2023-11-15,529.4,549.9,517.85,543.85,174830.0,55.0
2023-11-16,544.0,564.7,542.6,557.1,163878.0,46.46
2023-11-17,558.05,573.45,552.85,567.35,226974.0,59.37
2023-11-20,577.8,578.95,557.0,563.45,120202.0,50.92
2023-11-21,563.5,574.8,563.5,572.0,133757.0,60.24
2023-11-22,571.05,577.8,565.0,568.55,163056.0,53.81
2023-11-23,570.9,573.1,545.0,549.4,114346.0,58.17
2023-11-24,553.7,554.1,536.05,539.05,97645.0,52.92
2023-11-27,553.7,554.1,536.05,539.05,97645.0,52.92
2023-11-28,540.8,545.4,520.0,523.7,169223.0,57.99
2023-11-29,525.0,536.85,523.7,525.9,173957.0,59.01
2023-11-30,526.2,534.0,518.4,524.9,155806.0,54.1
2023-12-01,527.0,537.15,521.45,523.05,76232.0,57.73
2023-12-04,534.4,574.0,530.45,566.3,538272.0,56.89
2023-12-05,570.0,610.0,569.0,602.4,906955.0,48.14
2023-12-06,606.15,611.0,583.5,589.65,416187.0,48.02
2023-12-07,593.0,609.9,585.05,603.4,313916.0,44.32
2023-12-08,612.0,623.5,603.0,612.45,390444.0,54.82
2023-12-11,635.05,656.0,618.05,624.9,812150.0,35.19
2023-12-12,630.4,632.95,607.0,609.8,206135.0,51.47
2023-12-13,618.0,619.0,603.3,613.6,182466.0,52.95
2023-12-14,617.0,627.95,604.0,608.75,196609.0,55.21
2023-12-15,607.9,620.9,604.15,609.65,278276.0,53.42
2023-12-18,613.8,633.5,607.55,623.5,332509.0,53.41
2023-12-19,633.5,640.05,620.0,627.45,299761.0,52.69
2023-12-20,628.15,634.25,585.05,593.5,346570.0,49.41
2023-12-21,593.0,627.0,583.55,606.95,623060.0,73.28
2023-12-22,608.0,631.95,607.0,616.25,287532.0,50.99
2023-12-25,608.0,631.95,607.0,616.25,287532.0,50.99
2023-12-26,621.7,639.95,615.0,625.65,365093.0,48.55
2023-12-27,625.2,638.05,610.1,615.85,179635.0,56.09
2023-12-28,620.0,620.5,598.8,601.75,222357.0,69.89
2023-12-29,604.8,609.2,593.65,599.8,218340.0,53.31
2024-01-01,601.45,610.1,596.55,603.8,150418.0,45.44
2024-01-02,608.75,617.95,592.2,602.8,383222.0,34.42
2024-01-03,602.0,608.15,595.55,600.8,111882.0,55.93
2024-01-04,604.9,608.35,573.0,588.35,156485.0,62.18
2024-01-05,595.0,604.8,586.1,589.9,329399.0,49.67
2024-01-08,590.5,597.45,573.05,577.65,134014.0,61.83
2024-01-09,583.0,594.3,576.05,580.1,172554.0,57.18
2024-01-10,580.1,585.0,573.15,578.2,126125.0,57.63
2024-01-11,582.0,587.9,573.5,582.75,143451.0,56.85
2024-01-12,580.0,595.0,566.2,580.9,249351.0,57.98
2024-01-15,587.9,592.7,573.2,575.55,205742.0,59.52
2024-01-16,584.2,594.9,578.2,590.45,327805.0,55.78
2024-01-17,587.0,595.95,570.0,577.25,304269.0,55.4
2024-01-18,583.0,587.4,565.0,579.3,204340.0,44.75
2024-01-19,581.9,589.9,578.0,580.25,120187.0,56.11
2024-01-22,586.4,596.0,585.0,592.3,151156.0,57.9
2024-01-23,637.95,637.95,585.05,589.3,828085.0,48.44
2024-01-24,598.0,604.85,581.35,590.0,368241.0,47.25
2024-01-25,590.0,601.0,589.7,596.05,247264.0,54.5
2024-01-26,590.0,601.0,589.7,596.05,247264.0,54.5
2024-01-29,596.05,599.85,574.0,576.45,339779.0,65.2
2024-01-30,583.5,583.55,565.0,566.05,233920.0,60.27
2024-01-31,565.1,582.7,558.3,566.6,319790.0,56.87
2024-02-01,573.8,573.8,554.45,558.45,151562.0,61.94
2024-02-02,561.8,564.95,539.8,543.25,319082.0,53.19
2024-02-05,543.25,575.0,543.25,550.8,272988.0,60.48
2024-02-06,554.6,574.95,546.3,570.5,259337.0,57.78
2024-02-07,574.4,585.35,570.1,571.25,232661.0,47.89
2024-02-08,572.9,582.85,565.0,569.15,132123.0,51.92
2024-02-09,569.0,571.4,546.0,558.9,159238.0,46.04
2024-02-12,562.8,562.9,530.05,547.05,247504.0,59.31
2024-02-13,547.1,549.6,529.5,531.95,171700.0,52.59
2024-02-14,529.85,540.05,525.9,532.25,196187.0,45.67
2024-02-15,535.9,572.15,530.05,558.05,338914.0,39.82
2024-02-16,562.5,570.9,556.5,560.05,273710.0,49.88
2024-02-19,560.95,579.65,557.25,575.8,329592.0,45.46
2024-02-20,580.0,582.95,573.0,575.2,242125.0,69.99
2024-02-21,575.2,601.15,570.05,573.7,727693.0,52.99
2024-02-22,574.9,590.0,562.05,570.7,362984.0,49.69
2024-02-23,573.6,595.0,573.6,591.75,636134.0,56.68
2024-02-26,603.8,606.5,591.95,595.95,377039.0,57.67
2024-02-27,598.0,598.0,577.15,583.25,175433.0,56.82
2024-02-28,584.05,590.0,557.55,564.0,235776.0,54.19
2024-02-29,566.0,598.0,560.35,595.7,406027.0,59.71
2024-03-01,590.0,600.0,578.75,587.0,286886.0,58.09
2024-03-04,589.9,610.0,589.05,607.4,545539.0,60.38
2024-03-05,608.05,610.0,599.45,605.1,256506.0,57.25
2024-03-06,605.05,605.45,575.55,582.95,225595.0,56.68
2024-03-07,588.25,602.5,569.8,593.0,312199.0,48.22
2024-03-08,588.25,602.5,569.8,593.0,312199.0,48.22
2024-03-11,593.75,595.0,564.05,572.55,483311.0,58.54
2024-03-12,577.0,588.8,556.8,560.65,406575.0,59.32
2024-03-13,561.0,564.95,531.0,540.35,569554.0,56.36
2024-03-14,535.0,578.0,535.0,562.0,760048.0,57.65
2024-03-15,560.0,578.0,548.1,563.85,2826899.0,76.64
2024-03-18,575.0,590.0,559.05,587.9,384280.0,54.22
2024-03-19,593.0,599.0,573.7,578.8,502945.0,49.88
2024-03-20,578.8,589.8,570.1,577.05,104051.0,43.08
2024-03-21,579.9,595.0,579.9,589.05,293940.0,53.06
2024-03-22,590.0,596.95,575.1,579.15,99948.0,60.96
2024-03-25,590.0,596.95,575.1,579.15,99948.0,60.96
2024-03-26,578.8,583.9,564.5,566.0,188883.0,70.71
2024-03-27,572.0,625.0,568.05,609.8,620894.0,65.06
2024-03-28,612.15,634.25,596.0,602.0,572010.0,52.18
2024-03-29,612.15,634.25,596.0,602.0,572010.0,52.18
