,Open,High,Low,Close,Volume,DeliveryPct
2024-04-23,163.75,168.6,163.05,167.85,3303800.0,51.45
2024-04-24,168.5,169.5,165.9,166.8,2610949.0,52.12
2024-04-25,166.0,168.3,165.05,167.75,5033663.0,63.55
2024-04-26,167.35,169.5,161.1,163.8,6578217.0,38.13
2024-04-29,163.8,172.15,161.45,168.8,12524749.0,29.17
2024-04-30,170.0,170.85,166.0,166.65,4080553.0,32.6
2024-05-01,170.0,170.85,166.0,166.65,4080553.0,32.6
2024-05-02,167.4,170.25,166.4,169.75,4336832.0,54.43
2024-05-03,170.45,171.4,165.8,167.75,4561558.0,51.33
2024-05-06,168.9,169.0,162.3,162.9,4415585.0,44.41
2024-05-07,163.15,164.25,160.05,160.95,3936687.0,45.26
2024-05-08,160.95,163.45,160.3,161.7,2488886.0,45.98
2024-05-09,162.0,162.6,156.3,157.05,3820801.0,51.88
2024-05-10,157.05,159.7,153.45,155.2,4513527.0,42.65
2024-05-13,155.9,158.0,150.75,157.2,9010412.0,56.95
2024-05-14,157.2,158.05,155.4,157.4,2714284.0,47.65
2024-05-15,158.5,162.7,157.25,158.45,2976208.0,28.49
2024-05-16,159.5,159.9,156.65,158.75,1772521.0,41.11
2024-05-17,159.05,161.15,157.6,160.7,2954770.0,57.93
2024-05-20,161.45,162.15,159.7,160.2,295022.0,69.35
2024-05-21,160.5,160.5,158.2,158.85,1944712.0,52.04
2024-05-22,158.4,159.95,155.65,156.35,2453852.0,44.44
2024-05-23,157.35,160.0,155.7,159.15,7632301.0,67.01
2024-05-24,159.1,159.45,157.15,157.75,2161520.0,49.59
2024-05-27,158.85,159.0,156.3,158.2,2337095.0,40.81
2024-05-28,158.2,159.2,155.05,156.8,2025656.0,46.5
2024-05-29,156.8,159.0,155.8,157.65,1738865.0,42.35
2024-05-30,157.65,157.65,152.25,153.15,6928838.0,64.36
2024-05-31,154.0,156.75,152.35,152.95,7196801.0,68.35
2024-06-03,157.0,160.2,156.25,159.7,5183145.0,57.21
2024-06-04,160.0,160.0,144.6,149.35,12468536.0,58.22
2024-06-05,151.4,157.9,148.0,156.85,5258202.0,48.29
2024-06-06,157.55,162.0,156.5,159.05,6006701.0,56.53
2024-06-07,160.1,169.85,158.05,168.45,14435252.0,48.73
2024-06-10,171.7,171.7,164.5,165.35,8596119.0,48.77
2024-06-11,168.65,169.29,164.6,164.9,6986709.0,59.89
2024-06-12,165.8,171.68,165.21,170.62,13051066.0,43.04
2024-06-13,175.1,179.18,175.0,175.87,47333091.0,36.52
2024-06-14,178.0,183.76,176.71,181.87,37292621.0,44.06
2024-06-17,178.0,183.76,176.71,181.87,37292621.0,44.06
2024-06-18,180.99,182.15,179.09,179.67,17532848.0,59.68
2024-06-19,181.44,181.44,174.04,176.21,15781172.0,57.82
2024-06-20,176.21,184.0,175.21,183.65,17882695.0,53.3
2024-06-21,184.9,186.7,181.61,183.04,21084054.0,54.9
2024-06-24,184.0,184.0,177.5,180.51,12574066.0,51.5
2024-06-25,180.85,186.32,179.0,185.51,14289052.0,43.91
2024-06-26,186.0,187.8,181.2,181.71,12469345.0,38.84
2024-06-27,181.75,184.18,178.68,179.26,16858870.0,63.48
2024-06-28,182.0,182.89,180.0,181.17,9520773.0,55.48
2024-07-01,183.65,191.65,182.96,190.1,24853967.0,42.6
2024-07-02,192.3,194.25,186.45,187.23,15387882.0,35.45
2024-07-03,188.8,191.0,186.61,188.7,10137481.0,47.01
2024-07-04,194.0,194.2,187.84,188.25,13615915.0,35.37
2024-07-05,188.0,190.55,184.85,189.91,7736157.0,41.64
2024-07-08,190.01,190.58,185.17,185.98,4460806.0,43.83
2024-07-09,186.5,187.13,183.26,184.01,4773194.0,51.56
2024-07-10,183.99,183.99,177.76,180.45,6401087.0,43.16
2024-07-11,180.45,182.52,179.0,179.25,7184501.0,60.91
2024-07-12,180.2,185.0,179.32,182.26,8336170.0,36.02
2024-07-15,184.25,186.25,180.32,185.85,7480546.0,41.71
2024-07-16,186.45,186.45,182.25,184.35,12008676.0,44.93
2024-07-17,186.45,186.45,182.25,184.35,12008676.0,44.93
2024-07-18,189.9,189.95,182.73,184.57,37665072.0,38.21
2024-07-19,185.44,185.44,175.0,175.95,13685366.0,47.05
2024-07-22,173.06,175.8,170.5,173.73,7917914.0,41.1
2024-07-23,175.49,175.49,165.0,174.51,9608735.0,31.12
