,Open,High,Low,Close,Volume,DeliveryPct
2023-11-06,190.05,191.8,183.25,186.85,1218329.0,57.35
2023-11-07,187.8,202.0,184.7,199.65,5452984.0,36.44
2023-11-08,201.1,205.0,197.5,199.7,1949387.0,36.01
2023-11-09,199.7,201.5,193.15,195.05,2140628.0,30.13
2023-11-10,195.0,196.2,192.25,195.05,906904.0,44.65
2023-11-13,199.0,199.5,195.45,197.2,626576.0,45.49
2023-11-14,199.0,199.5,195.45,197.2,626576.0,45.49
2023-11-15,199.4,199.9,193.3,193.9,1342146.0,42.47
2023-11-16,196.05,205.0,196.05,199.6,2030787.0,33.92
2023-11-17,201.0,207.4,200.45,202.6,1911427.0,32.37
2023-11-20,202.6,215.8,202.6,214.5,3862266.0,37.83
2023-11-21,216.1,220.2,211.75,219.2,2537820.0,39.14
2023-11-22,219.0,219.7,204.9,207.5,2571910.0,46.18
2023-11-23,208.5,217.2,208.05,210.8,2099632.0,28.13
2023-11-24,211.9,216.4,211.3,212.05,948612.0,43.62
2023-11-27,211.9,216.4,211.3,212.05,948612.0,43.62
2023-11-28,213.0,217.35,206.75,210.0,949653.0,46.27
2023-11-29,211.0,216.3,209.4,212.15,1172119.0,36.55
2023-11-30,213.55,219.0,210.4,217.45,2644969.0,37.17
2023-12-01,218.4,219.2,212.55,216.0,1153453.0,41.78
2023-12-04,218.45,223.6,218.0,220.45,2124498.0,51.42
2023-12-05,224.0,234.6,221.9,228.2,3005660.0,28.46
2023-12-06,228.65,231.25,224.2,228.8,943404.0,42.54
2023-12-07,229.1,230.4,220.5,224.05,1550904.0,37.74
2023-12-08,225.6,226.95,211.6,214.3,1801164.0,52.09
2023-12-11,216.0,219.4,210.1,214.85,798207.0,38.46
2023-12-12,216.0,217.9,212.0,214.05,436000.0,44.61
2023-12-13,215.4,215.9,213.05,215.5,397845.0,44.58
2023-12-14,215.9,217.45,213.1,213.5,673807.0,52.32
2023-12-15,214.2,218.95,211.4,213.35,921657.0,45.59
2023-12-18,213.8,215.0,209.1,210.5,775072.0,50.6
2023-12-19,208.0,210.5,197.25,201.0,4496910.0,49.99
2023-12-20,203.35,207.1,195.3,196.25,1594311.0,42.42
2023-12-21,196.2,204.4,193.0,203.35,1284590.0,30.35
2023-12-22,206.0,208.8,198.65,200.65,1408500.0,47.36
2023-12-25,206.0,208.8,198.65,200.65,1408500.0,47.36
2023-12-26,210.0,216.0,200.4,203.45,3503672.0,46.35
2023-12-27,205.0,206.1,200.5,201.35,836589.0,44.7
2023-12-28,203.0,203.9,198.9,200.1,750507.0,54.78
2023-12-29,199.85,204.75,198.75,203.2,661709.0,47.69
2024-01-01,204.0,204.9,201.55,203.25,627392.0,43.73
2024-01-02,204.05,204.6,200.2,202.55,637201.0,49.99
2024-01-03,202.9,202.9,200.8,201.35,420015.0,62.91
2024-01-04,201.35,204.3,201.35,201.9,612474.0,56.33
2024-01-05,202.45,205.25,200.95,202.05,716677.0,56.67
2024-01-08,202.4,204.0,200.5,201.3,608048.0,48.84
2024-01-09,202.6,204.4,198.55,199.3,740961.0,59.9
2024-01-10,201.0,206.6,199.8,202.95,1309114.0,48.67
2024-01-11,203.0,209.9,202.55,208.85,1659687.0,48.63
2024-01-12,210.85,211.5,207.0,208.45,1194219.0,56.66
2024-01-15,210.15,211.0,203.2,203.65,904882.0,59.39
2024-01-16,204.0,208.4,201.9,203.35,729567.0,52.08
2024-01-17,203.0,204.3,198.75,200.3,765823.0,54.96
2024-01-18,200.4,202.0,196.5,199.9,477985.0,46.58
2024-01-19,201.1,203.35,199.0,200.8,370834.0,57.14
2024-01-22,202.35,203.0,197.8,199.4,592754.0,62.67
2024-01-23,198.05,202.4,190.0,191.7,933303.0,55.2
2024-01-24,193.2,206.6,190.0,204.45,1560210.0,50.5
2024-01-25,210.0,210.6,195.0,196.1,3501285.0,37.2
2024-01-26,210.0,210.6,195.0,196.1,3501285.0,37.2
2024-01-29,200.0,203.15,196.25,199.4,1287023.0,45.04
2024-01-30,201.0,201.2,195.0,196.6,911003.0,51.6
2024-01-31,198.45,201.2,195.55,197.0,947470.0,54.01
2024-02-01,198.0,201.0,197.35,199.2,853540.0,53.4
2024-02-02,199.45,200.95,194.85,195.6,861247.0,55.71
2024-02-05,198.35,198.35,176.9,183.65,1470930.0,60.11
2024-02-06,187.0,188.4,177.5,181.7,1762024.0,53.63
2024-02-07,184.45,197.65,183.9,195.9,2259613.0,38.16
