,Open,High,Low,Close,Volume,DeliveryPct
2026-02-27,4590.0,4649.0,4435.0,4462.0,464787.0,54.46
2026-03-02,4393.9,4477.0,4356.5,4404.4,171388.0,37.41
2026-03-03,4393.9,4477.0,4356.5,4404.4,171388.0,37.41
2026-03-04,4330.1,4434.0,4325.3,4349.3,193103.0,43.76
2026-03-05,4385.0,4412.0,4260.0,4306.4,193854.0,41.64
2026-03-06,4270.0,4388.3,4262.0,4292.0,228424.0,45.15
2026-03-09,4250.0,4356.0,4195.5,4317.2,253802.0,27.38
2026-03-10,4355.0,4369.0,4275.5,4323.1,98559.0,41.94
2026-03-11,4330.0,4373.4,4253.1,4262.7,186094.0,53.46
2026-03-12,4262.7,4372.9,4220.0,4323.6,229386.0,46.64
2026-03-13,4299.0,4299.0,4197.0,4206.5,160275.0,36.3
2026-03-16,4214.9,4274.0,4160.1,4207.1,220848.0,36.33
2026-03-17,4229.0,4229.0,4108.1,4189.2,203282.0,37.99
2026-03-18,4221.5,4372.9,4214.7,4298.8,243300.0,22.02
2026-03-19,4279.9,4279.9,4181.0,4198.5,107184.0,41.4
2026-03-20,4140.0,4389.4,4048.0,4298.8,1110895.0,33.07
2026-03-23,4236.0,4236.0,4071.0,4105.6,569410.0,41.26
2026-03-24,4210.0,4240.0,4105.7,4211.5,317949.0,38.53
2026-03-25,4220.0,4323.6,4170.0,4292.9,537105.0,46.27
2026-03-26,4220.0,4323.6,4170.0,4292.9,537105.0,46.27
2026-03-27,4272.0,4310.3,4182.1,4200.7,432608.0,57.37
2026-03-30,4178.9,4178.9,4000.0,4013.8,532474.0,52.2
2026-03-31,4178.9,4178.9,4000.0,4013.8,532474.0,52.2
2026-04-01,4149.7,4247.6,4078.6,4107.0,258855.0,44.47
2026-04-02,4080.0,4318.9,4016.6,4303.9,696404.0,50.83
2026-04-03,4080.0,4318.9,4016.6,4303.9,696404.0,50.83
2026-04-06,4279.8,4337.8,4260.5,4307.4,296412.0,41.99
2026-04-07,4300.0,4455.0,4264.5,4442.5,566309.0,45.99
2026-04-08,4584.4,4584.4,4459.3,4523.0,424664.0,51.39
2026-04-09,4523.0,4583.1,4425.5,4572.0,371733.0,39.29
2026-04-10,4567.2,4567.2,4415.0,4503.7,420616.0,37.11
2026-04-13,4410.0,4496.5,4400.0,4466.6,167374.0,37.16
2026-04-14,4410.0,4496.5,4400.0,4466.6,167374.0,37.16
2026-04-15,4516.9,4674.4,4501.0,4628.7,573454.0,49.73
2026-04-16,4674.0,4771.9,4651.7,4730.0,510162.0,45.2
2026-04-17,4724.9,4778.9,4644.2,4753.6,339240.0,54.6
2026-04-20,4753.6,4757.9,4680.7,4715.8,185410.0,45.35
2026-04-21,4714.0,4784.0,4671.1,4757.9,177126.0,37.59
2026-04-22,4687.9,4703.8,4551.3,4604.3,509542.0,47.96
2026-04-23,4604.3,4632.4,4500.0,4531.5,277104.0,36.46
2026-04-24,4440.0,4480.5,4240.0,4282.3,951597.0,27.11
2026-04-27,4282.4,4405.4,4282.4,4346.0,264949.0,30.69
2026-04-28,4346.3,4435.0,4336.7,4380.6,260663.0,38.91
2026-04-29,4399.0,4407.4,4313.0,4323.1,203452.0,42.87
2026-04-30,4323.1,4348.1,4248.0,4269.6,427566.0,52.28
2026-05-01,4323.1,4348.1,4248.0,4269.6,427566.0,52.28
2026-05-04,4290.1,4295.7,4182.0,4202.7,224489.0,50.28
2026-05-05,4202.7,4315.0,4192.0,4298.8,284654.0,40.31
2026-05-06,4328.0,4397.2,4264.6,4316.0,238322.0,40.23
2026-05-07,4350.0,4356.2,4235.0,4250.0,324600.0,55.72
2026-05-08,4254.5,4374.4,4239.2,4349.8,287392.0,35.56
2026-05-11,4361.2,4404.0,4320.0,4352.2,204369.0,28.94
2026-05-12,4341.1,4341.1,4131.8,4143.8,582726.0,48.14
2026-05-13,4145.1,4171.0,4071.6,4086.4,325724.0,46.54
