,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,338.0,340.2,331.4,334.85,721630.0,
2016-08-23,334.8,335.35,326.3,330.85,922414.0,
2016-08-24,330.5,333.4,327.3,331.75,976340.0,
2016-08-25,332.3,338.8,328.85,331.95,1183269.0,
2016-08-26,332.4,336.3,330.0,331.7,988278.0,
2016-08-29,332.0,349.9,330.7,347.75,3300282.0,
2016-08-30,350.0,353.9,347.45,352.6,3070131.0,
2016-08-31,354.0,360.6,353.5,356.25,2324177.0,
2016-09-01,356.9,361.7,351.75,353.45,1210846.0,
2016-09-02,354.0,354.9,348.55,351.75,779796.0,
2016-09-06,352.0,359.6,350.5,357.95,825723.0,
2016-09-07,358.0,360.45,354.6,355.6,807255.0,
2016-09-08,354.35,371.5,354.35,363.7,1923537.0,
2016-09-09,364.6,366.0,351.4,352.6,916704.0,
2016-09-12,340.0,345.65,336.3,337.75,915736.0,
2016-09-14,336.55,342.5,331.95,341.9,2517279.0,
2016-09-15,342.0,342.6,335.3,338.4,1270726.0,
2016-09-16,341.9,358.2,340.7,345.3,2981747.0,
2016-09-19,344.55,347.55,341.0,344.0,1031103.0,
2016-09-20,346.0,346.0,334.5,335.55,1809679.0,
2016-09-21,338.0,346.5,336.65,344.7,2278791.0,
2016-09-22,348.25,360.5,348.0,359.15,1902783.0,
2016-09-23,361.75,361.75,352.2,353.6,1730234.0,
2016-09-26,351.8,359.25,348.95,354.55,718538.0,
2016-09-27,356.95,357.45,349.6,352.15,1492610.0,
2016-09-28,351.8,357.65,350.4,356.15,1100959.0,
2016-09-29,358.0,366.4,351.0,353.05,5272489.0,
2016-09-30,350.0,371.45,350.0,364.3,2196567.0,
2016-10-03,371.8,387.6,366.25,385.6,3277304.0,
2016-10-04,388.05,404.9,374.0,381.0,3260927.0,
2016-10-05,383.5,384.0,376.15,378.95,1533089.0,
2016-10-06,380.9,390.85,375.15,378.25,2623721.0,
2016-10-07,377.85,383.55,377.1,380.9,1552241.0,
2016-10-10,384.25,385.75,376.2,379.15,1684627.0,
2016-10-13,379.1,379.1,363.65,369.75,1552850.0,
2016-10-14,370.95,372.35,363.4,370.8,2049565.0,
2016-10-17,372.8,372.8,348.75,350.75,2059941.0,
2016-10-18,351.6,363.7,346.5,361.3,2303158.0,
2016-10-19,362.0,365.7,355.85,359.75,3048716.0,
2016-10-20,359.6,364.8,355.95,361.45,1621799.0,
2016-10-21,362.3,365.0,357.55,362.3,1210654.0,
2016-10-24,363.5,363.5,355.3,357.1,816088.0,
2016-10-25,354.1,360.25,354.1,356.05,1527945.0,
2016-10-26,347.5,381.55,347.5,362.9,9331316.0,
2016-10-27,363.45,372.0,362.45,364.95,3288765.0,
2016-10-28,367.5,367.5,360.65,361.9,907978.0,
2016-11-01,360.2,362.9,352.0,353.35,796179.0,
2016-11-02,351.4,356.2,345.0,350.85,1259521.0,
2016-11-03,350.5,359.6,348.55,350.45,1528488.0,
2016-11-04,351.4,354.3,338.0,341.5,1053939.0,
2016-11-07,345.45,358.6,343.5,346.1,684495.0,
2016-11-08,347.55,355.7,337.8,348.15,1389554.0,
2016-11-09,320.0,334.3,298.05,329.75,4120572.0,
2016-11-10,333.0,340.4,311.65,316.95,2027504.0,
2016-11-11,310.95,312.2,278.25,285.85,5466520.0,
2016-11-15,288.45,294.7,260.2,291.55,8347291.0,
2016-11-16,295.0,297.45,277.3,281.35,3918526.0,
2016-11-17,281.7,286.0,272.2,274.6,1832181.0,
2016-11-18,273.0,281.25,268.2,272.65,1708723.0,
2016-11-21,275.0,276.0,251.5,265.3,3181718.0,
2016-11-22,268.0,273.95,260.5,270.65,2005039.0,
2016-11-23,273.9,277.0,266.95,274.1,2147540.0,
2016-11-24,270.0,282.9,265.25,277.35,5343398.0,
2016-11-25,277.35,292.6,275.6,288.45,3044934.0,
2016-11-28,288.0,293.5,281.1,289.9,1465121.0,
2016-11-29,290.0,304.5,289.35,299.9,2112855.0,
2016-11-30,302.75,304.45,295.8,298.65,2353303.0,
2016-12-01,299.4,300.85,282.35,286.3,2506622.0,
2016-12-02,283.8,287.8,272.8,274.65,2567495.0,
2016-12-05,275.4,277.5,267.3,270.95,2792957.0,
2016-12-06,273.0,280.25,272.0,276.7,1394996.0,
2016-12-07,277.05,282.2,271.9,279.55,1048130.0,
2016-12-08,283.25,287.95,280.0,286.4,1419546.0,
2016-12-09,287.35,289.75,283.6,287.6,809346.0,
2016-12-12,285.05,288.9,274.95,277.05,1146040.0,
2016-12-13,276.0,277.4,260.7,267.55,2779103.0,
2016-12-14,269.0,269.45,260.0,261.85,1506218.0,
2016-12-15,254.45,270.2,254.15,267.8,1925744.0,
2016-12-16,270.0,270.0,261.6,265.3,1263740.0,
2016-12-19,264.0,266.9,258.4,259.35,763851.0,
2016-12-20,259.4,261.95,247.2,250.45,2866538.0,
2016-12-21,252.0,260.0,250.15,256.35,1247737.0,
2016-12-22,255.0,255.95,247.0,253.65,2965720.0,
2016-12-23,252.9,258.2,247.9,256.05,1450738.0,
2016-12-26,254.85,254.85,248.6,250.0,1740356.0,
2016-12-27,249.0,257.0,244.0,255.45,1386303.0,
2016-12-28,255.95,269.65,255.65,261.1,2229031.0,
2016-12-29,261.55,278.6,261.55,273.45,11527887.0,
2016-12-30,270.0,275.9,266.75,270.25,1476690.0,
2017-01-02,274.0,278.5,271.0,274.4,1165890.0,
2017-01-03,276.8,276.8,267.75,271.0,1251390.0,
2017-01-04,270.0,280.3,270.0,273.5,1643560.0,
2017-01-05,275.4,284.3,274.65,283.1,2008357.0,
2017-01-06,284.85,287.5,273.3,275.4,1725823.0,
2017-01-09,276.0,278.95,272.4,275.45,679111.0,
2017-01-10,276.9,282.0,275.5,281.25,896243.0,
2017-01-11,282.0,284.65,281.1,283.05,1172494.0,
2017-01-12,284.6,286.6,279.0,281.9,1022673.0,
2017-01-13,282.5,288.9,279.0,286.4,1905890.0,
2017-01-16,285.9,288.7,282.3,286.7,1022595.0,
2017-01-17,288.0,298.4,286.3,297.05,1419147.0,
2017-01-18,299.9,301.3,294.5,296.6,2117916.0,
2017-01-19,297.4,298.0,289.35,293.3,1165210.0,
2017-01-20,292.4,292.4,274.1,275.95,2374699.0,
2017-01-23,274.9,278.1,269.1,274.5,1648047.0,
2017-01-24,276.0,284.5,263.3,277.7,7178898.0,
2017-01-25,279.0,287.55,275.6,286.3,3037770.0,
2017-01-27,288.45,288.45,277.65,282.15,1262497.0,
2017-01-30,279.65,284.2,276.75,278.8,827101.0,
2017-01-31,280.4,280.4,265.95,267.1,1470080.0,
2017-02-01,268.4,287.5,264.05,286.2,3070437.0,
2017-02-02,287.85,301.8,287.4,296.5,4577312.0,
2017-02-03,298.65,298.65,291.0,293.4,1960700.0,
2017-02-06,293.0,305.4,293.0,301.55,2754880.0,
2017-02-07,303.45,309.85,297.55,300.4,3075640.0,
2017-02-08,303.35,303.9,292.1,299.35,1839776.0,
2017-02-09,303.5,307.25,297.3,301.45,2014029.0,
2017-02-10,304.95,304.95,296.0,297.25,1249539.0,
2017-02-13,298.5,302.85,291.0,295.35,1192766.0,
2017-02-14,295.5,297.0,291.45,295.35,1053297.0,
2017-02-15,296.0,296.0,284.5,286.95,1455019.0,
2017-02-16,286.7,292.0,282.0,289.7,2692432.0,
2017-02-17,292.0,295.85,288.2,291.55,1836103.0,
2017-02-20,291.95,293.6,289.45,291.5,1003980.0,
2017-02-21,291.0,301.55,288.55,299.9,2862969.0,
2017-02-22,303.0,303.0,290.1,292.4,2146989.0,
2017-02-23,294.7,295.85,290.4,291.2,1886887.0,
2017-02-27,291.0,293.9,287.25,290.25,1608495.0,
2017-02-28,292.0,294.2,286.25,291.65,1208970.0,
2017-03-01,292.1,295.35,291.2,294.3,1552790.0,
2017-03-02,296.1,298.0,285.2,286.4,1586148.0,
2017-03-03,287.45,290.15,285.6,289.2,1288220.0,
2017-03-06,290.9,292.5,286.95,289.65,1089671.0,
2017-03-07,290.0,292.0,285.2,286.2,2306486.0,
2017-03-08,288.2,288.2,275.0,279.5,2176290.0,
2017-03-09,278.9,282.5,276.7,280.4,1654031.0,
2017-03-10,281.0,283.6,274.1,275.3,1419787.0,
2017-03-14,282.5,284.75,276.85,279.9,6962545.0,
2017-03-15,282.9,294.7,280.75,291.25,5308372.0,
2017-03-16,292.9,296.85,291.8,293.5,2946339.0,
2017-03-17,295.0,314.0,294.3,311.65,10114388.0,
2017-03-20,313.65,319.7,310.2,315.15,3667827.0,
2017-03-21,316.75,321.3,312.3,316.6,2859786.0,
2017-03-22,312.7,315.6,308.55,310.75,2368666.0,
2017-03-23,311.7,315.95,311.7,313.8,1773337.0,
2017-03-24,317.0,323.25,314.75,320.45,3871065.0,
2017-03-27,323.95,324.5,317.5,320.35,2262189.0,
2017-03-28,325.3,338.7,325.1,328.85,10649988.0,
2017-03-29,333.1,336.45,317.3,321.0,5746815.0,
2017-03-30,316.0,325.25,313.1,314.9,6996091.0,
2017-03-31,316.5,318.5,312.85,314.9,1827300.0,
2017-04-03,318.45,322.4,315.6,319.1,1374772.0,
2017-04-05,321.9,322.3,317.5,321.05,1328120.0,
2017-04-06,319.8,335.0,318.0,334.15,4392572.0,
2017-04-07,332.85,344.4,332.0,335.35,6795651.0,
2017-04-10,335.25,340.25,330.2,338.25,3105363.0,
2017-04-11,338.0,339.2,333.6,334.65,1488406.0,
2017-04-12,337.5,337.5,326.0,335.4,2042443.0,
2017-04-13,335.2,339.95,331.25,332.5,1179162.0,
2017-04-17,330.25,339.0,330.25,337.0,1094598.0,
2017-04-18,338.95,342.8,333.05,334.8,3128662.0,
2017-04-19,335.1,342.4,334.1,339.9,1629204.0,
2017-04-20,341.0,341.95,336.55,338.95,1856878.0,
2017-04-21,340.0,352.1,337.75,344.7,5127355.0,
2017-04-24,347.65,348.55,341.4,342.75,3089414.0,
2017-04-25,347.0,347.7,333.75,340.3,7070235.0,
2017-04-26,342.5,347.65,318.6,330.45,7269611.0,
2017-04-27,331.05,335.0,325.15,332.0,4212318.0,
2017-04-28,333.5,338.2,329.5,337.2,2290194.0,
2017-05-02,333.6,337.0,328.5,333.4,1659456.0,
2017-05-03,334.0,334.2,325.5,327.7,824528.0,
2017-05-04,327.7,335.15,327.2,330.8,968834.0,
2017-05-05,330.35,332.9,323.5,329.35,1326713.0,
2017-05-08,329.0,331.15,324.7,325.85,546354.0,
2017-05-09,326.5,327.5,322.3,324.35,965098.0,
2017-05-10,326.5,335.4,325.55,331.55,1418450.0,
2017-05-11,333.0,340.5,332.85,337.95,1624976.0,
2017-05-12,337.65,339.5,327.2,329.9,1168094.0,
2017-05-15,333.45,335.75,330.0,331.4,702160.0,
2017-05-16,332.4,340.8,331.5,339.45,1031595.0,
2017-05-17,339.0,339.0,329.95,333.1,759210.0,
2017-05-18,331.5,331.5,316.9,318.9,1382437.0,
