,Open,High,Low,Close,Volume,DeliveryPct
2016-08-17,31.05,31.15,30.6,30.7,57642.0,
2016-08-18,31.15,31.7,30.7,31.35,113933.0,
2016-08-19,31.5,31.9,31.2,31.55,72527.0,
2016-08-22,31.55,31.85,31.3,31.4,55365.0,
2016-08-23,31.5,31.7,31.1,31.2,82011.0,
2016-08-24,31.5,31.6,31.05,31.15,40245.0,
2016-08-25,31.25,31.5,30.75,30.8,76043.0,
2016-08-26,31.0,31.35,30.5,30.55,48921.0,
2016-08-29,30.65,30.8,30.15,30.3,70200.0,
2016-08-30,30.3,31.0,30.25,30.85,82742.0,
2016-08-31,31.0,31.8,30.8,31.6,152164.0,
2016-09-01,31.6,31.75,30.75,31.05,61368.0,
2016-09-02,31.05,31.2,30.8,30.95,32761.0,
2016-09-06,31.3,31.7,31.0,31.15,68544.0,
2016-09-07,31.15,32.5,31.15,32.15,295228.0,
2016-09-08,32.15,34.2,32.15,32.95,484471.0,
2016-09-09,32.95,33.4,32.6,32.7,103389.0,
2016-09-12,31.2,32.4,31.2,31.5,114024.0,
2016-09-14,32.2,32.2,31.45,31.6,104717.0,
2016-09-15,31.5,32.25,31.5,31.75,78520.0,
2016-09-16,31.8,32.35,30.85,31.35,158420.0,
2016-09-19,31.9,31.9,31.1,31.15,53259.0,
2016-09-20,31.05,31.35,30.9,31.05,64514.0,
2016-09-21,31.05,31.35,30.95,31.1,32113.0,
2016-09-22,31.3,31.85,31.15,31.4,46793.0,
2016-09-23,31.4,31.7,31.0,31.1,63922.0,
2016-09-26,31.3,31.35,30.8,30.9,62426.0,
2016-09-27,31.0,31.5,30.7,30.85,110569.0,
2016-09-28,30.9,31.5,30.9,31.05,141681.0,
2016-09-29,31.5,31.5,29.8,30.05,162314.0,
2016-09-30,30.0,30.45,29.8,30.15,79455.0,
2016-10-03,30.1,31.0,30.1,30.6,63716.0,
2016-10-04,31.7,31.7,30.5,31.2,158151.0,
2016-10-05,31.5,31.5,31.1,31.25,78134.0,
2016-10-06,31.5,31.5,30.7,30.8,65600.0,
2016-10-07,30.8,30.95,30.0,30.55,91189.0,
2016-10-10,31.1,31.2,30.6,30.85,54348.0,
2016-10-13,30.85,31.2,30.6,30.85,138115.0,
2016-10-14,31.0,31.1,30.4,30.5,58079.0,
2016-10-17,31.0,31.0,29.8,29.95,135166.0,
2016-10-18,30.5,30.6,30.0,30.4,63104.0,
2016-10-19,30.4,30.75,30.25,30.35,51600.0,
2016-10-20,30.65,31.0,30.4,30.7,84130.0,
2016-10-21,30.7,30.9,30.25,30.45,58154.0,
2016-10-24,30.75,30.95,30.65,30.8,64665.0,
2016-10-25,30.8,30.95,30.5,30.6,25128.0,
2016-10-26,30.6,30.8,30.2,30.7,70158.0,
2016-10-27,30.95,30.95,30.4,30.75,67727.0,
2016-10-28,30.5,30.9,30.4,30.75,69236.0,
2016-11-01,30.6,31.2,28.8,29.2,457602.0,
2016-11-02,29.55,29.9,29.2,29.55,134153.0,
2016-11-03,29.75,29.85,29.45,29.6,69548.0,
2016-11-04,29.5,29.8,28.9,29.1,88131.0,
2016-11-07,28.8,29.5,28.45,28.95,146067.0,
2016-11-08,29.4,29.4,28.45,28.65,91196.0,
2016-11-09,27.95,28.6,23.2,28.3,317210.0,
2016-11-10,29.0,31.45,29.0,30.95,640986.0,
2016-11-11,31.0,32.45,30.05,30.35,442118.0,
2016-11-15,31.0,31.5,30.35,30.65,299215.0,
2016-11-16,31.2,31.25,28.8,29.6,215116.0,
2016-11-17,29.9,30.4,29.65,29.9,80436.0,
2016-11-18,30.0,30.35,29.35,29.8,92235.0,
2016-11-21,29.8,30.3,28.5,29.05,208211.0,
2016-11-22,29.35,29.35,28.4,29.0,99421.0,
2016-11-23,28.7,29.15,28.55,28.7,73276.0,
2016-11-24,28.75,29.4,28.6,29.0,42467.0,
2016-11-25,29.25,29.5,28.9,29.35,45001.0,
2016-11-28,28.9,29.7,28.8,29.3,63391.0,
2016-11-29,29.3,29.6,29.15,29.3,31248.0,
2016-11-30,29.3,29.85,29.3,29.7,39567.0,
2016-12-01,29.7,29.95,29.15,29.35,64380.0,
2016-12-02,29.3,29.9,29.05,29.15,59660.0,
2016-12-05,29.2,29.95,29.1,29.8,69681.0,
2016-12-06,29.5,30.1,29.35,29.55,46031.0,
2016-12-07,29.8,29.95,29.2,29.4,75084.0,
2016-12-08,29.3,29.7,29.3,29.4,47840.0,
2016-12-09,29.5,29.7,29.4,29.55,64289.0,
2016-12-12,29.5,29.7,29.2,29.4,25129.0,
2016-12-13,29.7,29.7,29.1,29.4,38585.0,
2016-12-14,29.5,30.05,29.1,29.35,42740.0,
2016-12-15,29.5,29.9,29.05,29.25,52405.0,
2016-12-16,29.55,29.55,29.1,29.2,43984.0,
2016-12-19,29.3,32.0,29.1,30.95,213308.0,
2016-12-20,31.25,31.25,29.05,29.3,281716.0,
2016-12-21,29.3,29.75,29.0,29.15,57243.0,
2016-12-22,29.15,29.45,28.7,28.9,44131.0,
2016-12-23,28.5,29.15,28.5,29.0,31188.0,
2016-12-26,29.0,29.15,28.2,28.3,50614.0,
2016-12-27,28.25,28.6,28.1,28.45,43596.0,
2016-12-28,28.5,29.25,28.2,28.45,46182.0,
2016-12-29,28.2,28.9,28.2,28.75,16377.0,
2016-12-30,28.75,29.2,28.55,28.65,98596.0,
2017-01-02,28.95,29.2,28.7,29.05,30565.0,
2017-01-03,29.35,29.4,29.1,29.15,31465.0,
2017-01-04,29.15,29.4,29.1,29.15,16977.0,
2017-01-05,29.0,29.6,29.0,29.25,47533.0,
2017-01-06,29.55,29.7,29.1,29.2,52331.0,
2017-01-09,29.45,29.5,29.0,29.35,45915.0,
2017-01-10,29.5,29.55,28.5,29.05,82590.0,
2017-01-11,29.1,29.7,29.1,29.6,128626.0,
2017-01-12,29.7,29.7,29.25,29.5,54179.0,
2017-01-13,29.9,29.9,29.35,29.45,44454.0,
2017-01-16,29.45,30.7,29.45,30.1,198716.0,
2017-01-17,30.2,30.75,30.0,30.15,51971.0,
2017-01-18,30.2,30.5,30.0,30.05,33967.0,
2017-01-19,30.5,30.5,29.7,29.95,29098.0,
2017-01-20,29.95,30.3,29.2,29.35,56592.0,
2017-01-23,29.5,29.9,29.1,29.25,42702.0,
2017-01-24,29.2,29.7,29.2,29.3,37334.0,
2017-01-25,29.7,29.7,29.35,29.55,41624.0,
2017-01-27,29.75,30.3,29.5,29.8,247127.0,
2017-01-30,31.3,32.5,30.55,32.3,1039240.0,
2017-01-31,32.65,33.6,32.2,33.15,604202.0,
2017-02-01,33.1,33.2,32.05,32.85,380956.0,
2017-02-02,32.9,35.3,32.8,34.45,1273872.0,
2017-02-03,34.95,35.7,31.3,34.65,849608.0,
2017-02-06,35.5,35.6,34.25,34.7,347859.0,
2017-02-07,35.2,35.45,34.75,35.3,644256.0,
2017-02-08,35.4,35.6,34.0,34.55,444953.0,
2017-02-09,34.9,35.0,33.1,33.45,468261.0,
2017-02-10,33.75,34.0,33.55,33.7,210143.0,
2017-02-13,34.05,34.2,33.2,33.3,156474.0,
2017-02-14,33.75,33.75,33.05,33.35,85958.0,
2017-02-15,33.2,33.5,32.5,32.6,87966.0,
2017-02-16,33.55,33.75,32.5,32.9,198703.0,
2017-02-17,33.2,33.5,32.5,32.65,88766.0,
2017-02-20,32.9,33.25,32.3,32.55,235254.0,
2017-02-21,32.8,38.7,32.6,37.1,4367966.0,
2017-02-22,37.15,37.15,34.4,34.85,990826.0,
2017-02-23,34.75,35.6,34.2,34.4,602339.0,
2017-02-27,34.6,34.9,34.0,34.25,200515.0,
2017-02-28,34.6,34.8,34.05,34.25,163906.0,
2017-03-01,34.8,35.0,34.4,34.55,238988.0,
2017-03-02,34.85,34.95,33.75,33.85,194539.0,
2017-03-03,34.0,34.0,33.45,33.7,101069.0,
2017-03-06,33.7,33.95,33.3,33.55,146198.0,
2017-03-07,33.7,33.7,33.2,33.45,109125.0,
2017-03-08,33.45,33.5,32.8,32.9,157312.0,
2017-03-09,33.0,33.15,32.55,32.65,81812.0,
2017-03-10,33.0,33.1,32.3,32.4,132069.0,
2017-03-14,33.0,33.0,32.15,32.3,127450.0,
2017-03-15,32.3,32.9,32.15,32.3,239029.0,
2017-03-16,32.6,32.7,32.3,32.4,150227.0,
2017-03-17,32.7,32.7,32.25,32.45,140644.0,
2017-03-20,32.75,32.85,32.3,32.55,103481.0,
2017-03-21,32.5,34.25,32.5,33.0,583625.0,
2017-03-22,33.4,35.95,33.25,34.2,3359656.0,
2017-03-23,34.4,34.45,33.55,33.65,293235.0,
2017-03-24,33.9,34.95,33.45,34.2,563007.0,
2017-03-27,34.05,34.8,33.6,33.7,230096.0,
2017-03-28,33.7,34.2,33.5,33.55,118089.0,
2017-03-29,33.6,33.9,33.2,33.5,206657.0,
