,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,87.7,88.5,86.0,87.6,4241815.0,
2016-08-23,87.7,87.7,86.15,86.7,3079864.0,
2016-08-24,86.65,87.5,85.3,85.7,4338891.0,
2016-08-25,85.7,85.7,80.6,81.3,6499659.0,
2016-08-26,82.0,84.45,82.0,83.2,4693827.0,
2016-08-29,83.6,85.3,82.7,85.05,4228283.0,
2016-08-30,85.0,85.6,84.4,84.75,2631571.0,
2016-08-31,85.45,86.85,83.5,85.3,5047801.0,
2016-09-01,85.6,85.6,83.3,83.8,2449892.0,
2016-09-02,84.0,87.8,83.65,87.25,5304098.0,
2016-09-06,87.2,88.6,86.3,86.7,3294576.0,
2016-09-07,87.1,90.5,87.0,89.95,9157168.0,
2016-09-08,90.9,93.0,88.7,92.65,10026771.0,
2016-09-09,93.3,94.1,89.35,89.8,6865569.0,
2016-09-12,86.0,90.85,85.6,90.25,8062720.0,
2016-09-14,90.0,96.0,90.0,95.55,10362055.0,
2016-09-15,96.0,97.9,95.6,96.3,6284423.0,
2016-09-16,96.95,98.45,92.35,95.3,11424366.0,
2016-09-19,96.9,98.4,95.75,96.55,3191945.0,
2016-09-20,97.1,97.2,95.15,96.2,2713898.0,
2016-09-21,96.6,97.1,94.2,96.1,3100795.0,
2016-09-22,97.2,98.0,95.4,97.5,4540547.0,
2016-09-23,98.0,99.3,96.65,97.65,4706603.0,
2016-09-26,97.45,100.0,96.65,97.15,4484334.0,
2016-09-27,97.45,101.15,97.45,98.9,5383086.0,
2016-09-28,99.0,99.45,97.75,98.05,1983833.0,
2016-09-29,97.8,98.45,84.65,89.0,8852180.0,
2016-09-30,88.0,92.95,87.95,91.5,5248307.0,
2016-10-03,92.5,95.0,92.1,94.35,3747102.0,
2016-10-04,95.1,96.15,92.6,93.75,3403194.0,
2016-10-05,93.7,94.6,91.8,92.55,4148199.0,
2016-10-06,93.5,94.25,92.0,92.8,2634129.0,
2016-10-07,93.4,93.4,91.5,92.7,2055773.0,
2016-10-10,93.0,93.4,91.2,91.7,1762741.0,
2016-10-13,91.7,95.65,89.3,94.0,4181545.0,
2016-10-14,94.65,94.85,93.0,94.45,1880979.0,
2016-10-17,94.4,97.7,93.8,96.9,3779623.0,
2016-10-18,97.1,103.0,96.85,101.7,7330722.0,
2016-10-19,105.0,105.0,102.0,102.6,7135875.0,
2016-10-20,103.0,104.0,102.05,102.6,1901882.0,
2016-10-21,103.0,103.0,99.15,99.9,1764886.0,
2016-10-24,100.0,100.85,97.75,98.4,1865449.0,
2016-10-25,99.0,106.9,98.45,104.55,9565636.0,
2016-10-26,104.3,104.9,102.25,103.6,2286711.0,
2016-10-27,102.85,103.4,99.0,99.9,3622152.0,
2016-10-28,100.35,102.9,100.1,102.15,2937800.0,
2016-11-01,102.5,103.2,101.5,102.7,2197291.0,
2016-11-02,101.5,101.5,98.45,99.65,3405245.0,
2016-11-03,101.5,103.0,99.55,100.3,3658470.0,
2016-11-04,101.1,101.55,94.25,98.35,4063535.0,
2016-11-07,99.5,100.35,98.0,99.4,1864140.0,
2016-11-08,100.0,103.2,99.55,102.75,3513255.0,
2016-11-09,87.0,99.5,82.25,97.95,10942879.0,
2016-11-10,100.9,104.5,98.6,102.1,12896318.0,
2016-11-11,98.9,99.7,89.2,90.1,10725477.0,
2016-11-15,90.0,90.0,72.6,74.9,15837445.0,
2016-11-16,77.0,82.75,62.2,77.8,17775599.0,
2016-11-17,78.75,79.95,77.2,78.3,6443665.0,
2016-11-18,78.5,78.65,74.6,75.55,4596772.0,
2016-11-21,76.0,76.35,67.15,70.0,9116302.0,
2016-11-22,71.0,74.9,70.15,73.8,5735032.0,
2016-11-23,75.85,78.4,75.5,77.45,4456898.0,
2016-11-24,77.5,77.5,72.9,73.3,3437264.0,
2016-11-25,73.5,75.0,72.1,73.75,5286738.0,
2016-11-28,72.75,74.25,72.0,72.3,3188591.0,
2016-11-29,73.0,78.25,72.75,76.6,8672740.0,
2016-11-30,78.0,78.5,76.5,77.0,3662172.0,
2016-12-01,78.75,78.75,74.0,74.25,3667258.0,
2016-12-02,73.25,73.5,70.2,73.0,3606254.0,
2016-12-05,73.75,73.75,71.1,71.45,2228823.0,
2016-12-06,72.35,75.35,72.35,74.45,3860229.0,
2016-12-07,74.95,76.5,72.55,73.35,3398718.0,
2016-12-08,74.85,75.1,73.6,73.85,1688669.0,
2016-12-09,74.5,75.25,73.5,74.0,1784651.0,
2016-12-12,73.15,73.7,70.15,70.8,2124432.0,
2016-12-13,71.35,71.4,68.85,70.45,2707304.0,
2016-12-14,70.5,72.9,68.85,69.25,2956591.0,
2016-12-15,68.7,70.65,67.9,68.6,3172787.0,
2016-12-16,69.2,69.45,66.7,67.0,2227874.0,
2016-12-19,66.85,67.0,62.9,63.15,4291356.0,
2016-12-20,63.15,64.35,60.05,60.3,4564945.0,
2016-12-21,60.7,63.6,58.5,62.25,6884032.0,
2016-12-22,62.6,63.15,60.15,60.5,3979433.0,
2016-12-23,60.3,62.2,59.7,61.0,4271414.0,
2016-12-26,60.7,60.85,57.8,58.8,2964123.0,
2016-12-27,59.0,63.4,58.65,62.7,4504337.0,
2016-12-28,62.8,66.9,62.0,65.85,6349485.0,
2016-12-29,65.65,68.3,65.3,66.5,4537594.0,
2016-12-30,68.0,68.75,66.7,67.3,4303894.0,
2017-01-02,68.25,69.3,67.5,68.95,2095810.0,
2017-01-03,69.1,73.05,68.05,72.7,5045562.0,
2017-01-04,73.2,73.8,69.2,69.65,5575530.0,
2017-01-05,70.4,71.5,70.2,70.8,1943735.0,
2017-01-06,71.0,72.75,71.0,71.65,2593377.0,
2017-01-09,71.75,71.75,70.0,70.85,1268571.0,
2017-01-10,71.15,72.7,70.8,71.35,1872086.0,
2017-01-11,72.25,73.95,71.6,73.7,3205450.0,
2017-01-12,73.9,75.9,73.2,73.95,4178075.0,
2017-01-13,74.5,75.0,72.6,73.45,2175110.0,
2017-01-16,74.4,79.5,74.1,78.55,6590851.0,
2017-01-17,79.35,81.85,78.8,79.95,5937435.0,
2017-01-18,80.4,82.45,80.3,81.25,3879187.0,
2017-01-19,81.85,82.15,78.6,78.95,2732579.0,
2017-01-20,79.0,79.35,75.6,77.15,3195106.0,
2017-01-23,76.7,78.5,75.7,77.95,2328919.0,
2017-01-24,78.4,79.4,78.0,78.25,1438068.0,
2017-01-25,78.7,80.95,78.15,80.35,4777729.0,
2017-01-27,80.95,81.4,79.75,80.05,3243104.0,
2017-01-30,79.75,81.35,79.4,80.6,2130850.0,
2017-01-31,81.2,81.2,78.5,78.95,2374714.0,
2017-02-01,78.65,84.7,78.35,84.0,6919559.0,
2017-02-02,84.95,89.0,84.0,87.85,7611164.0,
2017-02-03,88.6,93.9,88.05,92.15,7540439.0,
