,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,999.9,1013.6,988.0,991.05,152728.0,
2016-08-23,991.5,1006.6,991.5,999.15,105965.0,
2016-08-24,997.5,1001.35,984.0,986.15,71835.0,
2016-08-25,1002.0,1006.0,986.15,990.3,144537.0,
2016-08-26,992.2,996.0,982.0,986.2,65331.0,
2016-08-29,985.0,992.6,975.0,984.3,84803.0,
2016-08-30,986.0,997.95,983.3,988.95,104714.0,
2016-08-31,990.1,998.1,984.0,988.5,97321.0,
2016-09-01,1011.9,1020.8,989.0,992.55,250894.0,
2016-09-02,995.9,1002.0,987.05,998.95,242600.0,
2016-09-06,995.5,1005.8,994.1,996.4,72165.0,
2016-09-07,999.9,1001.5,980.1,981.7,132976.0,
2016-09-08,988.0,996.1,978.55,987.7,136515.0,
2016-09-09,989.5,995.0,950.0,951.7,344009.0,
2016-09-12,943.9,944.0,925.0,929.35,164854.0,
2016-09-14,929.35,969.8,929.0,955.7,231995.0,
2016-09-15,956.5,979.9,951.0,972.7,135453.0,
2016-09-16,980.0,992.05,961.0,976.7,295338.0,
2016-09-19,979.95,995.0,979.95,988.1,151592.0,
2016-09-20,994.0,1040.0,992.0,1011.85,1004441.0,
2016-09-21,1008.0,1038.9,1005.05,1028.0,352851.0,
2016-09-22,1041.0,1056.9,1014.5,1050.45,412343.0,
2016-09-23,1058.95,1079.0,1042.0,1048.15,441599.0,
2016-09-26,1060.0,1083.7,1034.0,1069.8,513605.0,
2016-09-27,1090.0,1182.1,1074.0,1150.25,2975201.0,
2016-09-28,1160.0,1267.7,1160.0,1250.5,2621422.0,
2016-09-29,1288.0,1399.0,1266.0,1309.05,5220531.0,
2016-09-30,1330.0,1378.0,1283.1,1351.25,1992050.0,
2016-10-03,1395.0,1420.0,1353.6,1368.95,1290136.0,
2016-10-04,1373.0,1377.0,1315.5,1326.25,934232.0,
2016-10-05,1331.2,1349.9,1302.85,1311.15,450614.0,
2016-10-06,1316.0,1321.65,1248.75,1263.55,640525.0,
2016-10-07,1270.0,1324.0,1247.15,1297.25,901687.0,
2016-10-10,1302.0,1333.0,1276.0,1321.85,548663.0,
2016-10-13,1301.0,1335.0,1290.0,1320.25,654698.0,
2016-10-14,1324.0,1354.0,1322.15,1345.15,655524.0,
2016-10-17,1350.0,1364.7,1335.0,1355.8,414790.0,
2016-10-18,1364.0,1376.35,1352.0,1362.8,310965.0,
2016-10-19,1362.8,1367.8,1304.5,1312.1,308580.0,
2016-10-20,1320.0,1326.4,1295.15,1303.1,199464.0,
2016-10-21,1305.0,1318.5,1287.0,1292.25,249589.0,
2016-10-24,1300.0,1310.9,1293.0,1298.55,123997.0,
2016-10-25,1299.95,1300.0,1270.5,1274.45,136689.0,
2016-10-26,1295.0,1322.9,1292.1,1299.1,291522.0,
2016-10-27,1298.9,1302.9,1245.75,1265.6,182321.0,
2016-10-28,1268.45,1295.0,1265.1,1285.75,122911.0,
2016-11-01,1307.0,1310.0,1255.55,1263.4,103048.0,
2016-11-02,1262.0,1289.0,1245.25,1252.25,245409.0,
2016-11-03,1259.95,1394.7,1259.95,1320.65,1226635.0,
2016-11-04,1329.9,1354.0,1280.1,1332.7,542095.0,
2016-11-07,1355.15,1385.6,1335.0,1351.05,371985.0,
2016-11-08,1361.8,1364.5,1321.2,1328.1,173369.0,
2016-11-09,1230.0,1300.0,1151.25,1286.1,470597.0,
2016-11-10,1312.05,1399.75,1312.05,1374.7,876843.0,
2016-11-11,1360.0,1370.0,1290.25,1301.8,462470.0,
2016-11-15,1305.3,1309.8,1214.0,1223.95,298162.0,
2016-11-16,1247.0,1325.0,1231.0,1291.75,631292.0,
2016-11-17,1296.0,1320.0,1282.2,1307.8,356286.0,
2016-11-18,1306.0,1310.15,1287.0,1295.2,211371.0,
2016-11-21,1307.0,1308.8,1210.0,1218.15,304341.0,
