,Open,High,Low,Close,Volume,DeliveryPct
2022-11-16,401.0,424.65,390.55,415.3,49322680.0,60.88
2022-11-17,417.0,455.7,410.35,417.65,10749576.0,25.38
2022-11-18,417.35,422.8,406.65,414.15,3521333.0,44.68
2022-11-21,413.8,431.95,407.25,429.75,3295433.0,46.12
2022-11-22,428.0,438.9,424.0,435.5,2071829.0,54.62
2022-11-23,437.9,457.45,435.5,450.9,2598455.0,44.31
2022-11-24,453.9,487.75,442.0,460.15,5041987.0,30.19
2022-11-25,462.45,469.0,450.25,451.8,1228238.0,38.34
2022-11-28,452.0,474.7,451.05,471.3,1989168.0,43.81
2022-11-29,471.95,479.5,462.05,464.3,706270.0,32.58
2022-11-30,466.9,468.5,452.0,462.25,771921.0,33.58
2022-12-01,465.0,467.9,453.6,459.2,640775.0,32.67
2022-12-02,459.0,464.7,455.0,457.45,305648.0,39.08
2022-12-05,459.75,469.0,452.55,456.45,412743.0,41.39
2022-12-06,455.0,462.4,454.75,456.65,303908.0,35.4
2022-12-07,454.4,475.7,452.1,465.55,1038513.0,26.2
2022-12-08,467.8,475.0,463.25,467.55,664619.0,39.18
2022-12-09,467.0,474.85,457.0,463.25,652364.0,27.84
2022-12-12,460.0,461.3,437.0,455.25,1436443.0,48.0
2022-12-13,455.25,459.25,449.5,450.25,721197.0,69.73
2022-12-14,450.0,455.8,449.05,450.45,326847.0,52.69
2022-12-15,448.5,453.4,443.2,447.65,393300.0,64.89
2022-12-16,444.8,451.4,430.1,446.5,596093.0,54.36
2022-12-19,445.95,448.3,441.45,445.25,207141.0,59.39
2022-12-20,440.1,455.4,440.1,446.9,538384.0,67.26
2022-12-21,448.0,449.95,444.3,447.25,432371.0,61.1
2022-12-22,449.5,461.0,444.5,446.9,769881.0,45.18
2022-12-23,446.6,455.05,435.0,444.55,854686.0,59.59
2022-12-26,446.8,461.9,445.15,458.4,438840.0,51.98
2022-12-27,460.0,472.5,456.25,459.1,475791.0,40.1
2022-12-28,460.8,466.0,455.2,459.65,186297.0,38.95
2022-12-29,460.95,468.0,456.25,465.9,336105.0,50.44
2022-12-30,465.9,484.8,464.15,468.8,550986.0,32.5
2023-01-02,470.0,476.85,456.1,460.1,237206.0,46.65
2023-01-03,460.1,464.4,456.2,458.9,124657.0,50.25
2023-01-04,460.95,465.95,449.5,455.55,281391.0,42.35
2023-01-05,452.5,473.8,452.5,470.7,432603.0,49.37
2023-01-06,470.9,470.9,456.0,457.3,139126.0,53.13
2023-01-09,459.6,462.0,452.4,457.1,135658.0,54.14
2023-01-10,458.7,461.7,454.65,457.3,136200.0,68.45
2023-01-11,459.55,459.55,452.0,454.2,128361.0,63.91
2023-01-12,456.0,456.0,443.3,449.0,280903.0,60.31
2023-01-13,449.95,457.0,443.2,452.5,195853.0,48.98
2023-01-16,451.3,454.65,445.35,446.35,84092.0,48.47
2023-01-17,448.3,455.95,444.1,453.6,204827.0,51.65
2023-01-18,455.3,458.05,447.55,449.3,114899.0,48.3
2023-01-19,450.85,450.85,445.0,446.35,71327.0,50.45
2023-01-20,446.45,453.7,446.45,451.8,113109.0,63.85
2023-01-23,448.4,454.0,445.0,445.95,96913.0,54.16
2023-01-24,446.5,450.75,442.1,445.05,126350.0,59.15
2023-01-25,446.85,459.55,436.45,456.7,473445.0,64.3
2023-01-26,446.85,459.55,436.45,456.7,473445.0,64.3
2023-01-27,457.9,459.0,435.0,437.55,325757.0,62.44
2023-01-30,426.15,448.0,426.15,442.0,179116.0,45.76
2023-01-31,432.15,447.95,432.15,444.05,121056.0,60.54
2023-02-01,447.7,452.4,426.25,430.4,169724.0,49.06
2023-02-02,432.6,445.7,431.6,439.9,182043.0,57.27
2023-02-03,442.1,443.7,432.15,438.45,96034.0,58.06
2023-02-06,439.75,450.0,435.3,442.6,182067.0,58.45
2023-02-07,442.95,449.9,440.8,447.45,228071.0,65.38
2023-02-08,450.35,459.55,447.55,456.1,298300.0,56.88
2023-02-09,447.4,455.7,447.4,449.95,673790.0,73.18
2023-02-10,449.95,463.8,448.05,454.8,873473.0,67.99
2023-02-13,455.95,460.0,451.0,456.75,365348.0,55.28
2023-02-14,460.0,463.9,454.2,457.1,415579.0,58.02
2023-02-15,456.7,462.7,454.5,459.75,369902.0,77.57
2023-02-16,462.0,510.0,459.2,503.8,2453963.0,38.04
2023-02-17,506.0,533.25,501.2,517.1,2172175.0,23.25
2023-02-20,514.0,533.7,508.2,517.55,903141.0,33.13
2023-02-21,518.0,522.75,503.3,508.0,345662.0,34.63
2023-02-22,502.95,507.25,481.5,485.35,527683.0,45.77
2023-02-23,487.8,497.6,483.15,492.2,749623.0,69.89
2023-02-24,494.7,515.7,485.0,505.25,995426.0,34.73
2023-02-27,505.25,517.95,492.0,494.9,609479.0,39.3
2023-02-28,497.4,525.95,495.0,520.7,1593050.0,54.57
2023-03-01,521.95,538.0,506.4,509.7,1045012.0,37.79
2023-03-02,510.95,516.55,499.5,501.85,288493.0,37.02
2023-03-03,504.4,512.25,501.8,504.8,270812.0,38.56
2023-03-06,504.05,518.35,503.0,514.1,1136655.0,80.33
2023-03-07,504.05,518.35,503.0,514.1,1136655.0,80.33
2023-03-08,510.1,517.0,506.95,514.3,323795.0,55.13
2023-03-09,515.95,523.9,502.0,508.85,303069.0,36.57
2023-03-10,504.95,506.95,495.65,500.6,128241.0,47.26
2023-03-13,501.0,514.8,490.5,495.9,555256.0,28.78
2023-03-14,497.95,504.8,491.1,494.85,300182.0,58.85
2023-03-15,498.2,502.65,490.0,492.05,111303.0,40.94
2023-03-16,488.0,497.65,483.2,492.8,522179.0,44.26
2023-03-17,495.3,500.45,481.0,486.75,560037.0,83.91
2023-03-20,476.0,491.65,470.0,479.4,201622.0,40.46
2023-03-21,481.7,491.0,481.0,484.5,126708.0,35.31
2023-03-22,486.95,496.7,480.45,485.3,114019.0,42.6
2023-03-23,485.95,492.35,483.6,488.25,82032.0,46.46
2023-03-24,488.8,493.15,475.0,476.6,119735.0,39.22
2023-03-27,479.0,483.7,467.6,473.35,316916.0,79.24
2023-03-28,471.6,479.0,464.3,477.2,348885.0,51.31
2023-03-29,477.2,516.95,472.0,512.65,777980.0,63.96
2023-03-30,477.2,516.95,472.0,512.65,777980.0,63.96
2023-03-31,513.0,531.6,496.25,526.95,703790.0,51.03
2023-04-03,520.0,524.3,499.15,502.25,321536.0,50.37
2023-04-04,520.0,524.3,499.15,502.25,321536.0,50.37
2023-04-05,502.25,507.2,482.4,485.6,554683.0,68.84
2023-04-06,485.6,490.5,472.5,475.95,848787.0,73.6
2023-04-07,485.6,490.5,472.5,475.95,848787.0,73.6
2023-04-10,483.9,497.9,478.05,493.9,680460.0,48.86
2023-04-11,495.0,495.25,480.4,483.7,407202.0,66.17
2023-04-12,485.85,492.75,483.45,488.25,402023.0,69.4
2023-04-13,490.9,493.85,487.1,489.3,270542.0,69.99
2023-04-14,490.9,493.85,487.1,489.3,270542.0,69.99
2023-04-17,488.0,491.95,483.1,486.35,293122.0,77.7
2023-04-18,488.0,494.0,484.25,491.45,192648.0,55.65
2023-04-19,488.95,501.0,486.15,498.75,338689.0,55.36
2023-04-20,500.0,503.85,492.65,493.95,473521.0,75.03
2023-04-21,493.95,496.05,487.0,490.75,218984.0,73.29
2023-04-24,488.2,497.85,485.05,489.15,162560.0,68.06
2023-04-25,492.45,496.95,487.8,490.15,71116.0,45.48
2023-04-26,490.95,512.6,490.9,508.3,594995.0,59.82
2023-04-27,505.0,518.8,499.5,509.25,387232.0,58.91
2023-04-28,509.0,521.4,508.5,515.95,236423.0,46.2
2023-05-01,509.0,521.4,508.5,515.95,236423.0,46.2
2023-05-02,515.0,521.6,510.0,513.5,174140.0,31.62
2023-05-03,513.4,516.0,510.3,514.1,115393.0,59.97
2023-05-04,519.65,524.4,511.0,513.75,124363.0,32.81
2023-05-05,513.0,516.7,498.05,506.35,336811.0,43.67
2023-05-08,508.05,528.65,508.05,525.6,512490.0,56.41
2023-05-09,527.0,534.0,511.2,513.9,286962.0,60.82
2023-05-10,515.05,519.15,506.0,508.05,130632.0,51.1
2023-05-11,511.85,532.0,511.8,522.4,420753.0,51.84
2023-05-12,525.0,562.45,522.6,543.2,2458287.0,46.42
2023-05-15,547.4,568.75,543.45,562.55,870044.0,64.15
2023-05-16,571.0,580.0,563.0,572.5,650800.0,49.58
2023-05-17,574.95,575.8,552.75,564.2,423872.0,52.03
2023-05-18,568.7,569.6,559.1,561.6,110470.0,42.71
2023-05-19,561.0,564.65,553.95,559.4,184291.0,46.74
2023-05-22,559.95,580.1,557.65,576.6,386411.0,43.74
2023-05-23,576.95,582.0,571.85,578.35,411903.0,78.17
2023-05-24,577.95,583.7,568.45,576.55,253550.0,51.96
2023-05-25,576.55,598.0,573.85,594.85,290253.0,48.49
2023-05-26,595.0,604.0,583.05,589.8,572201.0,71.58
2023-05-29,605.0,608.0,585.0,594.7,709885.0,72.15
2023-05-30,597.9,597.9,590.85,594.4,205888.0,66.98
2023-05-31,594.4,612.5,585.0,592.35,1025474.0,62.59
2023-06-01,589.5,617.0,578.2,587.15,1030529.0,65.69
2023-06-02,592.0,612.0,577.0,582.15,835435.0,38.32
2023-06-05,589.0,607.0,588.15,603.35,466812.0,43.34
2023-06-06,609.9,615.0,600.1,611.6,437376.0,53.99
2023-06-07,615.45,615.45,599.0,607.55,439431.0,44.41
2023-06-08,608.75,614.7,603.1,605.5,245992.0,41.2
2023-06-09,608.8,611.9,605.0,607.0,524571.0,75.69
2023-06-12,609.85,627.4,607.85,619.95,834707.0,59.92
2023-06-13,625.0,639.0,619.1,627.1,1377493.0,69.7
2023-06-14,628.0,658.0,627.25,654.25,2750957.0,77.79
2023-06-15,661.0,682.9,645.05,650.65,2250688.0,52.41
2023-06-16,657.0,669.9,635.05,648.6,5565985.0,58.6
2023-06-19,651.0,651.95,629.0,638.3,493659.0,58.51
2023-06-20,639.95,653.0,635.8,650.2,484051.0,55.01
2023-06-21,651.2,663.1,647.05,661.05,811257.0,73.84
2023-06-22,664.3,664.4,636.95,645.75,348138.0,41.61
2023-06-23,647.0,667.0,631.6,661.0,1229171.0,73.73
2023-06-26,661.8,678.0,657.5,673.25,940983.0,74.35
2023-06-27,673.25,677.95,658.0,660.0,559529.0,74.83
2023-06-28,663.0,664.8,646.85,656.0,264612.0,44.2
2023-06-29,663.0,664.8,646.85,656.0,264612.0,44.2
2023-06-30,655.9,663.7,650.55,659.25,324279.0,55.48
2023-07-03,659.25,669.9,650.15,659.6,242053.0,44.02
2023-07-04,659.6,692.3,659.0,680.85,717116.0,31.6
2023-07-05,685.0,693.2,672.5,686.95,379550.0,43.88
2023-07-06,685.85,694.7,684.1,689.75,574450.0,72.34
