,Open,High,Low,Close,Volume,DeliveryPct
2025-12-10,162.5,177.49,162.0,170.09,400297561.0,55.42
2025-12-11,176.01,176.75,165.05,167.28,80339744.0,27.16
2025-12-12,166.69,169.12,153.89,165.11,102196822.0,24.92
2025-12-15,164.0,174.9,158.6,170.76,41631137.0,20.81
2025-12-16,173.57,193.44,173.57,180.29,172481762.0,8.98
2025-12-17,186.55,216.34,186.55,216.34,181034283.0,15.58
2025-12-18,226.6,254.4,206.6,235.57,298723540.0,6.89
2025-12-19,226.5,234.4,217.62,224.08,129867250.0,6.62
2025-12-22,221.98,223.65,201.68,201.68,65317885.0,19.79
2025-12-23,190.57,197.99,181.52,187.83,101424754.0,10.71
2025-12-24,187.72,197.22,187.0,197.05,50847411.0,13.95
2025-12-25,187.72,197.22,187.0,197.05,50847411.0,13.95
2025-12-26,196.0,200.81,194.02,197.84,20925399.0,14.45
2025-12-29,197.0,197.89,190.36,192.27,8029842.0,24.07
2025-12-30,192.0,192.74,185.0,186.15,7956061.0,17.88
2025-12-31,186.16,188.8,178.02,180.22,7573841.0,28.93
2026-01-01,181.12,183.88,179.1,181.58,5077902.0,17.85
2026-01-02,181.58,181.86,178.5,179.25,3321819.0,34.97
2026-01-05,179.25,188.21,177.63,182.53,10967713.0,16.63
2026-01-06,182.53,183.45,181.05,182.24,2710025.0,29.87
2026-01-07,179.71,180.0,173.13,173.13,13865514.0,42.84
2026-01-08,172.0,172.0,164.48,164.9,57420082.0,30.92
2026-01-09,164.9,173.14,164.0,170.36,23849390.0,35.79
2026-01-12,169.0,169.98,161.85,166.89,9087939.0,36.68
2026-01-13,166.75,168.74,163.04,164.77,6634060.0,51.26
2026-01-14,164.77,165.95,161.84,164.29,5822079.0,60.14
2026-01-15,164.77,165.95,161.84,164.29,5822079.0,60.14
2026-01-16,164.28,165.0,160.95,162.26,4339301.0,51.28
2026-01-19,160.0,166.5,160.0,165.47,6771826.0,34.69
2026-01-20,164.01,172.34,164.01,169.83,9324680.0,40.8
2026-01-21,166.19,175.7,165.1,173.77,7953540.0,43.25
2026-01-22,173.88,174.7,168.03,169.45,5796394.0,62.9
2026-01-23,168.51,171.29,167.5,170.31,4145536.0,59.55
2026-01-26,168.51,171.29,167.5,170.31,4145536.0,59.55
2026-01-27,168.53,170.21,161.8,163.37,4651755.0,54.66
2026-01-28,163.75,171.5,163.51,168.19,4168643.0,36.03
2026-01-29,167.05,170.81,166.0,168.18,2373424.0,43.2
2026-01-30,167.76,175.84,166.54,174.15,3689876.0,41.37
