,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,500.2,505.0,492.35,500.35,373151.0,
2016-08-23,502.0,524.35,500.7,512.3,725916.0,
2016-08-24,514.55,528.7,513.0,523.55,399373.0,
2016-08-25,521.6,539.6,517.1,533.45,599266.0,
2016-08-26,535.0,551.0,530.35,547.65,652186.0,
2016-08-29,545.0,549.95,530.3,546.6,345259.0,
2016-08-30,548.6,569.45,546.4,565.35,590885.0,
2016-08-31,568.8,583.4,562.4,579.8,911811.0,
2016-09-01,580.0,580.0,552.7,568.95,417767.0,
2016-09-02,568.95,574.75,555.1,572.05,253070.0,
2016-09-06,573.5,604.8,567.9,595.7,570890.0,
2016-09-07,597.0,599.75,575.0,580.25,436791.0,
2016-09-08,582.0,628.0,582.0,599.1,1380728.0,
2016-09-09,600.0,602.75,582.0,593.95,316996.0,
2016-09-12,585.0,609.75,581.55,605.3,537563.0,
2016-09-14,606.05,619.65,602.4,606.8,291254.0,
2016-09-15,603.7,612.8,583.1,599.4,478466.0,
2016-09-16,604.5,606.8,580.1,586.45,585602.0,
2016-09-19,575.15,584.6,568.0,570.1,643819.0,
2016-09-20,574.0,577.2,566.4,569.1,374039.0,
2016-09-21,569.5,574.0,564.5,567.75,186871.0,
2016-09-22,574.4,574.75,566.1,569.1,317259.0,
2016-09-23,571.75,592.0,564.0,565.6,839516.0,
2016-09-26,565.7,569.5,558.15,560.25,663353.0,
2016-09-27,565.0,569.8,550.5,552.15,644953.0,
2016-09-28,549.5,563.0,548.3,551.7,311038.0,
2016-09-29,558.8,560.0,536.25,553.95,524669.0,
2016-09-30,548.1,564.0,540.0,555.6,290786.0,
2016-10-03,563.75,564.0,555.0,558.55,351677.0,
2016-10-04,558.6,560.0,553.0,558.4,308422.0,
2016-10-05,558.55,569.15,553.0,562.25,493393.0,
2016-10-06,561.0,564.0,551.65,555.1,179105.0,
2016-10-07,554.9,556.75,545.35,549.35,181694.0,
2016-10-10,549.0,552.85,542.0,543.65,127819.0,
2016-10-13,548.0,562.5,537.85,549.95,350066.0,
2016-10-14,552.0,559.5,548.95,553.5,188065.0,
2016-10-17,555.0,558.0,533.7,538.85,610149.0,
2016-10-18,545.0,566.6,542.2,553.75,2184795.0,
2016-10-19,558.5,560.0,551.25,555.6,178953.0,
2016-10-20,554.0,562.9,552.35,558.15,284291.0,
2016-10-21,558.2,573.75,556.65,561.8,1666476.0,
2016-10-24,564.8,564.8,554.0,558.55,108849.0,
2016-10-25,555.0,560.0,551.2,555.3,122347.0,
2016-10-26,555.0,555.0,545.1,550.0,139126.0,
2016-10-27,550.05,560.0,546.0,556.9,163137.0,
2016-10-28,556.95,568.0,548.3,562.8,129780.0,
2016-11-01,563.2,565.95,555.0,558.2,209488.0,
2016-11-02,556.0,560.0,541.55,546.85,115203.0,
2016-11-03,547.0,553.0,537.55,540.7,96904.0,
2016-11-04,540.75,551.55,522.2,542.0,275404.0,
2016-11-07,543.05,555.0,536.1,551.65,120625.0,
2016-11-08,551.65,567.7,550.05,565.15,555289.0,
2016-11-09,538.0,559.5,520.0,554.9,574309.0,
2016-11-10,564.9,580.0,559.85,573.2,832728.0,
2016-11-11,570.8,570.8,545.25,558.0,155492.0,
2016-11-15,547.0,548.85,485.95,492.9,565024.0,
2016-11-16,502.5,537.95,495.3,532.55,637364.0,
2016-11-17,530.0,546.95,510.1,525.8,441016.0,
2016-11-18,524.0,536.65,520.15,524.5,216452.0,
2016-11-21,522.0,528.8,499.0,504.35,132759.0,
2016-11-22,510.0,537.95,509.45,531.4,234303.0,
2016-11-23,533.05,554.0,520.0,548.65,179716.0,
2016-11-24,536.0,548.0,531.15,540.2,273286.0,
2016-11-25,540.0,545.65,532.0,536.3,72569.0,
2016-11-28,531.0,542.95,531.0,538.7,44574.0,
2016-11-29,541.9,560.0,539.0,558.1,259551.0,
2016-11-30,556.9,556.9,526.3,534.05,302325.0,
2016-12-01,539.9,549.0,532.4,545.8,223009.0,
2016-12-02,543.95,546.0,530.0,532.85,57332.0,
2016-12-05,534.95,548.3,533.25,545.0,116770.0,
2016-12-06,543.0,549.3,536.1,544.15,154144.0,
2016-12-07,539.0,547.3,535.0,541.5,224980.0,
2016-12-08,545.0,547.5,539.25,542.55,149828.0,
2016-12-09,539.2,548.6,537.95,542.5,345420.0,
2016-12-12,542.5,548.0,536.25,545.15,479540.0,
2016-12-13,545.15,560.0,541.1,557.0,120777.0,
2016-12-14,551.5,566.6,551.5,556.7,154630.0,
2016-12-15,551.2,563.2,541.0,556.5,160434.0,
2016-12-16,553.5,562.0,547.3,559.6,135451.0,
2016-12-19,559.6,568.0,548.0,558.9,108694.0,
2016-12-20,560.0,560.75,538.5,543.05,151222.0,
2016-12-21,549.5,550.4,532.55,536.35,82494.0,
2016-12-22,534.0,539.0,527.5,530.25,122361.0,
2016-12-23,533.0,535.0,526.25,529.2,140800.0,
2016-12-26,534.95,534.95,516.75,525.45,183333.0,
2016-12-27,522.0,535.4,522.0,531.3,87924.0,
2016-12-28,534.3,541.3,529.3,532.3,86633.0,
2016-12-29,534.6,547.35,534.6,542.85,124122.0,
2016-12-30,544.5,553.8,532.0,548.75,168589.0,
2017-01-02,551.0,568.0,545.25,557.55,61775.0,
2017-01-03,556.65,561.5,551.0,555.0,109407.0,
2017-01-04,557.65,560.15,550.05,559.45,227416.0,
2017-01-05,554.0,562.8,552.0,553.65,346446.0,
2017-01-06,556.8,561.0,543.2,546.45,84924.0,
2017-01-09,546.4,551.95,541.05,543.95,124487.0,
