,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,45.85,47.25,45.55,46.1,1017698.0,
2016-08-23,46.25,47.0,45.0,46.75,591733.0,
2016-08-24,47.65,47.9,46.7,46.9,1250002.0,
2016-08-25,47.15,47.2,45.7,45.9,403645.0,
2016-08-26,46.0,46.35,44.9,45.1,324937.0,
2016-08-29,45.05,45.4,44.15,44.6,305925.0,
2016-08-30,44.95,45.65,44.75,45.0,394729.0,
2016-08-31,45.05,46.25,44.9,45.3,520052.0,
2016-09-01,45.45,45.7,44.15,44.4,320340.0,
2016-09-02,44.7,46.0,44.25,45.1,406997.0,
2016-09-06,45.65,45.65,44.8,45.05,321039.0,
2016-09-07,45.3,46.6,44.85,46.15,825317.0,
2016-09-08,46.2,47.45,45.95,46.2,633634.0,
2016-09-09,46.3,46.95,45.45,46.2,530446.0,
2016-09-12,45.05,45.65,44.75,44.9,300693.0,
2016-09-14,44.85,46.0,44.55,45.4,420144.0,
2016-09-15,47.05,48.8,46.35,47.0,1469414.0,
2016-09-16,47.4,47.9,46.0,46.2,614698.0,
2016-09-19,46.5,47.1,45.2,46.45,514936.0,
2016-09-20,46.15,46.75,45.35,46.4,452292.0,
2016-09-21,47.2,47.95,46.6,46.9,1283855.0,
2016-09-22,46.5,47.15,46.45,46.65,346829.0,
2016-09-23,46.55,47.6,46.5,46.6,437464.0,
2016-09-26,46.35,47.25,46.1,46.35,492651.0,
2016-09-27,46.65,47.4,46.0,46.15,545275.0,
2016-09-28,46.3,48.3,46.15,47.05,1783458.0,
2016-09-29,47.25,48.2,43.0,43.5,1308655.0,
2016-09-30,43.8,44.5,43.65,44.1,413768.0,
2016-10-03,44.55,45.55,44.5,45.0,436206.0,
2016-10-04,45.4,45.8,44.9,45.4,305820.0,
2016-10-05,45.4,46.15,44.9,45.45,372773.0,
2016-10-06,45.6,45.85,44.9,45.2,395430.0,
2016-10-07,44.75,45.55,44.7,45.2,549178.0,
2016-10-10,45.4,45.85,45.05,45.25,359887.0,
2016-10-13,45.0,45.0,44.1,44.4,281115.0,
2016-10-14,44.75,45.05,44.35,44.55,262682.0,
2016-10-17,44.55,44.95,44.05,44.25,298738.0,
2016-10-18,44.65,45.9,44.4,45.25,534831.0,
2016-10-19,45.1,45.5,44.8,45.15,340572.0,
2016-10-20,45.35,45.85,45.2,45.6,360721.0,
2016-10-21,45.8,46.25,45.35,45.6,398258.0,
2016-10-24,45.8,46.5,45.4,45.5,375295.0,
2016-10-25,45.7,48.6,45.15,47.95,2077901.0,
2016-10-26,47.8,47.95,46.2,46.55,696307.0,
2016-10-27,46.4,46.8,45.65,45.9,414805.0,
2016-10-28,46.1,48.25,45.7,47.05,779120.0,
2016-11-01,46.65,51.4,46.65,49.8,3271829.0,
2016-11-02,48.9,54.6,48.15,52.4,7521275.0,
2016-11-03,52.75,55.2,51.4,51.85,3110105.0,
2016-11-04,52.2,52.45,48.25,48.7,1665909.0,
2016-11-07,49.85,51.7,48.85,49.05,980345.0,
2016-11-08,49.5,50.3,45.05,47.7,882755.0,
2016-11-09,42.5,47.0,38.2,45.2,1076541.0,
2016-11-10,46.0,49.45,46.0,47.7,768848.0,
2016-11-11,47.15,47.15,45.5,45.8,556764.0,
2016-11-15,45.95,46.25,43.0,43.5,472091.0,
2016-11-16,44.8,45.45,43.0,43.5,390565.0,
2016-11-17,43.1,43.95,42.5,42.8,275251.0,
2016-11-18,42.8,43.65,42.4,43.0,265365.0,
2016-11-21,43.5,43.5,41.6,41.85,278983.0,
2016-11-22,42.5,42.9,41.0,41.4,277843.0,
2016-11-23,42.5,42.5,41.4,42.2,244582.0,
2016-11-24,41.9,45.6,41.75,44.5,1185168.0,
2016-11-25,45.15,46.2,44.75,45.45,710236.0,
2016-11-28,45.45,47.2,44.8,46.45,676945.0,
2016-11-29,46.3,47.1,45.55,46.0,335538.0,
2016-11-30,45.65,46.35,45.25,45.9,305014.0,
2016-12-01,45.9,53.7,45.7,52.3,6917120.0,
2016-12-02,51.0,51.65,48.8,49.05,1803318.0,
2016-12-05,49.1,50.65,48.2,49.45,1109392.0,
2016-12-06,49.55,50.5,49.25,49.75,830454.0,
2016-12-07,50.0,56.65,50.0,55.05,12364015.0,
2016-12-08,55.9,56.75,53.7,54.55,3890747.0,
2016-12-09,52.5,53.5,51.0,51.25,3374927.0,
2016-12-12,51.05,53.4,50.7,52.65,1791016.0,
2016-12-13,52.65,53.4,51.3,51.45,713398.0,
2016-12-14,51.6,51.9,50.0,50.15,633937.0,
2016-12-15,49.85,51.5,49.5,50.0,651394.0,
2016-12-16,50.35,50.6,49.2,49.35,518642.0,
2016-12-19,49.65,49.65,48.15,48.3,411781.0,
2016-12-20,48.6,51.15,48.1,49.35,2019896.0,
2016-12-21,49.5,50.4,48.7,48.85,729723.0,
2016-12-22,49.0,49.85,48.1,48.55,954895.0,
2016-12-23,48.55,52.7,48.15,51.4,4494314.0,
2016-12-26,50.95,55.5,50.9,52.45,5900414.0,
2016-12-27,53.25,54.4,51.6,52.35,2253049.0,
2016-12-28,53.25,54.25,52.3,52.75,2181884.0,
2016-12-29,53.25,53.35,51.6,52.35,950639.0,
