,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,477.9,493.8,474.1,480.95,57602.0,
2016-08-23,482.95,482.95,472.3,475.2,21724.0,
2016-08-24,476.0,534.75,476.0,512.8,464492.0,
2016-08-25,511.0,535.0,510.0,520.15,236910.0,
2016-08-26,518.05,525.15,501.55,505.15,68976.0,
2016-08-29,508.0,512.5,493.0,496.6,41598.0,
2016-08-30,507.3,511.85,486.25,490.3,109296.0,
2016-08-31,491.0,500.0,483.35,487.3,56813.0,
2016-09-01,485.2,515.4,485.15,496.75,116434.0,
2016-09-02,499.0,500.0,485.4,489.85,97662.0,
2016-09-06,494.0,533.8,490.2,513.9,323055.0,
2016-09-07,514.0,517.95,496.0,497.4,145690.0,
2016-09-08,497.4,505.0,486.2,499.25,58550.0,
2016-09-09,501.0,503.0,492.0,498.0,59309.0,
2016-09-12,492.0,492.0,475.2,478.05,66618.0,
2016-09-14,480.0,495.5,476.5,492.05,42033.0,
2016-09-15,489.05,497.0,485.25,488.05,37841.0,
2016-09-16,493.0,501.5,485.5,489.2,71442.0,
2016-09-19,499.0,505.0,490.2,498.95,98429.0,
2016-09-20,502.3,502.3,486.5,489.0,29904.0,
2016-09-21,488.0,497.7,460.0,492.1,49626.0,
2016-09-22,501.9,501.9,488.25,498.6,68213.0,
2016-09-23,500.0,501.0,493.05,494.95,38135.0,
2016-09-26,494.05,503.0,492.0,500.8,34834.0,
2016-09-27,500.8,500.8,484.0,485.9,51877.0,
2016-09-28,487.5,492.0,483.0,490.45,33739.0,
2016-09-29,491.85,498.9,464.95,471.25,107001.0,
2016-09-30,470.0,477.8,466.4,473.5,110923.0,
2016-10-03,471.5,508.0,471.5,501.4,106935.0,
2016-10-04,500.4,507.8,495.15,505.5,28022.0,
2016-10-05,496.15,514.0,496.0,510.9,105618.0,
2016-10-06,507.0,544.75,505.0,524.15,166054.0,
2016-10-07,520.5,543.8,520.5,532.95,77166.0,
2016-10-10,527.0,552.0,527.0,544.2,82736.0,
2016-10-13,540.0,543.95,518.0,529.0,44571.0,
2016-10-14,536.95,538.95,525.0,526.85,148033.0,
2016-10-17,531.8,552.0,526.0,541.7,92543.0,
2016-10-18,548.5,587.0,543.0,577.2,167607.0,
2016-10-19,582.0,595.0,569.0,585.75,142255.0,
2016-10-20,581.1,595.95,580.0,582.9,47784.0,
2016-10-21,587.75,631.8,582.4,607.3,382330.0,
2016-10-24,613.9,624.8,613.0,618.1,151851.0,
2016-10-25,617.0,636.0,611.0,622.8,260839.0,
2016-10-26,623.0,640.0,583.3,598.0,289429.0,
2016-10-27,629.0,634.9,575.3,580.0,423672.0,
2016-10-28,590.0,597.95,573.4,576.6,147600.0,
2016-11-01,594.8,597.0,577.5,579.75,50602.0,
2016-11-02,577.1,577.4,550.0,553.9,97067.0,
2016-11-03,553.0,561.25,531.0,533.75,78930.0,
2016-11-04,531.0,535.0,502.8,511.85,153673.0,
2016-11-07,519.0,540.0,519.0,530.35,162551.0,
2016-11-08,532.0,539.95,524.55,533.65,45951.0,
2016-11-09,475.05,529.7,441.05,522.8,92383.0,
2016-11-10,531.95,559.2,530.0,548.8,72264.0,
2016-11-11,542.6,547.0,450.0,495.85,104004.0,
2016-11-15,505.0,519.55,466.0,472.05,145410.0,
2016-11-16,479.95,510.0,466.0,476.25,127856.0,
2016-11-17,480.1,485.7,466.05,474.4,37542.0,
2016-11-18,483.9,483.9,463.7,467.3,44845.0,
2016-11-21,467.5,471.05,437.0,446.55,255362.0,
2016-11-22,453.1,467.8,447.0,461.3,47242.0,
2016-11-23,467.9,492.7,460.0,484.4,58296.0,
2016-11-24,480.6,501.0,478.1,495.45,43258.0,
2016-11-25,499.3,506.0,490.35,494.3,36081.0,
2016-11-28,487.65,504.7,484.85,500.15,36836.0,
2016-11-29,504.75,517.9,496.55,503.8,344104.0,
2016-11-30,501.0,548.25,499.1,537.2,88266.0,
2016-12-01,546.5,549.55,531.0,535.15,42180.0,
