,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,543.95,543.95,525.0,530.45,101578.0,
2016-08-23,531.0,534.0,525.1,529.9,44111.0,
2016-08-24,530.5,536.9,527.85,530.85,58788.0,
2016-08-25,535.85,535.85,530.0,530.5,74446.0,
2016-08-26,535.9,561.0,533.1,555.9,255585.0,
2016-08-29,561.8,561.8,545.0,551.65,64977.0,
2016-08-30,551.65,558.55,550.0,552.85,113294.0,
2016-08-31,557.4,576.9,551.6,567.4,439748.0,
2016-09-01,575.0,576.95,561.8,566.35,93477.0,
2016-09-02,563.95,567.85,558.65,563.2,23238.0,
2016-09-06,560.0,568.95,558.0,560.15,27402.0,
2016-09-07,560.0,568.0,545.35,550.5,50100.0,
2016-09-08,550.5,550.5,537.0,538.9,74258.0,
2016-09-09,538.95,543.15,530.2,533.2,51738.0,
2016-09-12,520.25,532.95,519.1,524.6,179686.0,
2016-09-14,529.9,535.0,512.8,516.8,50961.0,
2016-09-15,521.0,523.15,510.95,515.95,57303.0,
2016-09-16,520.0,525.45,516.0,518.95,132188.0,
2016-09-19,524.0,524.0,514.0,515.55,39436.0,
2016-09-20,517.0,522.0,502.0,504.4,57472.0,
2016-09-21,501.1,518.45,501.1,513.1,591421.0,
2016-09-22,512.5,534.0,511.4,528.4,133145.0,
2016-09-23,534.9,544.0,530.15,539.7,143549.0,
2016-09-26,537.0,543.85,526.05,533.3,116840.0,
2016-09-27,536.0,549.0,520.0,538.25,140392.0,
2016-09-28,546.0,546.0,520.0,520.9,177050.0,
2016-09-29,525.8,529.9,501.95,517.75,192692.0,
2016-09-30,513.0,525.0,510.1,519.65,88536.0,
2016-10-03,520.1,539.95,520.1,537.8,123740.0,
2016-10-04,536.0,549.5,536.0,545.15,101494.0,
2016-10-05,550.0,552.75,545.25,548.05,89228.0,
2016-10-06,550.1,552.9,531.7,544.2,56584.0,
2016-10-07,545.2,553.0,544.4,546.6,47544.0,
2016-10-10,548.0,550.0,543.0,544.55,65940.0,
2016-10-13,544.55,560.05,540.0,543.05,219945.0,
2016-10-14,541.7,555.0,541.7,546.2,84071.0,
2016-10-17,550.0,555.0,542.6,544.45,168629.0,
2016-10-18,549.95,549.95,542.35,545.8,117722.0,
2016-10-19,525.0,525.85,510.0,516.6,129349.0,
2016-10-20,517.45,524.7,517.45,522.45,77114.0,
2016-10-21,524.45,524.45,508.5,518.35,160392.0,
2016-10-24,516.0,517.65,508.9,510.45,61683.0,
2016-10-25,513.9,513.9,505.0,506.55,43384.0,
2016-10-26,509.7,512.0,501.0,507.5,43268.0,
2016-10-27,511.8,513.85,502.0,505.95,36339.0,
2016-10-28,509.5,515.0,505.0,512.6,32036.0,
2016-11-01,516.0,519.9,510.0,518.0,66765.0,
2016-11-02,511.1,525.0,505.0,522.95,111782.0,
2016-11-03,525.0,525.0,503.05,505.2,111820.0,
2016-11-04,512.0,519.85,478.05,509.4,324007.0,
2016-11-07,509.85,515.65,496.2,510.25,217631.0,
2016-11-08,503.85,520.0,502.15,515.6,134995.0,
2016-11-09,479.0,520.0,465.05,517.1,251991.0,
2016-11-10,524.0,524.0,502.1,504.3,95793.0,
2016-11-11,500.0,514.0,497.25,504.0,153108.0,
2016-11-15,507.0,507.0,491.1,499.8,229756.0,
2016-11-16,504.0,504.25,496.0,499.0,69573.0,
2016-11-17,497.9,498.8,491.5,495.95,127398.0,
2016-11-18,496.55,515.8,496.55,513.7,88918.0,
2016-11-21,514.0,523.55,506.0,518.9,248717.0,
2016-11-22,517.7,519.8,505.0,511.25,246873.0,
2016-11-23,509.1,511.3,506.5,509.8,58860.0,
2016-11-24,506.25,514.15,506.1,510.3,24661.0,
2016-11-25,510.35,522.55,509.0,520.25,122981.0,
2016-11-28,520.25,521.95,509.1,512.3,125517.0,
2016-11-29,513.0,524.0,513.0,518.55,115412.0,
2016-11-30,522.85,533.2,516.1,526.75,180286.0,
2016-12-01,529.75,530.9,524.2,529.0,73166.0,
2016-12-02,529.0,529.0,517.0,522.65,37531.0,
2016-12-05,525.0,531.0,515.05,521.1,125911.0,
2016-12-06,522.0,524.7,515.0,517.1,25495.0,
2016-12-07,519.95,521.15,509.0,512.6,32298.0,
2016-12-08,513.0,518.8,512.6,517.6,171720.0,
2016-12-09,519.0,523.0,511.0,518.05,36841.0,
2016-12-12,515.0,519.9,507.7,513.7,35313.0,
2016-12-13,513.7,523.0,506.15,519.15,159498.0,
2016-12-14,517.0,542.0,517.0,534.55,176527.0,
2016-12-15,530.0,558.0,527.25,548.9,130877.0,
2016-12-16,549.85,570.0,547.1,565.45,120539.0,
2016-12-19,568.0,579.9,560.0,565.6,178020.0,
2016-12-20,558.0,574.8,556.4,566.2,85552.0,
2016-12-21,565.9,571.9,542.2,556.2,194892.0,
2016-12-22,555.0,563.05,542.45,545.75,48560.0,
2016-12-23,542.0,564.7,540.75,559.3,72686.0,
2016-12-26,558.7,558.7,519.1,531.5,130652.0,
2016-12-27,535.25,551.8,526.8,548.5,106970.0,
2016-12-28,554.6,563.95,544.1,559.35,56512.0,
2016-12-29,555.05,570.0,547.1,566.6,94892.0,
2016-12-30,568.0,569.9,556.0,565.25,86708.0,
2017-01-02,555.1,566.4,555.0,557.65,13995.0,
2017-01-03,559.0,560.6,526.3,537.45,64167.0,
2017-01-04,543.85,543.85,532.1,534.3,38861.0,
2017-01-05,535.05,545.95,534.5,538.25,43844.0,
2017-01-06,538.0,540.0,525.0,527.15,38577.0,
2017-01-09,527.55,538.75,527.5,529.85,27114.0,
2017-01-10,533.5,536.9,529.1,534.1,38233.0,
2017-01-11,534.1,538.45,527.1,529.2,57508.0,
2017-01-12,530.0,532.05,523.05,528.15,126324.0,
2017-01-13,525.0,528.0,517.1,522.2,52872.0,
2017-01-16,522.9,525.9,517.0,519.7,72653.0,
2017-01-17,518.0,524.9,516.0,520.35,258629.0,
2017-01-18,523.0,531.5,520.6,526.1,63006.0,
2017-01-19,530.0,531.9,526.15,527.15,115233.0,
2017-01-20,527.15,528.85,518.4,523.9,99687.0,
2017-01-23,524.0,531.85,517.05,529.0,90477.0,
2017-01-24,528.0,532.55,526.2,529.35,29720.0,
2017-01-25,530.0,543.0,529.25,538.35,71123.0,
2017-01-27,557.0,565.0,551.05,560.55,280690.0,
2017-01-30,563.0,580.0,561.95,578.6,199747.0,
2017-01-31,576.0,578.9,551.4,559.25,271728.0,
2017-02-01,575.0,575.0,559.0,563.85,521693.0,
2017-02-02,568.0,572.5,561.1,564.2,258189.0,
2017-02-03,565.0,569.85,559.1,560.05,409772.0,
2017-02-06,565.9,573.0,562.0,564.55,197934.0,
2017-02-07,564.9,576.6,564.9,572.0,303913.0,
2017-02-08,573.9,575.45,564.05,565.0,305131.0,
2017-02-09,566.6,568.9,561.0,564.6,138336.0,
2017-02-10,565.5,566.0,558.0,558.95,191100.0,
2017-02-13,559.9,566.9,559.55,562.15,289180.0,
2017-02-14,565.9,582.4,565.3,579.5,363048.0,
2017-02-15,580.0,583.5,570.25,574.65,238268.0,
