,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,36299.0,36299.9,35299.95,35485.6,6810.0,
2016-08-23,35485.6,35849.95,35323.3,35744.25,8437.0,
2016-08-24,35770.0,36490.0,35700.0,36300.3,10758.0,
2016-08-25,36303.0,36800.0,36200.0,36458.85,10211.0,
2016-08-26,36500.0,36863.35,36212.0,36339.7,8695.0,
2016-08-29,36400.0,37590.1,36400.0,37471.65,15241.0,
2016-08-30,37390.0,38087.95,37288.25,37591.45,13204.0,
2016-08-31,37988.95,37988.95,37310.6,37431.8,6960.0,
2016-09-01,37750.0,37850.0,37099.5,37231.85,5262.0,
2016-09-02,37390.0,39000.0,37235.0,38852.55,21168.0,
2016-09-06,39000.0,39732.5,38903.0,39535.8,14428.0,
2016-09-07,39889.9,40337.0,39550.0,39893.6,16406.0,
2016-09-08,39880.0,40380.0,39627.1,40035.8,9369.0,
2016-09-09,40000.0,40549.85,39826.8,40201.5,13878.0,
2016-09-12,39950.0,39950.0,38695.75,39100.2,16133.0,
2016-09-14,39110.0,41000.0,39100.0,40722.85,17913.0,
2016-09-15,40825.0,41874.7,40825.0,41124.0,18371.0,
2016-09-16,41350.0,41719.95,40200.0,40507.8,18045.0,
2016-09-19,40555.0,43270.0,40520.05,43101.65,35959.0,
2016-09-20,43350.0,43921.0,42900.0,43620.5,33084.0,
2016-09-21,43450.0,44300.0,43406.9,43806.65,21206.0,
2016-09-22,44449.0,44499.0,43835.5,44375.85,15927.0,
2016-09-23,44800.0,46471.75,44114.0,45841.3,38540.0,
2016-09-26,45799.95,46349.0,45458.0,45715.45,18111.0,
2016-09-27,45759.0,46917.85,45759.0,46562.4,16890.0,
2016-09-28,46899.8,50190.0,46710.0,49753.35,64713.0,
2016-09-29,50300.0,51515.45,47860.3,48605.6,76122.0,
2016-09-30,48750.0,51150.0,48750.0,50872.55,33197.0,
2016-10-03,51810.0,52444.0,51251.45,51894.9,25479.0,
2016-10-04,52200.0,52499.0,50906.1,51226.85,19591.0,
2016-10-05,51677.0,53899.0,51200.0,53693.8,42292.0,
2016-10-06,54000.0,54650.0,53305.7,53892.8,34564.0,
2016-10-07,54530.0,54530.0,53065.0,53471.9,18743.0,
2016-10-10,53550.0,54087.15,52710.15,53034.0,12551.0,
2016-10-13,53089.9,53740.0,52600.2,53371.3,24543.0,
2016-10-14,53310.0,53550.0,52201.0,52449.0,14336.0,
2016-10-17,52549.8,52600.0,49749.05,49873.05,19866.0,
2016-10-18,50290.0,51777.0,48751.0,51627.6,39429.0,
2016-10-19,51625.0,51777.0,50380.0,50518.4,23916.0,
2016-10-20,50650.0,51502.05,49530.0,49770.05,22521.0,
2016-10-21,50187.9,51100.0,49728.55,50438.25,22623.0,
2016-10-24,50603.0,50929.0,49801.0,49949.85,8325.0,
2016-10-25,50059.0,50300.0,49710.0,50100.05,9424.0,
2016-10-26,50080.0,50771.0,49236.85,49638.55,15490.0,
2016-10-27,49800.0,50094.5,46199.95,46403.6,37965.0,
2016-10-28,46402.0,48190.0,46402.0,47955.55,24430.0,
2016-11-01,48288.0,50443.0,48001.05,50095.45,30014.0,
2016-11-02,49500.0,50239.55,48857.1,49569.1,22450.0,
2016-11-03,49300.0,50777.0,49132.9,50264.3,19387.0,
2016-11-04,50449.0,50899.0,49551.0,50179.7,22877.0,
2016-11-07,50800.0,51000.0,50350.0,50851.95,11676.0,
2016-11-08,51000.0,52400.0,50359.5,52046.7,18329.0,
2016-11-09,48200.0,52824.0,47000.0,52166.55,27056.0,
2016-11-10,52600.0,53940.0,52600.0,53515.45,13832.0,
2016-11-11,53149.1,53357.9,52010.4,52576.9,15517.0,
2016-11-15,52540.0,53050.0,49768.2,50108.3,24843.0,
2016-11-16,51004.9,51700.0,50360.0,50548.45,13312.0,
2016-11-17,50712.0,51250.0,49501.2,49876.9,11124.0,
2016-11-18,49800.0,50078.5,48889.8,49080.5,14112.0,
2016-11-21,49109.0,49500.0,46501.0,46672.35,13855.0,
2016-11-22,46860.0,47467.75,46451.0,46947.2,16524.0,
2016-11-23,47490.0,48189.6,46560.0,47513.75,14321.0,
2016-11-24,47474.0,47877.0,46832.05,47214.75,9048.0,
2016-11-25,47544.0,47775.2,47112.0,47270.5,7607.0,
2016-11-28,47399.0,48460.0,47250.0,47574.05,8314.0,
2016-11-29,47720.0,49498.0,47720.0,49118.95,13814.0,
2016-11-30,50000.0,50595.2,49500.0,49900.1,35735.0,
2016-12-01,50799.95,50799.95,48684.5,48883.3,15416.0,
2016-12-02,48790.0,49340.0,48280.0,48841.6,11376.0,
2016-12-05,48401.1,50722.3,48401.1,50469.3,16302.0,
2016-12-06,50639.0,51074.55,49861.05,50304.7,13166.0,
2016-12-07,50399.0,50705.3,49810.0,50147.8,8158.0,
2016-12-08,50401.0,51669.0,50401.0,51416.55,10465.0,
2016-12-09,51656.0,53448.0,51286.4,53033.5,17815.0,
2016-12-12,52701.0,52996.8,52001.0,52235.0,8233.0,
2016-12-13,52549.0,53350.0,52320.0,52424.2,11944.0,
2016-12-14,52216.0,52999.0,52216.0,52759.7,7681.0,
2016-12-15,53000.0,53270.0,52400.0,52613.4,14182.0,
2016-12-16,52920.0,52996.9,51980.3,52154.7,13605.0,
2016-12-19,52387.0,52387.0,51431.0,51561.55,4267.0,
2016-12-20,51434.0,51923.95,49680.0,49825.3,12476.0,
2016-12-21,50188.0,50188.0,48800.0,48855.15,11398.0,
