,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,80.0,81.35,78.6,78.85,503761.0,
2016-08-23,79.6,80.35,79.05,80.0,488359.0,
2016-08-24,80.0,81.0,78.0,78.5,796885.0,
2016-08-25,80.0,80.75,77.4,77.95,1429215.0,
2016-08-26,78.5,78.75,76.15,76.5,475004.0,
2016-08-29,77.25,80.25,76.6,79.3,1486520.0,
2016-08-30,79.0,80.4,78.5,78.9,652074.0,
2016-08-31,78.55,79.85,77.75,78.15,579537.0,
2016-09-01,78.6,81.9,78.5,80.05,1669175.0,
2016-09-02,80.0,81.8,78.55,79.1,1148909.0,
2016-09-06,81.9,84.35,81.85,83.75,3018359.0,
2016-09-07,84.0,84.55,81.55,82.15,694813.0,
2016-09-08,82.5,84.5,80.75,83.65,1058492.0,
2016-09-09,83.7,86.7,82.75,84.35,1993932.0,
2016-09-12,81.1,82.95,81.1,82.4,1131811.0,
2016-09-14,83.25,83.95,81.95,83.05,1708202.0,
2016-09-15,83.65,84.75,82.3,83.0,555778.0,
2016-09-16,83.45,87.9,82.3,86.3,1825002.0,
2016-09-19,87.2,90.0,87.05,89.5,2030392.0,
2016-09-20,89.25,91.4,89.0,89.6,1269085.0,
2016-09-21,89.5,91.5,88.15,89.35,699679.0,
2016-09-22,90.4,91.0,88.4,89.3,585839.0,
2016-09-23,90.0,90.05,88.45,88.6,537367.0,
2016-09-26,88.7,90.5,88.05,88.55,546993.0,
2016-09-27,89.25,90.4,88.5,88.6,557843.0,
2016-09-28,89.4,89.95,88.5,88.8,400455.0,
2016-09-29,89.8,90.55,81.0,83.05,1363967.0,
2016-09-30,83.9,86.95,83.1,86.4,533488.0,
2016-10-03,87.4,89.65,87.0,88.65,1432908.0,
2016-10-04,89.4,89.8,88.7,89.4,588711.0,
2016-10-05,89.5,91.75,89.0,89.65,1000571.0,
2016-10-06,90.3,90.65,87.9,88.45,909725.0,
2016-10-07,90.75,97.45,89.8,93.1,4815585.0,
2016-10-10,93.8,95.35,92.0,94.25,1292701.0,
2016-10-13,94.4,96.7,92.05,93.6,1121511.0,
2016-10-14,93.5,94.5,91.75,92.3,454291.0,
2016-10-17,92.9,93.75,90.0,90.7,584209.0,
2016-10-18,91.7,92.45,89.1,90.65,597466.0,
2016-10-19,90.8,94.2,90.8,91.85,1156881.0,
2016-10-20,92.45,92.7,91.15,91.4,301537.0,
2016-10-21,91.85,92.0,88.65,89.25,468231.0,
2016-10-24,89.7,91.5,89.3,90.15,584214.0,
2016-10-25,90.5,94.5,89.75,92.9,1174830.0,
2016-10-26,93.35,93.65,91.0,92.05,475799.0,
2016-10-27,91.6,93.45,91.1,92.7,465309.0,
2016-10-28,92.5,93.3,89.3,90.3,669887.0,
2016-11-01,92.0,92.5,90.7,91.35,451787.0,
2016-11-02,91.0,91.0,89.25,90.3,538027.0,
2016-11-03,90.05,91.9,89.8,90.3,394583.0,
2016-11-04,90.95,91.0,87.45,89.0,493133.0,
2016-11-07,90.65,90.65,88.65,88.95,285117.0,
2016-11-08,89.9,89.9,88.1,88.55,338561.0,
2016-11-09,80.0,87.7,78.3,86.85,618540.0,
2016-11-10,90.0,90.05,86.8,88.0,424624.0,
2016-11-11,88.1,88.45,86.2,86.7,281434.0,
2016-11-15,86.5,87.5,85.0,86.05,267764.0,
2016-11-16,86.05,87.5,85.55,86.7,218561.0,
2016-11-17,86.7,87.5,86.0,86.75,165613.0,
2016-11-18,86.9,88.15,85.1,85.45,666720.0,
2016-11-21,86.35,86.55,81.3,81.85,176616.0,
