,Open,High,Low,Close,Volume,DeliveryPct
2022-04-11,72.5,74.8,69.6,72.95,21456841.0,68.66
2022-04-12,72.95,73.35,68.0,69.3,6975535.0,71.98
2022-04-13,69.5,73.8,69.0,73.05,8610420.0,49.75
2022-04-14,69.5,73.8,69.0,73.05,8610420.0,49.75
2022-04-15,69.5,73.8,69.0,73.05,8610420.0,49.75
2022-04-18,72.0,72.5,68.55,68.9,8575398.0,57.39
2022-04-19,69.25,70.0,64.0,65.55,6009175.0,59.48
2022-04-20,65.75,66.9,64.6,66.45,5191796.0,63.19
2022-04-21,66.7,69.7,66.7,68.95,4794597.0,62.52
2022-04-22,68.4,71.6,67.0,71.05,10983404.0,71.8
2022-04-25,69.55,72.1,69.35,70.05,6143817.0,54.9
2022-04-26,71.4,76.0,68.95,74.3,15921204.0,46.87
2022-04-27,73.5,73.95,71.1,71.55,7375668.0,61.03
2022-04-28,72.3,72.65,69.0,70.65,4471669.0,60.73
2022-04-29,70.75,71.0,68.35,69.5,4832692.0,61.54
2022-05-02,68.2,69.9,66.9,69.6,2784419.0,60.95
2022-05-03,68.2,69.9,66.9,69.6,2784419.0,60.95
2022-05-04,70.3,70.4,67.0,67.4,2785058.0,73.42
2022-05-05,67.4,69.95,66.75,69.55,6621627.0,71.45
2022-05-06,67.0,67.9,65.3,67.5,3757367.0,71.2
2022-05-09,66.0,67.25,65.0,66.1,4048732.0,63.1
2022-05-10,66.0,67.2,64.2,64.85,4323892.0,68.45
2022-05-11,65.9,65.95,62.05,63.1,6219377.0,78.06
2022-05-12,61.25,62.1,58.65,60.4,7162504.0,67.09
2022-05-13,61.2,64.6,61.2,62.45,3354650.0,59.21
2022-05-16,63.6,63.6,59.6,61.4,3442740.0,64.03
2022-05-17,61.4,63.9,60.3,63.35,2973933.0,59.04
2022-05-18,64.7,64.7,62.4,63.3,2230813.0,60.82
2022-05-19,61.9,62.9,60.25,62.15,2455948.0,61.49
2022-05-20,63.0,63.25,61.65,62.05,4453522.0,78.37
2022-05-23,62.7,63.3,61.3,62.5,4399785.0,78.58
2022-05-24,63.5,63.5,61.25,62.75,5199484.0,80.71
2022-05-25,63.2,63.45,60.15,60.5,4325276.0,68.89
2022-05-26,61.5,62.5,59.2,61.9,4228760.0,58.36
2022-05-27,61.0,64.25,60.5,63.8,6555193.0,68.35
2022-05-30,64.5,65.4,62.75,64.55,3113045.0,74.58
2022-05-31,64.0,66.35,63.9,65.6,7387067.0,68.86
2022-06-01,66.2,66.65,63.55,64.5,4778728.0,64.25
2022-06-02,64.5,64.55,63.4,63.55,3058644.0,75.05
2022-06-03,64.2,64.95,62.6,64.1,7358007.0,67.58
2022-06-06,64.15,65.95,62.8,65.5,2595473.0,62.99
2022-06-07,64.6,65.7,63.1,65.25,4170043.0,61.32
2022-06-08,65.0,65.8,64.25,65.35,4723580.0,57.28
2022-06-09,64.3,65.85,64.1,65.15,2549272.0,58.33
2022-06-10,64.2,66.2,63.9,64.75,19296150.0,89.46
2022-06-13,63.5,65.1,63.3,64.0,2797579.0,55.91
2022-06-14,63.9,64.55,62.5,63.05,4864551.0,66.43
2022-06-15,63.25,64.05,60.6,62.55,13195458.0,78.74
2022-06-16,63.3,63.85,60.6,62.45,6236325.0,66.21
2022-06-17,61.15,62.15,59.2,60.0,10955082.0,80.33
2022-06-20,60.3,61.75,59.3,60.55,2177706.0,47.82
2022-06-21,61.45,63.95,60.7,63.7,2497242.0,58.93
2022-06-22,63.6,64.1,62.25,63.95,1888007.0,60.27
2022-06-23,64.0,66.95,63.15,66.35,2742269.0,67.73
2022-06-24,66.9,68.1,65.75,67.95,2235448.0,62.03
2022-06-27,68.6,69.5,67.0,67.3,7084828.0,85.98
2022-06-28,66.45,69.4,65.2,68.85,9168694.0,79.33
2022-06-29,68.0,70.4,67.25,69.85,7327508.0,73.1
2022-06-30,69.7,71.8,69.4,70.4,4385425.0,63.31
2022-07-01,70.65,70.65,68.95,70.05,2203462.0,62.91
2022-07-04,69.9,74.5,69.8,74.1,5417415.0,63.62
2022-07-05,74.35,77.8,74.05,75.6,9406058.0,60.54
2022-07-06,75.5,78.5,75.0,77.8,6089135.0,50.76
2022-07-07,78.55,79.4,74.4,74.85,4719178.0,57.69
2022-07-08,74.85,75.85,73.1,73.7,3106973.0,52.87
2022-07-11,72.15,79.0,72.15,77.8,6043447.0,63.89
2022-07-12,77.9,79.65,76.8,77.35,6282682.0,57.09
2022-07-13,77.6,78.25,76.7,77.35,2055050.0,56.85
2022-07-14,77.0,79.3,77.0,78.9,4664221.0,68.65
2022-07-15,79.3,81.3,79.1,79.9,5393530.0,72.53
2022-07-18,80.5,81.65,79.3,79.65,3435504.0,59.2
2022-07-19,79.9,79.9,75.55,76.5,3825906.0,51.49
2022-07-20,77.7,78.9,76.6,77.8,2890505.0,60.05
2022-07-21,77.75,82.7,77.0,81.55,5511842.0,56.92
2022-07-22,81.65,81.7,79.65,80.6,2430643.0,44.13
2022-07-25,80.95,82.2,79.2,80.25,2073154.0,44.6
2022-07-26,80.6,80.6,78.6,79.9,2445065.0,62.51
2022-07-27,79.9,80.65,78.7,79.9,2093221.0,59.95
2022-07-28,80.3,81.3,79.5,79.9,2694779.0,64.03
2022-07-29,80.05,80.45,76.4,77.3,3550442.0,67.27
2022-08-01,77.5,79.0,76.8,77.15,2767238.0,59.9
2022-08-02,77.1,78.45,76.1,77.5,2575239.0,62.49
2022-08-03,77.5,79.4,77.2,77.5,3349041.0,66.1
2022-08-04,77.75,79.9,76.3,79.45,6198585.0,69.4
2022-08-05,80.1,84.4,79.05,79.45,8896646.0,36.63
2022-08-10,79.0,80.8,78.75,79.85,5292212.0,71.51
2022-08-11,80.7,80.9,78.4,78.9,6006151.0,66.67
2022-08-12,78.05,78.6,77.4,78.3,1521151.0,44.52
2022-08-15,78.05,78.6,77.4,78.3,1521151.0,44.52
2022-08-16,78.95,81.6,78.35,80.25,6534623.0,49.5
2022-08-17,80.65,80.95,79.35,79.9,3048428.0,51.83
2022-08-18,79.9,82.0,79.2,79.6,3549318.0,56.98
2022-08-19,80.2,80.5,76.75,78.0,5014295.0,67.94
2022-08-22,78.0,79.0,77.6,78.15,2989637.0,54.4
2022-08-23,78.2,80.8,77.75,80.25,9149543.0,76.43
2022-08-24,80.8,82.0,79.05,79.4,4331696.0,50.61
2022-08-25,79.8,81.2,78.15,79.7,8691268.0,65.53
2022-08-26,80.0,80.85,79.9,79.95,1915892.0,50.79
2022-08-29,78.0,79.5,77.55,78.3,3993551.0,70.43
2022-08-30,79.5,87.65,79.05,81.5,10749362.0,49.19
2022-08-31,79.5,87.65,79.05,81.5,10749362.0,49.19
2022-09-01,81.4,83.4,79.1,79.55,5504919.0,54.82
2022-09-02,80.35,84.6,80.05,81.8,16423982.0,77.76
2022-09-05,82.6,84.95,81.15,83.3,7164658.0,53.28
2022-09-06,84.85,86.15,83.8,84.35,8337476.0,64.27
2022-09-07,84.2,87.0,83.8,84.75,8558897.0,56.45
2022-09-08,85.95,93.75,85.5,89.7,17990399.0,47.27
2022-09-09,91.0,94.05,90.65,91.1,13080791.0,64.4
2022-09-12,92.05,92.05,89.35,89.7,5331954.0,61.89
2022-09-13,90.45,91.75,89.8,91.25,9812046.0,78.56
2022-09-14,89.5,91.15,89.05,89.95,7071218.0,73.28
2022-09-15,90.5,92.0,89.3,91.05,3455737.0,59.68
2022-09-16,91.5,91.5,85.2,86.8,46905250.0,77.87
2022-09-19,89.45,90.3,87.4,87.95,2846975.0,47.83
2022-09-20,88.35,89.65,87.2,87.8,1657215.0,40.79
2022-09-21,88.0,90.25,86.15,86.8,3653192.0,44.99
2022-09-22,86.45,89.5,85.85,88.85,3786210.0,47.07
2022-09-23,89.45,89.45,85.5,86.0,2198523.0,51.89
2022-09-26,84.35,85.9,82.0,84.6,6545341.0,65.08
2022-09-27,85.8,86.4,83.65,84.3,3312620.0,67.26
2022-09-28,89.0,89.8,84.15,84.75,9190825.0,38.73
2022-09-29,86.4,88.45,84.75,86.65,5137185.0,60.92
2022-09-30,87.2,88.6,85.35,87.5,7628317.0,55.98
2022-10-03,87.6,89.1,86.7,87.55,6430820.0,72.11
2022-10-04,88.65,88.65,86.75,87.2,1982588.0,61.32
2022-10-05,88.65,88.65,86.75,87.2,1982588.0,61.32
2022-10-06,88.0,89.5,87.55,87.8,2191228.0,51.81
2022-10-07,87.8,88.15,86.8,87.05,2210023.0,73.2
2022-10-10,87.0,88.25,86.15,86.8,1826490.0,51.08
2022-10-11,87.0,87.4,85.15,85.7,1802649.0,63.18
2022-10-12,86.0,87.1,85.65,85.95,1506149.0,55.88
2022-10-13,85.95,88.0,85.75,87.25,2746967.0,58.86
2022-10-14,88.0,90.65,87.65,88.75,2403533.0,54.67
2022-10-17,88.95,89.2,88.15,88.65,814677.0,47.47
2022-10-18,88.8,89.6,86.8,87.1,1719818.0,57.03
2022-10-19,87.45,89.9,87.2,89.15,2359465.0,58.88
2022-10-20,89.0,89.25,87.3,87.65,1342945.0,54.86
2022-10-21,88.1,88.3,85.1,85.6,3042795.0,62.36
2022-10-24,86.75,87.3,86.15,86.85,286712.0,70.31
2022-10-25,86.25,87.25,85.7,86.3,1095353.0,63.99
2022-10-26,86.25,87.25,85.7,86.3,1095353.0,63.99
2022-10-27,86.75,87.1,85.5,86.25,3019357.0,79.99
2022-10-28,86.25,87.7,80.9,84.35,2760439.0,63.36
2022-10-31,84.95,89.4,84.55,87.5,8267553.0,45.94
2022-11-01,84.4,85.65,81.9,82.65,10010599.0,71.74
2022-11-02,82.7,83.45,81.7,82.4,2351545.0,59.02
2022-11-03,82.0,82.8,80.35,81.25,5342300.0,79.33
2022-11-04,81.25,81.8,80.6,81.0,5898557.0,75.25
2022-11-07,82.0,83.7,81.65,82.7,2803783.0,60.22
2022-11-08,82.0,83.7,81.65,82.7,2803783.0,60.22
2022-11-09,84.0,84.1,82.1,83.0,2801865.0,61.6
2022-11-10,83.0,83.2,81.35,82.6,1781644.0,63.98
2022-11-11,83.95,84.25,82.65,83.05,2318136.0,60.46
2022-11-14,83.75,84.1,82.0,82.95,2728754.0,58.2
2022-11-15,83.55,83.55,68.1,83.0,2919993.0,69.83
2022-11-16,65.0,71.15,60.15,60.65,14143868.0,42.98
2022-11-17,60.95,61.5,59.8,60.5,2405309.0,40.64
2022-11-18,60.8,60.8,58.35,59.05,2559228.0,51.87
2022-11-21,59.3,59.3,57.5,57.95,4210775.0,75.93
2022-11-22,58.0,58.2,57.4,58.0,1386850.0,77.41
2022-11-23,58.25,58.35,57.1,57.6,2025665.0,73.54
2022-11-24,57.95,58.5,57.55,58.0,1750156.0,59.84
2022-11-25,58.25,58.4,56.9,57.05,1918634.0,74.05
2022-11-28,57.2,60.1,57.05,59.75,6092457.0,72.23
2022-11-29,59.75,60.65,59.65,60.05,6848467.0,80.4
2022-11-30,60.05,62.3,59.7,61.45,8233966.0,77.23
2022-12-01,61.7,61.7,60.0,60.05,3511167.0,71.87
2022-12-02,60.0,60.4,59.05,60.2,2698366.0,62.23
2022-12-05,60.5,61.0,59.9,60.8,2173218.0,70.31
2022-12-06,60.8,61.0,60.1,60.5,3508505.0,75.6
2022-12-07,60.5,60.65,59.8,60.05,1790131.0,60.9
2022-12-08,60.35,60.4,59.7,60.05,1202132.0,64.17
2022-12-09,60.1,60.35,59.6,60.05,1609780.0,61.93
2022-12-12,60.2,60.45,58.9,59.2,4178169.0,66.5
2022-12-13,59.55,61.65,59.35,60.95,4320161.0,65.0
2022-12-14,61.35,63.4,61.05,62.3,7786019.0,62.4
2022-12-15,62.05,62.85,60.5,60.8,1853553.0,67.36
2022-12-16,60.1,60.6,58.3,58.9,2864136.0,65.3
2022-12-19,59.4,59.4,57.95,58.45,5531641.0,89.3
2022-12-20,58.5,58.8,57.6,58.5,3866600.0,76.41
2022-12-21,58.65,59.35,57.5,57.8,1948682.0,65.64
2022-12-22,58.0,58.25,56.2,57.4,2435859.0,65.68
2022-12-23,56.95,56.95,54.3,55.9,14832618.0,84.97
2022-12-26,55.9,59.0,54.8,57.1,3082821.0,46.23
2022-12-27,57.6,59.7,57.3,59.05,2093963.0,49.21
2022-12-28,59.15,59.25,57.7,57.9,3616049.0,72.29
2022-12-29,57.5,58.2,57.25,57.85,3536364.0,79.77
2022-12-30,58.5,58.9,58.0,58.3,1602372.0,61.48
2023-01-02,58.35,58.75,57.85,58.15,1589575.0,66.1
2023-01-03,58.25,58.75,57.35,57.5,5934425.0,84.06
2023-01-04,57.75,57.8,56.5,56.65,2244573.0,67.99
2023-01-05,56.85,57.0,56.05,56.7,1684149.0,58.63
2023-01-06,56.5,57.05,54.7,55.1,3719971.0,74.28
2023-01-09,55.7,56.1,54.95,55.6,6615801.0,80.2
2023-01-10,55.45,55.9,54.95,55.1,1505761.0,66.12
2023-01-11,55.35,55.4,53.5,53.9,4741646.0,72.55
2023-01-12,54.2,54.35,52.15,52.5,8548988.0,67.1
2023-01-13,52.8,52.8,49.75,52.0,27757957.0,75.85
2023-01-16,52.4,52.8,51.8,52.15,4558520.0,63.0
2023-01-17,51.95,52.65,51.65,52.0,5684675.0,78.66
2023-01-18,52.05,52.35,51.8,52.0,12329919.0,83.27
