,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,352.2,353.0,338.25,342.2,851607.0,
2016-08-23,343.55,344.8,333.15,334.35,748644.0,
2016-08-24,334.5,341.25,333.0,336.6,787271.0,
2016-08-25,338.0,338.6,323.5,325.8,990183.0,
2016-08-26,328.95,342.5,326.0,335.55,2293655.0,
2016-08-29,334.0,340.75,331.2,339.45,1152717.0,
2016-08-30,341.75,356.4,340.9,354.2,1182006.0,
2016-08-31,357.75,383.3,357.2,375.75,2225380.0,
2016-09-01,376.8,376.8,359.25,363.4,777742.0,
2016-09-02,361.0,366.15,358.35,360.05,560280.0,
2016-09-06,362.6,367.25,356.3,358.2,700729.0,
2016-09-07,360.0,370.9,359.35,368.2,1165248.0,
2016-09-08,371.0,379.8,366.3,374.75,1111549.0,
2016-09-09,377.0,377.2,363.4,366.4,644622.0,
2016-09-12,358.0,358.5,346.6,349.0,425190.0,
2016-09-14,349.0,349.0,330.2,335.8,1077557.0,
2016-09-15,335.0,351.5,335.0,344.85,569726.0,
2016-09-16,350.0,354.9,338.5,342.8,826818.0,
2016-09-19,343.1,352.0,343.1,349.5,600986.0,
2016-09-20,350.0,357.8,349.95,354.1,380026.0,
2016-09-21,359.95,368.0,356.3,363.35,838152.0,
2016-09-22,366.2,388.9,365.0,385.4,1224821.0,
2016-09-23,386.0,387.0,369.0,375.0,1433927.0,
2016-09-26,372.25,372.25,363.85,368.2,408277.0,
2016-09-27,374.0,379.85,370.1,373.3,760818.0,
2016-09-28,374.0,376.65,362.0,364.3,415555.0,
2016-09-29,366.35,369.85,337.15,341.85,700802.0,
2016-09-30,334.15,356.45,334.15,348.8,535178.0,
2016-10-03,354.7,356.0,348.0,351.1,914692.0,
2016-10-04,352.0,354.0,345.1,349.55,355676.0,
2016-10-05,350.0,352.75,344.2,345.7,291600.0,
2016-10-06,348.0,348.0,339.0,341.25,274981.0,
2016-10-07,344.7,344.7,336.35,338.85,192175.0,
2016-10-10,339.4,346.45,334.15,343.7,371824.0,
2016-10-13,344.0,351.25,337.6,343.0,874215.0,
2016-10-14,345.8,352.0,344.0,350.1,675983.0,
2016-10-17,356.9,357.0,345.6,347.3,309914.0,
2016-10-18,351.0,354.35,348.45,351.5,751137.0,
2016-10-19,354.95,354.95,342.65,344.6,347117.0,
2016-10-20,345.5,352.5,345.5,349.25,553749.0,
2016-10-21,349.05,350.05,345.1,346.1,134688.0,
2016-10-24,348.7,367.8,346.55,365.65,1597576.0,
2016-10-25,369.0,377.35,367.2,369.85,1128239.0,
2016-10-26,365.5,369.0,361.1,363.3,208112.0,
2016-10-27,361.4,361.7,353.55,356.7,210513.0,
2016-10-28,356.0,368.4,355.15,358.9,386541.0,
2016-11-01,373.65,373.65,358.65,361.75,284010.0,
2016-11-02,359.9,364.5,342.25,352.65,311317.0,
2016-11-03,352.7,356.95,348.0,351.1,235472.0,
2016-11-04,351.55,354.75,336.15,343.6,278305.0,
2016-11-07,354.0,357.0,347.15,353.75,198691.0,
2016-11-08,356.0,373.8,354.9,361.85,929654.0,
2016-11-09,326.0,368.0,290.0,358.55,1124609.0,
