,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,47.9,48.5,47.4,47.95,497830.0,
2016-08-23,47.95,48.35,47.2,47.55,445583.0,
2016-08-24,47.75,48.35,47.45,47.6,366490.0,
2016-08-25,47.85,48.2,47.0,47.15,570623.0,
2016-08-26,47.4,47.45,46.6,46.75,363150.0,
2016-08-29,46.9,46.9,46.3,46.6,292591.0,
2016-08-30,46.9,49.2,46.8,48.65,881424.0,
2016-08-31,49.0,49.55,46.7,47.1,692335.0,
2016-09-01,47.05,47.5,46.1,46.55,426611.0,
2016-09-02,46.7,47.5,46.3,46.9,339198.0,
2016-09-06,47.25,48.35,47.1,47.95,470752.0,
2016-09-07,48.3,49.5,47.55,49.15,993950.0,
2016-09-08,49.3,51.3,48.8,50.65,1603308.0,
2016-09-09,50.9,50.9,48.8,49.4,799098.0,
2016-09-12,48.0,48.9,46.75,47.1,610208.0,
2016-09-14,45.8,46.9,45.6,46.2,1013004.0,
2016-09-15,46.1,47.0,45.9,46.05,832878.0,
2016-09-16,46.3,47.4,43.75,44.5,2992423.0,
2016-09-19,44.95,45.9,44.85,45.7,559780.0,
2016-09-20,46.0,46.35,45.5,45.9,342229.0,
2016-09-21,46.15,46.75,45.9,46.4,318897.0,
2016-09-22,46.7,46.95,45.4,45.7,712690.0,
2016-09-23,46.25,46.4,45.55,46.0,476818.0,
2016-09-26,46.0,46.4,45.6,45.95,331759.0,
2016-09-27,45.5,46.1,45.4,45.7,987091.0,
2016-09-28,45.9,46.85,45.65,46.45,530475.0,
2016-09-29,46.65,46.9,42.65,45.5,1378285.0,
2016-09-30,46.0,46.75,44.55,45.75,1176126.0,
2016-10-03,46.0,46.9,45.55,46.3,759508.0,
2016-10-04,46.55,49.0,46.5,47.25,1936847.0,
2016-10-05,47.8,48.8,47.25,48.1,1127602.0,
2016-10-06,48.2,49.5,47.4,47.95,1438185.0,
2016-10-07,47.75,49.5,47.6,49.1,1109440.0,
2016-10-10,52.0,52.7,51.05,52.4,4091913.0,
2016-10-13,52.7,53.4,50.0,50.65,2373864.0,
2016-10-14,50.65,52.0,50.65,51.7,993639.0,
2016-10-17,51.2,52.45,50.25,50.8,978883.0,
2016-10-18,50.8,52.4,50.1,51.15,1118853.0,
2016-10-19,52.25,52.8,51.15,51.45,1339297.0,
2016-10-20,52.25,52.4,51.1,51.35,1268715.0,
2016-10-21,51.55,52.0,50.7,50.95,777764.0,
2016-10-24,51.25,51.5,50.25,50.4,556883.0,
2016-10-25,50.6,50.75,49.3,49.95,568634.0,
2016-10-26,50.3,51.65,49.65,50.4,894230.0,
2016-10-27,50.2,50.75,49.55,49.8,553666.0,
2016-10-28,50.2,53.7,49.8,53.3,2759286.0,
2016-11-01,54.5,56.3,54.15,55.1,3296102.0,
2016-11-02,54.25,55.8,53.35,54.45,2820703.0,
2016-11-03,54.7,56.65,52.6,53.15,3450306.0,
2016-11-04,53.0,53.75,50.7,51.45,1328228.0,
2016-11-07,51.9,53.0,51.5,51.85,1166309.0,
2016-11-08,52.0,52.35,51.4,51.9,718809.0,
2016-11-09,47.1,51.8,45.0,51.35,2625645.0,
2016-11-10,52.5,54.0,52.5,52.75,1698214.0,
2016-11-11,52.2,52.7,50.4,50.8,872609.0,
2016-11-15,51.1,52.0,48.45,49.1,852118.0,
2016-11-16,50.3,50.3,48.25,48.4,396174.0,
2016-11-17,48.8,50.35,48.25,49.6,905067.0,
2016-11-18,49.75,50.45,49.45,50.15,994322.0,
2016-11-21,50.65,51.2,48.35,49.0,865062.0,
2016-11-22,49.55,52.65,49.0,52.0,1044508.0,
2016-11-23,52.5,52.5,50.8,51.9,716207.0,
2016-11-24,51.75,53.5,51.1,52.95,1351041.0,
2016-11-25,54.75,58.0,54.65,57.0,5526339.0,
2016-11-28,56.9,58.45,55.85,57.45,1959707.0,
2016-11-29,58.1,58.9,57.0,57.6,1793416.0,
2016-11-30,57.4,57.5,56.0,57.1,1098915.0,
2016-12-01,57.3,57.65,55.3,55.6,1274551.0,
2016-12-02,55.0,55.8,53.65,54.25,1008865.0,
2016-12-05,54.75,57.3,54.0,56.2,1373901.0,
2016-12-06,56.3,62.4,56.3,61.75,7457695.0,
2016-12-07,62.6,69.8,62.35,69.25,21003895.0,
2016-12-08,70.35,73.15,66.6,67.15,9095983.0,
