,Open,High,Low,Close,Volume,DeliveryPct
2022-07-29,202.55,205.0,199.05,200.25,546848.0,53.72
2022-08-01,195.9,197.75,194.05,195.3,483958.0,47.92
2022-08-02,194.0,194.95,189.15,190.45,437183.0,44.27
2022-08-03,189.0,191.45,183.25,186.55,460998.0,48.56
2022-08-04,186.9,191.95,183.4,189.6,513359.0,37.46
2022-08-05,189.9,190.6,187.25,188.65,272773.0,50.84
2022-08-10,191.9,197.95,190.15,193.1,730802.0,39.87
2022-08-11,206.0,213.0,201.6,202.95,2395727.0,32.12
2022-08-12,204.05,209.5,202.1,205.3,934021.0,38.56
2022-08-15,204.05,209.5,202.1,205.3,934021.0,38.56
2022-08-16,204.7,223.6,203.5,221.85,3063449.0,30.98
2022-08-17,223.4,265.85,221.25,261.1,10164882.0,23.81
2022-08-18,267.4,279.0,260.8,266.1,6993827.0,14.59
2022-08-19,268.8,268.8,245.0,249.1,1583320.0,51.36
2022-08-22,249.0,260.0,245.05,257.3,1480101.0,32.73
2022-08-23,256.1,263.4,252.25,253.35,709823.0,36.23
2022-08-24,253.0,257.0,245.65,249.6,662548.0,42.08
2022-08-25,251.0,252.4,217.0,221.8,3125054.0,52.26
2022-08-26,224.0,236.0,224.0,233.55,1233262.0,41.08
2022-08-29,224.05,234.4,222.5,229.8,711126.0,37.95
2022-08-30,232.0,237.7,226.7,228.05,698417.0,34.29
2022-08-31,232.0,237.7,226.7,228.05,698417.0,34.29
2022-09-01,229.4,229.4,216.0,217.2,1335287.0,51.99
2022-09-02,219.8,223.95,216.75,221.2,799309.0,34.17
2022-09-05,220.0,223.0,210.55,213.0,1131202.0,45.94
2022-09-06,215.0,223.2,215.0,217.9,916746.0,35.42
2022-09-07,218.15,226.65,215.25,219.9,1100145.0,36.77
2022-09-08,222.8,225.0,220.1,222.45,527235.0,39.2
2022-09-09,227.5,227.75,218.25,219.9,574416.0,31.87
2022-09-12,221.9,225.7,217.6,221.65,603848.0,36.72
2022-09-13,222.0,226.8,220.0,220.45,551782.0,43.06
2022-09-14,218.0,222.2,215.9,219.05,632040.0,40.84
2022-09-15,219.7,223.25,216.05,216.75,588564.0,46.8
2022-09-16,216.8,217.95,205.05,206.85,825526.0,53.69
2022-09-19,207.9,211.95,202.0,209.8,766641.0,33.27
2022-09-20,211.0,213.65,205.6,206.85,458451.0,43.83
2022-09-21,207.9,209.3,202.05,203.95,376920.0,41.39
2022-09-22,202.6,209.0,202.35,207.55,391761.0,34.87
2022-09-23,207.0,207.95,198.5,200.05,465904.0,51.91
2022-09-26,198.0,199.0,186.3,189.45,831817.0,34.32
2022-09-27,189.5,192.9,182.6,187.7,689690.0,35.34
2022-09-28,185.2,189.55,177.85,179.1,786580.0,45.13
2022-09-29,183.0,191.4,182.75,186.7,753139.0,23.7
2022-09-30,185.0,189.65,183.2,187.2,433884.0,33.33
2022-10-03,187.5,189.05,177.95,179.15,518218.0,35.18
2022-10-04,183.8,190.1,182.0,188.8,618684.0,39.62
2022-10-05,183.8,190.1,182.0,188.8,618684.0,39.62
2022-10-06,191.55,198.7,190.0,194.8,986724.0,39.37
2022-10-07,195.95,200.35,192.1,197.8,658925.0,31.46
2022-10-10,194.95,198.8,192.0,195.7,491429.0,36.03
2022-10-11,196.8,196.8,186.25,187.8,324668.0,49.1
2022-10-12,189.0,189.45,181.8,184.95,529997.0,45.04
2022-10-13,185.0,186.8,183.0,185.75,278307.0,42.42
2022-10-14,190.0,190.95,184.15,185.05,381624.0,50.83
2022-10-17,183.9,185.5,181.85,184.9,263524.0,46.96
2022-10-18,185.0,195.9,185.0,193.35,613253.0,33.77
2022-10-19,194.2,194.25,188.0,189.5,280994.0,45.9
2022-10-20,188.25,208.0,185.5,203.3,1405799.0,42.43
2022-10-21,204.85,205.4,195.9,198.25,632502.0,39.9
2022-10-24,200.0,201.4,194.4,196.65,188540.0,54.53
2022-10-25,195.1,212.2,193.55,204.6,1419918.0,22.12
2022-10-26,195.1,212.2,193.55,204.6,1419918.0,22.12
2022-10-27,205.4,212.7,204.0,207.85,664940.0,32.16
2022-10-28,208.25,211.75,206.05,208.45,519649.0,34.01
2022-10-31,209.9,210.55,195.75,197.3,731984.0,46.19
2022-11-01,197.6,205.15,197.6,202.7,867026.0,46.21
2022-11-02,202.7,203.55,199.55,200.8,274105.0,43.92
2022-11-03,199.8,203.9,198.95,201.15,268198.0,38.72
2022-11-04,203.0,207.35,189.05,190.75,1610569.0,32.38
2022-11-07,190.5,190.6,184.5,185.85,680628.0,44.87
2022-11-08,190.5,190.6,184.5,185.85,680628.0,44.87
2022-11-09,188.5,188.5,185.05,187.0,293764.0,47.93
2022-11-10,185.05,189.3,185.0,187.75,242040.0,50.26
2022-11-11,189.0,193.2,187.2,190.45,442278.0,40.2
2022-11-14,189.0,192.95,187.5,189.9,192977.0,42.28
2022-11-15,189.2,190.75,187.4,188.55,136358.0,45.88
2022-11-16,189.45,190.2,185.25,186.45,185000.0,58.19
2022-11-17,185.0,186.95,180.1,180.55,387777.0,68.69
2022-11-18,181.4,184.2,181.25,183.0,218390.0,40.01
2022-11-21,183.35,184.2,181.0,182.15,174520.0,45.23
2022-11-22,182.9,185.7,181.5,182.5,221497.0,45.69
2022-11-23,183.4,183.4,181.6,182.25,118183.0,47.28
2022-11-24,183.75,184.25,179.9,181.9,186237.0,48.91
2022-11-25,182.8,186.85,182.0,185.75,170831.0,39.36
2022-11-28,186.05,188.2,182.7,183.7,142770.0,53.92
2022-11-29,183.0,185.0,182.0,182.85,142619.0,44.79
2022-11-30,183.2,184.7,181.9,182.75,221994.0,52.41
2022-12-01,182.95,185.5,182.35,183.4,248728.0,45.33
2022-12-02,183.5,185.95,183.0,184.7,215732.0,47.76
2022-12-05,185.65,190.1,183.3,185.3,410685.0,46.04
2022-12-06,184.0,187.3,184.0,185.75,170616.0,51.53
2022-12-07,186.7,187.6,183.7,184.8,169511.0,47.11
2022-12-08,183.8,186.45,183.8,185.35,145092.0,36.18
2022-12-09,185.9,189.3,184.1,185.05,308894.0,38.74
2022-12-12,185.1,188.0,183.65,186.5,177764.0,43.39
2022-12-13,187.35,187.75,184.55,185.3,147180.0,49.72
2022-12-14,186.65,188.4,185.05,185.95,605344.0,65.46
2022-12-15,186.45,209.25,185.0,202.35,2398079.0,30.66
2022-12-16,215.0,234.15,213.9,219.55,7321285.0,19.41
2022-12-19,223.0,228.8,220.4,222.8,1257188.0,29.7
2022-12-20,223.0,224.2,215.7,222.65,682079.0,49.18
2022-12-21,227.0,231.6,210.7,212.75,1484191.0,38.77
2022-12-22,215.0,217.25,202.8,213.1,854767.0,33.19
2022-12-23,213.7,213.7,200.0,200.75,705715.0,52.45
2022-12-26,201.5,212.5,199.4,210.05,586514.0,45.9
2022-12-27,211.0,245.65,207.65,242.75,4357698.0,24.47
2022-12-28,239.0,253.45,236.2,244.0,4131498.0,17.57
2022-12-29,243.0,245.5,236.25,238.3,839661.0,34.17
2022-12-30,240.8,256.7,236.85,245.6,2607814.0,18.81
2023-01-02,247.5,260.7,247.25,258.65,2277647.0,25.14
2023-01-03,258.0,262.6,252.6,256.2,1266540.0,29.07
2023-01-04,255.4,257.0,244.7,246.7,918787.0,41.8
2023-01-05,248.2,250.8,243.5,246.8,770228.0,32.97
2023-01-06,247.0,261.3,247.0,256.6,2122282.0,28.68
2023-01-09,259.0,259.95,251.0,252.85,647794.0,38.43
2023-01-10,251.65,252.35,241.05,242.6,617612.0,45.3
2023-01-11,244.5,250.5,241.5,244.5,632296.0,31.69
2023-01-12,245.8,245.8,238.55,240.6,362624.0,38.66
2023-01-13,241.9,251.45,241.45,247.8,614840.0,29.36
2023-01-16,248.4,249.5,240.2,241.6,299260.0,41.06
2023-01-17,241.3,245.75,239.0,241.3,291842.0,33.6
2023-01-18,242.1,246.4,241.05,241.95,287483.0,27.9
2023-01-19,242.2,247.45,241.3,242.45,365740.0,34.08
2023-01-20,243.35,246.95,241.6,243.1,323649.0,38.98
2023-01-23,244.8,255.95,242.15,245.15,824251.0,21.5
2023-01-24,246.8,246.95,236.15,239.15,400340.0,36.69
2023-01-25,238.9,240.55,228.1,230.0,532791.0,43.64
2023-01-26,238.9,240.55,228.1,230.0,532791.0,43.64
2023-01-27,231.9,233.95,215.4,221.0,781315.0,40.7
2023-01-30,221.2,225.3,213.3,216.3,419339.0,34.61
2023-01-31,217.9,237.5,217.9,232.55,665246.0,29.65
2023-02-01,234.45,236.45,217.05,225.15,583888.0,35.56
2023-02-02,225.15,236.05,222.15,233.0,813214.0,27.5
2023-02-03,234.0,243.85,220.0,230.3,2586842.0,28.42
2023-02-06,232.7,251.7,227.9,248.5,1996813.0,35.08
2023-02-07,250.0,254.95,248.0,250.05,1121873.0,28.89
2023-02-08,249.5,255.45,246.1,247.45,644794.0,37.61
2023-02-09,247.8,253.7,244.2,251.75,924509.0,29.32
