,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,2368.0,2397.05,2305.25,2314.4,9094.0,
2016-08-23,2332.85,2355.0,2302.25,2308.8,6492.0,
2016-08-24,2313.1,2344.8,2262.05,2276.15,5026.0,
2016-08-25,2294.25,2370.0,2270.0,2317.7,10268.0,
2016-08-26,2334.8,2341.2,2259.95,2279.7,6838.0,
2016-08-29,2300.0,2340.9,2275.0,2306.9,6523.0,
2016-08-30,2310.0,2364.5,2310.0,2348.25,27747.0,
2016-08-31,2348.0,2415.0,2330.0,2378.05,7802.0,
2016-09-01,2380.1,2409.75,2354.95,2369.65,3168.0,
2016-09-02,2371.8,2399.95,2350.0,2363.35,2963.0,
2016-09-06,2364.0,2395.0,2338.45,2348.75,4185.0,
2016-09-07,2338.45,2380.0,2319.0,2331.2,3113.0,
2016-09-08,2334.3,2471.0,2325.0,2386.8,10378.0,
2016-09-09,2389.0,2419.95,2350.25,2377.55,6479.0,
2016-09-12,2325.0,2345.05,2300.0,2313.6,3983.0,
2016-09-14,2314.95,2390.0,2292.0,2377.05,6136.0,
2016-09-15,2378.35,2424.9,2337.2,2346.3,3096.0,
2016-09-16,2369.7,2390.0,2330.0,2340.65,2088.0,
2016-09-19,2330.05,2411.0,2330.05,2371.95,13248.0,
2016-09-20,2390.0,2415.0,2377.65,2408.05,4768.0,
2016-09-21,2408.0,2430.4,2379.95,2409.75,7133.0,
2016-09-22,2409.0,2414.95,2351.0,2362.35,4846.0,
2016-09-23,2363.1,2399.35,2362.0,2371.7,2344.0,
2016-09-26,2370.0,2388.0,2301.0,2325.1,4361.0,
2016-09-27,2325.0,2349.9,2302.3,2336.9,6536.0,
2016-09-28,2340.0,2348.4,2315.0,2323.9,2486.0,
2016-09-29,2325.5,2345.0,2175.2,2209.25,12656.0,
2016-09-30,2209.0,2251.0,2180.0,2223.3,7571.0,
2016-10-03,2230.0,2324.0,2230.0,2283.4,4992.0,
2016-10-04,2324.0,2350.0,2290.0,2336.9,5976.0,
2016-10-05,2348.3,2365.0,2336.0,2347.3,3723.0,
2016-10-06,2373.7,2432.95,2348.5,2418.2,7972.0,
2016-10-07,2431.0,2440.0,2375.0,2386.15,3469.0,
2016-10-10,2390.0,2411.45,2326.7,2338.45,4243.0,
2016-10-13,2330.0,2345.0,2291.0,2301.2,3951.0,
2016-10-14,2301.0,2356.0,2301.0,2334.7,7917.0,
2016-10-17,2377.0,2377.05,2277.0,2292.25,6624.0,
2016-10-18,2319.4,2350.0,2318.0,2337.85,4724.0,
2016-10-19,2359.35,2411.45,2342.0,2396.1,5293.0,
2016-10-20,2411.0,2869.85,2411.0,2735.7,201023.0,
2016-10-21,2735.0,2835.0,2687.9,2776.85,45166.0,
2016-10-24,2791.0,2876.0,2778.0,2815.2,43393.0,
2016-10-25,2835.0,2838.0,2653.3,2696.3,42177.0,
2016-10-26,2691.0,2770.8,2616.05,2648.75,26222.0,
2016-10-27,2654.15,2725.0,2650.0,2659.35,11934.0,
2016-10-28,2667.05,2685.05,2570.0,2593.25,13297.0,
2016-11-01,2600.0,2600.0,2485.0,2495.8,13889.0,
2016-11-02,2500.0,2500.0,2424.6,2453.4,10425.0,
2016-11-03,2441.1,2595.0,2431.05,2504.55,21158.0,
2016-11-04,2510.0,2560.0,2370.4,2424.45,14363.0,
2016-11-07,2455.0,2525.0,2435.0,2443.45,6475.0,
2016-11-08,2479.8,2480.0,2395.0,2408.35,6367.0,
2016-11-09,2303.0,2499.0,2150.0,2466.5,17090.0,
2016-11-10,2502.0,2518.7,2460.0,2486.05,4800.0,
2016-11-11,2450.0,2470.0,2323.25,2334.0,8350.0,
2016-11-15,2380.0,2380.0,2296.45,2304.65,9858.0,
2016-11-16,2350.0,2410.0,2299.0,2316.25,7175.0,
2016-11-17,2330.0,2385.0,2300.0,2328.4,5639.0,
2016-11-18,2305.0,2360.0,2277.1,2333.35,4959.0,
2016-11-21,2359.95,2359.95,2159.95,2219.55,9084.0,
2016-11-22,2249.9,2260.0,2180.25,2218.55,4615.0,
2016-11-23,2223.05,2275.0,2210.0,2252.2,3516.0,
2016-11-24,2280.0,2319.9,2234.05,2270.9,9545.0,
2016-11-25,2270.0,2399.0,2270.0,2345.0,54823.0,
2016-11-28,2353.3,2398.0,2309.05,2318.55,38512.0,
2016-11-29,2341.95,2380.0,2320.0,2334.6,6866.0,
2016-11-30,2360.0,2439.65,2331.05,2373.85,11460.0,
2016-12-01,2390.0,2390.0,2350.25,2360.9,2703.0,
2016-12-02,2360.0,2369.0,2285.0,2296.25,4911.0,
2016-12-05,2310.0,2310.0,2285.0,2295.95,2078.0,
2016-12-06,2347.0,2369.0,2306.15,2355.45,3215.0,
2016-12-07,2356.0,2369.0,2302.25,2324.05,2634.0,
2016-12-08,2364.95,2365.0,2343.15,2358.85,1033.0,
