,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,85.2,87.25,84.9,85.95,5970431.0,
2016-08-23,86.4,87.1,85.05,86.15,4084388.0,
2016-08-24,86.5,87.1,84.65,85.85,8564462.0,
2016-08-25,86.45,86.6,83.55,84.0,4590659.0,
2016-08-26,84.15,84.7,82.7,83.25,3742524.0,
2016-08-29,83.35,83.35,81.55,82.1,4358197.0,
2016-08-30,82.75,83.05,81.5,82.35,3892125.0,
2016-08-31,82.3,87.0,82.25,84.9,14436616.0,
2016-09-01,85.5,88.1,85.2,85.75,14389279.0,
2016-09-02,86.3,88.1,84.05,86.7,8320057.0,
2016-09-06,87.3,89.2,87.2,88.35,8751063.0,
2016-09-07,88.95,89.65,86.85,87.4,7056840.0,
2016-09-08,87.4,89.3,86.8,88.65,8484766.0,
2016-09-09,89.1,90.5,87.25,88.0,11970553.0,
2016-09-12,86.0,86.0,83.0,83.6,6432594.0,
2016-09-14,83.1,86.9,83.1,86.0,3791860.0,
2016-09-15,86.0,87.5,85.35,86.4,3073288.0,
2016-09-16,87.25,88.9,84.85,87.6,8792230.0,
2016-09-19,87.85,89.4,87.25,88.0,5255535.0,
2016-09-20,88.45,88.45,86.3,87.45,2107040.0,
2016-09-21,88.0,88.2,86.5,86.75,2092102.0,
2016-09-22,88.5,88.7,86.15,87.05,2044541.0,
2016-09-23,87.2,88.0,86.3,86.75,2459891.0,
2016-09-26,86.4,86.65,84.5,85.0,1865870.0,
2016-09-27,85.25,85.9,84.55,85.25,2517997.0,
2016-09-28,85.5,86.55,84.75,85.95,2248568.0,
2016-09-29,86.5,87.4,78.0,79.4,10060009.0,
2016-09-30,79.95,83.0,78.4,82.1,3535271.0,
2016-10-03,82.25,85.7,82.25,85.25,3184154.0,
2016-10-04,86.25,86.3,83.55,84.2,2729379.0,
2016-10-05,84.95,85.35,83.6,84.9,2685458.0,
2016-10-06,85.1,86.5,84.9,86.0,3841437.0,
2016-10-07,86.05,87.95,85.75,86.55,3681019.0,
2016-10-10,86.6,87.0,85.6,85.95,3420255.0,
2016-10-13,85.7,85.85,81.5,82.95,2469632.0,
2016-10-14,83.4,83.4,81.95,82.65,1419646.0,
2016-10-17,81.8,82.75,79.55,80.0,5041491.0,
2016-10-18,80.7,82.3,80.4,81.75,4413386.0,
2016-10-19,82.0,82.9,80.7,81.1,3732123.0,
2016-10-20,83.8,83.9,82.25,82.45,2948679.0,
2016-10-21,82.7,92.9,82.4,92.35,50707850.0,
2016-10-24,92.9,94.55,90.7,92.5,17935740.0,
2016-10-25,92.5,95.0,90.85,94.65,11056858.0,
2016-10-26,94.5,95.65,91.1,91.95,7395218.0,
2016-10-27,92.0,92.85,89.25,90.8,8691895.0,
2016-10-28,91.25,94.15,90.85,93.5,6125144.0,
2016-11-01,93.7,94.85,93.2,93.6,4978466.0,
2016-11-02,91.5,92.25,88.05,88.9,4649737.0,
2016-11-03,89.0,90.6,85.3,85.9,5635904.0,
2016-11-04,86.0,86.3,81.75,83.45,6152256.0,
2016-11-07,85.3,87.8,84.8,86.35,5503170.0,
2016-11-08,86.7,86.9,83.8,85.95,3373474.0,
2016-11-09,78.25,80.8,70.8,79.0,11955666.0,
2016-11-10,82.4,84.5,80.5,81.25,7036628.0,
2016-11-11,80.9,82.5,78.5,79.2,4498096.0,
2016-11-15,79.15,79.55,74.8,75.4,5316376.0,
2016-11-16,77.05,77.6,73.2,75.35,4495766.0,
2016-11-17,75.25,77.5,74.75,76.65,3628874.0,
2016-11-18,77.5,80.7,75.25,78.95,5965282.0,
2016-11-21,79.45,79.6,74.6,75.1,3870614.0,
2016-11-22,74.7,77.0,71.25,75.1,6472113.0,
2016-11-23,75.85,76.1,74.4,74.95,2870877.0,
2016-11-24,74.45,75.55,72.35,72.85,3840564.0,
2016-11-25,73.5,78.15,73.05,76.8,4753510.0,
2016-11-28,77.1,79.25,77.0,78.55,3720755.0,
2016-11-29,79.0,82.25,78.35,81.0,5491666.0,
2016-11-30,81.55,81.85,79.4,80.0,3977363.0,
2016-12-01,80.8,81.0,77.95,78.25,3452838.0,
2016-12-02,77.8,78.05,76.25,77.05,2499620.0,
2016-12-05,76.65,79.5,76.65,79.05,1837968.0,
2016-12-06,80.2,81.55,79.2,80.2,3483645.0,
2016-12-07,80.5,80.9,77.4,79.55,3036148.0,
2016-12-08,80.0,82.05,80.0,80.6,2305943.0,
2016-12-09,81.35,81.85,80.5,81.15,1477872.0,
2016-12-12,81.3,82.3,79.65,81.75,2119695.0,
2016-12-13,82.45,86.95,82.0,83.1,10733285.0,
2016-12-14,83.75,85.15,82.5,83.0,4107649.0,
2016-12-15,82.25,84.25,81.0,83.2,2322738.0,
2016-12-16,83.95,84.2,81.8,82.6,2810531.0,
2016-12-19,82.1,82.75,81.1,81.5,1387698.0,
2016-12-20,81.8,81.95,80.1,81.0,1630635.0,
2016-12-21,81.95,82.1,80.25,80.9,1466703.0,
2016-12-22,80.1,80.8,78.4,78.75,2323474.0,
