,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,6725.0,6808.0,6711.4,6785.35,31457.0,
2016-08-23,6830.0,6848.6,6790.0,6810.9,28773.0,
2016-08-24,6815.0,6863.0,6745.05,6818.2,32290.0,
2016-08-25,6819.0,6850.0,6808.9,6829.85,26445.0,
2016-08-26,6848.0,6860.25,6809.7,6831.25,19970.0,
2016-08-29,6849.0,6849.0,6721.45,6751.4,42107.0,
2016-08-30,6750.0,6776.25,6655.0,6687.55,20441.0,
2016-08-31,6688.0,6725.0,6470.0,6525.55,62266.0,
2016-09-01,6525.0,6625.0,6460.3,6488.65,26058.0,
2016-09-02,6528.0,6528.0,6425.0,6439.65,14379.0,
2016-09-06,6478.0,6590.0,6446.95,6565.15,30795.0,
2016-09-07,6581.0,6600.0,6437.0,6461.8,53353.0,
2016-09-08,6450.0,6498.0,6413.0,6431.8,15720.0,
2016-09-09,6435.0,6539.0,6400.0,6507.9,25820.0,
2016-09-12,6495.0,6495.0,6400.0,6431.2,17135.0,
2016-09-14,6447.8,6501.0,6200.0,6344.45,52642.0,
2016-09-15,6290.0,6358.75,6245.9,6301.4,83601.0,
2016-09-16,6330.0,6467.95,6308.0,6407.0,43872.0,
2016-09-19,6407.0,6450.0,6301.0,6337.45,52913.0,
2016-09-20,6349.0,6376.1,6323.5,6339.95,21526.0,
2016-09-21,6370.0,6370.0,6270.0,6313.05,31447.0,
2016-09-22,6353.3,6518.0,6313.0,6450.3,34213.0,
2016-09-23,6505.0,6537.0,6402.5,6494.6,53448.0,
2016-09-26,6509.0,6525.0,6401.0,6504.25,24552.0,
2016-09-27,6499.0,6510.0,6412.1,6488.25,23621.0,
2016-09-28,6491.0,6506.25,6424.55,6452.55,19022.0,
2016-09-29,6470.0,6525.0,6225.4,6353.2,34583.0,
2016-09-30,6353.2,6500.0,6315.9,6432.85,64898.0,
2016-10-03,6432.9,6650.0,6432.9,6621.9,30768.0,
2016-10-04,6650.0,6700.0,6594.1,6680.95,24219.0,
2016-10-05,6685.0,6800.0,6614.1,6775.55,17108.0,
2016-10-06,6775.0,6814.9,6668.05,6723.55,13191.0,
2016-10-07,6746.0,6746.0,6655.4,6727.85,6414.0,
