,Open,High,Low,Close,Volume,DeliveryPct
2018-01-29,254.1,266.7,246.25,252.4,14008351.0,
2018-01-30,250.7,261.0,234.4,252.95,2036442.0,
2018-01-31,252.0,258.0,244.55,249.55,658605.0,
2018-02-01,245.0,261.0,242.5,252.95,784681.0,
2018-02-02,246.15,251.8,231.65,233.9,483743.0,
2018-02-05,225.1,237.4,223.0,232.6,218693.0,
2018-02-06,224.0,227.95,215.0,226.6,303655.0,
2018-02-07,230.0,236.2,228.35,233.3,207757.0,
2018-02-08,233.3,238.95,233.3,237.9,159340.0,
2018-02-09,235.0,243.0,231.1,236.3,132285.0,
2018-02-12,237.9,252.0,237.55,248.6,319651.0,
2018-02-14,248.9,251.8,245.55,249.3,152694.0,
2018-02-15,250.0,251.5,238.0,239.15,92349.0,
2018-02-16,240.25,244.0,231.6,234.05,91927.0,
2018-02-19,230.15,236.8,228.2,229.8,62408.0,
2018-02-20,230.4,233.45,228.0,230.0,59487.0,
2018-02-21,231.0,233.05,227.25,230.2,73689.0,
2018-02-22,228.9,237.65,228.9,236.55,93627.0,
2018-02-23,236.95,238.2,232.5,234.0,48360.0,
2018-02-26,234.45,244.25,231.1,239.05,113804.0,
2018-02-27,245.9,248.0,241.0,244.5,196307.0,
2018-02-28,244.8,246.0,240.0,243.5,114283.0,
2018-03-01,243.35,248.0,243.35,244.1,172192.0,
2018-03-05,245.0,247.8,239.05,241.9,106999.0,
2018-03-06,242.5,245.35,237.5,238.55,58602.0,
2018-03-07,238.0,242.0,232.0,235.85,67101.0,
2018-03-08,236.25,239.8,235.0,238.25,67681.0,
2018-03-09,238.25,240.4,236.25,238.1,50588.0,
2018-03-12,239.3,245.85,239.3,243.45,115154.0,
2018-03-13,242.65,244.85,240.3,243.05,67591.0,
2018-03-14,242.95,243.7,238.05,238.9,26245.0,
2018-03-15,238.05,240.55,238.0,238.7,56262.0,
2018-03-16,238.8,241.9,238.0,239.45,293721.0,
2018-03-19,238.55,242.0,232.6,233.9,25097.0,
2018-03-20,232.55,233.6,229.3,229.95,86787.0,
2018-03-21,231.05,233.3,228.4,230.45,73067.0,
2018-03-22,230.6,232.7,228.0,229.05,48979.0,
2018-03-23,226.8,229.0,221.05,225.0,75896.0,
2018-03-26,229.95,229.95,226.6,228.15,35944.0,
2018-03-27,229.0,230.8,221.1,227.35,32179.0,
2018-03-28,228.7,233.8,227.5,231.8,40668.0,
2018-04-02,231.8,237.55,230.0,235.35,28158.0,
2018-04-03,238.7,238.7,233.0,234.65,21845.0,
2018-04-04,236.9,240.0,233.8,237.35,109248.0,
2018-04-05,237.85,242.0,236.0,236.8,41336.0,
2018-04-06,235.0,244.55,235.0,241.3,50642.0,
2018-04-09,240.05,243.0,238.95,239.9,46638.0,
2018-04-10,240.0,241.0,238.0,239.95,106674.0,
2018-04-11,240.45,242.9,239.15,241.3,26418.0,
2018-04-12,241.0,242.35,236.0,240.9,122315.0,
2018-04-13,240.0,245.0,238.5,243.25,65364.0,
2018-04-16,243.0,244.0,239.05,239.75,18452.0,
2018-04-17,239.95,241.25,236.5,237.3,12816.0,
2018-04-18,237.0,238.4,232.8,233.8,23666.0,
2018-04-19,232.5,236.55,229.6,230.85,32408.0,
2018-04-20,231.0,235.55,230.15,232.35,37242.0,
2018-04-23,233.0,243.45,233.0,237.3,44551.0,
2018-04-24,236.85,241.7,236.85,237.45,16345.0,
2018-04-25,237.25,239.6,232.25,233.45,25910.0,
2018-04-26,235.0,240.15,232.05,238.75,41655.0,
2018-04-27,238.0,240.55,234.5,239.3,41418.0,
2018-04-30,240.3,260.8,236.65,251.15,392785.0,
2018-05-02,251.95,259.7,249.0,251.05,88505.0,
2018-05-03,250.7,250.7,244.0,246.05,28981.0,
2018-05-04,246.3,252.0,245.8,249.0,59727.0,
2018-05-07,251.0,256.0,249.6,254.7,84523.0,
2018-05-08,257.0,262.7,254.55,255.2,286173.0,
2018-05-09,258.8,261.7,255.1,255.3,50431.0,
2018-05-10,255.55,258.9,249.0,249.55,20660.0,
2018-05-11,249.55,256.7,248.15,250.45,29931.0,
2018-05-14,248.5,254.0,248.5,252.75,52484.0,
2018-05-15,251.05,259.0,251.05,254.15,81874.0,
2018-05-16,252.9,258.0,251.2,254.7,47630.0,
2018-05-17,253.1,270.0,252.75,263.8,349283.0,
2018-05-18,266.85,272.0,258.0,259.4,138811.0,
2018-05-21,262.0,264.45,256.4,257.9,58786.0,
2018-05-22,257.9,262.0,246.1,251.9,282877.0,
2018-05-23,252.0,259.9,248.0,252.75,110773.0,
2018-05-24,254.85,260.65,249.7,251.15,97661.0,
2018-05-25,252.45,257.5,252.45,256.9,113820.0,
2018-05-28,257.45,260.0,256.55,258.05,75583.0,
2018-05-29,257.95,258.3,252.0,254.35,28544.0,
2018-05-30,252.0,256.35,251.0,251.85,31066.0,
2018-05-31,252.4,268.0,252.35,267.0,341333.0,
