,Open,High,Low,Close,Volume,DeliveryPct
2017-11-13,750.0,750.0,717.4,727.1,2539383.0,
2017-11-14,720.0,732.0,695.0,701.75,332091.0,
2017-11-15,699.0,700.0,679.35,682.7,229478.0,
2017-11-16,692.0,703.85,678.1,681.85,330182.0,
2017-11-17,685.5,690.0,673.2,675.55,173741.0,
2017-11-20,674.8,680.0,667.1,668.2,119710.0,
2017-11-21,665.0,680.0,665.0,667.05,177689.0,
2017-11-22,667.05,671.9,663.0,664.95,95290.0,
2017-11-23,665.0,665.9,650.2,651.9,117040.0,
2017-11-24,653.0,655.05,648.0,648.55,91472.0,
2017-11-27,645.3,649.95,637.5,638.65,88140.0,
2017-11-28,637.5,648.2,636.05,638.15,119737.0,
2017-11-29,637.05,649.0,633.35,639.0,94522.0,
2017-11-30,639.9,648.0,632.25,633.3,109017.0,
2017-12-01,636.8,636.9,618.5,619.8,96879.0,
2017-12-04,621.0,623.3,600.15,602.9,122981.0,
2017-12-05,600.15,602.95,591.5,592.0,71629.0,
2017-12-06,591.7,594.8,582.25,584.35,80434.0,
2017-12-07,582.0,590.0,580.0,580.5,94513.0,
2017-12-08,580.5,589.45,580.5,583.0,117000.0,
2017-12-11,585.0,588.0,578.0,580.1,75355.0,
2017-12-12,583.95,583.95,575.85,576.75,46541.0,
2017-12-13,578.5,579.9,560.55,561.35,102023.0,
2017-12-14,562.5,567.5,551.15,551.8,90511.0,
2017-12-15,555.95,557.45,545.05,546.25,102546.0,
2017-12-18,549.4,568.8,533.1,565.25,192240.0,
2017-12-19,568.9,601.0,568.85,595.85,286978.0,
2017-12-20,600.0,617.0,600.0,615.1,224624.0,
2017-12-21,618.1,621.0,606.1,617.55,101748.0,
2017-12-22,617.0,618.5,608.0,614.5,65825.0,
2017-12-26,615.85,616.3,609.0,612.75,41781.0,
2017-12-27,610.0,612.75,598.55,600.35,41508.0,
2017-12-28,600.0,605.0,592.45,599.7,45156.0,
2017-12-29,595.15,612.0,592.0,601.1,53712.0,
2018-01-01,607.85,617.8,607.85,610.6,45410.0,
2018-01-02,615.45,617.45,603.0,614.95,45595.0,
2018-01-03,618.0,623.9,612.0,621.15,55522.0,
2018-01-04,617.2,626.0,616.55,624.55,46582.0,
2018-01-05,621.0,627.0,621.0,625.25,32686.0,
2018-01-08,627.8,631.0,625.2,627.6,49009.0,
2018-01-09,627.25,632.95,625.2,632.25,34485.0,
2018-01-10,633.0,634.0,625.25,627.15,16058.0,
2018-01-11,627.0,633.0,625.0,631.3,21783.0,
2018-01-12,632.8,632.8,621.2,622.75,21609.0,
2018-01-15,622.75,625.25,619.6,620.25,20566.0,
2018-01-16,620.15,623.3,611.05,611.9,17350.0,
2018-01-17,607.15,616.0,603.0,613.95,49554.0,
2018-01-18,617.8,620.85,606.25,609.1,32435.0,
2018-01-19,609.0,611.95,605.0,606.5,14112.0,
2018-01-22,609.0,619.0,605.0,617.75,29980.0,
2018-01-23,619.0,621.35,616.3,620.3,1106274.0,
2018-01-24,622.4,626.0,620.0,624.55,48692.0,
2018-01-25,615.55,641.95,615.55,634.7,85773.0,
2018-01-29,633.25,645.0,630.5,640.05,467611.0,
2018-01-30,640.0,643.0,624.55,639.75,48074.0,
2018-01-31,635.0,639.0,631.15,637.15,24205.0,
2018-02-01,637.15,677.35,636.05,669.15,269820.0,
2018-02-02,668.0,668.0,645.0,653.05,58150.0,
2018-02-05,650.0,694.45,646.65,686.45,207424.0,
2018-02-06,650.0,684.0,640.15,672.1,139724.0,
2018-02-07,679.85,686.0,669.05,674.8,60638.0,
2018-02-08,680.0,693.9,677.2,691.5,63105.0,
2018-02-09,684.0,699.0,681.55,696.6,106017.0,
2018-02-12,687.3,751.55,687.3,737.5,252674.0,
2018-02-14,736.0,750.0,722.0,728.1,100988.0,
2018-02-15,728.9,742.4,728.65,736.5,99594.0,
2018-02-16,725.15,735.95,706.2,708.6,52925.0,
2018-02-19,701.1,715.0,699.0,700.9,49744.0,
2018-02-20,704.0,706.6,698.15,705.2,15807.0,
2018-02-21,708.95,709.0,701.0,705.0,34543.0,
2018-02-22,710.0,710.0,700.0,704.7,12955.0,
2018-02-23,708.45,708.65,703.5,705.0,26003.0,
2018-02-26,705.0,725.0,701.1,712.9,25410.0,
2018-02-27,715.0,721.65,712.1,716.7,18296.0,
2018-02-28,717.0,718.0,706.25,710.85,73598.0,
2018-03-01,713.0,725.0,706.1,711.05,25272.0,
2018-03-05,710.05,716.0,695.5,702.75,47745.0,
2018-03-06,704.1,714.0,662.0,670.95,33587.0,
2018-03-07,680.0,689.0,670.0,680.05,30336.0,
2018-03-08,692.8,692.8,683.45,686.75,16093.0,
