,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,78.9,80.5,75.7,78.7,148167.0,
2016-08-23,78.05,80.0,77.6,78.3,86013.0,
2016-08-24,78.2,79.9,77.5,78.25,131470.0,
2016-08-25,78.5,79.1,77.65,78.4,78221.0,
2016-08-26,78.05,78.85,75.65,76.15,97612.0,
2016-08-29,76.15,79.2,75.7,77.85,87774.0,
2016-08-30,78.8,79.2,77.4,78.2,78125.0,
2016-08-31,77.6,78.9,77.6,77.75,79305.0,
2016-09-01,77.8,78.45,76.15,76.55,75528.0,
2016-09-02,76.6,77.35,76.25,76.85,39116.0,
2016-09-06,77.5,78.9,76.9,77.05,163826.0,
2016-09-07,76.75,76.75,75.7,75.85,180464.0,
2016-09-08,75.95,77.5,75.45,76.45,114788.0,
2016-09-09,76.7,77.0,75.8,76.1,55589.0,
2016-09-12,75.75,76.5,74.5,74.8,67933.0,
2016-09-14,74.7,74.7,72.8,73.0,170293.0,
2016-09-15,74.0,75.85,73.75,74.5,142793.0,
2016-09-16,75.0,75.95,73.1,73.5,201243.0,
2016-09-19,73.4,74.3,72.6,72.85,132812.0,
2016-09-20,73.35,73.5,72.6,72.8,61199.0,
2016-09-21,72.95,73.65,71.85,72.85,140944.0,
2016-09-22,73.95,74.8,73.0,73.4,403033.0,
2016-09-23,73.3,74.45,73.2,73.8,85660.0,
2016-09-26,73.8,74.9,73.0,73.5,103387.0,
2016-09-27,73.5,74.25,73.2,73.25,68916.0,
2016-09-28,73.4,74.15,73.3,73.55,51147.0,
2016-09-29,74.0,74.25,70.0,71.7,129585.0,
2016-09-30,72.0,72.65,71.3,71.9,55576.0,
2016-10-03,72.55,74.5,72.05,73.7,74448.0,
2016-10-04,73.3,74.5,73.3,73.85,58415.0,
2016-10-05,73.85,74.25,73.15,73.8,81022.0,
2016-10-06,73.8,74.85,73.3,73.75,116450.0,
2016-10-07,73.55,74.0,72.9,73.15,78695.0,
2016-10-10,73.95,74.55,73.1,73.85,37929.0,
2016-10-13,73.5,73.85,71.95,72.15,70541.0,
2016-10-14,72.1,73.0,72.0,72.3,42961.0,
2016-10-17,72.1,73.45,71.55,71.75,42749.0,
2016-10-18,72.2,73.15,72.0,72.6,39694.0,
2016-10-19,72.7,77.0,72.3,76.15,407757.0,
2016-10-20,76.3,79.65,76.0,77.15,307797.0,
2016-10-21,76.6,78.4,76.1,77.8,120215.0,
2016-10-24,78.25,83.4,78.25,81.6,665324.0,
2016-10-25,81.7,82.0,78.7,79.9,172914.0,
2016-10-26,79.2,79.85,78.0,78.6,102471.0,
2016-10-27,78.9,79.75,77.3,79.1,76266.0,
2016-10-28,79.05,81.8,78.25,80.7,171395.0,
2016-11-01,82.0,82.1,80.2,80.55,85200.0,
2016-11-02,81.0,84.9,78.6,83.5,637410.0,
2016-11-03,83.95,86.45,80.2,80.8,367400.0,
2016-11-04,80.5,82.85,77.35,78.4,170909.0,
2016-11-07,80.4,81.6,78.0,81.0,112038.0,
2016-11-08,81.0,81.25,78.65,80.05,89589.0,
2016-11-09,76.45,80.6,73.15,80.0,156302.0,
2016-11-10,81.7,82.8,80.15,80.9,89451.0,
2016-11-11,79.65,80.8,78.0,78.5,68407.0,
2016-11-15,78.25,78.45,73.5,74.25,115034.0,
2016-11-16,76.75,76.75,75.0,75.75,43200.0,
2016-11-17,75.75,76.9,75.0,75.65,47942.0,
2016-11-18,75.25,77.5,74.3,76.95,49475.0,
2016-11-21,76.95,77.5,75.15,76.6,66727.0,
2016-11-22,76.65,77.5,76.1,77.0,41185.0,
2016-11-23,77.9,80.0,76.6,76.9,30275.0,
2016-11-24,77.0,77.85,76.0,76.45,25647.0,
2016-11-25,76.5,79.8,76.5,78.4,97143.0,
2016-11-28,78.4,78.5,76.95,77.35,63607.0,
2016-11-29,78.3,79.85,77.5,78.05,75209.0,
2016-11-30,78.2,79.0,78.15,78.4,37993.0,
2016-12-01,78.75,78.8,76.25,77.2,53979.0,
2016-12-02,77.45,78.2,76.3,76.85,48463.0,
2016-12-05,76.85,78.1,76.35,76.55,23242.0,
2016-12-06,76.4,78.8,76.4,77.7,73386.0,
2016-12-07,77.75,80.3,77.75,78.7,150488.0,
2016-12-08,79.85,81.7,79.2,80.2,223227.0,
2016-12-09,79.9,79.9,78.25,78.45,116881.0,
2016-12-12,79.7,79.7,77.55,77.75,58894.0,
2016-12-13,78.45,78.75,77.55,78.05,41040.0,
2016-12-14,77.3,79.1,75.35,76.45,71075.0,
2016-12-15,76.0,77.65,76.0,76.8,24263.0,
2016-12-16,77.35,77.5,74.85,75.95,43410.0,
2016-12-19,76.2,76.65,75.4,75.55,25794.0,
2016-12-20,75.95,76.95,75.15,75.45,26492.0,
2016-12-21,75.45,75.95,75.05,75.6,34119.0,
2016-12-22,75.95,75.95,74.55,74.75,47365.0,
2016-12-23,74.65,75.45,74.05,74.85,32773.0,
2016-12-26,74.85,75.0,73.2,73.95,30686.0,
2016-12-27,73.7,74.8,73.65,74.05,33758.0,
2016-12-28,74.25,75.7,74.1,74.4,25013.0,
2016-12-29,74.35,76.5,74.05,75.95,31579.0,
2016-12-30,76.25,76.45,75.25,76.2,40640.0,
2017-01-02,76.2,78.85,75.55,77.95,51313.0,
2017-01-03,78.6,78.8,77.6,78.55,75393.0,
2017-01-04,78.55,81.85,78.2,79.25,134538.0,
2017-01-05,79.3,81.2,79.3,80.25,98734.0,
2017-01-06,81.35,81.35,79.2,79.9,62586.0,
2017-01-09,78.5,83.0,78.5,81.65,107763.0,
2017-01-10,83.0,84.7,82.95,83.55,208316.0,
2017-01-11,83.1,84.7,83.1,83.95,117484.0,
2017-01-12,84.0,92.9,83.1,91.6,1232425.0,
2017-01-13,91.65,94.5,91.0,91.95,828395.0,
2017-01-16,91.2,92.8,90.0,90.95,213017.0,
2017-01-17,91.0,91.8,86.6,87.6,176642.0,
2017-01-18,88.3,89.9,87.1,88.15,141278.0,
2017-01-19,88.55,91.0,87.6,90.1,167137.0,
2017-01-20,90.2,91.25,87.7,88.0,121076.0,
2017-01-23,88.0,89.1,87.25,87.65,43173.0,
2017-01-24,88.45,89.4,87.8,88.45,60731.0,
2017-01-25,88.75,96.4,88.55,93.55,774069.0,
2017-01-27,96.5,100.3,95.3,97.05,1316109.0,
2017-01-30,96.05,98.9,96.05,96.7,237171.0,
2017-01-31,96.7,96.7,92.65,93.65,256468.0,
2017-02-01,95.5,97.4,95.1,96.7,608521.0,
2017-02-02,96.75,97.5,96.15,96.55,348672.0,
2017-02-03,96.55,97.25,96.3,96.8,229358.0,
2017-02-06,96.8,97.5,96.7,97.0,254074.0,
2017-02-07,97.0,97.45,96.75,97.2,243512.0,
2017-02-08,97.25,98.35,97.0,97.5,236364.0,
2017-02-09,96.3,98.4,93.7,95.25,300348.0,
2017-02-10,97.95,99.95,96.2,96.85,851353.0,
2017-02-13,96.95,97.15,93.55,93.8,117485.0,
2017-02-14,94.6,94.6,91.55,92.3,89847.0,
2017-02-15,93.0,96.5,92.5,94.25,178025.0,
2017-02-16,94.2,94.9,94.2,94.55,51417.0,
2017-02-17,95.0,95.25,90.8,93.35,79300.0,
2017-02-20,93.5,93.65,91.95,92.3,82900.0,
2017-02-21,93.0,94.2,92.3,93.85,86295.0,
2017-02-22,95.3,98.0,94.25,95.1,356562.0,
2017-02-23,94.6,95.5,93.05,93.65,71334.0,
2017-02-27,94.65,94.8,93.1,93.5,51425.0,
2017-02-28,93.5,94.65,92.05,92.25,132567.0,
2017-03-01,92.8,94.55,92.5,93.85,107510.0,
2017-03-02,94.4,97.4,94.0,95.2,262887.0,
2017-03-03,94.05,95.9,94.05,94.9,64592.0,
2017-03-06,95.95,96.2,94.8,95.0,59051.0,
2017-03-07,95.0,95.8,94.5,94.6,29527.0,
2017-03-08,94.55,96.9,93.3,95.8,199347.0,
2017-03-09,95.35,95.35,94.05,94.3,38636.0,
2017-03-10,95.05,95.05,93.5,94.05,93365.0,
2017-03-14,95.0,96.8,93.75,95.6,189351.0,
