,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,167.9,168.8,162.3,163.65,7453081.0,
2016-08-23,163.2,163.6,157.75,159.0,6543437.0,
2016-08-24,158.75,163.55,158.1,161.3,5657930.0,
2016-08-25,160.7,161.5,158.1,158.65,7029156.0,
2016-08-26,158.9,159.8,157.25,157.9,3297802.0,
2016-08-29,158.0,160.0,156.8,159.55,1372318.0,
2016-08-30,160.0,162.3,158.85,161.75,2427763.0,
2016-08-31,160.3,162.25,158.55,159.25,9249400.0,
2016-09-01,159.7,160.65,158.0,158.75,2819201.0,
2016-09-02,159.2,160.8,157.75,160.0,3916684.0,
2016-09-06,160.5,164.0,160.5,163.55,4394957.0,
2016-09-07,163.2,163.6,160.55,161.25,2543139.0,
2016-09-08,159.1,162.0,159.05,159.75,2438354.0,
2016-09-09,160.0,160.9,158.4,158.8,2126028.0,
2016-09-12,156.8,158.2,152.25,152.85,3140374.0,
2016-09-14,152.0,156.6,152.0,155.7,3210698.0,
2016-09-15,156.4,157.0,152.35,153.4,2688932.0,
2016-09-16,154.55,156.95,152.4,153.05,6552680.0,
2016-09-19,153.7,156.0,152.85,155.15,1850670.0,
2016-09-20,154.9,155.0,153.0,153.4,3064785.0,
2016-09-21,153.2,155.4,153.2,154.0,2773523.0,
2016-09-22,156.75,157.3,155.0,157.0,2397711.0,
2016-09-23,157.2,158.0,156.3,156.9,3864274.0,
2016-09-26,155.5,156.5,151.3,152.15,4630941.0,
2016-09-27,152.05,153.35,151.0,152.2,2450812.0,
2016-09-28,152.5,153.6,152.15,152.7,1970697.0,
2016-09-29,153.3,153.75,148.25,149.45,7538387.0,
2016-09-30,149.2,151.85,147.3,148.0,3264954.0,
2016-10-03,148.75,151.65,148.5,150.6,2048801.0,
2016-10-04,150.8,152.85,150.45,152.25,2993822.0,
2016-10-05,153.25,153.8,150.35,152.45,2883460.0,
2016-10-06,153.2,153.85,148.5,148.95,4235921.0,
2016-10-07,149.0,150.15,147.7,148.3,2354100.0,
2016-10-10,148.8,149.45,145.9,146.65,4798163.0,
2016-10-13,147.0,147.0,143.3,144.75,6351747.0,
2016-10-14,145.3,145.6,143.5,145.0,3260310.0,
2016-10-17,147.0,148.6,146.1,147.5,7877580.0,
2016-10-18,148.0,148.8,147.15,148.0,8624846.0,
2016-10-19,148.45,150.2,147.65,149.05,6718682.0,
2016-10-20,149.75,149.9,148.35,149.0,2666676.0,
2016-10-21,148.4,150.0,148.4,149.5,1520722.0,
2016-10-24,149.85,152.0,149.7,151.35,1108296.0,
2016-10-25,150.6,152.55,149.55,152.0,1694968.0,
2016-10-26,151.45,152.9,151.1,151.85,1615435.0,
2016-10-27,151.7,152.8,150.5,151.7,2751691.0,
2016-10-28,151.9,154.95,150.25,152.25,6114822.0,
2016-11-01,151.7,156.55,150.7,155.0,3399012.0,
2016-11-02,153.95,157.6,153.15,156.5,6798198.0,
2016-11-03,156.8,157.3,152.5,153.05,3610018.0,
2016-11-04,153.6,155.5,152.8,153.5,1995230.0,
2016-11-07,154.15,156.9,153.35,155.1,3806085.0,
2016-11-08,155.4,156.6,153.55,154.15,3741753.0,
2016-11-09,147.7,156.0,145.6,154.1,6848484.0,
2016-11-10,155.5,156.35,154.05,154.8,3688992.0,
2016-11-11,154.0,154.0,150.8,151.7,3034553.0,
2016-11-15,151.4,152.55,149.0,150.15,3397759.0,
2016-11-16,151.3,151.8,149.25,150.15,2820306.0,
2016-11-17,150.0,152.7,149.2,151.8,5407264.0,
2016-11-18,152.7,160.0,152.15,159.05,11036467.0,
2016-11-21,159.0,159.85,154.45,154.9,8240283.0,
2016-11-22,156.0,156.1,151.05,154.1,8815441.0,
2016-11-23,154.4,161.0,150.95,159.85,8461090.0,
2016-11-24,158.8,160.0,155.15,157.0,4259461.0,
2016-11-25,157.95,162.45,155.5,161.5,4832227.0,
2016-11-28,160.1,164.95,160.1,164.35,3835996.0,
2016-11-29,164.5,165.2,162.2,163.0,5128976.0,
2016-11-30,163.2,164.0,161.75,163.15,8062285.0,
2016-12-01,163.15,164.95,161.15,161.9,3140090.0,
2016-12-02,161.95,162.95,159.8,161.65,2927778.0,
2016-12-05,160.55,163.2,160.55,162.45,2851876.0,
