,Open,High,Low,Close,Volume,DeliveryPct
2023-10-11,2417.0,2440.0,2285.3,2355.75,28360.0,69.78
2023-10-12,2383.95,2425.0,2310.05,2364.0,15581.0,79.26
2023-10-13,2358.8,2405.0,2325.0,2345.4,21684.0,73.17
2023-10-16,2302.0,2364.0,2302.0,2349.15,43372.0,76.78
2023-10-17,2360.0,2400.0,2334.0,2351.65,33682.0,75.47
2023-10-18,2352.05,2365.0,2320.2,2353.55,30262.0,72.02
2023-10-19,2354.0,2588.85,2335.05,2561.15,114280.0,61.14
2023-10-20,2558.05,2590.0,2541.65,2562.0,51282.0,70.05
2023-10-23,2565.0,2599.0,2460.25,2514.95,59528.0,60.65
2023-10-24,2565.0,2599.0,2460.25,2514.95,59528.0,60.65
2023-10-25,2540.0,2600.0,2498.1,2526.95,34781.0,52.36
2023-10-26,2500.0,2724.45,2461.6,2704.55,98080.0,67.2
2023-10-27,2730.0,2752.95,2675.0,2713.6,33254.0,63.65
2023-10-30,2900.0,2947.85,2810.1,2863.1,97836.0,61.09
2023-10-31,3001.0,3010.1,2835.15,2923.35,162341.0,56.4
2023-11-01,2950.0,2977.95,2841.5,2895.95,38693.0,51.38
2023-11-02,2950.9,2978.9,2860.75,2879.55,33968.0,53.72
2023-11-03,2969.7,2969.7,2841.6,2878.85,22984.0,61.48
2023-11-06,2897.0,2901.15,2745.0,2810.3,45477.0,48.76
2023-11-07,2810.0,2822.0,2739.85,2755.2,21655.0,64.87
2023-11-08,2756.05,2778.0,2714.5,2735.55,34055.0,62.52
2023-11-09,2700.15,2738.45,2630.55,2702.55,53276.0,59.2
2023-11-10,2679.0,2737.0,2618.65,2653.05,276469.0,66.34
2023-11-13,2740.0,2908.55,2712.6,2747.4,477945.0,61.51
2023-11-14,2740.0,2908.55,2712.6,2747.4,477945.0,61.51
2023-11-15,2780.05,2884.4,2755.5,2804.2,272066.0,57.18
2023-11-16,2825.0,2970.7,2758.85,2898.85,243270.0,57.23
2023-11-17,2920.0,3174.6,2869.25,3121.8,370308.0,52.54
2023-11-20,3149.0,3264.4,3056.0,3212.75,317244.0,63.76
2023-11-21,3251.0,3314.0,3165.2,3205.65,104611.0,49.75
2023-11-22,3221.0,3229.0,3117.2,3173.65,110815.0,53.36
2023-11-23,3194.0,3253.0,3165.2,3219.55,88417.0,55.66
2023-11-24,3238.0,3257.0,3145.0,3164.2,91066.0,59.6
2023-11-27,3238.0,3257.0,3145.0,3164.2,91066.0,59.6
2023-11-28,3165.1,3193.9,3142.0,3186.45,55462.0,61.15
2023-11-29,3216.0,3216.0,3140.05,3170.2,92808.0,74.24
2023-11-30,3170.2,3184.6,3080.0,3142.7,92658.0,63.86
2023-12-01,3150.4,3220.0,3145.05,3176.05,86431.0,64.63
2023-12-04,3450.0,3450.0,3225.6,3313.5,328880.0,64.47
2023-12-05,3349.0,3349.0,3215.55,3248.55,107286.0,64.46
2023-12-06,3252.0,3285.1,3222.4,3246.65,51204.0,71.68
2023-12-07,3245.0,3260.4,3210.1,3236.0,110224.0,80.23
2023-12-08,3268.0,3268.0,3108.4,3165.2,64663.0,57.48
2023-12-11,3194.0,3237.5,3151.05,3200.85,155404.0,71.24
2023-12-12,3237.0,3288.0,3213.1,3267.55,228446.0,69.2
2023-12-13,3295.3,3610.0,3270.0,3552.95,288681.0,60.89
2023-12-14,3615.05,3640.0,3525.15,3592.3,135882.0,63.24
2023-12-15,3624.0,3770.0,3604.95,3712.25,195508.0,58.56
2023-12-18,3666.15,3694.85,3565.45,3615.0,73181.0,46.1
2023-12-19,3625.0,3671.85,3560.1,3620.1,54651.0,48.57
2023-12-20,3674.0,3745.0,3515.1,3565.0,103035.0,55.58
