,Open,High,Low,Close,Volume,DeliveryPct
2021-08-23,485.0,550.0,485.0,531.7,22080190.0,51.19
2021-08-24,532.0,564.95,507.15,520.55,5703185.0,39.43
2021-08-25,522.05,535.0,521.1,532.65,1295995.0,50.55
2021-08-26,532.9,538.8,522.4,528.55,1535636.0,64.87
2021-08-27,525.0,538.0,520.2,535.9,980070.0,56.47
2021-08-30,542.0,565.0,529.2,542.8,1890032.0,43.92
2021-08-31,550.0,559.8,539.6,556.15,931453.0,42.25
2021-09-01,560.0,571.9,555.95,562.2,1565064.0,41.62
2021-09-02,563.5,570.0,555.95,564.35,826114.0,45.81
2021-09-03,564.35,567.25,555.0,560.85,481989.0,43.27
2021-09-06,562.0,577.9,560.2,567.4,1038320.0,57.68
2021-09-07,574.0,577.0,556.3,560.4,1016848.0,38.97
2021-09-08,563.5,563.9,552.0,553.4,331856.0,53.86
2021-09-09,553.0,553.1,542.1,546.75,494998.0,61.99
2021-09-10,553.0,553.1,542.1,546.75,494998.0,61.99
2021-09-13,545.0,551.5,542.0,544.8,223610.0,46.4
2021-09-14,542.55,555.5,542.55,552.05,482527.0,69.76
2021-09-15,555.0,557.9,550.05,554.55,595194.0,79.34
2021-09-16,552.0,569.4,548.7,557.05,1565279.0,74.13
2021-09-17,558.0,562.05,537.5,538.6,817009.0,80.73
2021-09-20,536.0,543.95,535.25,539.7,440764.0,70.13
2021-09-21,540.0,544.85,532.0,536.3,419127.0,76.66
2021-09-22,536.3,552.5,536.1,545.0,835616.0,77.25
2021-09-23,554.75,554.75,549.0,552.0,368460.0,72.24
2021-09-24,552.6,562.0,551.95,553.45,402319.0,71.97
2021-09-27,560.0,562.4,550.9,552.35,354994.0,64.66
2021-09-28,559.75,559.75,540.05,547.7,449949.0,69.27
2021-09-29,545.05,547.9,542.3,545.15,337031.0,78.9
2021-09-30,543.5,546.0,538.65,543.5,193616.0,53.09
2021-10-01,543.5,548.0,540.5,545.75,246944.0,76.88
2021-10-04,548.1,552.5,548.0,551.15,153098.0,76.93
2021-10-05,550.0,560.0,547.0,554.4,233997.0,62.64
2021-10-06,555.0,559.8,551.0,555.75,483458.0,76.84
2021-10-07,560.0,561.0,542.35,549.4,1571412.0,89.14
2021-10-08,550.0,554.4,545.05,547.75,122795.0,60.32
2021-10-11,544.1,558.0,541.5,544.95,306492.0,64.55
2021-10-12,542.1,548.35,535.35,536.4,177574.0,66.88
2021-10-13,539.7,539.7,526.95,534.5,381592.0,67.7
2021-10-14,531.1,549.6,527.15,528.9,437661.0,63.44
2021-10-15,531.1,549.6,527.15,528.9,437661.0,63.44
2021-10-18,534.7,534.7,525.3,530.0,372884.0,69.24
2021-10-19,530.0,531.7,524.2,525.95,257763.0,74.04
2021-10-20,525.0,526.6,504.2,520.35,793648.0,83.6
2021-10-21,519.55,525.2,515.05,519.7,161518.0,55.03
2021-10-22,522.45,522.5,506.0,508.55,147126.0,57.0
2021-10-25,510.0,514.85,495.6,497.95,160200.0,41.56
2021-10-26,496.05,541.3,496.05,524.95,476872.0,41.78
2021-10-27,524.95,526.0,514.85,516.1,187396.0,46.05
2021-10-28,511.25,524.35,511.25,515.75,158562.0,46.86
2021-10-29,514.05,534.0,512.0,527.85,260162.0,73.49
2021-11-01,517.4,536.4,517.4,528.65,110704.0,61.45
2021-11-02,533.95,555.4,529.3,549.3,521905.0,59.0
2021-11-03,548.9,554.0,540.6,547.25,718887.0,77.55
2021-11-04,548.9,554.0,540.6,547.25,718887.0,77.55
2021-11-05,548.0,550.0,536.3,538.8,59981.0,61.57
2021-11-08,540.0,560.0,538.8,552.7,1075930.0,70.17
2021-11-09,554.1,556.35,539.0,543.05,331157.0,79.56
2021-11-10,541.0,544.2,530.0,535.6,237228.0,50.7
2021-11-11,530.25,531.05,518.25,521.1,281526.0,61.02
2021-11-12,525.0,528.2,511.0,514.55,621143.0,71.53
2021-11-15,516.0,519.1,501.2,514.35,1201471.0,87.5
2021-11-16,511.25,537.95,511.25,532.0,915204.0,86.77
2021-11-17,539.7,539.8,529.35,532.0,397332.0,78.12
2021-11-18,535.0,540.35,508.2,514.45,704762.0,82.48
2021-11-19,535.0,540.35,508.2,514.45,704762.0,82.48
2021-11-22,521.0,529.9,514.0,515.0,435066.0,66.14
2021-11-23,522.75,528.0,511.35,519.4,258764.0,74.48
2021-11-24,519.4,532.5,518.35,528.0,621262.0,86.19
2021-11-25,534.4,547.0,531.3,539.05,521806.0,68.86
2021-11-26,531.0,535.0,515.5,519.1,151662.0,63.29
2021-11-29,517.0,517.4,500.0,508.25,151576.0,55.36
2021-11-30,506.05,556.05,500.1,531.35,2467538.0,88.48
2021-12-01,539.75,549.8,521.2,523.1,167263.0,54.84
2021-12-02,521.1,528.05,521.1,525.15,114032.0,69.93
2021-12-03,523.0,528.45,520.25,523.0,202757.0,78.53
2021-12-06,520.0,522.05,516.65,521.1,116667.0,72.82
2021-12-07,523.0,531.45,516.0,526.4,123615.0,49.08
2021-12-08,525.55,528.75,518.75,525.0,251360.0,69.06
2021-12-09,528.0,541.0,527.0,538.45,353082.0,65.09
2021-12-10,535.0,535.0,529.05,531.85,68427.0,59.89
2021-12-13,531.85,533.95,525.0,527.1,69866.0,58.12
2021-12-14,523.1,534.0,523.1,533.1,176509.0,60.8
2021-12-15,535.0,537.9,524.0,528.45,186784.0,66.05
2021-12-16,529.0,538.8,521.0,524.8,101712.0,57.29
2021-12-17,532.0,532.0,516.0,521.8,93988.0,59.29
2021-12-20,515.0,518.85,500.35,501.3,192920.0,70.45
2021-12-21,503.0,511.7,501.5,503.85,59082.0,49.55
2021-12-22,506.0,513.85,502.0,503.4,54827.0,61.66
2021-12-23,506.0,509.7,502.5,503.2,49860.0,54.49
2021-12-24,505.8,505.8,496.0,497.15,134632.0,70.03
2021-12-27,500.0,503.65,490.5,491.45,128371.0,66.42
2021-12-28,497.0,497.0,485.25,485.9,294013.0,75.66
2021-12-29,488.5,502.1,486.0,494.5,208917.0,50.83
2021-12-30,496.05,501.95,495.0,498.65,76322.0,56.73
2021-12-31,495.0,511.0,495.0,499.35,143452.0,56.83
2022-01-03,498.1,501.75,491.45,492.15,268669.0,81.99
2022-01-04,492.5,500.0,492.5,494.85,57180.0,56.48
2022-01-05,495.0,498.8,493.45,495.7,121022.0,77.35
2022-01-06,491.0,495.0,489.35,490.05,93717.0,75.8
2022-01-07,488.05,495.6,486.4,489.05,313813.0,77.05
2022-01-10,489.4,499.95,488.5,494.25,338546.0,79.87
2022-01-11,494.25,499.35,487.1,488.4,68831.0,65.63
2022-01-12,491.0,501.4,489.2,500.4,208333.0,71.29
2022-01-13,500.0,504.9,492.5,500.7,126379.0,64.12
2022-01-14,500.0,516.0,498.0,510.8,123395.0,48.94
2022-01-17,510.0,515.85,503.5,512.75,89137.0,57.8
2022-01-18,514.0,516.4,502.2,504.4,270682.0,89.78
2022-01-19,501.0,506.35,496.05,497.95,165450.0,84.94
2022-01-20,500.6,500.6,492.95,495.9,144156.0,64.33
2022-01-21,493.1,502.5,490.05,496.0,102785.0,64.72
2022-01-24,494.0,495.15,470.0,478.35,244746.0,62.02
2022-01-25,477.2,478.75,458.4,460.45,361831.0,70.16
2022-01-26,477.2,478.75,458.4,460.45,361831.0,70.16
2022-01-27,458.75,458.75,440.8,450.8,315911.0,67.12
2022-01-28,451.0,452.0,438.65,448.6,743847.0,69.68
2022-01-31,459.0,461.6,446.55,450.95,220193.0,77.21
2022-02-01,459.0,467.7,452.45,460.95,231547.0,54.36
2022-02-02,462.0,464.85,451.55,456.3,207165.0,65.48
2022-02-03,456.0,459.5,453.0,456.45,326409.0,78.23
2022-02-04,458.25,459.0,448.85,453.55,300614.0,73.39
2022-02-07,451.5,458.45,449.55,450.2,143896.0,21.13
2022-02-08,459.0,459.0,424.95,430.7,275012.0,59.47
2022-02-09,431.5,438.0,410.0,428.6,446937.0,29.17
2022-02-10,419.2,430.9,415.05,426.35,428291.0,63.28
2022-02-11,426.0,429.85,398.0,401.05,734236.0,65.09
2022-02-14,380.0,397.0,377.1,394.95,316088.0,49.96
2022-02-15,391.4,394.75,381.3,390.45,230700.0,62.36
2022-02-16,391.0,395.45,380.0,381.7,305992.0,57.21
2022-02-17,382.1,392.15,382.1,389.7,116351.0,50.24
2022-02-18,390.0,393.95,380.0,382.9,163876.0,28.75
2022-02-21,375.0,379.1,350.0,353.65,961272.0,71.1
2022-02-22,350.0,351.95,343.85,345.2,246693.0,66.66
2022-02-23,343.0,344.9,331.25,335.3,1075604.0,81.26
2022-02-24,328.0,328.0,295.0,296.7,390748.0,56.71
2022-02-25,301.0,328.0,301.0,320.9,4011624.0,85.27
2022-02-28,320.9,349.0,320.0,346.6,1011789.0,56.38
2022-03-01,320.9,349.0,320.0,346.6,1011789.0,56.38
2022-03-02,347.0,404.8,347.0,382.05,1670427.0,28.59
2022-03-03,385.0,392.65,369.0,376.6,797242.0,55.12
2022-03-04,365.0,375.15,363.5,374.15,424235.0,57.82
2022-03-07,369.9,378.7,361.0,367.45,452045.0,62.2
2022-03-08,359.1,371.2,358.75,364.8,444886.0,82.17
2022-03-09,370.0,373.05,357.55,367.4,361262.0,72.44
2022-03-10,371.9,410.0,370.5,389.7,340168.0,57.8
2022-03-11,395.0,400.75,392.6,395.6,238770.0,79.1
2022-03-14,400.0,409.0,396.0,399.55,270302.0,69.55
2022-03-15,406.4,406.4,380.85,387.15,422009.0,93.02
2022-03-16,390.0,400.0,385.0,389.0,410691.0,81.44
2022-03-17,393.05,395.45,371.5,377.15,2596794.0,79.64
2022-03-18,393.05,395.45,371.5,377.15,2596794.0,79.64
2022-03-21,383.5,385.9,368.45,379.85,212243.0,63.9
2022-03-22,381.0,389.0,375.15,383.95,1263781.0,92.29
2022-03-23,382.0,392.0,382.0,389.0,159714.0,48.88
2022-03-24,391.0,392.95,372.2,375.25,237909.0,41.29
2022-03-25,380.9,391.0,374.25,378.35,318825.0,49.11
2022-03-28,378.35,378.35,365.0,368.4,178274.0,56.12
2022-03-29,369.0,379.0,361.0,369.25,382432.0,65.4
2022-03-30,372.1,405.0,371.95,396.05,762286.0,57.01
2022-03-31,393.95,399.0,375.5,394.95,515709.0,49.89
2022-04-01,394.5,395.85,385.1,392.6,196408.0,40.54
2022-04-04,395.2,399.65,385.05,388.25,138130.0,49.9
2022-04-05,388.25,393.75,384.4,387.5,131662.0,48.2
2022-04-06,388.85,396.65,381.0,383.7,243444.0,45.38
2022-04-07,386.0,386.0,376.45,380.85,196489.0,48.65
2022-04-08,383.0,388.95,381.75,386.85,137118.0,44.2
2022-04-11,390.0,393.3,382.0,383.55,187502.0,38.66
2022-04-12,381.0,383.75,374.45,377.7,103430.0,53.47
2022-04-13,381.0,381.0,375.5,377.05,61022.0,38.0
2022-04-14,381.0,381.0,375.5,377.05,61022.0,38.0
2022-04-15,381.0,381.0,375.5,377.05,61022.0,38.0
2022-04-18,376.0,377.55,368.2,370.7,69902.0,47.84
2022-04-19,372.5,377.95,362.0,365.4,162077.0,53.0
2022-04-20,365.4,376.4,365.4,369.15,78181.0,41.42
2022-04-21,371.0,374.15,363.65,364.15,112356.0,57.2
2022-04-22,364.0,374.0,363.35,365.45,102229.0,35.45
2022-04-25,365.0,372.65,364.0,364.9,96574.0,48.52
2022-04-26,367.0,368.15,356.0,357.55,101168.0,64.09
2022-04-27,358.6,359.95,353.05,357.25,60347.0,46.1
2022-04-28,357.25,359.8,353.1,357.45,67192.0,46.72
2022-04-29,359.95,359.95,350.1,351.85,50942.0,49.35
2022-05-02,350.0,351.15,340.6,346.25,248962.0,88.76
2022-05-03,350.0,351.15,340.6,346.25,248962.0,88.76
2022-05-04,348.0,348.85,338.5,340.15,39302.0,47.12
2022-05-05,343.0,343.1,325.55,331.15,95877.0,52.67
2022-05-06,325.0,329.05,318.45,324.45,59674.0,42.98
2022-05-09,320.0,321.85,296.05,299.8,371268.0,50.82
2022-05-10,300.0,308.0,294.1,297.6,708767.0,84.84
2022-05-11,296.0,310.6,296.0,308.3,1402937.0,89.48
2022-05-12,308.0,308.0,296.1,304.45,563910.0,87.9
2022-05-13,309.8,309.95,296.0,297.4,97006.0,44.72
2022-05-16,306.0,309.75,298.45,305.95,91616.0,45.53
2022-05-17,308.95,308.95,300.0,303.55,78221.0,49.52
2022-05-18,305.0,315.0,302.65,308.65,703573.0,87.41
2022-05-19,305.0,305.45,292.35,294.7,198484.0,72.94
2022-05-20,299.0,313.95,298.0,299.0,458890.0,61.31
2022-05-23,305.0,308.0,292.65,299.35,269015.0,65.78
2022-05-24,299.35,301.95,295.0,296.35,385440.0,82.08
2022-05-25,299.95,300.0,295.0,297.1,181091.0,55.96
2022-05-26,302.0,302.0,297.05,299.95,169388.0,59.5
2022-05-27,308.0,310.0,297.7,299.6,561169.0,81.48
2022-05-30,304.5,327.15,298.05,315.6,746290.0,47.58
2022-05-31,316.0,319.8,297.0,301.5,293110.0,58.15
2022-06-01,300.0,315.0,298.55,311.25,297796.0,34.21
2022-06-02,307.0,324.45,307.0,317.8,180465.0,34.43
2022-06-03,321.9,321.9,303.05,305.15,216621.0,35.12
2022-06-06,306.5,306.5,296.0,299.0,184064.0,48.96
2022-06-07,301.5,304.95,296.45,297.1,121063.0,60.24
2022-06-08,300.05,300.05,283.6,286.05,365792.0,45.86
2022-06-09,282.0,285.8,280.8,281.8,104550.0,57.31
2022-06-10,281.4,288.0,278.1,285.9,165648.0,44.77
2022-06-13,282.5,282.5,275.0,276.6,190645.0,68.01
2022-06-14,274.45,279.0,274.45,275.8,120758.0,44.95
2022-06-15,275.05,276.6,271.9,274.05,824944.0,95.29
2022-06-16,277.0,291.0,260.25,281.35,1199364.0,80.28
2022-06-17,281.0,284.45,266.45,271.3,562484.0,58.64
2022-06-20,274.0,274.1,260.5,264.8,324706.0,72.82
2022-06-21,269.5,275.15,268.2,271.35,260222.0,62.49
2022-06-22,275.0,300.1,267.9,277.75,535142.0,62.8
2022-06-23,279.0,295.0,275.25,290.8,521565.0,56.73
2022-06-24,288.4,293.7,288.4,292.95,361387.0,44.43
2022-06-27,298.5,308.0,288.05,304.05,421137.0,57.59
2022-06-28,303.0,307.0,297.1,300.15,546461.0,47.93
2022-06-29,300.0,313.0,296.1,298.3,379499.0,44.19
2022-06-30,298.9,300.55,291.7,296.85,126754.0,27.32
2022-07-01,299.0,307.4,292.5,304.7,150042.0,27.96
2022-07-04,307.3,307.3,292.0,298.5,180952.0,23.77
2022-07-05,300.8,302.95,289.55,296.0,466649.0,56.71
2022-07-06,300.0,302.2,293.25,298.4,261610.0,49.21
2022-07-07,299.5,299.75,294.0,295.85,135842.0,34.08
2022-07-08,298.2,299.7,289.65,290.5,405412.0,75.14
2022-07-11,292.0,294.0,286.05,289.7,205433.0,53.62
2022-07-12,291.0,291.75,283.75,285.45,114871.0,45.29
2022-07-13,288.4,291.1,285.0,287.45,97515.0,51.2
2022-07-14,285.6,291.8,281.1,283.95,223610.0,73.24
2022-07-15,284.0,290.4,284.0,287.7,101068.0,32.67
2022-07-18,289.65,294.5,287.45,288.75,112807.0,39.85
2022-07-19,290.0,296.0,287.4,289.65,301444.0,68.66
2022-07-20,293.0,295.5,289.0,290.85,98468.0,44.2
2022-07-21,290.6,293.3,289.45,291.25,68998.0,51.39
2022-07-22,291.0,312.2,288.65,307.6,1130227.0,42.33
2022-07-25,304.4,317.8,301.2,314.25,1486753.0,63.95
2022-07-26,315.0,336.7,314.3,322.3,1568337.0,47.74
2022-07-27,320.25,341.85,320.25,339.9,1526371.0,43.67
2022-07-28,341.0,342.4,327.0,328.4,325393.0,41.8
2022-07-29,333.35,334.25,323.05,331.1,598613.0,73.13
2022-08-01,331.0,340.3,326.2,338.05,236637.0,42.8
2022-08-02,339.0,343.5,334.2,341.2,433912.0,47.74
2022-08-03,339.95,352.9,338.05,343.3,644583.0,45.86
2022-08-04,343.9,346.95,333.0,339.25,190531.0,41.5
2022-08-05,342.25,343.6,336.95,339.2,92863.0,39.14
2022-08-10,339.05,339.55,334.05,337.95,209279.0,65.27
2022-08-11,346.95,346.95,330.5,332.7,157021.0,59.84
2022-08-12,333.0,340.75,331.05,339.5,173951.0,73.69
2022-08-15,333.0,340.75,331.05,339.5,173951.0,73.69
2022-08-16,344.9,359.8,340.4,352.85,323263.0,66.37
2022-08-17,358.85,360.15,346.1,349.45,322047.0,42.41
2022-08-18,349.45,351.45,344.0,345.4,161969.0,53.33
2022-08-19,347.7,348.0,337.25,340.85,121142.0,45.74
2022-08-22,340.95,342.45,334.05,335.0,361995.0,91.15
2022-08-23,331.35,341.0,330.95,336.75,155087.0,46.71
2022-08-24,342.4,347.15,339.5,343.5,137478.0,41.77
2022-08-25,347.95,353.8,340.8,351.35,602376.0,77.42
