,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,375.0,377.55,371.75,373.85,225901.0,
2016-08-23,373.45,373.45,370.25,371.75,160466.0,
2016-08-24,372.0,388.0,372.0,386.3,1139148.0,
2016-08-25,387.9,388.9,380.5,383.75,943847.0,
2016-08-26,385.45,388.8,380.55,384.7,555292.0,
2016-08-29,384.95,386.45,381.35,384.25,205691.0,
2016-08-30,385.2,387.5,384.05,385.75,363762.0,
2016-08-31,385.0,391.8,381.3,384.5,427869.0,
2016-09-01,381.65,389.25,381.65,384.35,511478.0,
2016-09-02,383.7,388.9,382.9,385.8,358927.0,
2016-09-06,391.8,392.0,386.1,387.55,443949.0,
2016-09-07,392.5,402.0,388.0,395.9,2244754.0,
2016-09-08,397.0,399.0,393.75,396.7,649027.0,
2016-09-09,397.0,403.4,392.0,400.6,906274.0,
2016-09-12,397.0,397.9,389.65,395.95,635341.0,
2016-09-14,393.1,398.05,390.05,396.75,333565.0,
2016-09-15,391.0,393.8,386.5,391.95,427267.0,
2016-09-16,392.0,405.6,392.0,403.2,1196823.0,
2016-09-19,403.95,404.0,397.0,401.6,314812.0,
2016-09-20,401.6,406.0,398.8,404.9,578073.0,
2016-09-21,404.85,407.75,402.5,404.65,283976.0,
2016-09-22,406.3,408.75,405.05,406.8,202660.0,
2016-09-23,406.9,406.9,402.15,403.75,606150.0,
2016-09-26,404.0,405.0,392.15,403.7,758941.0,
2016-09-27,405.0,411.0,404.35,407.3,312537.0,
2016-09-28,407.3,408.25,400.6,402.4,587996.0,
2016-09-29,406.0,409.0,391.8,398.5,518301.0,
2016-09-30,397.05,405.9,394.25,400.1,585874.0,
2016-10-03,403.1,417.75,402.35,414.85,642836.0,
2016-10-04,415.4,420.95,413.5,415.0,581452.0,
2016-10-05,415.05,417.8,408.75,410.6,321575.0,
2016-10-06,414.0,421.2,407.25,412.1,832709.0,
2016-10-07,412.0,419.3,412.0,415.35,349696.0,
2016-10-10,419.0,419.85,411.3,412.6,392003.0,
2016-10-13,412.0,420.0,411.5,414.75,579270.0,
2016-10-14,416.9,421.5,414.55,417.9,443069.0,
2016-10-17,418.45,421.25,413.0,414.3,279259.0,
2016-10-18,414.85,419.95,404.6,409.7,326567.0,
2016-10-19,410.25,416.0,407.5,413.85,199882.0,
2016-10-20,414.4,418.55,412.65,414.25,241486.0,
