,Open,High,Low,Close,Volume,DeliveryPct
2024-08-09,76.0,91.2,76.0,91.2,525179173.0,40.45
2024-08-12,97.0,109.44,95.0,109.44,210295560.0,30.78
2024-08-13,120.98,129.4,105.21,108.17,365044065.0,31.58
2024-08-14,110.0,113.4,100.36,110.9,160539788.0,20.49
2024-08-15,110.0,113.4,100.36,110.9,160539788.0,20.49
2024-08-16,121.0,133.08,117.0,133.08,338763140.0,25.96
2024-08-19,139.39,146.38,136.0,146.38,192359284.0,25.79
2024-08-20,153.8,157.4,132.65,137.79,309136273.0,26.1
2024-08-21,143.0,143.5,135.22,138.05,113015397.0,26.77
2024-08-22,139.0,139.0,126.05,131.32,107214397.0,28.16
2024-08-23,131.0,132.47,125.55,126.26,58941772.0,33.73
2024-08-26,123.43,132.7,118.6,125.3,162419382.0,21.63
2024-08-27,126.0,131.0,125.75,127.53,62973982.0,19.71
2024-08-28,128.7,129.19,125.0,125.69,36055940.0,30.12
2024-08-29,125.95,126.99,119.6,120.28,32236138.0,44.59
2024-08-30,121.3,122.97,117.11,117.93,39363549.0,41.41
2024-09-02,118.5,119.95,114.0,114.93,32100435.0,41.71
2024-09-03,114.0,119.3,112.66,113.49,34112725.0,31.79
2024-09-04,112.55,115.0,109.8,110.8,30257994.0,36.75
2024-09-05,111.36,119.17,110.33,115.16,88498741.0,29.8
2024-09-06,111.1,115.05,109.0,109.57,58560417.0,51.75
2024-09-09,110.0,116.2,103.5,114.58,93620725.0,33.82
2024-09-10,114.8,119.0,113.39,115.5,51113502.0,29.79
2024-09-11,115.49,116.5,109.86,113.02,44903854.0,31.33
2024-09-12,114.6,115.49,111.44,112.64,33770388.0,33.45
2024-09-13,112.7,114.25,111.0,111.58,18101301.0,40.06
2024-09-16,112.0,112.18,106.9,107.6,27173576.0,50.71
2024-09-17,112.95,118.36,110.26,117.96,163398289.0,31.24
2024-09-18,118.0,123.9,116.1,116.95,118683852.0,26.83
2024-09-19,116.7,117.49,109.5,111.67,61441099.0,43.18
2024-09-20,113.0,113.95,110.4,110.99,26659658.0,44.07
2024-09-23,112.0,112.4,107.5,108.15,30248266.0,56.22
2024-09-24,108.15,109.9,103.42,104.05,52943938.0,54.46
2024-09-25,105.37,107.5,101.4,103.02,54743574.0,34.4
2024-09-26,105.79,106.34,102.3,103.49,31139206.0,33.22
2024-09-27,104.6,104.87,101.0,102.18,36452821.0,46.09
2024-09-30,101.71,102.38,97.84,99.62,51879596.0,34.02
2024-10-01,100.0,103.49,99.15,102.62,61227119.0,20.05
2024-10-02,100.0,103.49,99.15,102.62,61227119.0,20.05
2024-10-03,100.0,102.19,99.0,99.26,27994702.0,39.06
2024-10-04,100.0,100.0,95.39,99.05,43646598.0,27.77
2024-10-07,99.9,100.0,89.55,90.82,90107948.0,37.99
2024-10-08,86.0,96.78,86.0,95.41,113352923.0,14.47
2024-10-09,95.32,98.69,93.79,95.78,57074037.0,15.23
2024-10-10,94.0,95.17,90.0,90.79,49223674.0,26.73
2024-10-11,91.0,92.25,89.66,90.2,34321755.0,21.41
2024-10-14,90.0,90.5,87.15,87.46,36287243.0,31.78
2024-10-15,88.79,91.87,88.65,89.51,56875452.0,15.3
2024-10-16,90.0,90.39,88.62,89.17,20025845.0,19.03
2024-10-17,89.39,90.0,87.2,87.57,16578506.0,29.03
2024-10-18,85.75,88.0,85.02,86.95,25522239.0,20.11
