,Open,High,Low,Close,Volume,DeliveryPct
2018-07-26,163.0,169.8,155.3,164.5,12075.0,
2018-07-27,164.9,172.7,161.0,162.7,349560.0,
2018-07-30,160.0,167.95,158.65,164.05,15608.0,
2018-07-31,164.05,164.05,157.0,157.75,80407.0,
2018-08-01,162.0,162.0,154.0,155.25,33462.0,
2018-08-02,155.0,163.0,155.0,163.0,66034.0,
2018-08-03,168.0,171.15,164.5,171.15,77114.0,
2018-08-06,179.7,179.7,179.7,179.7,9482.0,
2018-08-07,188.65,188.65,188.65,188.65,42343.0,
2018-08-08,198.05,198.05,198.0,198.05,59415.0,
2018-10-30,207.0,218.65,203.15,207.6,70991.0,
2018-10-31,209.0,213.2,196.0,205.6,13305.0,
2018-11-01,208.85,211.4,203.5,205.55,16646.0,
2018-11-02,209.95,213.9,203.3,204.35,41464.0,
2018-11-05,200.2,224.75,200.15,224.75,56337.0,
2018-11-06,224.0,247.2,224.0,242.65,114397.0,
2018-11-07,248.0,251.05,238.5,245.6,52184.0,
2018-11-09,252.0,252.0,240.5,244.0,22103.0,
2018-11-12,243.15,254.4,227.0,250.8,55218.0,
2018-11-13,240.0,249.85,231.5,234.7,32010.0,
2018-11-14,233.1,239.0,224.9,226.15,19437.0,
2018-11-15,229.95,232.8,217.0,219.05,24322.0,
2018-11-16,220.7,235.5,217.5,230.3,34305.0,
2018-11-19,234.95,241.05,232.0,235.8,25124.0,
2018-11-20,235.05,237.75,223.15,225.45,19662.0,
2018-11-21,219.5,231.15,219.5,224.7,17684.0,
2018-11-22,228.0,228.85,220.4,222.65,20799.0,
2018-11-26,229.75,229.95,218.0,219.0,13046.0,
2018-11-27,227.5,227.5,213.35,214.4,28311.0,
2018-11-28,213.05,218.05,208.0,210.45,22030.0,
2018-11-29,213.8,219.0,210.55,213.6,12263.0,
2018-11-30,215.75,216.25,211.05,212.8,9284.0,
2018-12-03,219.8,219.8,214.95,218.0,11632.0,
2018-12-04,218.05,219.8,212.05,213.8,12543.0,
2018-12-05,213.05,217.9,205.0,207.6,18970.0,
2018-12-06,209.95,222.0,202.0,215.95,16192.0,
2018-12-07,223.5,224.0,214.95,217.65,21137.0,
2018-12-10,206.0,213.85,194.4,203.4,36995.0,
2018-12-11,208.85,215.25,202.0,206.7,31262.0,
2018-12-12,211.75,213.3,206.7,208.55,41362.0,
2018-12-13,210.0,211.7,206.1,207.15,19194.0,
2018-12-14,205.0,208.15,204.75,206.45,9362.0,
2018-12-17,207.3,213.55,201.0,204.95,76230.0,
2018-12-18,205.9,207.9,201.95,204.8,14176.0,
2018-12-19,205.55,216.35,205.5,207.35,48331.0,
2018-12-20,209.2,211.45,205.5,206.65,12594.0,
2018-12-21,208.75,210.55,200.0,200.6,30570.0,
2018-12-24,199.0,201.0,196.1,196.9,12453.0,
2018-12-26,195.0,206.9,188.15,200.1,23486.0,
2018-12-27,204.0,240.1,204.0,239.6,812072.0,
2018-12-28,247.0,259.0,238.35,244.95,1103872.0,
2018-12-31,242.25,242.8,230.55,234.1,141283.0,
2019-01-01,232.0,237.5,226.5,232.2,67438.0,
2019-01-02,230.0,255.0,227.0,241.5,407306.0,
2019-01-03,243.0,253.1,240.4,241.75,132336.0,
2019-01-04,243.7,252.0,239.45,241.75,154117.0,
2019-01-07,244.65,247.5,241.0,242.8,57099.0,
2019-01-08,245.0,245.0,234.0,237.15,50656.0,
2019-01-09,239.45,242.55,232.0,233.75,49589.0,
2019-01-10,232.0,232.0,224.5,226.0,44163.0,
