,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,241.6,243.9,238.3,239.35,2523607.0,
2016-08-23,237.5,239.7,236.6,238.4,3341634.0,
2016-08-24,239.8,243.0,239.25,241.0,2400489.0,
2016-08-25,241.5,242.75,237.0,237.8,2793158.0,
2016-08-26,238.1,238.85,236.0,238.4,1934741.0,
2016-08-29,238.4,239.5,236.75,237.3,1643555.0,
2016-08-30,238.55,242.5,237.2,241.7,2830483.0,
2016-08-31,239.0,241.2,235.15,236.3,6511284.0,
2016-09-01,237.0,239.15,235.1,236.6,3068322.0,
2016-09-02,237.0,240.15,235.15,238.75,2848749.0,
2016-09-06,239.75,241.7,238.0,238.55,2589708.0,
2016-09-07,239.2,246.3,238.3,244.95,11669479.0,
2016-09-08,250.0,254.9,244.1,246.3,10155237.0,
2016-09-09,247.0,257.5,247.0,254.95,11624751.0,
2016-09-12,250.0,252.85,248.2,251.0,5330454.0,
2016-09-14,250.05,252.6,245.2,248.2,5372090.0,
2016-09-15,250.05,250.3,245.1,248.5,2470853.0,
2016-09-16,249.4,253.0,248.0,250.3,8606696.0,
2016-09-19,250.75,255.5,250.3,254.15,4181315.0,
2016-09-20,254.5,260.4,253.25,257.75,8590805.0,
2016-09-21,257.0,259.5,253.7,255.35,4292227.0,
2016-09-22,258.9,261.15,258.0,259.5,5368671.0,
2016-09-23,259.05,263.35,258.45,260.55,5059860.0,
2016-09-26,259.5,260.5,248.15,249.55,9277066.0,
2016-09-27,249.9,251.8,246.35,247.55,7299978.0,
2016-09-28,248.0,252.4,245.4,251.65,6444639.0,
2016-09-29,256.0,258.0,248.25,250.15,9557641.0,
2016-09-30,251.4,257.35,249.6,256.65,6292479.0,
2016-10-03,257.0,261.95,252.4,260.25,4640147.0,
2016-10-04,262.0,274.9,261.35,273.55,11883343.0,
2016-10-05,274.0,275.25,265.65,266.65,6284547.0,
2016-10-06,269.0,273.45,266.0,269.15,6340703.0,
2016-10-07,270.4,273.7,266.7,267.35,7732452.0,
2016-10-10,269.4,270.0,263.55,266.95,4688252.0,
2016-10-13,268.4,274.9,265.25,272.75,9415301.0,
2016-10-14,274.0,279.2,271.8,277.05,6355031.0,
2016-10-17,277.05,280.0,275.55,278.45,4955052.0,
2016-10-18,279.2,281.0,274.65,276.5,4953749.0,
2016-10-19,277.0,280.4,276.4,278.55,4758286.0,
2016-10-20,280.9,283.15,278.05,281.35,4052300.0,
2016-10-21,281.0,281.05,276.05,279.8,2426315.0,
2016-10-24,280.05,293.65,278.5,292.35,10502366.0,
2016-10-25,293.0,293.7,287.6,288.75,7766694.0,
2016-10-26,288.5,292.85,286.3,290.1,4229417.0,
2016-10-27,292.0,297.4,284.1,290.8,16298838.0,
2016-10-28,292.95,294.45,285.8,286.9,6713555.0,
2016-11-01,290.3,290.3,281.8,289.15,7376238.0,
2016-11-02,285.0,285.8,275.75,277.25,9849847.0,
2016-11-03,273.65,274.0,267.0,267.55,7185416.0,
2016-11-04,267.8,271.95,265.0,269.5,4802309.0,
2016-11-07,273.0,274.0,266.35,267.2,2946174.0,
2016-11-08,268.4,271.7,265.35,270.6,3769709.0,
2016-11-09,252.2,271.0,250.0,269.9,4981197.0,
2016-11-10,273.0,279.45,271.2,276.0,3899493.0,
2016-11-11,273.0,278.8,270.1,273.45,4411684.0,
2016-11-15,270.25,286.45,269.5,275.6,8119979.0,
2016-11-16,279.0,284.6,271.1,272.4,5991331.0,
2016-11-17,271.25,278.0,270.2,273.25,3919444.0,
2016-11-18,273.45,277.75,273.45,275.1,4342573.0,
2016-11-21,275.6,278.2,272.65,276.05,4692077.0,
2016-11-22,280.95,283.5,275.1,277.9,5901885.0,
2016-11-23,279.0,281.45,276.0,279.9,4288438.0,
2016-11-24,280.0,281.7,275.1,277.25,4824122.0,
2016-11-25,276.75,279.85,275.4,277.45,2927757.0,
2016-11-28,275.3,285.5,274.55,284.0,4113446.0,
2016-11-29,284.25,287.8,281.3,284.8,4311675.0,
2016-11-30,284.0,291.2,282.65,288.9,7088957.0,
2016-12-01,295.0,298.6,291.0,292.15,8502349.0,
2016-12-02,293.7,295.8,290.4,291.25,5112339.0,
2016-12-05,289.2,296.65,289.2,295.4,3572230.0,
2016-12-06,297.3,299.75,296.65,298.75,4187940.0,
2016-12-07,299.9,300.45,296.2,297.1,4216484.0,
2016-12-08,298.05,304.4,298.05,303.3,4819803.0,
2016-12-09,304.15,307.8,304.1,306.8,3341555.0,
2016-12-12,310.0,314.6,310.0,311.45,4927081.0,
2016-12-13,313.95,313.95,308.75,312.0,7911844.0,
2016-12-14,310.15,311.45,304.1,305.3,9535686.0,
2016-12-15,202.8,208.6,201.35,206.45,10011138.0,
2016-12-16,207.7,207.95,200.8,201.7,6046045.0,
2016-12-19,203.1,203.4,200.1,201.4,6134651.0,
2016-12-20,201.4,201.45,197.5,199.85,4487663.0,
2016-12-21,200.6,202.35,199.65,201.5,4699901.0,
2016-12-22,200.9,200.9,194.1,194.9,5073928.0,
2016-12-23,196.95,197.25,192.5,192.95,5637468.0,
2016-12-26,192.0,192.75,188.15,189.0,4468708.0,
2016-12-27,190.0,190.9,187.7,190.3,4972743.0,
2016-12-28,189.5,192.1,189.25,189.9,4245082.0,
2016-12-29,190.0,193.75,189.95,191.6,13079156.0,
2016-12-30,192.7,193.35,190.25,191.35,3664012.0,
2017-01-02,191.8,193.0,191.35,192.25,2690448.0,
2017-01-03,193.4,193.75,191.15,192.5,4764310.0,
2017-01-04,193.5,196.75,192.1,194.8,7507779.0,
2017-01-05,195.3,200.25,195.3,199.65,6831388.0,
2017-01-06,200.0,206.95,200.0,202.55,8399536.0,
2017-01-09,203.95,204.95,197.1,198.0,4783989.0,
2017-01-10,198.9,203.0,197.7,198.45,6865373.0,
2017-01-11,198.6,200.0,197.3,197.65,3657809.0,
2017-01-12,198.5,201.7,198.5,199.55,7180398.0,
2017-01-13,203.0,203.95,200.05,201.3,7173268.0,
2017-01-16,201.0,201.8,198.05,198.35,4070898.0,
2017-01-17,199.0,199.65,193.0,194.8,4631529.0,
2017-01-18,195.5,198.4,193.75,198.0,9444964.0,
2017-01-19,197.85,201.45,196.85,200.85,11378619.0,
2017-01-20,200.85,202.0,195.45,197.3,7834336.0,
2017-01-23,197.3,201.8,197.3,199.9,5350419.0,
2017-01-24,201.15,202.2,199.35,201.6,3600754.0,
2017-01-25,201.95,205.7,201.95,204.9,11413512.0,
2017-01-27,206.0,208.0,203.15,204.5,5089894.0,
2017-01-30,204.5,205.45,200.8,201.85,4594038.0,
