,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,14329.05,14460.0,14230.0,14285.0,5104.0,
2016-08-23,14299.0,14359.95,14169.9,14293.2,8989.0,
2016-08-24,14300.0,14388.8,14150.5,14233.95,7289.0,
2016-08-25,14347.7,14347.7,14155.45,14261.45,4812.0,
2016-08-26,14261.0,14880.0,14161.55,14763.7,10264.0,
2016-08-29,14771.1,14902.0,14527.65,14652.7,6542.0,
2016-08-30,14607.0,14880.0,14607.0,14849.55,6184.0,
2016-08-31,14844.95,15048.0,14737.6,14854.45,6428.0,
2016-09-01,14919.95,15199.7,14726.05,15117.7,8813.0,
2016-09-02,15195.0,15326.0,14937.65,15235.35,7798.0,
2016-09-06,15200.0,15380.0,15110.05,15305.25,5646.0,
2016-09-07,15225.0,15350.0,15000.0,15121.2,7340.0,
2016-09-08,14900.1,15198.0,14706.3,14839.75,9609.0,
2016-09-09,14870.0,14930.0,14653.0,14773.3,5682.0,
2016-09-12,14800.0,14888.0,14280.0,14437.8,5792.0,
2016-09-14,14475.4,14900.0,14450.0,14831.9,6075.0,
2016-09-15,14898.8,14994.95,14440.5,14657.65,7343.0,
2016-09-16,14600.1,15242.75,14600.1,14875.35,17940.0,
2016-09-19,14890.0,15250.0,14779.4,15195.25,9110.0,
2016-09-20,15250.0,15288.8,14923.7,15105.5,10011.0,
2016-09-21,15240.0,15322.0,15060.0,15181.2,11162.0,
2016-09-22,15280.0,15410.0,14950.0,15098.45,13513.0,
2016-09-23,15098.0,15189.95,14881.0,14987.35,10530.0,
2016-09-26,15100.0,15150.0,14400.5,14885.3,7759.0,
2016-09-27,14900.0,15038.0,14750.0,14914.3,7232.0,
2016-09-28,15035.0,15450.0,14800.0,15338.1,9124.0,
2016-09-29,15338.1,15513.95,14080.5,15014.6,23448.0,
2016-09-30,15014.0,15536.0,14751.05,15117.65,24191.0,
2016-10-03,15155.0,15525.2,15110.0,15497.95,16636.0,
2016-10-04,15342.95,15674.0,15256.3,15571.1,9477.0,
2016-10-05,15571.0,16002.0,15509.2,15977.05,11594.0,
2016-10-06,15900.0,16136.8,15622.65,15816.65,13902.0,
2016-10-07,15815.0,15895.0,15316.2,15382.45,11937.0,
2016-10-10,15400.05,15813.35,15400.0,15702.05,10879.0,
2016-10-13,15660.0,15850.0,15433.0,15689.35,14682.0,
2016-10-14,15700.05,15949.9,15530.0,15599.75,18193.0,
2016-10-17,15694.2,15880.0,15551.7,15786.3,12485.0,
2016-10-18,15720.0,16500.0,15712.05,16449.5,20040.0,
2016-10-19,16445.1,16641.75,15980.35,16103.55,14910.0,
2016-10-20,16188.55,16419.0,15950.0,16133.65,11456.0,
2016-10-21,16080.05,16600.0,16005.0,16520.8,12616.0,
2016-10-24,16537.45,17399.0,16405.05,16847.05,26948.0,
2016-10-25,16864.0,16952.2,16606.0,16719.2,9009.0,
2016-10-26,16719.0,16949.0,16565.7,16788.75,11288.0,
2016-10-27,16788.0,16874.15,16291.0,16378.4,10581.0,
2016-10-28,16428.4,16576.7,16153.95,16452.85,8991.0,
2016-11-01,16500.0,16659.75,16260.0,16354.7,6428.0,
2016-11-02,16015.05,16391.6,16015.05,16106.95,4941.0,
2016-11-03,16138.0,16298.95,15624.05,15684.45,9051.0,
2016-11-04,15800.0,15929.9,15505.5,15778.9,6484.0,
2016-11-07,15778.0,16020.1,15710.35,15912.25,5565.0,
2016-11-08,15912.25,16270.8,15800.0,15983.15,7982.0,
2016-11-09,15500.0,16246.0,14900.0,16121.35,15611.0,
2016-11-10,16203.3,16395.0,14830.0,14976.7,27268.0,
2016-11-11,14940.0,14940.0,13500.0,14177.9,22460.0,
2016-11-15,14000.5,14010.0,12770.0,13055.4,19987.0,
2016-11-16,13010.1,13530.0,12412.5,13098.0,22834.0,
2016-11-17,13000.05,13338.35,12600.0,13016.55,17533.0,
2016-11-18,12907.15,13300.0,12794.45,13048.75,9309.0,
2016-11-21,13179.2,13288.0,12633.0,12743.5,14514.0,
2016-11-22,12625.0,12800.55,12453.2,12740.1,9270.0,
2016-11-23,12800.0,12880.0,12605.4,12738.55,5905.0,
2016-11-24,12798.9,12798.9,12387.35,12480.85,5760.0,
2016-11-25,12549.0,12749.0,12388.0,12537.9,7976.0,
2016-11-28,12600.0,13046.9,12475.45,12787.65,8562.0,
2016-11-29,12931.8,12931.8,12650.0,12704.5,9967.0,
2016-11-30,12700.0,13493.5,12700.0,13353.25,16779.0,
2016-12-01,13400.15,13538.0,12912.05,13008.15,14590.0,
2016-12-02,12878.4,13221.8,12717.0,12971.55,15934.0,
2016-12-05,13070.0,13480.0,12910.5,13348.15,10097.0,
2016-12-06,13481.0,13535.0,13165.05,13350.05,6753.0,
2016-12-07,13397.0,13397.0,13000.0,13053.55,8240.0,
2016-12-08,13174.15,13968.55,13075.05,13865.6,14629.0,
2016-12-09,13951.0,13999.0,13450.0,13684.65,9452.0,
2016-12-12,13690.0,13854.5,13400.0,13600.0,5508.0,
2016-12-13,13736.0,13830.0,13456.0,13625.35,8637.0,
2016-12-14,13600.0,13748.0,13450.0,13502.1,5600.0,
2016-12-15,13449.95,13742.0,13359.1,13674.2,5239.0,
2016-12-16,13699.0,14080.0,13631.5,13928.15,4805.0,
2016-12-19,14070.0,14346.0,13770.05,13980.15,6842.0,
2016-12-20,13950.0,13950.0,13250.0,13392.15,13774.0,
2016-12-21,13526.05,13800.75,13360.5,13725.3,5802.0,
2016-12-22,13621.0,13839.2,13315.0,13443.75,6097.0,
2016-12-23,13439.9,13750.0,13275.0,13565.75,11872.0,
2016-12-26,13600.0,13600.0,12852.1,12958.4,7673.0,
2016-12-27,12845.0,13142.95,12810.0,12941.55,10502.0,
2016-12-28,13009.9,13150.0,12880.0,12959.8,7065.0,
2016-12-29,12930.0,13998.75,12811.0,13800.9,11924.0,
2016-12-30,13760.0,13894.85,13365.4,13650.8,9502.0,
2017-01-02,13787.3,14059.0,13375.0,13938.45,7481.0,
2017-01-03,14075.0,14075.0,13661.0,13790.75,5574.0,
2017-01-04,13909.0,13909.0,13752.5,13802.85,3653.0,
2017-01-05,13890.0,14077.25,13780.2,13838.55,8883.0,
2017-01-06,13920.85,14224.45,13652.1,13704.05,9451.0,
2017-01-09,13899.85,14049.5,13650.0,13762.1,6522.0,
2017-01-10,13851.7,14094.0,13710.05,13982.75,10306.0,
2017-01-11,13906.0,14387.8,13822.8,14247.5,9189.0,
2017-01-12,14385.7,14507.15,13900.0,14026.45,12185.0,
2017-01-13,14050.0,14180.0,13825.25,14062.7,8424.0,
2017-01-16,14050.0,14120.0,13821.05,14094.75,7767.0,
2017-01-17,14056.1,14380.0,13954.15,14074.1,7033.0,
2017-01-18,14071.2,14800.0,14014.65,14486.1,12187.0,
2017-01-19,14450.0,14510.0,14310.2,14481.15,4520.0,
2017-01-20,14350.0,14468.9,14100.0,14208.85,7634.0,
2017-01-23,14275.0,14487.4,14010.0,14046.1,8071.0,
2017-01-24,14168.0,14393.4,13914.95,14326.7,11401.0,
2017-01-25,14326.7,14501.15,14206.35,14463.05,9852.0,
2017-01-27,14421.0,14549.0,14369.0,14497.1,7632.0,
2017-01-30,14501.0,14515.25,14301.0,14499.8,12299.0,
2017-01-31,14450.0,14548.9,14226.6,14494.4,6462.0,
2017-02-01,14483.75,14520.0,14112.0,14399.4,17760.0,
2017-02-02,14399.4,14424.95,14212.1,14282.05,8683.0,
2017-02-03,14210.3,14341.1,14151.0,14237.8,6015.0,
2017-02-06,14238.85,14507.6,14180.05,14467.5,18312.0,
2017-02-07,14501.0,14590.0,14230.05,14339.0,8517.0,
2017-02-08,14355.0,14509.5,14307.0,14483.05,6182.0,
2017-02-09,14500.0,14874.95,14020.1,14192.2,46712.0,
2017-02-10,14200.0,14525.0,14200.0,14487.3,13594.0,
2017-02-13,14480.0,14630.4,14250.05,14346.0,6878.0,
2017-02-14,14343.95,14499.95,14301.0,14403.1,5308.0,
2017-02-15,14403.1,14484.05,14100.0,14264.45,11126.0,
2017-02-16,14260.0,14450.0,14130.05,14345.7,5766.0,
2017-02-17,14345.7,14490.0,14264.9,14337.05,4302.0,
2017-02-20,14300.0,14500.85,14300.0,14466.5,5774.0,
2017-02-21,14425.0,14500.0,14301.0,14362.15,5978.0,
2017-02-22,14362.45,14396.9,13710.1,13855.6,20424.0,
2017-02-23,13860.0,14118.95,13812.3,14006.3,9777.0,
2017-02-27,14050.0,14249.1,13752.1,14164.3,11117.0,
2017-02-28,14229.0,14388.0,13960.0,14310.45,9484.0,
2017-03-01,14311.05,14501.0,14076.8,14469.65,14965.0,
2017-03-02,14479.0,14485.0,14254.0,14389.95,6040.0,
2017-03-03,14400.0,14451.0,14150.65,14221.35,7175.0,
