,Open,High,Low,Close,Volume,DeliveryPct
2022-01-13,246.8,249.45,242.1,244.6,583316.0,54.26
2022-01-14,243.75,245.85,241.2,242.45,351051.0,52.78
2022-01-17,245.0,252.95,244.25,251.6,1394520.0,56.18
2022-01-18,252.5,254.5,242.55,244.75,1260476.0,51.87
2022-01-19,245.5,248.0,241.65,246.3,610414.0,40.48
2022-01-20,246.3,252.0,234.1,235.8,1619931.0,42.43
2022-01-21,235.0,239.35,222.85,233.15,1119188.0,43.67
2022-01-24,242.4,242.4,225.95,229.5,1401364.0,39.91
2022-01-25,228.75,236.0,226.15,234.35,626247.0,52.88
2022-01-26,228.75,236.0,226.15,234.35,626247.0,52.88
2022-01-27,234.35,237.9,230.6,233.35,733699.0,58.97
2022-01-28,237.35,237.5,231.15,232.45,1270497.0,70.26
2022-01-31,236.5,238.9,234.0,237.6,555008.0,55.32
2022-02-01,230.0,232.4,225.4,230.6,715538.0,38.2
2022-02-02,231.45,233.9,227.65,228.8,518926.0,38.15
2022-02-03,228.15,230.5,228.0,229.0,283307.0,41.58
2022-02-04,230.65,230.8,225.6,226.8,437269.0,44.15
2022-02-07,227.0,230.75,224.6,228.8,425485.0,48.58
2022-02-08,229.0,230.45,221.85,226.2,642697.0,28.5
2022-02-09,227.9,229.25,223.55,224.25,358793.0,44.8
2022-02-10,227.0,228.0,223.25,226.55,488446.0,33.49
2022-02-11,225.0,225.9,223.5,224.6,229399.0,42.79
2022-02-14,221.2,221.85,212.95,215.3,535217.0,49.01
2022-02-15,215.3,220.0,204.6,218.45,832217.0,47.89
2022-02-16,219.7,221.6,216.65,219.4,388096.0,39.23
2022-02-17,220.7,220.8,214.5,215.6,212353.0,49.63
2022-02-18,215.6,216.9,210.8,211.8,233847.0,46.86
2022-02-21,211.0,211.25,201.6,202.45,414067.0,49.7
2022-02-22,200.0,202.0,192.6,195.65,723291.0,49.55
2022-02-23,197.5,206.3,196.3,197.45,509799.0,40.64
2022-02-24,194.0,194.0,178.0,179.5,852557.0,51.78
2022-02-25,189.0,191.05,185.15,187.9,537500.0,55.68
2022-02-28,186.8,193.5,182.0,191.95,450179.0,40.58
2022-03-01,186.8,193.5,182.0,191.95,450179.0,40.58
2022-03-02,190.0,197.2,189.5,195.15,443953.0,45.1
2022-03-03,197.8,208.05,196.8,199.65,768119.0,32.8
2022-03-04,197.9,201.4,193.0,193.65,502728.0,47.48
2022-03-07,187.0,192.6,183.25,187.75,628326.0,31.51
2022-03-08,188.7,193.3,185.0,192.4,496173.0,28.63
2022-03-09,194.0,200.1,193.15,195.9,506220.0,41.57
2022-03-10,200.2,205.3,196.3,201.8,809622.0,32.53
2022-03-11,201.5,204.0,199.1,200.85,572709.0,52.19
2022-03-14,201.7,202.45,194.5,197.5,436874.0,59.59
2022-03-15,198.25,205.9,196.65,199.55,754223.0,38.68
2022-03-16,205.5,208.8,201.75,205.3,635201.0,40.03
2022-03-17,207.0,211.0,204.75,209.7,619982.0,47.29
2022-03-18,207.0,211.0,204.75,209.7,619982.0,47.29
2022-03-21,210.8,219.7,208.65,216.9,975131.0,45.08
2022-03-22,219.7,226.7,217.5,220.3,1230246.0,32.89
2022-03-23,221.0,226.55,219.05,225.4,741770.0,38.04
