,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,344.0,344.0,329.5,332.5,1567159.0,
2016-08-23,332.55,348.9,332.55,334.65,2775918.0,
2016-08-24,335.3,341.4,335.3,339.4,1173854.0,
2016-08-25,341.4,342.7,335.25,336.25,1597048.0,
2016-08-26,338.65,341.35,333.85,337.2,2471114.0,
2016-08-29,339.45,340.95,337.15,338.2,967539.0,
2016-08-30,338.5,345.4,338.5,343.2,2643738.0,
2016-08-31,339.9,354.65,339.9,351.85,2236739.0,
2016-09-01,353.0,354.4,347.0,349.75,1719272.0,
2016-09-02,351.05,358.6,350.0,353.4,1566674.0,
2016-09-06,360.0,366.35,353.8,356.45,2567735.0,
2016-09-07,358.95,358.95,338.15,345.1,4024305.0,
2016-09-08,347.15,354.0,344.7,350.95,4147383.0,
2016-09-09,352.0,355.5,347.65,349.65,1236259.0,
2016-09-12,346.5,346.6,325.05,329.85,1279689.0,
2016-09-14,327.8,335.4,326.35,334.05,1665751.0,
2016-09-15,333.15,337.3,329.1,335.3,1544524.0,
2016-09-16,337.75,342.95,330.0,333.5,3663074.0,
2016-09-19,333.9,340.15,331.65,338.9,2354713.0,
2016-09-20,339.9,341.5,333.9,334.8,1165761.0,
2016-09-21,336.9,337.55,331.0,333.85,1170075.0,
2016-09-22,337.0,342.5,335.25,341.3,1050260.0,
2016-09-23,342.0,347.0,338.55,344.0,1241266.0,
2016-09-26,344.95,347.4,340.25,344.3,1273563.0,
2016-09-27,345.3,349.8,344.05,346.3,1461515.0,
2016-09-28,346.75,350.5,344.8,349.7,1151966.0,
2016-09-29,349.0,354.35,334.25,338.25,3379355.0,
2016-09-30,339.0,351.95,338.45,345.4,2526368.0,
2016-10-03,345.45,355.7,345.45,353.05,1182385.0,
2016-10-04,353.95,369.7,351.2,367.35,2604680.0,
2016-10-05,367.5,372.3,364.0,370.3,1264574.0,
2016-10-06,372.95,383.6,370.1,374.25,2080316.0,
2016-10-07,374.8,381.15,371.65,373.1,849657.0,
2016-10-10,373.95,377.5,364.35,369.1,1677352.0,
2016-10-13,368.95,384.8,366.8,380.45,3843665.0,
2016-10-14,381.7,405.0,381.7,400.65,7178774.0,
2016-10-17,402.55,410.9,399.2,402.25,5104301.0,
2016-10-18,405.1,409.0,397.25,400.3,3767707.0,
2016-10-19,401.95,403.95,381.5,383.15,6098295.0,
2016-10-20,384.4,388.25,376.5,384.95,2444704.0,
2016-10-21,387.95,392.9,383.0,389.1,2221305.0,
2016-10-24,391.05,392.85,385.35,387.0,1115188.0,
2016-10-25,387.1,389.05,376.05,381.7,1829320.0,
2016-10-26,383.0,387.35,377.6,383.15,878581.0,
2016-10-27,383.15,385.0,376.05,380.65,1620469.0,
2016-10-28,381.45,391.6,381.45,388.8,1154753.0,
2016-11-01,392.4,394.4,380.65,382.8,1259641.0,
2016-11-02,378.8,379.5,364.0,366.9,1376485.0,
2016-11-03,365.55,369.6,352.0,356.2,2545933.0,
2016-11-04,357.4,364.5,350.6,360.4,1427848.0,
2016-11-07,364.9,365.35,353.0,355.9,2337791.0,
2016-11-08,356.0,363.5,354.5,361.7,942576.0,
2016-11-09,345.0,369.65,326.0,366.7,2511684.0,
2016-11-10,369.85,391.9,367.55,388.1,1978963.0,
2016-11-11,382.0,386.3,358.5,360.85,1005882.0,
2016-11-15,360.0,370.9,332.55,360.6,2748551.0,
2016-11-16,363.0,366.95,351.8,353.85,1439178.0,
2016-11-17,355.25,357.0,342.9,347.75,1892477.0,
2016-11-18,371.0,379.35,362.4,376.25,10322024.0,
2016-11-21,377.5,382.65,365.15,367.05,4013048.0,
2016-11-22,373.1,379.75,368.05,377.6,1788928.0,
2016-11-23,386.0,386.0,372.65,376.6,1883912.0,
2016-11-24,375.8,378.6,368.3,370.2,1502516.0,
2016-11-25,374.0,376.0,369.05,372.05,857758.0,
2016-11-28,370.0,374.95,367.3,369.75,900349.0,
2016-11-29,369.3,376.5,368.35,370.05,1108947.0,
2016-11-30,371.0,390.8,371.0,388.7,1986675.0,
2016-12-01,393.0,396.5,378.05,381.5,2254659.0,
2016-12-02,381.0,385.4,376.6,378.3,901176.0,
2016-12-05,382.1,382.1,373.4,375.1,1050968.0,
2016-12-06,378.2,387.25,376.55,383.05,1386490.0,
2016-12-07,388.05,394.0,378.3,386.9,2032912.0,
2016-12-08,389.85,391.5,384.3,385.5,1097336.0,
2016-12-09,388.45,390.0,383.45,386.75,807067.0,
2016-12-12,386.3,387.0,377.3,379.8,566973.0,
2016-12-13,381.6,381.6,371.5,375.8,854239.0,
2016-12-14,373.95,382.6,371.5,379.55,1052555.0,
2016-12-15,375.0,381.9,373.05,379.4,1185226.0,
2016-12-16,381.0,381.0,371.3,375.65,1311084.0,
2016-12-19,379.0,390.0,378.85,387.05,1985464.0,
2016-12-20,389.85,390.7,371.3,372.95,1318649.0,
2016-12-21,373.8,374.95,357.3,359.75,2332469.0,
2016-12-22,356.05,364.2,351.2,361.7,1662553.0,
2016-12-23,363.85,363.85,356.3,357.6,788360.0,
2016-12-26,358.45,358.45,342.65,346.35,883080.0,
2016-12-27,350.5,359.5,348.35,357.9,1014743.0,
2016-12-28,359.9,369.55,354.9,365.8,1529847.0,
2016-12-29,369.1,372.0,362.9,365.65,1068116.0,
2016-12-30,370.65,373.2,365.05,367.45,945887.0,
2017-01-02,369.9,373.7,365.65,370.85,481027.0,
2017-01-03,372.9,384.45,370.9,380.75,1202568.0,
2017-01-04,383.0,383.25,372.6,375.0,801706.0,
2017-01-05,378.4,382.25,377.0,378.25,754133.0,
2017-01-06,383.2,386.0,372.65,373.75,1843090.0,
2017-01-09,374.95,378.5,371.7,373.5,819537.0,
2017-01-10,373.95,374.6,360.9,362.1,2236375.0,
2017-01-11,364.75,367.3,358.8,365.9,2473368.0,
2017-01-12,368.3,374.65,365.6,371.35,2330189.0,
2017-01-13,372.0,375.0,365.55,368.55,874295.0,
2017-01-16,368.55,368.6,357.55,362.1,2102176.0,
2017-01-17,360.6,364.1,357.8,360.1,1892658.0,
2017-01-18,360.45,360.5,351.6,357.45,2683796.0,
2017-01-19,358.85,370.5,358.1,369.35,2074420.0,
2017-01-20,369.35,373.5,361.35,363.05,1272200.0,
2017-01-23,364.0,367.05,355.05,364.65,1545993.0,
2017-01-24,366.8,372.35,365.0,371.6,1102450.0,
2017-01-25,376.5,376.7,372.25,374.75,1523608.0,
2017-01-27,375.4,394.2,375.0,392.95,3108540.0,
2017-01-30,394.7,396.45,383.0,385.05,1727901.0,
2017-01-31,385.05,386.8,372.0,373.95,1855066.0,
2017-02-01,376.3,390.65,370.25,386.75,4188567.0,
2017-02-02,391.15,396.0,383.0,386.1,2653084.0,
2017-02-03,387.2,393.5,385.2,386.8,1109073.0,
2017-02-06,389.45,392.8,384.0,387.35,1254561.0,
2017-02-07,387.0,393.25,376.75,379.45,2812574.0,
2017-02-08,380.0,380.85,372.1,374.85,2265164.0,
2017-02-09,376.0,381.5,374.25,376.45,2338732.0,
2017-02-10,377.0,383.35,376.1,381.25,1374459.0,
2017-02-13,383.95,384.0,376.6,381.9,1338517.0,
2017-02-14,389.0,389.35,381.2,384.75,1971763.0,
2017-02-15,385.0,388.0,377.65,382.25,6156894.0,
2017-02-16,384.85,388.3,380.05,386.1,1861746.0,
2017-02-17,389.0,403.0,385.1,400.75,3717157.0,
2017-02-20,404.6,407.6,397.65,400.3,2674897.0,
2017-02-21,402.7,405.0,398.0,400.45,1326981.0,
2017-02-22,403.5,406.95,394.75,397.25,2819672.0,
2017-02-23,397.0,405.8,395.5,399.7,3411451.0,
2017-02-27,400.0,417.0,399.4,410.3,3751788.0,
2017-02-28,412.7,416.0,403.8,406.6,1999939.0,
2017-03-01,408.8,409.25,398.55,400.35,1452724.0,
2017-03-02,402.5,406.4,387.7,389.0,1610550.0,
2017-03-03,391.6,395.2,385.1,394.05,1740826.0,
2017-03-06,396.85,399.3,391.7,397.75,936255.0,
2017-03-07,398.05,399.0,394.0,394.9,683018.0,
2017-03-08,395.1,395.7,385.3,386.5,824276.0,
