,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,237.9,240.75,234.5,237.45,2111544.0,
2016-08-23,237.65,240.2,236.5,239.15,2444523.0,
2016-08-24,238.4,242.55,237.5,241.7,3206624.0,
2016-08-25,244.55,246.45,236.3,238.55,6471249.0,
2016-08-26,119.35,120.05,115.3,115.75,3688741.0,
2016-08-29,116.0,116.8,112.2,114.35,4425508.0,
2016-08-30,114.9,115.5,113.7,114.75,2058575.0,
2016-08-31,114.8,124.5,114.7,123.7,11032897.0,
2016-09-01,124.25,124.9,120.6,121.4,7060695.0,
2016-09-02,121.6,123.35,119.4,122.9,4076650.0,
2016-09-06,123.4,123.9,121.7,122.85,3811474.0,
2016-09-07,122.7,125.35,122.3,123.95,3609256.0,
2016-09-08,123.95,127.1,123.7,126.7,3278600.0,
2016-09-09,126.95,127.65,124.0,124.85,2894612.0,
2016-09-12,122.85,122.85,118.0,118.35,4414025.0,
2016-09-14,119.4,121.0,118.6,120.0,5529485.0,
2016-09-15,119.25,120.65,117.7,118.95,1319345.0,
2016-09-16,119.4,121.4,117.9,118.35,4847500.0,
2016-09-19,119.0,120.3,118.1,119.9,2670728.0,
2016-09-20,119.4,121.95,119.4,120.85,2699462.0,
2016-09-21,121.5,122.95,120.3,120.6,4032165.0,
2016-09-22,121.7,123.5,121.7,122.75,2976040.0,
2016-09-23,123.3,124.2,122.1,122.65,3296934.0,
2016-09-26,122.0,123.6,121.0,121.75,2494508.0,
2016-09-27,121.8,122.4,118.3,119.85,3773152.0,
2016-09-28,120.0,120.75,118.35,119.05,4581589.0,
2016-09-29,119.9,120.7,112.3,114.0,5128509.0,
2016-09-30,114.4,120.65,113.95,120.3,4601244.0,
2016-10-03,120.5,123.15,120.5,122.35,2567455.0,
2016-10-04,123.2,126.3,122.1,125.7,6135694.0,
2016-10-05,126.5,127.6,124.9,126.45,4722711.0,
2016-10-06,127.1,127.4,123.05,123.75,5112008.0,
2016-10-07,124.0,125.3,121.85,123.05,2668875.0,
2016-10-10,123.9,124.55,121.5,121.95,2172677.0,
2016-10-13,122.65,125.35,120.2,123.45,4708792.0,
2016-10-14,124.0,124.45,121.4,122.3,1307994.0,
2016-10-17,122.7,125.4,121.8,122.95,3493217.0,
2016-10-18,123.5,124.45,121.45,123.6,3539897.0,
2016-10-19,123.95,125.1,122.3,122.85,3519362.0,
2016-10-20,123.9,125.0,123.1,123.95,1275051.0,
2016-10-21,124.9,127.9,123.4,127.65,4559437.0,
2016-10-24,128.9,130.4,126.5,127.3,4192135.0,
2016-10-25,128.2,128.35,125.75,126.4,1942847.0,
2016-10-26,126.35,128.2,124.0,124.65,2227331.0,
2016-10-27,124.6,125.2,121.3,124.3,5758201.0,
2016-10-28,124.35,125.7,123.0,124.1,2491793.0,
2016-11-01,124.6,124.95,121.6,122.2,2661206.0,
2016-11-02,120.9,120.9,118.0,118.2,1575225.0,
2016-11-03,117.85,119.4,115.2,115.6,2282480.0,
2016-11-04,115.6,115.75,110.55,113.85,2989498.0,
2016-11-07,116.0,117.25,114.8,115.2,2103401.0,
2016-11-08,115.4,116.4,113.8,114.6,1710886.0,
2016-11-09,110.0,117.65,103.15,116.4,4852876.0,
2016-11-10,118.4,123.4,118.4,121.45,3826357.0,
2016-11-11,119.9,122.85,117.5,118.25,4429038.0,
2016-11-15,119.6,120.9,115.2,116.1,4897189.0,
2016-11-16,118.1,121.9,116.5,117.7,4351833.0,
2016-11-17,118.5,121.9,117.0,120.95,2966847.0,
2016-11-18,122.05,125.75,121.35,125.05,5150155.0,
2016-11-21,126.05,126.05,118.1,118.55,3342490.0,
2016-11-22,119.15,125.45,119.15,124.35,3516669.0,
2016-11-23,126.0,127.45,123.0,126.95,3368746.0,
2016-11-24,126.1,127.7,124.2,127.3,14299449.0,
2016-11-25,128.0,132.95,127.4,132.6,7270682.0,
2016-11-28,133.4,133.8,128.9,129.8,4043370.0,
2016-11-29,129.95,132.7,129.9,131.7,3760205.0,
2016-11-30,132.0,135.6,131.5,134.2,5304808.0,
2016-12-01,134.6,135.7,132.8,133.6,2502376.0,
2016-12-02,132.0,133.25,130.25,131.45,3193167.0,
2016-12-05,131.0,131.4,127.55,129.55,3211226.0,
2016-12-06,130.0,131.45,129.0,129.85,1548277.0,
2016-12-07,130.0,132.9,127.25,129.15,2609455.0,
2016-12-08,131.45,133.8,130.4,132.65,2048697.0,
2016-12-09,133.5,136.4,133.5,135.2,3400498.0,
2016-12-12,135.2,135.4,130.65,131.7,1874890.0,
2016-12-13,131.65,132.75,129.4,130.95,2258493.0,
2016-12-14,131.4,131.95,127.0,127.85,4985017.0,
2016-12-15,127.3,129.85,126.0,128.2,1615247.0,
2016-12-16,129.0,129.05,125.1,125.5,2362240.0,
2016-12-19,125.0,130.05,123.6,127.4,4851716.0,
2016-12-20,128.65,130.3,124.8,128.55,4471781.0,
2016-12-21,131.0,131.25,127.0,127.3,2568003.0,
2016-12-22,127.0,127.5,123.85,124.75,1382420.0,
2016-12-23,124.5,124.85,118.9,119.7,3177057.0,
2016-12-26,118.5,118.8,115.1,115.65,1851369.0,
2016-12-27,115.5,117.65,112.9,117.15,3050826.0,
2016-12-28,117.5,123.25,117.35,119.8,4674926.0,
2016-12-29,119.35,122.0,118.5,120.7,4795398.0,
2016-12-30,121.3,123.5,121.1,121.95,1379616.0,
2017-01-02,122.95,124.3,120.65,124.0,1673821.0,
2017-01-03,124.0,125.9,123.2,125.2,1360151.0,
2017-01-04,125.2,126.2,123.1,123.65,1852228.0,
2017-01-05,124.15,129.1,124.0,128.5,2487056.0,
2017-01-06,128.0,131.9,127.5,129.45,8102822.0,
2017-01-09,129.95,130.95,129.35,130.6,3117622.0,
2017-01-10,131.6,132.8,128.05,129.2,4938633.0,
2017-01-11,129.55,133.4,129.55,132.35,3718794.0,
2017-01-12,132.0,137.0,132.0,136.05,6574963.0,
2017-01-13,137.25,137.3,134.25,136.75,4796731.0,
2017-01-16,136.2,138.85,136.0,138.35,4070377.0,
2017-01-17,138.6,139.5,135.55,137.0,3485769.0,
2017-01-18,137.3,137.6,133.0,133.4,4520701.0,
2017-01-19,133.6,134.85,132.1,132.7,3932244.0,
2017-01-20,132.1,134.2,129.85,130.55,4094233.0,
2017-01-23,131.2,134.5,130.65,133.7,3083400.0,
2017-01-24,132.5,135.0,129.6,134.45,3850307.0,
2017-01-25,135.45,139.8,133.6,138.7,11183195.0,
2017-01-27,139.1,140.25,137.1,138.25,6972671.0,
2017-01-30,137.4,139.2,134.2,135.1,2809899.0,
2017-01-31,134.4,134.95,129.3,130.15,13073410.0,
2017-02-01,130.9,136.3,130.25,135.65,8622644.0,
2017-02-02,135.3,136.85,134.1,134.45,4820447.0,
2017-02-03,134.5,137.3,134.5,136.1,4485967.0,
2017-02-06,136.55,137.15,134.95,135.75,2812065.0,
2017-02-07,135.9,139.55,131.0,131.9,6422967.0,
2017-02-08,132.7,135.65,131.7,134.6,4862277.0,
2017-02-09,135.75,137.7,133.8,135.45,4765498.0,
2017-02-10,136.3,137.0,134.4,135.2,3625290.0,
2017-02-13,135.3,136.0,130.9,134.45,5732261.0,
2017-02-14,135.0,135.3,131.3,132.0,4084925.0,
2017-02-15,131.8,132.9,127.0,127.55,4187371.0,
2017-02-16,127.25,131.9,126.45,131.45,3925665.0,
2017-02-17,132.5,132.8,130.5,130.85,3262148.0,
2017-02-20,131.25,134.0,131.15,133.5,5080948.0,
2017-02-21,134.4,136.8,134.4,136.1,4640261.0,
2017-02-22,137.3,141.9,136.5,137.45,14111681.0,
2017-02-23,138.35,138.35,134.25,134.85,10133797.0,
2017-02-27,135.6,137.7,135.4,135.95,5372194.0,
2017-02-28,136.0,138.2,135.2,136.0,6135992.0,
2017-03-01,136.6,139.7,136.5,137.2,7034760.0,
2017-03-02,138.0,138.9,134.6,135.65,4833745.0,
2017-03-03,135.3,136.65,133.55,135.25,3740647.0,
2017-03-06,135.8,140.15,135.8,137.85,6999857.0,
2017-03-07,138.5,139.7,136.1,136.95,5734623.0,
2017-03-08,137.25,137.65,132.8,133.05,6507143.0,
2017-03-09,132.55,133.8,129.95,131.8,6317100.0,
2017-03-10,132.8,134.1,130.5,130.7,4147479.0,
2017-03-14,134.5,135.7,132.45,133.75,6446339.0,
2017-03-15,133.9,136.5,133.5,135.1,4684650.0,
2017-03-16,136.3,138.7,136.0,137.1,5989246.0,
2017-03-17,138.0,142.0,137.75,141.4,11926009.0,
2017-03-20,142.95,148.0,140.85,145.75,16948781.0,
2017-03-21,146.85,146.95,142.6,143.6,7429659.0,
2017-03-22,142.2,146.15,141.7,143.95,16852476.0,
2017-03-23,144.9,145.7,142.75,143.05,9438160.0,
2017-03-24,144.7,148.35,144.6,145.15,11985664.0,
2017-03-27,143.7,144.6,141.0,142.15,6421432.0,
2017-03-28,142.25,147.6,141.15,144.4,9235856.0,
2017-03-29,147.9,148.4,145.2,147.25,8548385.0,
2017-03-30,142.3,144.45,141.5,142.7,16351458.0,
2017-03-31,143.5,147.15,143.5,145.9,8277704.0,
2017-04-03,147.0,148.35,145.5,147.7,5308576.0,
2017-04-05,147.7,154.8,147.3,154.35,8914054.0,
2017-04-06,154.0,156.7,152.75,154.95,7524750.0,
2017-04-07,153.7,154.9,151.3,152.35,5016648.0,
2017-04-10,152.8,153.75,149.7,152.4,3626870.0,
2017-04-11,152.0,168.9,151.7,163.8,34663466.0,
2017-04-12,164.4,165.95,159.4,161.95,16046931.0,
2017-04-13,161.0,164.2,161.0,162.7,6495810.0,
2017-04-17,162.0,168.85,153.1,157.05,20726138.0,
2017-04-18,157.3,160.8,154.8,155.65,6161548.0,
2017-04-19,154.5,159.15,153.9,155.75,6629479.0,
2017-04-20,157.5,158.95,154.55,155.6,5578716.0,
2017-04-21,156.9,157.5,154.8,156.55,4367021.0,
2017-04-24,156.9,158.9,155.85,158.45,4770301.0,
2017-04-25,159.95,161.85,158.1,161.0,8124230.0,
2017-04-26,161.2,161.75,156.25,157.7,3465408.0,
2017-04-27,157.7,160.1,157.15,158.0,7765215.0,
2017-04-28,157.5,160.55,157.05,160.0,4685026.0,
2017-05-02,160.5,164.4,159.75,163.6,7225104.0,
2017-05-03,164.5,164.5,160.25,160.9,3892801.0,
2017-05-04,160.9,165.0,160.6,164.4,5929637.0,
2017-05-05,163.9,167.1,160.2,162.65,6682728.0,
2017-05-08,162.9,166.05,161.2,164.75,5241844.0,
2017-05-09,165.0,168.15,163.7,166.55,9161059.0,
2017-05-10,167.3,168.4,165.15,166.35,3951696.0,
2017-05-11,165.5,166.45,160.25,161.6,6245036.0,
2017-05-12,162.5,163.55,159.05,160.0,4911843.0,
2017-05-15,159.5,162.75,159.5,160.05,4483027.0,
2017-05-16,161.1,162.5,160.25,161.2,4753976.0,
2017-05-17,160.5,164.0,160.45,161.7,4783539.0,
2017-05-18,160.1,160.5,155.45,156.1,5118034.0,
2017-05-19,156.4,158.1,153.0,154.55,2378889.0,
2017-05-22,155.8,156.85,149.35,150.5,4696364.0,
