,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,68.3,68.8,66.0,66.15,32894.0,
2016-08-23,65.9,66.85,65.85,66.05,25156.0,
2016-08-24,65.8,67.45,65.5,66.5,17951.0,
2016-08-25,67.0,68.0,64.6,66.75,90067.0,
2016-08-26,67.4,68.0,62.5,64.35,69609.0,
2016-08-29,65.0,65.0,61.5,63.15,54068.0,
2016-08-30,65.7,66.05,64.0,65.65,95992.0,
2016-08-31,65.8,74.5,65.8,71.45,1484043.0,
2016-09-01,71.2,71.8,68.3,69.65,207078.0,
2016-09-02,70.05,71.95,67.7,70.9,105960.0,
2016-09-06,71.9,73.95,70.0,71.1,143867.0,
2016-09-07,72.0,81.0,70.3,76.4,1153949.0,
2016-09-08,76.6,79.0,74.8,77.05,222320.0,
2016-09-09,77.7,78.0,74.5,74.85,116422.0,
2016-09-12,73.7,74.3,68.8,70.55,209302.0,
2016-09-14,72.45,75.6,70.45,73.05,120039.0,
2016-09-15,73.9,76.0,72.85,73.55,79392.0,
2016-09-16,73.95,75.75,70.95,71.65,69580.0,
2016-09-19,72.05,74.6,70.8,71.15,85351.0,
2016-09-20,71.95,72.4,70.0,70.3,67124.0,
2016-09-21,70.5,71.6,68.9,69.7,167164.0,
2016-09-22,70.75,71.3,69.0,69.5,52305.0,
2016-09-23,70.35,71.0,69.75,70.0,83398.0,
2016-09-26,69.8,70.9,68.5,68.8,33993.0,
2016-09-27,70.65,73.35,68.05,70.35,130145.0,
2016-09-28,71.35,74.0,70.25,72.8,185996.0,
2016-09-29,72.8,74.0,66.6,68.05,146627.0,
2016-09-30,67.0,69.45,66.95,68.7,46678.0,
2016-10-03,68.25,71.2,68.25,70.4,70268.0,
2016-10-04,71.35,72.0,69.0,69.65,33380.0,
2016-10-05,72.8,72.8,68.9,69.5,54168.0,
2016-10-06,69.3,76.5,69.3,72.2,450770.0,
2016-10-07,72.0,72.75,70.25,71.05,53334.0,
2016-10-10,70.95,73.0,70.45,71.15,25612.0,
2016-10-13,71.7,72.45,69.0,69.3,101958.0,
2016-10-14,71.0,76.25,69.55,72.4,355929.0,
2016-10-17,72.5,75.0,70.7,71.5,123133.0,
2016-10-18,72.5,73.45,72.05,72.55,59046.0,
2016-10-19,73.25,73.9,72.5,72.6,37121.0,
2016-10-20,72.85,72.9,71.55,72.05,40352.0,
2016-10-21,73.9,73.9,72.35,73.1,44674.0,
2016-10-24,74.0,74.3,71.95,72.6,53543.0,
2016-10-25,73.0,77.5,72.0,74.4,285245.0,
2016-10-26,76.0,76.0,72.7,73.55,57967.0,
2016-10-27,73.5,74.0,71.2,71.5,65503.0,
2016-10-28,71.7,74.65,70.5,74.15,40044.0,
2016-11-01,74.9,75.6,73.25,75.2,46902.0,
2016-11-02,74.0,74.5,71.4,74.1,35844.0,
2016-11-03,74.0,76.0,73.95,74.3,58128.0,
2016-11-04,74.5,74.9,73.25,73.4,73942.0,
2016-11-07,73.05,76.0,72.1,75.4,91009.0,
2016-11-08,76.0,77.0,75.6,76.55,76459.0,
2016-11-09,68.0,74.9,61.25,72.85,359419.0,
2016-11-10,74.0,76.3,73.55,75.8,86109.0,
2016-11-11,74.0,76.5,74.0,75.45,123530.0,
2016-11-15,74.0,76.4,72.0,72.25,67629.0,
2016-11-16,73.5,73.5,71.2,71.95,41475.0,
2016-11-17,72.05,73.0,70.1,70.3,34018.0,
2016-11-18,70.05,71.4,69.65,69.9,24122.0,
2016-11-21,68.1,69.55,66.5,66.75,27017.0,
2016-11-22,67.75,68.6,64.15,64.85,31041.0,
2016-11-23,65.0,67.0,64.5,66.65,34351.0,
2016-11-24,66.55,68.45,65.2,66.65,10941.0,
2016-11-25,66.15,69.8,66.1,67.7,46747.0,
2016-11-28,69.0,70.9,69.0,70.0,12590.0,
2016-11-29,70.1,71.45,69.05,69.9,23032.0,
2016-11-30,70.1,71.0,69.0,69.55,16426.0,
2016-12-01,70.75,71.05,69.3,69.95,13237.0,
2016-12-02,71.45,71.45,69.0,69.35,16605.0,
2016-12-05,69.25,70.0,68.5,69.05,29579.0,
2016-12-06,69.65,69.7,68.55,68.85,13946.0,
2016-12-07,69.35,69.45,68.55,68.6,2828.0,
2016-12-08,68.9,69.25,68.0,69.0,4923.0,
2016-12-09,71.0,71.05,68.25,69.05,32607.0,
2016-12-12,68.6,73.25,68.55,70.7,46745.0,
2016-12-13,71.05,71.8,71.0,71.45,11135.0,
2016-12-14,71.5,72.0,68.1,69.9,7152.0,
2016-12-15,70.8,71.0,70.0,70.0,17006.0,
2016-12-16,69.5,70.5,69.0,69.4,21100.0,
2016-12-19,68.3,69.45,68.1,68.1,7960.0,
2016-12-20,68.0,70.45,67.15,68.05,8401.0,
2016-12-21,67.7,68.6,67.05,67.85,16733.0,
2016-12-22,68.0,68.0,63.1,65.55,30755.0,
2016-12-23,65.5,67.0,64.75,65.9,18657.0,
2016-12-26,63.8,66.4,63.8,65.15,9337.0,
2016-12-27,66.45,66.8,64.15,66.3,10759.0,
2016-12-28,66.8,68.0,65.15,66.55,4350.0,
2016-12-29,66.0,66.7,65.0,65.15,4853.0,
2016-12-30,65.0,68.4,64.2,66.9,7280.0,
2017-01-02,66.1,69.0,65.4,68.75,5632.0,
2017-01-03,68.5,69.2,67.0,69.05,8752.0,
2017-01-04,69.2,71.0,68.5,69.2,8253.0,
2017-01-05,68.5,72.0,68.05,71.5,41104.0,
2017-01-06,71.5,71.5,69.0,69.65,17626.0,
2017-01-09,70.9,70.9,69.15,69.85,7879.0,
2017-01-10,69.95,70.7,69.95,70.05,9810.0,
2017-01-11,72.0,74.9,69.15,73.7,77469.0,
2017-01-12,74.0,74.0,71.15,71.8,24203.0,
2017-01-13,71.05,76.0,71.0,73.6,55167.0,
2017-01-16,74.0,75.85,72.3,75.15,16602.0,
2017-01-17,75.0,76.9,72.8,74.7,109391.0,
2017-01-18,74.45,75.25,71.0,73.25,35728.0,
2017-01-19,73.0,86.15,72.25,82.1,439546.0,
2017-01-20,83.0,89.0,81.5,83.0,510135.0,
2017-01-23,82.8,86.3,82.05,82.9,105640.0,
2017-01-24,82.9,88.0,82.9,85.95,218082.0,
2017-01-25,86.9,92.2,85.0,88.9,247432.0,
2017-01-27,89.4,89.7,85.2,85.5,106960.0,
2017-01-30,87.95,89.9,82.55,85.1,75960.0,
2017-01-31,85.55,86.0,81.15,82.35,48666.0,
2017-02-01,81.8,88.0,80.05,84.3,60673.0,
2017-02-02,84.75,87.0,83.65,84.85,59631.0,
2017-02-03,85.6,86.1,83.5,84.25,24075.0,
2017-02-06,84.3,85.6,83.7,84.2,42648.0,
2017-02-07,84.95,84.95,81.55,82.8,57689.0,
2017-02-08,83.9,85.0,81.25,84.4,27558.0,
2017-02-09,84.05,86.0,84.0,84.65,20763.0,
2017-02-10,84.55,92.2,84.1,89.4,435568.0,
2017-02-13,90.2,90.3,88.7,89.05,62288.0,
2017-02-14,89.05,90.4,88.55,89.8,105524.0,
2017-02-15,91.0,91.0,83.55,85.95,110553.0,
2017-02-16,86.9,90.9,83.55,86.7,15013.0,
2017-02-17,87.95,88.8,86.5,86.7,23712.0,
2017-02-20,86.35,87.65,86.0,86.15,21336.0,
2017-02-21,86.9,87.9,85.0,85.85,13966.0,
2017-02-22,85.85,86.0,84.55,84.9,17089.0,
2017-02-23,84.65,85.45,83.6,84.45,29469.0,
2017-02-27,85.85,85.85,83.5,84.0,24899.0,
2017-02-28,84.9,87.0,84.65,84.9,19000.0,
2017-03-01,85.0,85.75,83.5,84.0,39784.0,
2017-03-02,84.9,84.9,81.3,83.2,27795.0,
2017-03-03,83.95,83.95,77.3,78.55,50720.0,
2017-03-06,80.35,83.85,80.35,82.9,47386.0,
2017-03-07,82.5,83.6,81.55,82.5,17819.0,
2017-03-08,82.55,83.25,79.4,79.95,53096.0,
2017-03-09,79.75,82.1,79.5,80.2,22040.0,
2017-03-10,81.25,81.5,79.5,80.05,15918.0,
2017-03-14,81.9,88.0,79.4,84.3,314503.0,
2017-03-15,84.75,85.0,82.35,82.75,23661.0,
2017-03-16,82.5,83.95,81.6,82.25,19615.0,
2017-03-17,83.5,83.5,80.65,80.9,29508.0,
2017-03-20,81.9,82.0,80.0,80.2,15380.0,
2017-03-21,80.25,82.4,79.2,80.7,55819.0,
2017-03-22,80.5,81.8,78.3,79.6,29750.0,
2017-03-23,80.2,81.0,79.05,79.4,13256.0,
2017-03-24,79.5,80.5,78.3,79.15,18615.0,
2017-03-27,79.2,84.8,78.5,82.95,230005.0,
2017-03-28,83.8,83.8,80.5,81.4,132358.0,
2017-03-29,81.05,86.4,80.3,84.6,170395.0,
2017-03-30,84.85,86.0,83.1,84.85,84352.0,
2017-03-31,89.0,89.0,81.5,83.9,55521.0,
2017-04-03,83.7,90.1,83.0,89.95,412159.0,
2017-04-05,93.5,95.4,90.25,93.8,301565.0,
2017-04-06,93.0,93.75,89.0,89.8,57225.0,
2017-04-07,90.7,93.0,88.15,90.45,183630.0,
2017-04-10,92.0,93.0,91.1,92.55,86357.0,
2017-04-11,91.1,97.0,91.1,95.2,100398.0,
2017-04-12,95.8,107.9,95.7,99.7,1174770.0,
2017-04-13,100.3,119.0,98.0,115.25,1691967.0,
2017-04-17,115.4,115.8,105.0,106.35,475384.0,
2017-04-18,106.5,110.45,102.9,104.15,186966.0,
2017-04-19,104.95,107.0,100.25,106.2,140864.0,
2017-04-20,106.7,106.7,103.55,104.5,54933.0,
2017-04-21,104.95,107.0,103.5,105.25,141138.0,
2017-04-24,105.1,111.5,105.1,109.2,639737.0,
2017-04-25,109.75,111.9,107.1,108.25,185184.0,
2017-04-26,110.0,115.0,105.6,107.5,233253.0,
2017-04-27,108.0,110.0,103.8,106.0,92675.0,
2017-04-28,106.05,107.7,104.0,104.3,59155.0,
2017-05-02,106.65,111.0,104.3,107.15,135758.0,
2017-05-03,107.15,108.95,105.75,108.1,63761.0,
2017-05-04,109.7,114.0,106.5,107.7,350882.0,
2017-05-05,107.5,109.75,103.0,105.8,75684.0,
2017-05-08,106.25,109.2,104.25,106.85,62725.0,
2017-05-09,107.9,108.5,105.25,107.35,63670.0,
2017-05-10,107.05,112.5,107.05,111.65,160543.0,
2017-05-11,110.3,114.6,110.3,113.8,153695.0,
2017-05-12,113.8,114.85,107.9,108.7,32434.0,
2017-05-15,108.3,115.0,108.0,113.2,136819.0,
2017-05-16,113.95,124.25,113.95,119.45,518267.0,
2017-05-17,120.6,120.8,116.25,116.95,103334.0,
2017-05-18,116.0,118.5,111.55,111.85,71439.0,
2017-05-19,113.3,117.9,112.0,113.95,85576.0,
2017-05-22,114.95,117.8,114.0,115.3,72707.0,
2017-05-23,115.2,115.2,100.0,104.7,191644.0,
2017-05-24,109.9,109.9,96.4,99.6,149689.0,
2017-05-25,100.0,109.2,99.1,108.9,124594.0,
2017-05-26,110.8,114.0,108.55,113.5,119369.0,
2017-05-29,114.25,115.5,107.95,109.0,105181.0,
2017-05-30,109.0,109.0,106.5,107.35,22747.0,
2017-05-31,108.0,113.5,108.0,112.45,137090.0,
2017-06-01,111.0,112.45,108.1,109.05,47796.0,
2017-06-02,110.0,111.85,109.0,110.05,34040.0,
2017-06-05,111.0,113.3,109.65,110.4,38301.0,
2017-06-06,112.0,113.5,111.0,111.25,41070.0,
2017-06-07,110.5,111.9,110.05,111.25,20561.0,
2017-06-08,111.25,112.95,109.6,109.75,31896.0,
2017-06-09,109.7,110.0,108.0,108.9,27316.0,
2017-06-12,108.9,109.0,105.3,106.1,39060.0,
2017-06-13,107.85,110.25,105.6,109.25,30130.0,
2017-06-14,109.25,109.7,107.35,108.05,9798.0,
2017-06-15,107.5,111.5,105.0,108.6,26849.0,
2017-06-16,109.95,115.5,108.55,112.6,97574.0,
2017-06-19,115.9,115.9,108.5,109.45,74144.0,
2017-06-20,109.7,109.95,107.6,108.5,29895.0,
2017-06-21,108.0,113.0,107.5,108.9,32009.0,
2017-06-22,108.9,110.75,107.5,107.8,49022.0,
2017-06-23,108.5,108.5,106.5,107.0,21801.0,
2017-06-27,108.9,108.9,105.7,105.95,15856.0,
2017-06-28,105.5,109.0,105.5,108.3,14103.0,
2017-06-29,110.0,111.0,107.0,108.9,37625.0,
2017-06-30,108.5,115.0,106.5,106.55,123174.0,
2017-07-03,108.8,112.0,107.5,108.1,50655.0,
2017-07-04,108.5,111.0,108.0,108.65,31853.0,
2017-07-05,108.1,112.0,107.95,109.9,42804.0,
2017-07-06,110.0,111.05,108.3,109.2,20680.0,
2017-07-07,108.75,110.5,107.65,108.35,12195.0,
2017-07-10,108.0,108.6,106.1,107.05,9010.0,
2017-07-11,114.9,119.5,112.9,114.0,1100695.0,
2017-07-12,114.5,118.0,113.35,115.6,173613.0,
2017-07-13,115.8,116.6,112.2,113.3,90278.0,
2017-07-14,113.45,114.4,110.0,112.9,41002.0,
2017-07-17,114.4,114.4,109.5,110.95,30322.0,
2017-07-18,113.9,113.9,109.9,110.15,43945.0,
2017-07-19,111.6,118.0,110.0,114.5,41320.0,
2017-07-20,113.85,114.4,110.0,111.95,50236.0,
2017-07-21,114.05,116.95,112.0,114.4,50200.0,
2017-07-24,114.4,115.05,111.15,112.15,46128.0,
2017-07-25,112.15,113.65,110.6,111.15,36293.0,
2017-07-26,111.15,116.7,111.15,112.75,52146.0,
2017-07-27,113.9,115.0,110.5,111.05,47606.0,
2017-07-28,110.5,111.95,110.5,110.8,35527.0,
2017-07-31,112.0,112.7,110.2,111.2,79309.0,
2017-08-01,110.5,112.85,110.5,111.9,23511.0,
2017-08-02,112.0,113.5,111.85,112.95,50937.0,
2017-08-03,113.95,118.9,111.5,115.1,121218.0,
2017-08-04,118.9,118.9,114.0,114.45,28451.0,
2017-08-07,114.0,117.5,114.0,115.85,38437.0,
2017-08-08,115.85,124.0,109.2,113.15,130773.0,
2017-08-09,113.55,119.0,113.5,117.4,72500.0,
2017-08-10,111.1,114.0,106.95,108.95,151384.0,
2017-08-11,112.0,112.0,98.05,105.1,72890.0,
2017-08-14,105.1,109.8,104.2,105.2,157626.0,
2017-08-16,105.0,105.1,101.0,102.05,103926.0,
2017-08-17,103.95,105.85,102.95,104.0,17099.0,
2017-08-18,105.85,107.8,102.0,106.05,31945.0,
2017-08-21,106.05,107.0,103.5,104.2,42510.0,
2017-08-22,105.0,105.25,102.1,102.7,12992.0,
2017-08-23,102.8,105.0,102.65,103.0,19764.0,
2017-08-24,103.5,104.6,103.0,103.85,3792.0,
2017-08-28,103.65,104.95,102.85,103.05,5442.0,
2017-08-29,104.1,105.0,101.0,102.25,21553.0,
2017-08-30,104.0,104.3,102.2,103.4,14206.0,
2017-08-31,104.0,104.75,102.25,103.7,15681.0,
2017-09-01,104.7,104.75,102.25,102.6,10219.0,
2017-09-04,102.65,104.5,100.0,102.0,24210.0,
2017-09-05,103.0,104.2,101.0,101.65,65357.0,
2017-09-06,101.65,103.1,101.65,102.55,11521.0,
2017-09-07,103.0,104.0,101.5,101.95,12405.0,
2017-09-08,102.0,103.0,99.5,101.0,25374.0,
2017-09-11,101.0,102.0,98.8,101.15,45379.0,
2017-09-12,102.8,102.8,99.5,102.45,14206.0,
2017-09-13,103.0,104.0,98.5,99.0,109348.0,
2017-09-14,99.0,101.8,99.0,100.2,35842.0,
2017-09-15,99.5,109.2,98.0,100.95,36726.0,
2017-09-18,100.7,102.35,99.15,99.9,8074.0,
2017-09-19,100.0,101.85,98.5,99.4,21879.0,
2017-09-20,100.0,102.45,98.8,99.1,17187.0,
2017-09-21,99.1,101.1,99.1,100.5,11917.0,
2017-09-22,100.1,100.1,96.3,97.35,13403.0,
2017-09-25,95.5,95.9,90.35,93.1,35306.0,
2017-09-26,92.25,94.0,90.0,92.55,27935.0,
2017-09-27,93.5,93.9,90.8,92.7,16911.0,
2017-09-28,93.85,93.9,91.1,91.75,24087.0,
2017-09-29,92.95,93.0,91.0,91.75,12213.0,
2017-10-03,91.75,93.0,91.1,91.45,19609.0,
2017-10-04,92.0,92.6,90.05,91.65,56905.0,
2017-10-05,91.5,92.45,90.1,90.85,34784.0,
