,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,375.05,403.7,375.0,390.8,47049.0,
2016-08-23,390.75,419.0,390.75,404.25,54268.0,
2016-08-24,404.3,419.0,404.3,407.9,32295.0,
2016-08-25,412.4,418.8,397.05,404.25,7284.0,
2016-08-26,408.2,415.85,394.5,400.4,38705.0,
2016-08-29,404.3,404.9,393.15,397.95,6206.0,
2016-08-30,398.7,407.3,383.25,385.7,6174.0,
2016-08-31,391.0,399.0,391.0,396.0,8682.0,
2016-09-01,394.95,405.3,394.95,401.45,7503.0,
2016-09-02,405.0,424.9,405.0,413.1,94050.0,
2016-09-06,421.3,432.3,405.05,426.0,17574.0,
2016-09-07,430.0,436.7,423.0,431.35,170830.0,
2016-09-08,439.95,448.95,430.0,432.8,7270.0,
2016-09-09,413.0,433.95,413.0,425.9,7385.0,
2016-09-12,425.0,428.55,410.05,416.05,148781.0,
2016-09-14,416.5,435.0,413.05,417.1,699087.0,
2016-09-15,420.3,420.3,410.1,417.3,2503.0,
2016-09-16,429.35,429.35,412.65,418.75,6103.0,
2016-09-19,421.15,427.0,413.8,424.0,8597.0,
2016-09-20,430.0,430.0,410.5,421.25,63733.0,
2016-09-21,421.0,429.0,415.6,418.05,12641.0,
2016-09-22,422.0,422.0,407.4,413.55,126529.0,
2016-09-23,414.0,417.25,410.0,413.2,33794.0,
2016-09-26,417.0,417.0,400.8,403.9,50352.0,
2016-09-27,405.1,405.1,393.2,398.6,6120.0,
2016-09-28,399.0,400.95,395.2,396.4,2123.0,
2016-09-29,396.05,399.95,365.1,371.85,7597.0,
2016-09-30,372.8,398.0,372.8,386.0,8978.0,
2016-10-03,391.35,397.25,388.0,393.45,79648.0,
2016-10-04,398.45,398.45,389.95,392.95,16183.0,
2016-10-05,390.1,390.1,379.85,385.7,1750.0,
2016-10-06,388.2,393.85,381.1,385.15,16773.0,
2016-10-07,386.25,386.25,370.0,374.55,3335.0,
2016-10-10,375.0,378.0,372.1,375.55,1671.0,
2016-10-13,370.0,378.0,360.0,372.9,162086.0,
2016-10-14,371.85,375.05,366.1,371.05,19371.0,
2016-10-17,370.85,380.0,367.0,376.35,5321.0,
2016-10-18,375.0,375.0,366.0,368.5,2556.0,
2016-10-19,371.1,372.0,367.55,370.25,45636.0,
2016-10-20,371.05,372.0,370.0,371.5,8439.0,
2016-10-21,372.0,372.0,361.25,371.0,9768.0,
2016-10-24,372.0,373.0,365.25,371.25,18086.0,
2016-10-25,377.8,377.8,366.1,367.65,17443.0,
2016-10-26,375.0,379.0,368.6,369.15,37988.0,
2016-10-27,378.0,378.0,371.0,373.65,11413.0,
2016-10-28,373.1,379.0,373.1,377.05,3754.0,
2016-11-01,380.0,384.0,376.5,381.55,2042.0,
2016-11-02,381.55,386.25,376.7,382.2,2514.0,
2016-11-03,380.1,383.45,375.1,379.05,21828.0,
2016-11-04,381.95,381.95,370.1,371.85,1503.0,
2016-11-07,376.0,376.0,365.1,368.35,2301.0,
2016-11-08,371.25,373.5,360.05,362.05,66006.0,
2016-11-09,325.0,381.3,308.0,371.2,7249.0,
2016-11-10,370.25,386.3,355.2,368.85,23482.0,
2016-11-11,368.85,368.85,337.2,345.25,5637.0,
2016-11-15,349.95,359.9,283.1,303.1,39895.0,
2016-11-16,318.2,320.0,290.6,303.7,239684.0,
2016-11-17,315.0,349.9,302.5,331.6,154146.0,
2016-11-18,331.0,347.3,327.05,334.05,33938.0,
2016-11-21,332.0,339.9,323.5,330.9,6922.0,
2016-11-22,337.6,342.75,330.1,335.05,4927.0,
2016-11-23,341.1,341.1,330.05,333.85,5280.0,
2016-11-24,340.9,344.5,334.0,343.35,5497.0,
2016-11-25,368.0,368.0,343.05,351.6,13951.0,
2016-11-28,356.9,421.9,346.0,398.95,98599.0,
