,Open,High,Low,Close,Volume,DeliveryPct
2025-11-21,1648.0,1784.0,1600.1,1694.9,1236557.0,66.52
2025-11-24,1700.0,1723.2,1576.0,1590.4,390328.0,65.61
2025-11-25,1597.0,1634.0,1498.2,1619.3,552905.0,51.1
2025-11-26,1634.9,1638.0,1571.0,1596.0,203120.0,35.16
2025-11-27,1606.0,1606.0,1536.2,1573.0,252475.0,55.51
2025-11-28,1560.4,1612.5,1539.7,1548.7,377998.0,64.33
2025-12-01,1545.0,1610.0,1533.4,1555.0,227264.0,41.55
2025-12-02,1522.0,1552.1,1505.5,1516.8,289566.0,64.25
2025-12-03,1524.9,1526.2,1465.0,1512.9,279344.0,59.71
2025-12-04,1493.0,1522.3,1475.0,1500.8,145729.0,43.62
2025-12-05,1500.8,1508.2,1425.3,1484.6,426027.0,52.85
2025-12-08,1465.0,1493.5,1416.5,1473.6,244120.0,52.3
2025-12-09,1448.1,1527.0,1424.1,1506.4,318389.0,48.61
2025-12-10,1514.0,1562.7,1487.7,1546.0,232797.0,52.0
2025-12-11,1543.9,1556.2,1510.3,1550.2,122108.0,47.74
2025-12-12,1550.0,1559.0,1497.0,1520.4,214799.0,60.47
2025-12-15,1520.4,1542.0,1499.4,1520.8,78143.0,55.88
2025-12-16,1505.0,1530.0,1474.1,1523.5,297241.0,33.3
2025-12-17,1540.0,1559.0,1501.5,1514.9,150234.0,46.46
2025-12-18,1508.0,1545.0,1490.1,1537.2,113748.0,52.77
2025-12-19,1533.2,1614.9,1514.7,1601.8,376172.0,61.59
2025-12-22,1613.0,1707.5,1592.0,1607.9,957064.0,61.5
2025-12-23,1608.0,1629.0,1565.1,1617.0,355084.0,44.37
2025-12-24,1615.0,1644.0,1592.0,1629.1,339699.0,54.32
2025-12-25,1615.0,1644.0,1592.0,1629.1,339699.0,54.32
2025-12-26,1612.8,1676.8,1606.2,1631.6,118989.0,48.84
2025-12-29,1619.0,1640.9,1589.1,1608.3,182415.0,60.15
2025-12-30,1602.0,1627.5,1580.3,1610.3,162489.0,60.7
2025-12-31,1610.3,1658.2,1588.6,1643.0,254491.0,54.39
2026-01-01,1653.7,1657.0,1621.0,1645.0,127844.0,53.53
2026-01-02,1655.5,1731.7,1647.4,1712.5,532364.0,43.72
2026-01-05,1722.4,1796.6,1721.1,1770.6,512084.0,53.03
2026-01-06,1775.0,1825.0,1760.9,1811.3,543118.0,60.11
2026-01-07,1800.0,1915.0,1775.5,1850.2,815631.0,53.91
2026-01-08,1870.0,1885.5,1830.0,1866.0,655438.0,70.79
2026-01-09,1866.0,1879.5,1816.7,1868.2,318941.0,56.14
2026-01-12,1868.0,1869.9,1811.2,1846.7,380332.0,64.25
2026-01-13,1839.0,1900.9,1818.7,1847.7,359928.0,58.34
2026-01-14,1865.2,1865.2,1813.0,1829.3,369678.0,59.95
2026-01-15,1865.2,1865.2,1813.0,1829.3,369678.0,59.95
2026-01-16,1847.3,1909.0,1826.0,1901.0,338743.0,47.91
2026-01-19,1909.8,1954.5,1820.0,1837.8,277213.0,42.93
