,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,128.0,129.4,126.35,127.45,7084937.0,
2016-08-23,127.4,127.85,125.05,126.85,7811577.0,
2016-08-24,128.0,128.0,125.65,126.35,7590313.0,
2016-08-25,126.45,127.4,125.1,125.75,4990619.0,
2016-08-26,125.75,126.0,122.3,122.85,7612957.0,
2016-08-29,122.8,123.8,121.7,123.15,5588874.0,
2016-08-30,123.9,127.6,123.5,127.05,8091845.0,
2016-08-31,127.4,129.9,126.7,127.55,12256198.0,
2016-09-01,127.25,128.1,125.0,125.75,6989295.0,
2016-09-02,126.05,126.8,124.3,126.15,6841019.0,
2016-09-06,127.35,133.2,127.3,132.7,16168091.0,
2016-09-07,134.0,142.4,134.0,139.2,32963976.0,
2016-09-08,140.0,143.7,139.7,142.6,15259938.0,
2016-09-09,142.65,145.8,140.25,144.85,21172922.0,
2016-09-12,139.7,142.65,135.75,137.2,16293600.0,
2016-09-14,138.1,142.4,137.8,141.9,11923165.0,
2016-09-15,142.55,143.2,137.25,138.75,11864416.0,
2016-09-16,140.95,143.4,137.25,137.85,14310678.0,
2016-09-19,138.7,140.25,137.7,138.4,6831658.0,
2016-09-20,138.4,138.9,136.85,137.5,6289148.0,
2016-09-21,138.0,138.9,135.25,135.75,8304597.0,
2016-09-22,141.0,141.65,137.65,141.15,10960659.0,
2016-09-23,141.4,141.85,139.0,139.3,8968324.0,
2016-09-26,137.5,141.5,137.5,140.15,10127982.0,
2016-09-27,141.1,141.9,138.75,139.7,8289234.0,
2016-09-28,139.45,147.2,139.1,146.5,21069168.0,
2016-09-29,148.0,150.55,131.85,136.6,34985624.0,
2016-09-30,137.0,141.95,136.5,140.7,15959086.0,
2016-10-03,143.2,144.25,142.0,143.35,12933258.0,
2016-10-04,144.0,147.15,141.35,145.7,27243314.0,
2016-10-05,147.2,147.9,143.5,144.3,14790271.0,
2016-10-06,144.7,145.1,140.5,141.95,12147845.0,
2016-10-07,141.9,144.5,140.6,143.6,11947869.0,
2016-10-10,144.9,146.1,143.3,144.45,7198394.0,
2016-10-13,143.0,144.0,135.75,137.95,11908050.0,
2016-10-14,138.85,141.2,138.3,138.95,11186258.0,
2016-10-17,139.5,141.45,135.6,136.65,11933751.0,
2016-10-18,139.55,141.3,137.3,140.8,10742701.0,
2016-10-19,142.0,142.25,139.75,140.9,7757181.0,
2016-10-20,141.9,146.35,141.15,145.85,12951807.0,
2016-10-21,146.4,147.95,143.0,147.55,11120267.0,
2016-10-24,148.15,148.7,145.7,147.05,10264829.0,
2016-10-25,147.7,148.45,145.95,146.3,5409087.0,
2016-10-26,145.7,147.5,143.25,144.0,7700465.0,
2016-10-27,144.0,144.75,141.15,141.8,7229997.0,
2016-10-28,141.9,144.55,141.65,143.95,6544009.0,
2016-11-01,144.7,145.7,143.3,143.9,4844200.0,
2016-11-02,141.7,141.85,136.2,136.7,10367286.0,
2016-11-03,136.75,138.25,132.5,133.15,8462202.0,
2016-11-04,132.95,133.1,128.7,131.65,10318429.0,
2016-11-07,139.1,141.25,136.3,140.45,18907953.0,
2016-11-08,139.95,141.2,138.15,140.6,9438660.0,
2016-11-09,129.0,144.5,127.05,142.2,18051951.0,
2016-11-10,147.0,161.4,145.9,159.3,37273635.0,
2016-11-11,157.45,164.35,154.35,155.7,27229891.0,
2016-11-15,157.0,161.25,151.3,154.7,20356688.0,
2016-11-16,158.5,159.05,147.75,148.8,17007653.0,
2016-11-17,149.65,152.65,146.5,147.6,14077616.0,
2016-11-18,148.7,152.25,146.25,149.75,15123798.0,
2016-11-21,150.95,151.2,135.15,136.45,19917880.0,
2016-11-22,138.75,139.8,133.8,137.4,17367369.0,
2016-11-23,138.5,139.45,135.9,137.5,9296620.0,
2016-11-24,135.8,139.1,135.0,137.85,11254248.0,
2016-11-25,139.2,141.7,138.5,140.3,9294203.0,
2016-11-28,134.7,139.8,133.55,137.1,11349555.0,
2016-11-29,137.0,138.85,135.35,136.1,7979580.0,
2016-11-30,136.8,138.6,135.4,138.15,9497325.0,
2016-12-01,138.95,139.5,135.7,136.35,6752406.0,
2016-12-02,135.4,137.75,132.9,134.0,11985518.0,
2016-12-05,133.5,136.0,133.0,135.65,6543450.0,
2016-12-06,136.95,136.95,133.75,134.05,8168652.0,
2016-12-07,134.9,136.0,128.65,131.4,10675568.0,
2016-12-08,132.5,134.3,132.2,133.1,5657612.0,
2016-12-09,133.95,136.1,132.5,135.2,7767465.0,
2016-12-12,135.0,135.05,130.35,130.85,7027428.0,
2016-12-13,130.85,131.3,127.85,129.4,9389839.0,
2016-12-14,129.75,130.1,126.7,127.1,5545921.0,
2016-12-15,125.5,128.45,124.7,126.3,8959317.0,
2016-12-16,126.5,127.35,124.6,125.25,5403339.0,
2016-12-19,125.1,125.5,123.55,124.35,5083897.0,
2016-12-20,124.9,125.2,120.8,121.45,6513285.0,
2016-12-21,121.7,122.35,119.85,120.55,6777947.0,
2016-12-22,120.0,120.35,118.0,119.4,6499471.0,
2016-12-23,119.45,121.5,119.1,120.0,6720177.0,
2016-12-26,119.5,119.5,114.0,115.05,6426119.0,
2016-12-27,114.6,116.75,112.65,116.0,8762885.0,
2016-12-28,116.8,117.4,113.6,113.95,8946526.0,
2016-12-29,113.45,115.0,112.0,113.15,14396639.0,
2016-12-30,113.0,116.1,112.55,115.45,9685951.0,
2017-01-02,117.0,117.55,113.2,115.6,9784247.0,
2017-01-03,115.45,118.65,114.3,118.05,10254310.0,
2017-01-04,118.4,118.9,114.85,115.25,8678158.0,
2017-01-05,116.65,118.0,116.2,117.65,6286481.0,
2017-01-06,118.15,121.35,117.75,119.05,11922173.0,
2017-01-09,119.75,120.95,119.35,119.75,6694500.0,
2017-01-10,120.95,121.1,118.3,119.4,6545625.0,
2017-01-11,120.6,124.9,120.15,123.6,15259256.0,
2017-01-12,124.25,126.4,124.0,126.0,16048380.0,
2017-01-13,126.0,126.5,123.6,125.1,6583850.0,
2017-01-16,124.35,129.15,124.0,128.7,8138804.0,
2017-01-17,129.9,132.7,129.25,130.25,12895124.0,
2017-01-18,130.85,131.75,129.5,130.35,7963577.0,
2017-01-19,130.55,132.7,129.1,132.25,9142340.0,
2017-01-20,131.8,133.0,126.95,127.95,7903538.0,
2017-01-23,127.2,130.65,126.7,129.75,5153324.0,
2017-01-24,130.4,131.75,130.0,131.4,5005743.0,
2017-01-25,131.7,133.95,129.8,133.25,13157954.0,
2017-01-27,134.2,138.7,134.0,137.35,11400945.0,
2017-01-30,137.45,140.85,136.35,137.65,10399258.0,
2017-01-31,137.9,138.4,134.3,135.55,8428944.0,
2017-02-01,136.7,140.9,134.65,140.55,18070233.0,
2017-02-02,140.6,144.4,139.3,142.6,12319698.0,
2017-02-03,142.95,151.2,142.65,150.15,19284357.0,
2017-02-06,152.5,155.3,148.55,149.2,18121892.0,
2017-02-07,149.95,155.7,147.65,151.65,49440931.0,
2017-02-08,151.95,152.5,146.2,149.9,19165911.0,
2017-02-09,150.0,151.0,144.1,144.65,15635676.0,
2017-02-10,145.3,147.3,144.5,145.1,9057524.0,
2017-02-13,145.7,146.2,139.85,142.35,10159858.0,
2017-02-14,142.9,144.75,141.65,144.05,9227243.0,
2017-02-15,143.7,144.7,138.75,139.8,9307895.0,
2017-02-16,140.7,142.35,138.05,140.95,8738826.0,
2017-02-17,142.05,143.7,139.5,140.25,7242602.0,
2017-02-20,140.25,143.45,139.4,143.05,7037820.0,
2017-02-21,143.7,145.15,143.1,143.8,8887995.0,
2017-02-22,144.0,144.75,141.5,141.95,6822132.0,
2017-02-23,142.2,143.5,139.6,140.15,7758688.0,
2017-02-27,140.0,141.25,138.65,139.65,4881818.0,
2017-02-28,140.0,142.35,139.85,141.4,5188965.0,
2017-03-01,142.0,144.55,142.0,142.65,6092933.0,
2017-03-02,143.65,144.2,138.05,139.25,5912934.0,
2017-03-03,139.0,140.35,138.05,139.95,6415383.0,
2017-03-06,140.65,141.8,140.3,141.55,3898856.0,
2017-03-07,142.9,143.45,141.1,141.5,4555750.0,
2017-03-08,141.5,142.1,138.9,141.25,5724981.0,
2017-03-09,140.9,142.35,140.35,141.15,3555545.0,
2017-03-10,142.2,143.4,140.8,141.7,4159067.0,
2017-03-14,145.0,146.0,143.1,143.8,5530287.0,
2017-03-15,143.0,146.7,142.85,145.4,6275582.0,
2017-03-16,146.5,148.9,145.75,148.2,8592406.0,
2017-03-17,148.8,148.95,144.15,144.8,7365829.0,
2017-03-20,144.5,146.45,143.4,145.2,4685006.0,
2017-03-21,145.35,145.85,141.5,142.85,7549120.0,
2017-03-22,140.7,141.45,135.85,136.4,9415163.0,
2017-03-23,136.55,137.4,135.35,135.85,8454835.0,
2017-03-24,136.4,143.45,136.35,141.5,18367831.0,
2017-03-27,141.35,148.3,141.25,147.25,16938800.0,
2017-03-28,148.1,149.5,146.1,148.8,10298223.0,
2017-03-29,149.0,151.15,146.7,148.85,12009076.0,
2017-03-30,149.0,154.0,148.5,153.2,13801286.0,
2017-03-31,152.5,152.8,149.5,149.9,11204474.0,
2017-04-03,151.9,151.9,149.5,149.95,4498149.0,
2017-04-05,150.7,152.5,148.55,151.2,8301745.0,
2017-04-06,150.45,153.3,150.0,151.55,7704706.0,
2017-04-07,150.85,152.55,148.8,149.45,6675203.0,
2017-04-10,149.4,153.0,148.55,152.25,6333658.0,
2017-04-11,152.4,159.9,152.2,158.25,16514618.0,
2017-04-12,158.0,160.0,154.6,158.8,8897267.0,
2017-04-13,158.1,162.3,155.15,156.3,11314637.0,
2017-04-17,156.3,159.25,154.0,158.8,7391840.0,
2017-04-18,158.75,163.5,155.0,155.9,11678752.0,
2017-04-19,156.65,158.5,149.35,153.2,11838556.0,
2017-04-20,154.1,157.85,152.1,154.85,8232953.0,
2017-04-21,155.9,157.2,152.55,154.9,7156933.0,
2017-04-24,155.45,157.0,154.2,155.15,7810199.0,
2017-04-25,156.6,162.0,155.8,161.1,14159303.0,
2017-04-26,161.95,169.6,161.0,167.15,23060379.0,
2017-04-27,165.75,167.9,162.65,164.7,12027538.0,
2017-04-28,165.3,170.7,164.75,168.85,14727193.0,
2017-05-02,170.0,174.25,169.85,170.7,12782804.0,
2017-05-03,172.0,178.0,169.2,174.9,19280628.0,
2017-05-04,178.5,180.4,175.4,179.45,15515354.0,
2017-05-05,181.75,185.8,171.6,174.3,25487298.0,
2017-05-08,174.45,177.3,172.0,176.1,11955725.0,
2017-05-09,177.0,177.2,171.05,173.6,11702741.0,
2017-05-10,174.0,175.45,170.8,172.15,6404722.0,
2017-05-11,172.6,176.2,171.1,172.0,8622609.0,
2017-05-12,172.0,174.05,167.1,169.15,8539232.0,
2017-05-15,169.95,171.3,166.2,166.8,7476618.0,
2017-05-16,167.35,178.0,164.8,174.15,51532461.0,
2017-05-17,173.0,173.1,164.3,165.05,26536944.0,
2017-05-18,163.4,164.4,157.9,158.5,13905573.0,
2017-05-19,159.5,162.25,154.1,155.2,16311602.0,
2017-05-22,157.5,158.0,150.25,150.95,11857847.0,
2017-05-23,151.95,154.35,145.55,149.75,18177361.0,
2017-05-24,149.7,152.35,146.5,147.45,12578488.0,
2017-05-25,148.5,151.9,144.35,150.7,18805386.0,
2017-05-26,151.0,153.3,149.6,150.65,9285518.0,
2017-05-29,150.45,151.85,143.05,145.1,8154328.0,
2017-05-30,143.9,148.0,142.4,146.35,10767305.0,
2017-05-31,146.85,151.6,145.0,150.5,16851657.0,
2017-06-01,151.0,152.3,149.25,151.9,9103808.0,
2017-06-02,153.4,154.05,150.9,153.05,7997880.0,
2017-06-05,153.45,154.75,152.8,153.8,5133407.0,
2017-06-06,154.1,154.5,149.05,149.5,6081488.0,
2017-06-07,149.5,153.0,149.25,152.35,7023536.0,
2017-06-08,152.8,153.15,150.75,151.3,5183430.0,
2017-06-09,151.0,152.75,149.65,152.15,4215439.0,
2017-06-12,151.0,151.0,147.5,148.4,6329251.0,
2017-06-13,148.8,150.5,147.5,148.75,4610203.0,
2017-06-14,149.6,152.7,148.3,152.0,8829217.0,
2017-06-15,148.6,150.7,146.7,147.45,12486764.0,
2017-06-16,148.5,148.9,146.7,147.65,6445657.0,
2017-06-19,148.5,149.0,146.8,147.25,3972793.0,
2017-06-20,146.9,147.6,143.5,143.9,11058383.0,
2017-06-21,144.1,146.65,143.5,146.2,6615254.0,
2017-06-22,146.95,147.9,144.75,145.55,4476023.0,
2017-06-23,145.75,146.55,142.1,143.9,6011716.0,
2017-06-27,144.4,144.4,135.6,137.0,11185507.0,
2017-06-28,134.4,138.25,132.65,136.5,10796349.0,
2017-06-29,138.0,139.75,134.8,138.05,9372758.0,
2017-06-30,136.85,138.6,135.5,137.3,5476662.0,
2017-07-03,137.5,140.0,136.6,139.25,4541871.0,
2017-07-04,139.4,140.35,135.8,136.55,4799590.0,
2017-07-05,136.4,137.6,135.25,136.6,6423645.0,
2017-07-06,140.45,144.2,139.75,143.3,16877517.0,
2017-07-07,143.6,144.8,142.45,144.2,6501418.0,
2017-07-10,148.0,154.25,143.0,153.25,6737212.0,
2017-07-11,154.35,155.1,148.7,149.4,10977204.0,
2017-07-12,149.85,152.9,148.4,152.35,7270322.0,
2017-07-13,153.9,154.95,151.0,152.25,5383408.0,
2017-07-14,150.0,154.9,150.0,153.65,7808933.0,
2017-07-17,153.35,154.0,151.5,152.9,7437053.0,
2017-07-18,152.9,158.95,151.9,154.85,12397695.0,
2017-07-19,156.6,158.85,155.65,158.3,6062912.0,
2017-07-20,156.95,158.7,155.9,156.75,5441983.0,
2017-07-21,158.0,159.7,155.95,158.25,6926819.0,
2017-07-24,158.5,163.4,158.0,161.3,8443748.0,
2017-07-25,162.25,164.3,161.35,162.95,6869914.0,
2017-07-26,162.5,163.7,158.1,158.9,8868577.0,
2017-07-27,159.95,160.9,153.5,154.15,11133709.0,
2017-07-28,154.0,159.45,153.0,158.85,7759390.0,
2017-07-31,154.9,163.4,154.35,162.3,13159766.0,
2017-08-01,163.8,164.2,157.0,157.5,11446128.0,
2017-08-02,159.0,162.2,157.35,158.95,31565886.0,
2017-08-03,157.85,157.85,148.2,149.3,19702626.0,
2017-08-04,149.05,152.35,147.9,151.05,12895805.0,
2017-08-07,151.3,153.0,151.05,152.1,5372108.0,
2017-08-08,153.0,153.0,145.5,148.8,11529949.0,
2017-08-09,148.5,150.3,146.5,148.3,7478797.0,
2017-08-10,147.5,148.3,140.15,143.15,8506146.0,
2017-08-11,139.0,144.6,137.45,140.35,14050916.0,
2017-08-14,141.5,143.8,140.35,143.2,5282514.0,
2017-08-16,143.9,149.1,140.7,147.55,8003091.0,
2017-08-17,148.1,150.1,145.5,146.3,8384523.0,
2017-08-18,144.0,144.5,140.7,142.15,9195713.0,
2017-08-21,143.0,143.9,136.8,137.6,9064019.0,
2017-08-22,139.0,139.5,135.65,138.0,9256850.0,
2017-08-23,139.0,143.1,138.25,142.65,9488136.0,
2017-08-24,141.5,145.5,140.25,144.3,8742823.0,
2017-08-28,144.3,145.95,143.95,144.85,5356187.0,
2017-08-29,143.25,145.4,140.25,141.0,6956667.0,
2017-08-30,142.25,143.35,141.3,142.5,4286281.0,
2017-08-31,142.6,145.0,141.4,143.8,8964249.0,
2017-09-01,144.1,145.8,143.9,144.45,5319966.0,
2017-09-04,144.5,145.4,141.6,142.65,4522734.0,
2017-09-05,143.3,143.9,142.4,143.6,3193574.0,
2017-09-06,142.25,142.6,138.35,139.0,12625243.0,
2017-09-07,140.4,140.4,137.55,138.95,8834660.0,
2017-09-08,139.4,139.8,137.1,137.85,4807096.0,
2017-09-11,138.9,139.5,137.75,138.15,3593970.0,
2017-09-12,139.4,142.0,138.0,141.5,7355454.0,
