,Open,High,Low,Close,Volume,DeliveryPct
2019-04-16,633.0,667.8,630.0,654.8,22985293.0,
2019-04-18,656.9,664.9,614.0,643.55,5415019.0,
2019-04-22,643.0,645.8,625.25,628.1,1059760.0,
2019-04-23,628.0,648.0,628.0,634.1,1208860.0,
2019-04-24,636.5,640.0,628.25,637.5,1016453.0,
2019-04-25,639.2,652.0,633.0,639.6,1261972.0,
2019-04-26,642.0,647.4,640.0,644.65,594976.0,
2019-04-30,646.95,646.95,630.15,639.25,519904.0,
2019-05-02,638.9,651.0,631.0,641.25,514478.0,
2019-05-03,642.7,646.0,637.65,641.85,271431.0,
2019-05-06,638.0,649.9,633.0,642.7,425268.0,
2019-05-07,644.95,653.5,643.0,648.6,580548.0,
2019-05-08,646.0,648.0,640.15,646.0,264484.0,
2019-05-09,646.25,647.4,639.35,645.7,301291.0,
2019-05-10,646.05,677.7,645.3,655.15,771913.0,
2019-05-13,660.6,662.0,651.05,654.9,301861.0,
2019-05-14,656.0,659.75,626.3,633.75,1069899.0,
2019-05-15,620.0,625.7,602.0,620.65,1442391.0,
2019-05-16,625.0,625.0,583.3,599.35,918393.0,
2019-05-17,596.15,601.5,587.0,595.7,328115.0,
2019-05-20,610.0,612.65,595.0,604.85,728223.0,
2019-05-21,605.0,609.0,599.0,605.05,252936.0,
2019-05-22,605.05,623.6,601.1,609.75,282577.0,
2019-05-23,614.5,619.65,600.0,601.9,200009.0,
2019-05-24,605.0,609.75,602.35,605.15,150951.0,
2019-05-27,608.75,633.0,606.25,620.2,262413.0,
2019-05-28,625.1,630.0,621.4,625.75,113154.0,
2019-05-29,622.1,629.65,618.0,619.95,69546.0,
2019-05-30,616.15,623.7,612.65,618.9,81235.0,
2019-05-31,620.15,622.75,608.3,610.85,175173.0,
2019-06-03,614.0,614.8,602.45,607.9,150151.0,
2019-06-04,609.9,620.0,606.1,610.6,67372.0,
2019-06-06,610.8,613.95,602.5,604.4,46935.0,
2019-06-07,609.05,609.1,601.05,602.05,30262.0,
2019-06-10,605.0,609.0,597.6,602.5,46966.0,
2019-06-11,602.0,606.9,600.0,600.75,47063.0,
2019-06-12,600.05,602.8,595.15,595.95,46869.0,
2019-06-13,600.05,604.4,590.0,594.45,73943.0,
2019-06-14,592.1,599.9,590.1,596.0,44727.0,
2019-06-17,596.0,596.0,587.0,588.75,41259.0,
2019-06-18,588.6,593.5,586.25,589.15,43498.0,
2019-06-19,590.15,591.45,578.0,585.65,103810.0,
2019-06-20,591.0,594.0,581.1,589.9,39822.0,
2019-06-21,590.0,594.8,588.0,592.35,28836.0,
2019-06-24,590.25,599.0,590.0,596.3,41015.0,
2019-06-25,595.0,604.5,593.05,601.4,50422.0,
2019-06-26,600.05,614.75,600.0,611.85,104768.0,
2019-06-27,611.85,614.4,606.0,613.45,31569.0,
2019-06-28,613.0,624.9,613.0,622.05,68813.0,
2019-07-01,626.4,646.0,626.4,643.35,347594.0,
2019-07-02,640.0,640.0,628.5,635.8,46607.0,
2019-07-03,632.2,654.8,631.6,644.4,90021.0,
2019-07-04,648.1,652.0,642.55,647.2,95235.0,
2019-07-05,650.0,650.0,615.75,620.15,650669.0,
2019-07-08,619.9,619.9,598.2,600.9,162195.0,
2019-07-09,604.0,612.0,602.0,611.4,36209.0,
2019-07-10,610.0,619.3,610.0,613.95,25922.0,
2019-07-11,614.1,625.0,613.95,618.15,25738.0,
2019-07-12,618.0,623.0,616.0,617.1,22282.0,
2019-07-15,615.5,620.75,612.2,615.5,26241.0,
2019-07-16,615.1,624.8,614.0,622.2,43109.0,
