,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,181.45,182.8,180.75,181.95,6376211.0,
2016-08-23,181.45,183.4,180.0,182.15,4175820.0,
2016-08-24,182.3,183.0,181.1,182.3,2992034.0,
2016-08-25,182.5,185.0,180.5,182.25,7309913.0,
2016-08-26,182.65,183.4,180.2,180.8,3992579.0,
2016-08-29,181.2,181.35,177.6,180.25,1662934.0,
2016-08-30,180.9,183.8,179.7,183.3,2932197.0,
2016-08-31,183.1,184.5,181.85,183.7,3620117.0,
2016-09-01,183.5,185.0,182.25,184.3,3440430.0,
2016-09-02,184.55,185.0,182.3,183.8,2170349.0,
2016-09-06,184.75,187.7,183.8,186.6,5063107.0,
2016-09-07,186.1,187.0,183.9,184.75,2826563.0,
2016-09-08,183.9,187.65,181.65,186.4,3363950.0,
2016-09-09,186.0,186.65,183.4,183.8,2841605.0,
2016-09-12,182.6,183.4,179.75,180.25,2331270.0,
2016-09-14,179.95,181.05,178.5,179.15,3757990.0,
2016-09-15,180.4,180.4,174.05,174.8,5017570.0,
2016-09-16,176.3,180.5,173.15,176.05,12201034.0,
2016-09-19,175.7,178.2,174.25,177.4,2400079.0,
2016-09-20,177.65,179.4,177.0,178.1,2682936.0,
2016-09-21,178.1,180.1,174.55,175.3,2788843.0,
2016-09-22,177.1,180.3,176.2,178.55,2630455.0,
2016-09-23,178.25,179.4,175.7,175.95,4274739.0,
2016-09-26,175.7,178.3,174.85,175.7,3562557.0,
2016-09-27,176.65,178.15,175.85,176.2,3414102.0,
2016-09-28,176.2,179.1,176.2,178.45,2540053.0,
2016-09-29,178.75,182.1,171.7,173.4,7526759.0,
2016-09-30,174.1,177.7,171.55,176.55,6655428.0,
2016-10-03,177.15,182.9,175.6,181.2,5289415.0,
2016-10-04,181.5,182.7,180.45,181.0,4481602.0,
2016-10-05,181.15,183.4,180.4,181.4,3008118.0,
2016-10-06,181.3,182.25,177.5,177.9,3180505.0,
2016-10-07,177.9,179.6,176.3,176.95,2238796.0,
2016-10-10,177.2,179.0,177.2,178.05,2508185.0,
2016-10-13,177.55,177.85,173.7,175.0,8379738.0,
2016-10-14,175.8,178.5,172.55,177.7,2789366.0,
2016-10-17,176.3,177.65,174.8,176.05,2550834.0,
2016-10-18,176.75,177.8,175.0,176.4,4100567.0,
2016-10-19,176.95,180.75,176.1,178.55,5074138.0,
2016-10-20,179.35,180.25,177.85,178.65,2271308.0,
2016-10-21,179.35,179.35,176.1,176.95,5822010.0,
2016-10-24,176.6,178.35,175.15,176.1,1656773.0,
2016-10-25,176.55,178.95,175.6,178.35,1689115.0,
2016-10-26,178.0,178.3,174.8,175.5,2209102.0,
2016-10-27,175.1,176.85,173.7,175.5,3947345.0,
2016-10-28,175.8,177.0,172.05,175.9,2408879.0,
2016-11-01,175.25,179.55,174.15,176.9,2968560.0,
2016-11-02,175.95,176.5,174.45,175.1,2733563.0,
2016-11-03,175.15,175.7,174.3,174.95,2294222.0,
2016-11-04,175.0,175.85,171.25,173.55,2351191.0,
2016-11-07,174.3,174.6,173.55,174.0,4309203.0,
2016-11-08,174.25,177.6,173.9,177.0,1837006.0,
2016-11-09,170.0,181.3,166.95,180.2,7451560.0,
2016-11-10,185.0,190.0,181.15,188.45,10151339.0,
2016-11-11,186.0,188.5,181.5,183.1,4933450.0,
2016-11-15,182.55,186.6,182.55,184.95,6462706.0,
2016-11-16,186.55,190.5,183.35,188.5,5739276.0,
2016-11-17,187.95,196.4,184.2,192.9,5283150.0,
2016-11-18,193.75,195.3,191.4,191.95,6844863.0,
2016-11-21,193.65,193.65,184.3,185.05,6855316.0,
2016-11-22,185.9,186.7,180.75,183.75,6736503.0,
2016-11-23,184.2,187.55,179.6,181.65,7664417.0,
2016-11-24,181.95,186.9,180.3,185.05,10352496.0,
2016-11-25,186.1,190.2,185.0,188.65,8278235.0,
2016-11-28,187.0,194.8,186.95,190.5,5804101.0,
2016-11-29,190.65,191.55,188.5,189.45,6978829.0,
2016-11-30,190.8,192.7,187.6,191.9,4188831.0,
2016-12-01,192.5,192.5,183.5,184.3,6219096.0,
2016-12-02,185.0,185.9,182.5,183.8,5442961.0,
2016-12-05,183.7,186.05,180.85,185.1,6909094.0,
2016-12-06,185.4,186.6,182.5,182.9,2559578.0,
2016-12-07,184.7,185.5,182.0,182.45,2399124.0,
2016-12-08,183.95,185.95,181.55,185.65,3044967.0,
2016-12-09,186.0,186.0,183.75,184.45,1941292.0,
2016-12-12,184.25,185.45,183.4,184.75,2075290.0,
2016-12-13,185.5,186.55,182.45,185.25,2484815.0,
2016-12-14,185.0,185.4,181.45,181.95,4113378.0,
2016-12-15,181.0,185.75,180.5,183.35,2955360.0,
2016-12-16,183.55,186.25,181.7,183.8,14639366.0,
2016-12-19,184.15,185.0,182.85,184.1,2040719.0,
2016-12-20,184.0,184.45,181.75,181.95,3238334.0,
2016-12-21,182.05,183.7,181.75,183.25,2969658.0,
2016-12-22,183.0,183.45,181.1,181.75,1492698.0,
2016-12-23,181.6,182.7,179.0,182.3,2703345.0,
2016-12-26,182.35,182.35,178.25,178.8,3337280.0,
2016-12-27,178.7,181.7,176.55,181.05,2562750.0,
2016-12-28,181.05,183.0,179.1,180.0,2103738.0,
2016-12-29,179.2,181.45,179.0,180.05,8289699.0,
2016-12-30,180.4,185.1,180.25,183.5,2740839.0,
2017-01-02,183.5,185.2,182.6,183.65,1019089.0,
2017-01-03,184.9,188.5,184.5,188.05,4398598.0,
2017-01-04,188.05,188.85,186.05,186.75,4404097.0,
2017-01-05,187.05,191.25,186.1,190.85,3578806.0,
2017-01-06,191.15,192.85,188.25,188.8,3542844.0,
2017-01-09,189.2,189.2,185.1,186.55,1663023.0,
2017-01-10,186.6,188.3,185.05,186.55,2602687.0,
2017-01-11,187.3,191.4,185.9,189.8,12282587.0,
2017-01-12,190.0,199.75,190.0,198.0,15107520.0,
2017-01-13,199.9,199.9,196.05,197.15,13462319.0,
2017-01-16,197.0,201.05,196.75,199.4,4766336.0,
2017-01-17,199.4,200.65,195.1,197.75,5733905.0,
2017-01-18,198.0,199.65,197.05,198.45,11941771.0,
2017-01-19,198.9,203.7,197.25,201.8,4925804.0,
2017-01-20,202.6,202.6,197.45,199.4,7305265.0,
2017-01-23,199.85,202.2,199.05,200.2,4125463.0,
2017-01-24,201.0,204.7,200.6,203.35,4006563.0,
2017-01-25,203.65,204.05,201.9,203.1,5814207.0,
2017-01-27,203.5,206.95,202.55,204.55,6241125.0,
2017-01-30,204.3,206.45,202.5,205.7,3281017.0,
2017-01-31,205.5,209.25,204.45,207.2,4271478.0,
2017-02-01,208.6,208.6,204.75,205.8,4120570.0,
2017-02-02,205.9,206.0,203.25,203.95,4372767.0,
2017-02-03,203.2,205.8,201.1,201.7,2519680.0,
2017-02-06,202.25,204.2,199.75,201.1,3564676.0,
2017-02-07,201.65,203.6,199.2,199.9,3691648.0,
2017-02-08,201.0,202.7,198.3,201.1,5076196.0,
2017-02-09,202.4,205.6,200.8,202.15,7194785.0,
2017-02-10,205.2,205.8,199.25,199.9,9459699.0,
2017-02-13,201.7,203.95,199.5,203.05,5348680.0,
2017-02-14,203.9,203.95,200.1,200.85,5289337.0,
2017-02-15,201.4,202.6,199.75,201.45,4107574.0,
2017-02-16,200.0,202.45,199.1,201.15,3528300.0,
2017-02-17,202.0,203.25,199.55,202.55,2793812.0,
2017-02-20,203.9,207.4,201.8,206.45,5578603.0,
2017-02-21,206.45,207.8,204.55,206.15,4178721.0,
2017-02-22,208.65,208.9,200.9,201.6,14819384.0,
2017-02-23,202.0,202.0,198.55,199.15,7539925.0,
2017-02-27,200.0,200.0,191.9,192.75,8324234.0,
2017-02-28,191.9,194.85,191.55,192.15,5653926.0,
2017-03-01,193.5,194.7,191.85,192.65,5820935.0,
2017-03-02,194.0,194.0,189.0,189.75,5979012.0,
2017-03-03,189.0,191.25,188.0,190.85,4755417.0,
2017-03-06,191.85,196.2,191.1,193.85,8357674.0,
2017-03-07,194.55,195.95,193.55,194.55,6607578.0,
2017-03-08,195.3,197.6,194.15,195.6,4465285.0,
2017-03-09,195.8,195.8,192.5,194.45,5499997.0,
2017-03-10,195.0,195.7,190.05,192.55,9218511.0,
2017-03-14,198.45,198.7,192.6,193.65,6686042.0,
2017-03-15,194.0,194.05,192.5,192.95,4372081.0,
2017-03-16,194.15,195.45,192.75,195.1,2903622.0,
2017-03-17,196.8,197.0,193.1,194.0,5356239.0,
2017-03-20,194.0,194.45,192.75,193.6,5275418.0,
2017-03-21,194.0,194.55,192.9,193.25,4571337.0,
2017-03-22,191.55,195.6,191.45,192.1,4614314.0,
2017-03-23,193.0,193.5,191.6,193.05,3304889.0,
2017-03-24,193.85,195.15,193.25,193.75,3467436.0,
2017-03-27,194.0,196.1,193.65,194.85,3996112.0,
2017-03-28,194.65,197.0,194.65,196.7,3386576.0,
2017-03-29,197.3,197.45,195.75,196.85,3628726.0,
2017-03-30,197.3,197.75,194.25,195.45,7321526.0,
2017-03-31,195.65,199.9,195.65,197.3,4794118.0,
2017-04-03,199.4,199.4,196.0,196.2,5594352.0,
2017-04-05,196.85,197.9,194.2,195.0,3972362.0,
2017-04-06,196.4,197.95,193.1,197.2,4199869.0,
2017-04-07,196.05,196.25,194.5,195.0,5178132.0,
2017-04-10,195.05,195.65,194.35,195.3,3241819.0,
2017-04-11,195.35,201.6,194.5,199.15,6000806.0,
2017-04-12,200.0,201.5,196.0,197.6,3724146.0,
2017-04-13,197.8,201.05,196.8,200.0,3324576.0,
2017-04-17,199.95,203.15,199.0,202.3,6265462.0,
2017-04-18,202.5,204.3,201.65,202.35,4317244.0,
2017-04-19,202.85,213.5,201.95,211.2,16368313.0,
2017-04-20,212.0,212.4,205.45,208.9,6650189.0,
2017-04-21,209.4,210.45,203.8,205.6,4465170.0,
2017-04-24,206.5,206.95,204.1,204.85,4230467.0,
2017-04-25,206.0,209.9,204.8,208.6,3540163.0,
2017-04-26,208.5,208.5,204.25,205.7,3362263.0,
2017-04-27,206.0,210.15,205.15,207.75,7676280.0,
2017-04-28,207.0,208.7,205.95,208.0,3080976.0,
2017-05-02,208.85,208.85,204.5,206.0,2881712.0,
2017-05-03,206.9,213.8,206.3,211.05,6108347.0,
2017-05-04,211.0,212.75,209.0,210.65,7285668.0,
2017-05-05,212.0,212.0,207.55,209.0,2808568.0,
2017-05-08,209.1,210.5,206.7,210.0,3856197.0,
2017-05-09,210.05,211.5,207.75,208.35,2660264.0,
2017-05-10,209.7,210.95,209.0,210.5,2600838.0,
2017-05-11,211.0,211.5,206.2,208.2,2782233.0,
2017-05-12,208.0,209.6,205.6,206.25,3029862.0,
2017-05-15,208.9,209.0,206.35,206.7,3011544.0,
2017-05-16,206.75,207.95,206.25,207.4,2293713.0,
2017-05-17,207.6,209.7,206.15,208.8,2078381.0,
2017-05-18,208.0,209.4,207.1,208.25,3261049.0,
2017-05-19,209.7,211.75,204.1,205.75,10009102.0,
2017-05-22,207.0,207.7,199.2,202.5,4175986.0,
2017-05-23,202.95,203.5,197.35,201.4,3636830.0,
2017-05-24,202.4,203.9,198.5,199.9,3740870.0,
2017-05-25,200.7,200.95,195.65,198.95,5620657.0,
2017-05-26,200.0,203.9,198.3,202.2,3637331.0,
2017-05-29,203.15,210.75,203.1,209.1,8158940.0,
2017-05-30,208.9,208.9,202.05,204.1,6122316.0,
2017-05-31,204.95,209.3,204.95,207.95,4377016.0,
2017-06-01,207.55,209.7,206.35,207.65,3583082.0,
2017-06-02,208.1,208.35,205.3,206.1,3776497.0,
2017-06-05,206.75,207.35,204.2,205.3,2865347.0,
2017-06-06,205.55,205.65,202.3,203.45,2995008.0,
2017-06-07,203.9,205.7,202.2,205.05,4278322.0,
2017-06-08,205.0,207.7,203.6,207.35,4211647.0,
2017-06-09,207.4,208.5,206.5,207.2,3618248.0,
2017-06-12,206.4,207.9,205.0,206.2,2072763.0,
2017-06-13,206.45,213.15,206.0,210.25,8873561.0,
2017-06-14,211.0,213.0,209.5,210.5,7672014.0,
2017-06-15,210.0,212.25,209.35,210.35,3147476.0,
2017-06-16,210.0,211.5,207.6,209.95,3446852.0,
2017-06-19,210.0,212.95,209.95,212.4,3596105.0,
2017-06-20,212.25,215.0,205.6,208.3,7243086.0,
2017-06-21,208.0,208.0,204.75,205.7,7793672.0,
2017-06-22,205.85,208.7,200.0,202.3,18964075.0,
2017-06-23,203.0,207.0,202.4,206.0,5081638.0,
2017-06-27,206.0,206.7,201.5,205.75,3908109.0,
2017-06-28,206.0,208.95,203.4,207.6,3995930.0,
2017-06-29,208.0,210.5,206.9,208.0,4262447.0,
2017-06-30,207.9,211.05,207.8,210.55,4359961.0,
2017-07-03,210.0,212.65,209.5,211.45,4932161.0,
2017-07-04,213.0,213.0,209.75,210.7,2548185.0,
2017-07-05,211.45,211.45,209.5,210.05,3410005.0,
2017-07-06,211.0,211.0,209.0,209.85,3137194.0,
2017-07-07,209.7,210.4,208.2,209.45,4298277.0,
2017-07-10,212.2,212.2,189.15,211.35,1601141.0,
2017-07-11,212.5,213.35,210.9,211.95,7781416.0,
2017-07-12,211.95,215.0,211.95,214.0,5181337.0,
2017-07-13,216.95,217.0,214.45,215.1,5398258.0,
2017-07-14,216.25,216.25,214.5,215.2,2750249.0,
2017-07-17,215.25,217.45,215.25,216.7,3545194.0,
2017-07-18,216.95,220.0,214.75,215.4,4246663.0,
2017-07-19,217.4,219.5,216.05,218.65,4793532.0,
2017-07-20,219.0,220.0,217.65,218.7,5756608.0,
2017-07-21,219.45,219.45,213.5,215.3,2783465.0,
2017-07-24,213.25,217.25,213.25,216.75,3452471.0,
2017-07-25,217.5,218.6,216.3,217.0,3438650.0,
2017-07-26,217.85,217.95,215.55,217.3,2958134.0,
2017-07-27,217.7,219.1,215.75,216.65,12026811.0,
2017-07-28,216.1,216.8,212.05,214.65,4646558.0,
2017-07-31,214.65,224.2,214.65,223.3,9789646.0,
2017-08-01,223.8,225.6,220.65,224.4,8585870.0,
2017-08-02,224.65,226.0,220.7,221.8,6758151.0,
2017-08-03,221.0,224.55,219.25,222.95,2973119.0,
2017-08-04,224.4,225.15,221.6,224.6,4486466.0,
2017-08-07,225.0,226.25,223.0,225.95,2598508.0,
2017-08-08,226.5,226.6,221.45,222.9,1816691.0,
2017-08-09,222.6,225.2,220.8,221.9,2572746.0,
2017-08-10,221.8,221.8,215.35,217.4,3832683.0,
2017-08-11,212.5,220.5,212.0,218.9,4984245.0,
2017-08-14,219.25,223.95,219.0,222.75,2807320.0,
2017-08-16,223.7,224.65,219.65,220.7,2937370.0,
2017-08-17,220.5,221.6,218.75,219.45,1596199.0,
2017-08-18,219.0,223.8,218.7,222.95,4343111.0,
2017-08-21,224.0,224.95,219.55,220.3,2926811.0,
2017-08-22,221.95,222.35,218.05,219.5,3738881.0,
2017-08-23,219.6,220.8,217.65,219.75,2988440.0,
2017-08-24,219.5,222.2,219.05,220.95,3089395.0,
2017-08-28,220.9,220.9,216.65,217.1,5486618.0,
2017-08-29,217.3,218.55,213.8,215.3,6882489.0,
2017-08-30,216.85,217.45,214.25,215.6,5238874.0,
2017-08-31,216.25,220.0,215.05,219.25,4580828.0,
2017-09-01,218.7,218.7,215.8,216.5,4952002.0,
2017-09-04,216.6,219.25,212.8,217.6,3509861.0,
2017-09-05,217.5,217.6,215.9,216.2,2214898.0,
2017-09-06,215.0,216.05,213.0,214.3,2700125.0,
2017-09-07,215.5,216.15,213.55,215.9,2817337.0,
2017-09-08,216.2,216.65,212.4,213.1,4831200.0,
2017-09-11,211.0,216.0,210.65,215.6,3490415.0,
2017-09-12,215.6,216.3,214.3,215.3,2422839.0,
2017-09-13,215.3,216.1,213.0,213.75,2069873.0,
2017-09-14,213.3,216.0,212.65,213.95,3821197.0,
2017-09-15,212.7,213.45,208.1,212.5,5093127.0,
2017-09-18,212.5,217.35,212.5,215.35,5889508.0,
2017-09-19,216.4,216.4,212.8,215.85,3111141.0,
2017-09-20,215.9,216.2,212.5,212.9,3199217.0,
2017-09-21,212.9,212.9,210.35,211.55,2876482.0,
2017-09-22,210.05,211.35,208.1,209.55,2922258.0,
2017-09-25,209.0,213.85,207.65,210.15,7344902.0,
2017-09-26,213.5,213.5,210.15,210.75,3695835.0,
2017-09-27,212.0,213.05,206.8,208.15,4435381.0,
2017-09-28,206.0,210.9,205.0,209.0,6543614.0,
2017-09-29,211.0,212.65,206.1,211.0,7752692.0,
2017-10-03,212.15,212.25,205.5,206.15,6916620.0,
2017-10-04,205.05,210.65,205.05,209.05,6792700.0,
2017-10-05,209.0,209.4,204.15,204.95,9760723.0,
2017-10-06,205.0,205.85,203.55,204.75,7574977.0,
2017-10-09,204.85,204.85,199.65,200.95,12063410.0,
2017-10-10,201.05,206.0,201.0,204.75,8190135.0,
2017-10-11,205.4,206.1,201.4,202.85,6654926.0,
2017-10-12,203.05,204.2,201.5,202.3,3104186.0,
2017-10-13,202.4,207.1,200.2,205.65,6409506.0,
2017-10-16,206.7,208.6,205.15,205.75,6480686.0,
2017-10-17,205.25,206.9,203.95,204.9,2776755.0,
2017-10-18,206.2,214.25,206.0,213.55,10397526.0,
2017-10-19,212.85,213.0,209.55,210.65,314646.0,
2017-10-23,212.95,214.2,211.0,213.55,7966337.0,
2017-10-24,213.3,215.9,211.4,215.05,3966029.0,
2017-10-25,216.0,219.0,213.8,216.1,9172382.0,
2017-10-26,214.4,215.75,210.75,212.0,13232340.0,
2017-10-27,212.35,213.55,210.4,211.75,5616749.0,
2017-10-30,211.95,214.5,211.85,212.4,2316779.0,
2017-10-31,212.7,218.9,210.7,211.85,9248774.0,
2017-11-01,212.85,213.4,208.65,210.35,6984781.0,
2017-11-02,212.0,216.3,211.8,215.2,9146192.0,
2017-11-03,220.5,220.5,209.6,210.05,14789896.0,
2017-11-06,210.75,213.3,209.5,210.7,4491667.0,
2017-11-07,211.6,212.2,206.5,207.65,5457495.0,
2017-11-08,208.0,209.95,207.15,208.15,7187101.0,
2017-11-09,209.8,209.8,205.0,208.0,5339303.0,
2017-11-10,207.0,212.0,206.5,211.35,5062281.0,
2017-11-13,211.9,213.35,209.3,211.0,4435470.0,
2017-11-14,211.0,211.05,206.1,206.95,2771842.0,
2017-11-15,206.7,207.55,204.4,207.0,4867318.0,
2017-11-16,207.1,208.85,205.15,208.3,10140289.0,
2017-11-17,209.3,209.95,207.75,208.6,5171470.0,
2017-11-20,210.3,210.3,205.65,208.8,4655923.0,
2017-11-21,208.95,208.95,205.8,206.6,8773164.0,
2017-11-22,208.15,208.15,205.1,207.05,4874067.0,
2017-11-23,207.9,209.8,206.55,209.05,3839018.0,
2017-11-24,208.5,211.85,208.0,211.2,4350777.0,
2017-11-27,211.8,211.85,208.0,210.15,8331302.0,
2017-11-28,210.0,210.0,206.2,208.35,12120115.0,
2017-11-29,208.6,209.75,207.55,208.75,4120057.0,
2017-11-30,208.5,208.5,205.15,206.05,10831836.0,
2017-12-01,207.0,207.35,202.2,202.95,4596793.0,
2017-12-04,203.5,203.95,200.9,202.75,4007567.0,
2017-12-05,202.0,202.45,196.85,200.3,9835372.0,
2017-12-06,199.7,200.85,198.65,200.25,3125911.0,
2017-12-07,200.25,203.0,199.45,202.3,6254864.0,
2017-12-08,203.0,203.8,199.9,203.1,8221277.0,
2017-12-11,203.8,205.4,202.6,204.3,4630220.0,
2017-12-12,204.5,204.5,201.9,202.9,4674563.0,
2017-12-13,201.0,202.45,199.85,200.5,6809610.0,
2017-12-14,201.3,201.6,198.5,200.1,7221606.0,
2017-12-15,201.4,202.15,197.5,198.85,12743418.0,
2017-12-18,198.95,200.1,193.4,199.9,9468007.0,
2017-12-19,200.7,203.0,199.2,202.6,11324852.0,
2017-12-20,203.1,203.35,199.95,202.95,7930111.0,
2017-12-21,204.8,204.8,202.1,203.1,4433485.0,
2017-12-22,203.0,203.6,201.85,203.05,4162459.0,
2017-12-26,202.9,204.0,201.2,202.45,4470055.0,
2017-12-27,202.5,204.5,200.8,201.2,4405186.0,
2017-12-28,201.45,202.05,198.5,199.15,8885365.0,
2017-12-29,199.55,201.7,199.45,200.35,4815882.0,
2018-01-01,199.05,201.75,199.05,200.2,3593261.0,
2018-01-02,201.25,201.8,199.3,200.75,2465835.0,
2018-01-03,201.5,202.45,200.6,201.65,4605412.0,
2018-01-04,202.0,202.85,200.0,200.35,2364782.0,
2018-01-05,201.3,202.05,200.6,201.25,2769503.0,
2018-01-08,202.0,203.25,200.05,200.55,6636300.0,
2018-01-09,201.1,201.4,200.3,201.0,4151457.0,
2018-01-10,201.9,201.9,198.5,199.85,4899593.0,
2018-01-11,199.1,200.3,197.3,197.85,6921938.0,
2018-01-12,198.1,198.3,195.7,196.35,5294204.0,
2018-01-15,197.8,200.25,195.15,199.3,5603852.0,
2018-01-16,199.1,199.3,194.35,196.2,7428122.0,
2018-01-17,196.0,198.7,194.0,197.4,7319498.0,
2018-01-18,198.6,199.8,195.75,197.0,13839476.0,
2018-01-19,197.0,198.0,194.3,196.1,4546247.0,
2018-01-22,196.15,196.95,195.0,195.3,5531239.0,
2018-01-23,195.3,196.35,194.05,195.85,9075432.0,
2018-01-24,195.3,196.95,195.15,195.95,6222026.0,
2018-01-25,196.7,196.85,193.15,194.3,7393321.0,
2018-01-29,194.5,196.0,194.0,194.15,6189131.0,
2018-01-30,193.8,196.15,190.7,194.95,12839776.0,
2018-01-31,194.95,195.3,192.0,193.8,8084501.0,
