,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,190.5,191.65,186.65,188.0,94274.0,
2016-08-23,188.0,188.45,183.25,185.4,66177.0,
2016-08-24,186.35,186.35,182.25,184.85,134124.0,
2016-08-25,185.1,186.4,183.0,184.15,63618.0,
2016-08-26,184.9,186.3,182.0,182.2,38612.0,
2016-08-29,180.6,183.95,179.05,179.9,82093.0,
2016-08-30,180.3,182.9,175.0,176.35,155977.0,
2016-08-31,176.5,189.5,173.05,186.05,477504.0,
2016-09-01,184.0,190.0,180.25,187.7,199472.0,
2016-09-02,187.0,189.6,184.0,185.65,29054.0,
2016-09-06,189.9,204.5,189.0,202.45,386653.0,
2016-09-07,202.0,204.5,195.5,198.2,104429.0,
2016-09-08,197.95,209.9,197.95,208.7,404546.0,
2016-09-09,208.0,209.75,203.15,207.5,219170.0,
2016-09-12,203.15,207.0,196.65,203.45,117814.0,
2016-09-14,204.8,206.95,190.6,191.9,312055.0,
2016-09-15,191.0,191.25,180.2,181.1,323818.0,
2016-09-16,183.0,203.25,183.0,199.6,743790.0,
2016-09-19,199.8,202.85,195.5,196.85,266310.0,
2016-09-20,196.85,205.05,196.05,202.3,288723.0,
2016-09-21,205.0,208.75,201.0,203.8,491876.0,
2016-09-22,205.9,206.5,204.0,205.2,59825.0,
2016-09-23,205.2,223.8,203.6,217.2,1243060.0,
2016-09-26,215.7,215.8,199.2,200.1,396674.0,
2016-09-27,201.5,208.0,200.9,201.85,413296.0,
2016-09-28,203.0,205.5,198.15,200.0,131577.0,
2016-09-29,201.95,205.0,183.1,189.65,125224.0,
2016-09-30,189.65,197.0,189.65,192.2,86413.0,
2016-10-03,195.95,204.85,192.25,204.0,191420.0,
2016-10-04,204.0,205.8,200.0,201.3,72382.0,
2016-10-05,202.8,208.45,200.05,206.4,162193.0,
2016-10-06,208.4,213.35,205.0,207.2,231228.0,
2016-10-07,208.0,211.3,204.25,210.5,163736.0,
2016-10-10,210.55,210.8,202.1,203.65,59044.0,
2016-10-13,204.9,204.9,195.0,199.05,119309.0,
2016-10-14,199.05,206.8,197.9,203.65,280560.0,
2016-10-17,203.0,203.9,198.8,199.35,38288.0,
2016-10-18,202.0,210.4,185.0,193.5,8605119.0,
2016-10-19,195.4,196.95,186.8,188.9,490912.0,
2016-10-20,190.5,191.9,188.9,189.45,78696.0,
2016-10-21,190.0,190.95,187.7,190.3,49728.0,
2016-10-24,190.0,191.35,188.05,188.95,40958.0,
2016-10-25,188.95,193.75,185.0,192.4,161861.0,
2016-10-26,193.2,194.8,188.15,189.55,1154795.0,
2016-10-27,189.55,192.5,187.8,190.65,83685.0,
2016-10-28,190.0,194.8,189.25,193.9,161950.0,
2016-11-01,192.15,194.9,190.35,192.0,55895.0,
2016-11-02,191.85,191.85,186.0,186.55,45644.0,
2016-11-03,186.6,191.0,185.7,186.75,123082.0,
2016-11-04,189.5,189.5,180.6,181.3,47197.0,
2016-11-07,184.0,187.0,181.3,182.1,33899.0,
2016-11-08,184.85,184.9,180.65,183.3,42020.0,
2016-11-09,163.0,185.8,146.65,177.95,427258.0,
2016-11-10,177.95,182.85,170.1,171.45,185383.0,
2016-11-11,171.0,171.0,158.7,165.95,633236.0,
2016-11-15,166.8,166.8,154.95,156.95,1060773.0,
2016-11-16,160.6,162.45,156.35,158.7,126048.0,
2016-11-17,161.0,163.3,151.15,159.95,197812.0,
2016-11-18,158.0,160.0,153.0,154.45,397205.0,
2016-11-21,153.0,154.2,146.1,147.25,509755.0,
2016-11-22,150.0,160.4,147.55,157.45,227498.0,
2016-11-23,157.0,161.95,155.15,160.75,96999.0,
2016-11-24,160.3,160.85,155.6,157.5,770874.0,
2016-11-25,158.0,159.55,155.1,156.15,54800.0,
2016-11-28,156.95,158.55,154.65,156.1,124663.0,
2016-11-29,157.45,161.45,150.2,157.2,1462910.0,
2016-11-30,157.5,159.75,151.05,152.75,414583.0,
2016-12-01,153.2,154.95,150.35,151.15,69009.0,
2016-12-02,150.8,150.8,146.15,147.7,75092.0,
2016-12-05,147.1,149.9,144.0,145.25,832821.0,
2016-12-06,145.15,146.1,144.0,144.5,252436.0,
2016-12-07,146.4,151.9,146.0,149.2,210192.0,
2016-12-08,145.0,155.0,144.15,151.2,473532.0,
2016-12-09,152.95,154.9,151.75,152.85,297441.0,
2016-12-12,152.85,156.35,150.45,153.05,262618.0,
2016-12-13,154.5,159.4,152.85,158.45,134603.0,
2016-12-14,158.75,169.45,158.0,163.75,503141.0,
2016-12-15,162.95,170.4,160.0,167.95,346752.0,
2016-12-16,168.0,169.0,163.75,167.7,110293.0,
2016-12-19,166.05,169.65,164.15,165.15,56800.0,
2016-12-20,165.95,176.0,165.95,174.15,664196.0,
2016-12-21,174.15,177.6,169.05,173.05,236749.0,
2016-12-22,173.1,174.0,169.5,172.55,139079.0,
2016-12-23,169.0,175.25,169.0,171.95,313968.0,
2016-12-26,171.2,174.0,167.0,168.7,60848.0,
2016-12-27,168.5,169.95,163.15,165.45,26288.0,
2016-12-28,166.35,170.0,165.95,167.9,57746.0,
2016-12-29,167.05,172.75,166.1,169.0,318221.0,
2016-12-30,171.95,172.5,167.0,170.0,117009.0,
2017-01-02,173.9,176.0,167.2,169.0,148754.0,
2017-01-03,169.0,172.85,168.0,169.65,59930.0,
2017-01-04,169.65,172.5,169.65,171.2,103222.0,
2017-01-05,171.2,173.9,171.2,173.2,133863.0,
2017-01-06,173.0,175.5,170.75,172.3,34930.0,
2017-01-09,172.0,183.85,172.0,181.0,247595.0,
2017-01-10,182.0,184.3,174.0,178.05,174004.0,
2017-01-11,178.0,180.85,175.0,175.7,53401.0,
2017-01-12,178.55,178.55,173.75,174.45,25249.0,
2017-01-13,174.1,174.9,172.0,172.55,66946.0,
2017-01-16,172.9,175.0,170.55,171.25,60051.0,
2017-01-17,171.35,174.0,168.5,169.45,61562.0,
2017-01-18,170.35,170.35,164.0,165.55,117253.0,
2017-01-19,165.85,167.35,165.1,165.8,51673.0,
2017-01-20,164.3,170.0,162.0,163.0,206141.0,
2017-01-23,166.8,169.0,161.15,162.8,208532.0,
2017-01-24,165.95,168.1,164.05,166.1,170725.0,
2017-01-25,167.45,167.75,162.55,164.85,423852.0,
2017-01-27,166.3,166.3,156.6,160.05,565409.0,
2017-01-30,160.0,161.9,159.0,159.9,133604.0,
2017-01-31,160.3,167.9,155.95,165.55,304178.0,
2017-02-01,167.0,174.7,163.85,174.25,283689.0,
2017-02-02,174.3,175.55,170.55,171.45,169953.0,
2017-02-03,171.1,171.15,167.1,167.5,119875.0,
2017-02-06,168.05,174.9,168.05,172.9,123520.0,
2017-02-07,171.7,174.1,170.4,171.35,38322.0,
2017-02-08,173.95,177.95,171.2,176.45,473210.0,
