,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,231.6,234.65,228.65,232.4,4654167.0,
2016-08-23,231.5,234.1,229.95,231.85,3699007.0,
2016-08-24,231.5,234.5,231.4,233.1,2992279.0,
2016-08-25,233.8,237.1,230.2,231.25,7546429.0,
2016-08-26,232.25,234.7,229.1,230.45,3101227.0,
2016-08-29,230.9,230.9,224.4,227.45,2396216.0,
2016-08-30,228.25,229.5,226.5,227.05,2752565.0,
2016-08-31,227.4,239.4,227.2,238.35,5641392.0,
2016-09-01,238.5,244.7,236.05,238.55,4530134.0,
2016-09-02,239.0,241.0,237.0,240.15,1774556.0,
2016-09-06,241.3,243.3,240.3,242.1,1971053.0,
2016-09-07,242.8,243.5,238.3,239.7,4608114.0,
2016-09-08,240.6,244.95,240.5,244.2,2531943.0,
2016-09-09,244.45,245.8,240.0,241.65,3182478.0,
2016-09-12,237.7,237.8,226.1,226.85,5158950.0,
2016-09-14,227.0,231.7,227.0,230.95,3745604.0,
2016-09-15,230.55,232.1,227.6,230.0,1682230.0,
2016-09-16,231.4,235.75,231.05,232.7,6352343.0,
2016-09-19,233.2,237.35,231.7,236.05,6911820.0,
2016-09-20,236.75,240.75,236.2,239.25,4817121.0,
2016-09-21,239.9,243.55,239.3,241.05,4950237.0,
2016-09-22,243.25,248.45,243.2,247.55,5226742.0,
2016-09-23,247.0,252.0,245.7,249.2,4831767.0,
2016-09-26,250.25,252.95,248.1,249.25,6659954.0,
2016-09-27,251.35,251.4,242.0,244.25,8709831.0,
2016-09-28,120.6,123.4,119.85,122.15,8330442.0,
2016-09-29,124.5,124.5,115.05,116.85,13014500.0,
2016-09-30,116.0,120.7,115.7,120.3,8396600.0,
2016-10-03,121.6,124.4,120.75,123.9,4251909.0,
2016-10-04,124.5,130.5,123.7,129.35,7335093.0,
2016-10-05,130.9,134.5,129.1,133.9,9945886.0,
2016-10-06,134.3,134.65,130.0,131.35,8829256.0,
2016-10-07,131.1,133.5,129.9,131.25,3981421.0,
2016-10-10,131.6,133.4,130.3,131.8,3138374.0,
2016-10-13,131.25,135.0,127.8,130.1,12003483.0,
2016-10-14,130.8,132.6,128.5,130.5,4274475.0,
2016-10-17,131.0,133.1,129.55,131.9,6242175.0,
2016-10-18,132.05,134.85,132.05,134.6,4292518.0,
2016-10-19,135.0,137.2,134.1,135.8,5714013.0,
2016-10-20,136.8,137.8,135.0,135.75,3510383.0,
2016-10-21,136.3,140.0,134.0,139.25,4311292.0,
2016-10-24,139.95,140.9,136.6,137.5,3392963.0,
2016-10-25,137.3,137.9,135.05,137.2,2512649.0,
2016-10-26,135.75,137.2,133.0,134.1,3525701.0,
2016-10-27,133.5,136.4,129.55,135.2,5668233.0,
2016-10-28,135.9,136.0,132.65,134.9,1971018.0,
2016-11-01,134.95,135.75,131.55,132.0,3773857.0,
2016-11-02,129.5,130.9,127.4,127.85,3625398.0,
2016-11-03,126.85,129.55,125.05,125.55,2732187.0,
2016-11-04,125.1,125.4,119.5,123.95,6099812.0,
2016-11-07,125.0,128.15,124.95,125.9,3676582.0,
2016-11-08,126.4,127.65,124.8,125.4,3587160.0,
2016-11-09,116.5,130.9,112.9,128.8,9127959.0,
2016-11-10,131.0,138.5,130.75,137.0,7163499.0,
2016-11-11,134.9,137.95,132.05,133.0,5664498.0,
2016-11-15,133.9,134.55,124.65,125.6,8105246.0,
2016-11-16,128.0,130.0,124.7,126.05,3550109.0,
2016-11-17,126.8,132.5,126.25,129.05,7593954.0,
2016-11-18,130.55,133.65,129.25,132.5,4707121.0,
2016-11-21,133.75,133.8,125.15,126.0,5163148.0,
2016-11-22,127.3,130.9,126.35,129.45,6625490.0,
2016-11-23,130.7,134.85,128.5,133.15,4922643.0,
2016-11-24,131.9,134.0,129.25,132.45,9523075.0,
2016-11-25,133.4,139.9,132.9,138.4,7867682.0,
2016-11-28,139.1,139.5,134.55,135.9,5318495.0,
2016-11-29,136.25,139.0,135.6,136.15,3416629.0,
2016-11-30,136.9,140.95,136.2,136.9,13817370.0,
2016-12-01,138.5,138.6,135.1,135.7,3459995.0,
2016-12-02,134.5,135.95,131.8,132.35,3092430.0,
2016-12-05,131.6,134.25,130.4,133.4,3189097.0,
2016-12-06,133.5,135.2,132.7,133.05,2280446.0,
2016-12-07,132.05,134.7,130.1,130.95,5325575.0,
2016-12-08,131.9,134.25,131.9,133.15,2806269.0,
2016-12-09,133.8,136.8,133.65,135.0,6019317.0,
2016-12-12,135.65,135.7,131.35,132.25,2561548.0,
2016-12-13,132.4,134.35,131.05,133.1,5667175.0,
2016-12-14,133.45,133.5,130.0,130.3,2821684.0,
2016-12-15,127.85,133.2,127.85,131.1,3622928.0,
2016-12-16,131.0,131.7,128.5,128.9,2439878.0,
2016-12-19,129.0,131.25,127.5,129.05,2800457.0,
2016-12-20,129.5,130.9,127.0,128.8,3516848.0,
2016-12-21,131.0,131.8,129.5,129.9,4044644.0,
2016-12-22,129.6,129.95,126.25,127.3,3638749.0,
2016-12-23,127.3,127.4,121.65,122.75,5327698.0,
2016-12-26,122.0,122.0,117.0,117.4,5036489.0,
2016-12-27,117.25,119.15,114.85,118.75,6027505.0,
2016-12-28,118.55,123.4,118.55,120.45,4350621.0,
2016-12-29,120.8,124.9,120.0,122.75,14619851.0,
2016-12-30,123.1,125.85,122.6,124.85,4021627.0,
2017-01-02,124.85,126.3,123.4,124.55,3051333.0,
2017-01-03,124.9,128.6,124.4,126.4,3537427.0,
2017-01-04,126.9,127.5,124.25,124.55,2746554.0,
