,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,106.5,107.0,105.75,106.6,59633.0,
2016-08-23,106.45,106.6,105.7,106.0,37788.0,
2016-08-24,106.9,108.8,105.65,106.1,239665.0,
2016-08-25,108.45,108.45,106.5,107.95,162894.0,
2016-08-26,108.85,109.1,106.5,107.6,94283.0,
2016-08-29,107.65,107.75,106.0,106.8,67939.0,
2016-08-30,107.9,108.1,105.75,106.2,100453.0,
2016-08-31,106.85,107.0,106.05,106.4,51668.0,
2016-09-01,107.7,107.7,101.75,105.0,80702.0,
2016-09-02,105.05,108.8,105.05,107.55,73839.0,
2016-09-06,109.6,121.0,108.05,115.3,1096864.0,
2016-09-07,118.2,122.8,117.5,118.5,976713.0,
2016-09-08,120.0,121.0,117.0,117.85,548268.0,
2016-09-09,117.85,117.85,111.65,112.9,296591.0,
2016-09-12,112.5,116.0,111.4,113.2,568818.0,
2016-09-14,112.25,114.85,112.25,113.95,129466.0,
2016-09-15,115.9,119.0,112.85,113.95,957415.0,
2016-09-16,118.95,119.7,110.0,111.25,1857888.0,
2016-09-19,112.0,112.1,110.0,110.4,158055.0,
2016-09-20,111.0,111.0,108.0,108.3,156782.0,
2016-09-21,108.8,109.0,107.5,107.9,150028.0,
2016-09-22,109.7,109.9,107.65,108.05,201878.0,
2016-09-23,108.95,108.95,106.5,106.9,149461.0,
2016-09-26,106.75,107.45,105.2,105.85,121075.0,
2016-09-27,106.8,106.8,103.5,104.0,117379.0,
2016-09-28,105.0,105.9,104.0,104.85,110612.0,
2016-09-29,105.7,105.7,100.35,102.4,170428.0,
2016-09-30,102.4,104.95,101.0,103.4,86925.0,
2016-10-03,104.0,108.0,104.0,106.95,186575.0,
2016-10-04,107.75,109.15,105.95,108.05,89609.0,
2016-10-05,109.0,119.4,108.05,111.25,1800766.0,
2016-10-06,111.5,112.2,105.55,106.85,670194.0,
2016-10-07,109.5,110.75,106.5,108.25,2021630.0,
2016-10-10,109.6,109.6,105.25,105.8,315807.0,
2016-10-13,105.8,106.25,103.55,104.7,530049.0,
2016-10-14,104.6,105.9,103.4,103.7,219358.0,
2016-10-17,104.0,104.75,102.9,103.35,175589.0,
2016-10-18,104.35,106.5,102.8,103.5,460328.0,
2016-10-19,104.35,108.25,103.5,106.5,237466.0,
2016-10-20,107.4,107.85,105.75,106.8,124510.0,
2016-10-21,107.55,109.0,105.5,107.35,120103.0,
2016-10-24,107.6,108.9,106.25,107.95,84992.0,
2016-10-25,107.9,108.8,106.1,106.8,79661.0,
2016-10-26,107.6,107.6,104.65,105.2,72714.0,
2016-10-27,105.7,107.5,103.8,106.0,577028.0,
2016-10-28,106.05,107.5,103.8,105.05,192943.0,
2016-11-01,105.35,105.55,103.05,104.05,320834.0,
2016-11-02,104.05,104.1,101.0,102.35,74893.0,
2016-11-03,103.5,104.0,99.25,100.35,3123150.0,
2016-11-04,101.0,101.75,95.8,97.55,206101.0,
2016-11-07,99.05,100.8,98.55,100.2,118696.0,
2016-11-08,101.5,102.0,99.05,99.9,120272.0,
2016-11-09,94.6,100.7,82.05,99.6,335668.0,
2016-11-10,100.0,101.15,97.8,98.15,234774.0,
2016-11-11,98.0,98.35,95.0,95.55,173302.0,
2016-11-15,95.3,95.95,91.0,94.05,161852.0,
2016-11-16,93.0,97.0,92.9,95.8,206986.0,
2016-11-17,95.5,97.4,93.05,95.05,120493.0,
2016-11-18,96.5,97.0,93.3,95.7,87248.0,
2016-11-21,96.05,96.2,86.95,91.05,1250050.0,
2016-11-22,92.15,93.1,86.75,92.75,662628.0,
2016-11-23,94.0,95.9,88.2,91.95,691380.0,
2016-11-24,92.85,95.2,90.2,92.4,80614.0,
2016-11-25,94.3,94.3,92.05,92.9,41548.0,
2016-11-28,94.9,95.0,93.25,93.95,42770.0,
2016-11-29,94.85,95.7,91.3,92.75,76246.0,
2016-11-30,93.95,99.45,93.0,97.9,346925.0,
2016-12-01,99.0,99.0,95.1,95.45,57689.0,
2016-12-02,95.0,96.25,94.05,94.65,62704.0,
2016-12-05,96.8,96.95,92.75,93.1,43060.0,
2016-12-06,94.6,94.6,90.3,91.6,83429.0,
2016-12-07,93.35,93.45,90.8,91.0,87582.0,
2016-12-08,91.9,92.75,90.6,91.45,234325.0,
2016-12-09,91.95,92.9,90.4,92.35,111805.0,
