,Open,High,Low,Close,Volume,DeliveryPct
2021-07-22,324.9,328.0,320.35,322.4,86577.0,62.35
2021-07-23,322.4,328.0,322.3,322.85,39196.0,59.44
2021-07-26,327.0,346.5,327.0,334.3,307989.0,46.09
2021-07-27,340.0,345.0,333.3,336.9,110926.0,50.51
2021-07-28,338.5,341.05,326.1,329.7,73632.0,53.18
2021-07-29,333.0,344.1,333.0,340.65,109842.0,57.19
2021-07-30,340.45,354.65,336.85,351.15,279668.0,57.95
2021-08-02,355.0,374.9,351.15,368.55,570576.0,43.79
2021-08-03,370.85,377.65,365.65,370.35,215394.0,56.64
2021-08-04,373.85,392.5,373.4,386.1,606290.0,47.43
2021-08-05,386.9,389.95,365.2,371.75,241943.0,46.17
2021-08-06,368.3,383.0,368.3,373.45,107701.0,41.18
2021-08-09,374.85,387.25,374.0,379.95,150356.0,48.73
2021-08-10,381.4,381.4,346.1,353.45,235874.0,52.64
2021-08-11,349.95,379.9,331.5,372.7,392023.0,31.82
2021-08-12,376.45,376.45,355.15,363.2,132761.0,42.61
2021-08-13,367.95,374.95,365.05,366.85,114778.0,36.92
2021-08-16,367.0,373.0,354.0,358.75,51828.0,53.0
2021-08-17,359.0,367.0,347.0,353.25,61436.0,52.04
2021-08-18,354.9,359.55,342.1,345.35,83772.0,43.4
2021-08-19,354.9,359.55,342.1,345.35,83772.0,43.4
2021-08-20,340.0,346.65,335.0,341.85,82733.0,56.42
2021-08-23,348.85,354.0,330.1,330.85,122857.0,47.89
2021-08-24,333.0,351.9,330.1,344.0,93579.0,41.63
2021-08-25,353.9,359.95,348.65,354.55,84820.0,48.22
2021-08-26,356.6,371.0,345.25,360.95,229905.0,35.9
2021-08-27,361.0,369.75,355.1,367.95,136137.0,34.79
2021-08-30,371.9,375.0,365.1,367.6,87182.0,53.08
2021-08-31,369.05,372.9,361.2,362.9,60231.0,54.34
2021-09-01,366.5,369.55,357.1,364.8,70513.0,44.06
2021-09-02,370.0,370.0,366.5,367.85,62489.0,66.24
2021-09-03,366.0,375.0,365.45,369.6,85016.0,58.21
2021-09-06,373.4,373.4,360.65,362.35,70173.0,66.21
2021-09-07,362.35,366.3,360.5,361.95,51887.0,63.4
2021-09-08,364.9,366.0,357.65,361.95,53453.0,41.05
2021-09-09,364.4,371.8,362.0,369.15,64565.0,61.31
2021-09-10,364.4,371.8,362.0,369.15,64565.0,61.31
2021-09-13,369.15,394.0,365.1,387.45,397776.0,35.4
2021-09-14,397.8,407.0,391.6,400.45,441277.0,35.97
2021-09-15,403.9,406.75,387.95,390.95,136876.0,44.67
2021-09-16,391.85,395.5,381.6,385.0,89381.0,42.42
2021-09-17,387.9,388.7,368.85,372.4,106001.0,45.62
2021-09-20,370.75,380.0,361.6,363.35,103799.0,45.73
2021-09-21,364.0,368.95,348.0,355.9,117411.0,53.94
2021-09-22,356.0,369.0,354.0,361.85,111222.0,45.99
2021-09-23,367.4,368.5,358.25,359.55,73710.0,49.4
2021-09-24,361.0,365.5,356.0,357.15,90135.0,63.48
2021-09-27,356.5,361.9,349.15,350.75,85231.0,64.49
2021-09-28,354.6,360.2,348.95,351.5,232478.0,47.75
2021-09-29,350.45,366.0,350.0,356.35,153362.0,46.1
2021-09-30,358.9,363.25,351.55,354.8,76524.0,64.37
2021-10-01,354.0,359.3,350.45,356.5,47995.0,53.97
2021-10-04,356.0,359.4,351.55,355.1,107606.0,52.31
2021-10-05,355.8,363.55,355.15,358.3,71083.0,61.55
2021-10-06,362.1,384.95,360.0,374.3,349140.0,50.95
2021-10-07,376.0,381.0,364.65,368.5,171998.0,39.93
2021-10-08,370.5,374.25,365.25,367.05,57419.0,53.06
2021-10-11,368.95,372.95,350.0,353.5,154577.0,53.49
2021-10-12,357.4,363.05,355.0,358.4,52080.0,52.97
2021-10-13,359.0,364.0,356.0,357.45,86031.0,58.19
2021-10-14,358.15,361.9,352.1,355.55,73375.0,54.12
2021-10-15,358.15,361.9,352.1,355.55,73375.0,54.12
