,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,52.25,52.55,51.45,52.1,1707295.0,
2016-08-23,51.95,52.95,51.85,52.65,2905939.0,
2016-08-24,53.4,53.45,52.75,53.15,3057159.0,
2016-08-25,53.1,53.7,52.0,52.3,4346560.0,
2016-08-26,52.3,52.8,51.5,52.4,3926844.0,
2016-08-29,52.2,53.2,51.9,53.0,2791925.0,
2016-08-30,53.45,53.45,52.9,53.15,2358954.0,
2016-08-31,53.15,54.0,52.85,53.25,4827669.0,
2016-09-01,53.25,53.7,50.9,51.15,4597744.0,
2016-09-02,51.4,52.1,51.0,51.85,2771016.0,
2016-09-06,52.1,52.6,52.0,52.25,1711506.0,
2016-09-07,52.3,53.1,51.95,52.7,2994991.0,
2016-09-08,52.7,53.4,52.6,53.15,2513600.0,
2016-09-09,53.35,54.2,53.15,53.5,4358394.0,
2016-09-12,53.25,53.25,50.85,51.5,5447166.0,
2016-09-14,51.35,53.0,51.35,52.8,3634756.0,
2016-09-15,52.9,53.3,52.0,52.2,2127237.0,
2016-09-16,52.9,53.15,51.5,51.75,4705196.0,
2016-09-19,52.0,52.1,51.4,51.8,1896968.0,
2016-09-20,51.8,52.0,51.35,51.5,1227429.0,
2016-09-21,51.65,51.85,50.9,51.1,1641784.0,
2016-09-22,51.7,52.0,51.35,51.8,1609815.0,
2016-09-23,51.95,52.6,51.5,51.8,3101198.0,
2016-09-26,51.7,52.0,51.0,51.25,1654179.0,
2016-09-27,51.45,51.95,51.05,51.15,1662148.0,
2016-09-28,51.25,51.85,51.0,51.45,2795266.0,
2016-09-29,51.6,51.9,46.35,46.85,5530064.0,
2016-09-30,46.7,47.85,46.2,47.65,4153675.0,
2016-10-03,48.0,48.8,47.55,48.65,2957616.0,
2016-10-04,48.7,48.8,48.2,48.65,1786439.0,
2016-10-05,48.8,49.3,48.4,48.6,1888644.0,
2016-10-06,48.65,49.2,47.7,47.95,2638597.0,
2016-10-07,47.8,48.4,47.55,48.05,2766404.0,
2016-10-10,48.2,48.65,47.9,48.05,958112.0,
2016-10-13,47.95,47.95,46.25,46.6,3896558.0,
2016-10-14,46.8,47.35,46.65,47.1,1514652.0,
2016-10-17,47.15,47.5,46.1,46.5,1816838.0,
2016-10-18,46.8,47.45,46.6,47.3,1863294.0,
2016-10-19,47.35,47.95,47.2,47.85,1918580.0,
2016-10-20,48.05,48.8,47.8,48.7,3841798.0,
2016-10-21,48.5,48.65,48.15,48.4,1050630.0,
2016-10-24,48.6,49.1,48.0,48.45,1936845.0,
2016-10-25,48.45,48.7,47.9,48.15,1124538.0,
2016-10-26,47.8,48.5,47.4,47.6,2010347.0,
2016-10-27,47.5,47.7,46.6,46.8,8675372.0,
2016-10-28,46.85,47.35,46.8,47.1,1677134.0,
2016-11-01,47.15,47.7,46.85,47.1,1537950.0,
2016-11-02,46.7,46.8,46.0,46.15,2878282.0,
2016-11-03,46.05,46.55,45.5,45.8,2141163.0,
2016-11-04,45.8,45.9,43.8,43.95,3824770.0,
2016-11-07,44.65,44.75,44.3,44.55,1279823.0,
2016-11-08,44.7,45.3,44.35,44.7,3103752.0,
2016-11-09,41.95,43.1,40.2,42.8,7239558.0,
2016-11-10,44.0,44.75,43.55,44.4,2176892.0,
2016-11-11,43.0,44.05,43.0,43.3,3006254.0,
2016-11-15,43.0,43.3,41.0,41.3,3277494.0,
2016-11-16,41.65,42.5,40.2,40.4,2535915.0,
2016-11-17,40.55,40.8,40.15,40.3,2124207.0,
2016-11-18,40.7,40.85,40.0,40.5,1770326.0,
2016-11-21,40.55,40.85,39.3,39.5,2493475.0,
2016-11-22,39.85,40.05,38.9,39.4,2859753.0,
2016-11-23,39.8,39.95,39.15,39.6,2122460.0,
2016-11-24,39.4,41.5,38.05,38.65,7200643.0,
2016-11-25,38.65,39.5,38.45,39.4,2591668.0,
2016-11-28,39.4,40.75,39.3,40.6,2883757.0,
2016-11-29,40.75,41.55,40.6,41.2,2298980.0,
2016-11-30,41.25,41.75,41.15,41.7,1309869.0,
2016-12-01,41.75,42.15,40.3,40.45,2817487.0,
2016-12-02,40.4,41.7,40.05,41.0,2657811.0,
2016-12-05,41.4,41.8,40.45,41.4,2609221.0,
2016-12-06,41.4,42.35,40.7,42.1,2221809.0,
2016-12-07,42.25,43.05,41.8,42.05,2686894.0,
2016-12-08,42.35,43.0,42.35,42.6,2163511.0,
2016-12-09,43.1,43.2,42.5,42.85,2176018.0,
2016-12-12,42.8,42.8,42.05,42.35,1505734.0,
2016-12-13,42.4,42.55,42.1,42.25,1263305.0,
2016-12-14,42.15,42.55,41.7,41.9,1854272.0,
2016-12-15,41.3,42.55,41.15,42.25,2507072.0,
2016-12-16,42.35,42.35,41.5,41.7,1681705.0,
2016-12-19,41.7,43.2,41.5,42.75,3049194.0,
2016-12-20,42.95,42.95,41.3,41.5,1908726.0,
2016-12-21,41.8,42.75,41.6,42.25,2512578.0,
2016-12-22,42.0,42.35,41.2,41.4,1407230.0,
2016-12-23,41.2,41.7,40.75,41.2,2144736.0,
2016-12-26,40.9,41.2,39.35,39.5,2276395.0,
2016-12-27,39.5,40.2,39.2,40.1,1225922.0,
2016-12-28,40.1,40.7,39.95,40.1,1476993.0,
2016-12-29,40.0,40.65,40.0,40.4,3683573.0,
2016-12-30,40.7,42.0,40.5,41.2,2041852.0,
2017-01-02,41.2,42.05,41.1,41.9,1391461.0,
2017-01-03,41.95,42.2,41.7,41.95,1437898.0,
2017-01-04,42.0,42.6,41.9,42.45,2349076.0,
2017-01-05,42.75,43.4,42.35,43.3,2061124.0,
2017-01-06,43.35,44.25,43.15,43.9,2511536.0,
2017-01-09,44.0,44.25,43.4,43.8,1486066.0,
2017-01-10,44.1,44.15,43.6,43.9,1259294.0,
2017-01-11,44.0,44.65,43.8,44.5,2132310.0,
2017-01-12,44.5,45.75,43.95,45.25,4787636.0,
2017-01-13,46.0,46.0,44.55,44.8,2377747.0,
2017-01-16,44.8,44.8,44.2,44.35,1084101.0,
2017-01-17,44.2,44.7,43.6,44.05,1798045.0,
2017-01-18,44.15,44.65,43.95,44.2,1302154.0,
2017-01-19,44.3,44.55,43.8,44.45,1413122.0,
2017-01-20,44.4,44.7,43.25,43.5,1888953.0,
2017-01-23,43.2,44.0,43.2,43.7,969117.0,
2017-01-24,43.8,44.15,43.7,44.05,801093.0,
2017-01-25,44.15,44.3,43.65,44.0,1743082.0,
2017-01-27,44.1,45.2,43.95,44.45,2889389.0,
2017-01-30,44.1,46.4,43.95,45.55,4263459.0,
2017-01-31,45.5,46.2,44.6,44.8,4653422.0,
2017-02-01,44.8,45.5,43.7,45.3,3598038.0,
2017-02-02,45.3,45.6,44.85,45.1,2518346.0,
2017-02-03,45.0,47.15,44.95,46.1,4307925.0,
2017-02-06,46.7,46.7,46.05,46.5,1858041.0,
2017-02-07,46.5,46.7,45.45,45.9,2909521.0,
2017-02-08,46.25,46.4,45.65,46.05,2607091.0,
2017-02-09,46.4,46.7,45.15,45.65,2981693.0,
2017-02-10,45.7,46.1,45.1,45.3,1572246.0,
2017-02-13,45.3,45.6,43.3,43.95,3900453.0,
2017-02-14,43.9,44.35,43.55,44.15,2209648.0,
2017-02-15,44.1,44.2,42.75,43.0,1871988.0,
2017-02-16,43.0,43.55,42.65,43.4,1534952.0,
2017-02-17,43.55,44.3,43.35,44.0,1946091.0,
2017-02-20,44.1,45.1,43.95,44.95,1758219.0,
2017-02-21,45.05,45.4,44.55,45.2,1778336.0,
2017-02-22,45.2,46.9,45.2,46.15,5417573.0,
2017-02-23,46.05,46.6,45.65,46.0,5593316.0,
2017-02-27,46.0,47.8,45.9,46.7,5205337.0,
2017-02-28,46.75,47.9,46.5,47.5,3826823.0,
2017-03-01,47.6,47.85,47.2,47.4,1775110.0,
2017-03-02,47.5,47.7,45.7,45.85,2034005.0,
2017-03-03,45.6,46.25,45.45,46.15,1688479.0,
2017-03-06,46.25,47.15,46.05,46.9,1937233.0,
2017-03-07,47.6,48.85,47.3,47.5,5998354.0,
2017-03-08,47.55,47.75,46.0,46.15,2546286.0,
2017-03-09,46.05,46.45,45.6,45.95,2072085.0,
2017-03-10,46.1,47.15,46.0,46.2,3422791.0,
2017-03-14,47.9,47.9,46.85,47.05,3594810.0,
2017-03-15,47.1,47.6,46.75,46.85,2304834.0,
2017-03-16,47.25,48.9,47.15,48.7,5026949.0,
2017-03-17,48.7,48.9,47.4,47.8,3383195.0,
2017-03-20,47.8,48.6,47.5,48.15,3026617.0,
2017-03-21,48.3,48.45,47.5,47.95,2839730.0,
2017-03-22,47.3,47.75,47.05,47.25,1800909.0,
2017-03-23,47.3,48.3,47.3,47.95,2906939.0,
2017-03-24,48.15,48.65,48.0,48.15,3452917.0,
2017-03-27,48.1,48.15,47.25,47.6,2002305.0,
2017-03-28,47.6,48.35,47.6,47.9,1911528.0,
2017-03-29,48.5,48.5,47.85,48.0,2061881.0,
2017-03-30,48.25,48.25,47.6,47.75,11573416.0,
2017-03-31,48.05,48.35,47.9,48.1,2207780.0,
2017-04-03,48.3,50.15,48.15,49.75,6926598.0,
2017-04-05,50.0,50.8,49.8,50.25,4857594.0,
2017-04-06,50.0,50.15,49.55,49.9,2275201.0,
2017-04-07,49.7,50.3,48.7,48.9,2618529.0,
2017-04-10,49.45,49.55,48.7,49.0,2536457.0,
2017-04-11,49.25,49.75,48.0,49.4,5018228.0,
2017-04-12,49.4,49.4,47.75,48.0,2946445.0,
2017-04-13,48.0,48.4,47.15,47.45,3371387.0,
2017-04-17,48.2,48.5,47.05,47.85,5181770.0,
2017-04-18,48.0,49.25,46.6,46.95,4528301.0,
2017-04-19,46.8,47.5,46.5,47.0,2364779.0,
2017-04-20,47.15,47.4,45.45,47.3,4889896.0,
2017-04-21,47.35,48.0,47.05,47.25,2339950.0,
2017-04-24,47.35,50.45,47.15,49.7,9881411.0,
2017-04-25,50.0,50.25,48.8,49.1,3620302.0,
2017-04-26,49.2,50.1,48.15,48.75,4403180.0,
2017-04-27,48.75,49.1,48.25,48.8,3106178.0,
2017-04-28,48.9,49.65,48.8,48.9,3170144.0,
2017-05-02,49.1,49.2,48.1,48.35,2309365.0,
2017-05-03,48.4,48.95,47.65,48.05,2490111.0,
2017-05-04,48.2,48.45,47.55,47.7,2493584.0,
2017-05-05,47.9,48.0,45.8,46.2,4385085.0,
2017-05-08,46.5,46.95,46.1,46.8,1959107.0,
2017-05-09,47.05,47.75,46.75,47.55,2361536.0,
2017-05-10,47.75,48.05,47.4,47.7,1883640.0,
2017-05-11,48.0,48.05,47.0,47.05,1590400.0,
2017-05-12,47.45,47.6,46.55,46.7,1790720.0,
2017-05-15,46.85,46.95,46.5,46.7,1431646.0,
2017-05-16,46.8,48.0,46.8,47.35,2737326.0,
2017-05-17,47.4,48.5,47.25,47.5,5712304.0,
2017-05-18,47.0,47.4,46.2,46.5,3233234.0,
2017-05-19,46.8,47.2,45.8,46.3,3111518.0,
2017-05-22,46.55,46.95,45.75,45.9,2247079.0,
2017-05-23,45.9,46.0,44.0,44.2,4441477.0,
2017-05-24,44.3,44.6,41.45,41.9,7011989.0,
2017-05-25,42.4,42.9,41.55,42.35,3784082.0,
2017-05-26,42.45,43.75,42.3,43.6,3051866.0,
2017-05-29,43.55,43.7,39.45,39.9,10848525.0,
2017-05-30,39.75,41.4,39.0,40.6,5656363.0,
2017-05-31,40.9,41.45,39.7,41.3,10834552.0,
2017-06-01,41.3,41.7,40.7,40.9,4852018.0,
2017-06-02,41.3,41.6,40.75,41.0,2953185.0,
2017-06-05,41.05,42.45,41.05,41.25,3020566.0,
2017-06-06,41.3,41.5,39.6,40.15,2728271.0,
2017-06-07,40.0,40.65,39.9,40.45,1911629.0,
2017-06-08,40.45,40.55,40.0,40.15,1435271.0,
2017-06-09,40.15,40.3,39.8,40.0,1743005.0,
2017-06-12,40.0,40.6,39.8,40.4,1687922.0,
2017-06-13,40.4,41.0,40.25,40.45,1854374.0,
2017-06-14,40.65,40.65,39.7,40.15,3061655.0,
2017-06-15,40.15,40.6,39.9,40.35,2018794.0,
2017-06-16,40.5,40.75,40.0,40.1,1746374.0,
2017-06-19,40.2,40.45,40.05,40.1,1171747.0,
2017-06-20,40.25,40.4,39.8,40.1,1007667.0,
2017-06-21,40.05,40.9,39.9,40.7,2116579.0,
2017-06-22,40.85,41.5,40.5,40.7,2934117.0,
2017-06-23,40.7,41.05,39.75,40.6,2812015.0,
2017-06-27,40.4,41.4,39.95,41.1,3047240.0,
2017-06-28,40.65,42.5,40.65,42.35,4145062.0,
2017-06-29,42.35,43.4,41.85,43.0,3693108.0,
2017-06-30,42.9,43.05,42.2,42.55,2158616.0,
2017-07-03,42.1,43.35,42.1,42.5,2079094.0,
2017-07-04,42.55,42.95,41.85,42.1,2419965.0,
2017-07-05,42.05,42.75,41.85,42.45,1809627.0,
2017-07-06,42.45,43.15,42.35,42.7,2296673.0,
2017-07-07,42.65,43.2,42.4,42.9,2488339.0,
2017-07-10,43.0,44.15,42.0,43.85,857964.0,
2017-07-11,44.0,44.4,43.5,43.65,2369929.0,
2017-07-12,43.5,44.4,43.45,44.2,3239584.0,
2017-07-13,44.35,44.55,43.6,43.8,2058048.0,
2017-07-14,43.9,44.95,43.6,44.4,5025678.0,
2017-07-17,44.2,44.55,44.05,44.15,1718117.0,
