,Open,High,Low,Close,Volume,DeliveryPct
2019-04-11,19.0,19.8,18.65,19.05,89144982.0,
2019-04-12,19.3,19.9,19.2,19.75,29799546.0,
2019-04-15,20.0,23.7,19.9,23.65,80684771.0,
2019-04-16,24.5,26.95,24.2,25.6,98193853.0,
2019-04-18,26.35,26.85,25.15,26.15,49134384.0,
2019-04-22,26.25,26.4,24.3,24.6,27638075.0,
2019-04-23,24.5,24.65,23.0,23.25,23479783.0,
2019-04-24,23.45,24.2,23.35,23.7,10435909.0,
2019-04-25,23.95,24.15,23.2,23.5,9656994.0,
2019-04-26,23.5,23.65,22.95,23.05,7087998.0,
2019-04-30,23.05,23.05,21.2,22.05,12865523.0,
2019-05-02,22.05,24.45,22.05,23.9,21855261.0,
2019-05-03,24.2,24.35,23.1,23.15,7641982.0,
2019-05-06,22.75,23.1,22.2,22.7,4701329.0,
2019-05-07,23.2,23.55,22.7,22.8,4706773.0,
2019-05-08,22.7,23.0,22.5,22.6,4409931.0,
2019-05-09,22.5,23.2,22.5,22.8,5263687.0,
2019-05-10,23.0,23.1,22.6,22.7,3917012.0,
2019-05-13,22.8,22.9,21.85,22.0,6530467.0,
2019-05-14,21.3,22.0,21.3,21.85,4430457.0,
2019-05-15,21.9,22.4,21.75,21.85,2788664.0,
2019-05-16,22.0,22.05,21.5,21.75,2618948.0,
2019-05-17,21.7,22.4,21.45,22.1,4058030.0,
2019-05-20,24.2,24.5,22.8,23.9,10019136.0,
2019-05-21,24.0,24.1,23.1,23.35,3911699.0,
2019-05-22,23.15,24.0,22.9,23.9,4219518.0,
2019-05-23,24.5,25.2,23.5,23.75,13788157.0,
2019-05-24,24.15,26.0,23.55,25.6,24360607.0,
2019-05-27,26.0,28.05,25.75,27.8,35706613.0,
2019-05-28,28.2,29.9,27.4,29.0,40083414.0,
2019-05-29,29.2,29.75,27.55,28.75,25180226.0,
2019-05-30,29.0,29.5,27.7,28.3,15230422.0,
2019-05-31,28.15,28.2,26.55,27.0,16861938.0,
2019-06-03,26.9,27.0,25.85,26.25,10780479.0,
2019-06-04,26.2,28.35,25.7,27.65,29326652.0,
2019-06-06,27.9,28.35,27.35,27.85,16563302.0,
2019-06-07,28.15,28.3,27.15,27.45,8855839.0,
2019-06-10,27.5,27.85,26.4,26.75,8182783.0,
2019-06-11,26.75,26.85,26.0,26.15,7696976.0,
2019-06-12,26.2,26.75,25.85,25.9,6350179.0,
2019-06-13,25.95,26.3,25.75,25.9,4674283.0,
2019-06-14,25.95,26.9,25.95,26.75,8008344.0,
2019-06-17,26.95,27.4,26.5,26.9,6580348.0,
2019-06-18,27.0,27.25,26.5,26.75,5220986.0,
2019-06-19,26.85,27.1,25.8,26.05,6136025.0,
2019-06-20,26.05,26.8,25.6,26.25,5343371.0,
2019-06-21,26.45,26.75,26.2,26.4,4526851.0,
2019-06-24,26.4,26.5,25.9,26.1,3136463.0,
2019-06-25,26.05,26.25,25.9,26.15,2174486.0,
2019-06-26,26.1,27.0,25.95,26.55,5669820.0,
2019-06-27,26.65,27.9,26.6,27.65,10775034.0,
2019-06-28,28.0,28.2,27.5,27.8,6937627.0,
2019-07-01,28.05,28.15,27.65,27.8,4765023.0,
2019-07-02,27.8,27.9,27.15,27.75,4364940.0,
2019-07-03,27.75,28.85,27.7,28.55,10745849.0,
2019-07-04,28.7,28.95,28.1,28.3,8082229.0,
2019-07-05,28.35,28.6,26.8,27.0,14461450.0,
2019-07-08,26.75,26.75,25.8,26.25,6552058.0,
2019-07-09,25.8,26.9,25.8,26.65,4607745.0,
2019-07-10,26.65,26.8,26.0,26.2,2607539.0,
2019-07-11,26.35,26.55,26.15,26.35,2241893.0,
2019-07-12,26.35,26.4,25.8,26.05,3020307.0,
2019-07-15,26.15,26.2,25.55,25.6,3498001.0,
2019-07-16,25.55,25.65,24.9,25.15,4012423.0,
2019-07-17,25.25,25.5,25.0,25.25,1991908.0,
2019-07-18,25.35,25.35,24.6,24.7,2634274.0,
2019-07-19,24.75,25.25,24.05,24.1,3502811.0,
2019-07-22,24.0,24.4,23.5,24.15,3403335.0,
2019-07-23,24.4,24.75,23.7,23.75,2808690.0,
2019-07-24,23.75,24.05,23.65,23.75,2558042.0,
2019-07-25,23.75,24.15,23.7,24.0,2675122.0,
2019-07-26,24.0,24.2,23.8,23.95,2187581.0,
2019-07-29,24.0,24.05,23.65,23.7,1379247.0,
2019-07-30,23.65,23.9,22.35,22.5,3643069.0,
2019-07-31,22.4,23.75,22.1,23.4,4032996.0,
2019-08-01,23.4,24.15,23.3,23.8,3419089.0,
2019-08-02,23.8,24.2,23.35,23.9,1974989.0,
2019-08-05,23.9,23.9,22.9,23.5,2115108.0,
2019-08-06,23.3,24.1,23.1,23.85,1423049.0,
2019-08-07,23.85,24.1,23.55,23.7,1307704.0,
2019-08-08,24.0,24.7,23.55,24.35,3927902.0,
2019-08-09,24.5,26.4,24.5,26.0,8740461.0,
2019-08-13,26.25,26.3,24.55,24.7,2552382.0,
2019-08-14,24.95,24.95,24.2,24.55,1097841.0,
2019-08-16,24.35,24.85,24.05,24.6,1303815.0,
2019-08-19,24.4,24.75,24.3,24.4,1042617.0,
2019-08-20,24.5,24.7,23.9,24.3,1463235.0,
