,Open,High,Low,Close,Volume,DeliveryPct
2024-07-26,165.6,167.99,165.01,166.84,2393031.0,50.68
2024-07-29,167.7,171.4,167.7,169.17,4699289.0,47.66
2024-07-30,169.45,177.25,168.81,176.36,11554301.0,49.69
2024-07-31,177.25,178.75,173.64,174.27,5361702.0,43.79
2024-08-01,175.25,175.25,169.9,170.23,3228875.0,53.1
2024-08-02,168.25,168.88,164.6,166.35,4253405.0,46.38
2024-08-05,162.01,163.85,156.98,158.11,5932555.0,48.73
2024-08-06,160.0,163.05,154.1,154.9,4300990.0,46.86
2024-08-07,158.0,161.1,155.9,160.56,3290503.0,38.88
2024-08-08,161.3,162.37,159.2,160.2,2464642.0,38.23
2024-08-09,161.6,163.0,159.1,160.22,2119759.0,45.1
2024-08-12,160.0,161.03,157.11,160.3,2641187.0,36.13
2024-08-13,162.05,162.8,155.0,155.37,4916746.0,50.2
2024-08-14,156.9,159.29,152.01,152.76,6093501.0,40.19
2024-08-15,156.9,159.29,152.01,152.76,6093501.0,40.19
2024-08-16,154.4,157.25,153.0,153.34,3251237.0,44.66
2024-08-19,154.2,163.35,153.8,161.49,8422158.0,40.45
2024-08-20,162.5,173.4,161.17,170.56,19134016.0,35.26
2024-08-21,170.89,176.0,170.88,174.5,12501035.0,43.67
2024-08-22,176.0,179.3,174.65,176.64,8810552.0,39.53
2024-08-23,176.64,177.3,169.55,170.5,7105442.0,56.24
2024-08-26,170.11,170.8,165.5,167.52,5287138.0,46.01
2024-08-27,168.25,168.6,165.85,167.41,4166955.0,43.3
2024-08-28,168.25,168.69,163.22,164.26,3887359.0,49.34
2024-08-29,164.7,165.45,160.8,162.58,3427735.0,39.49
2024-08-30,163.4,164.9,161.1,161.79,3239660.0,49.0
2024-09-02,162.6,162.99,158.75,160.94,4339688.0,48.74
2024-09-03,161.35,164.6,160.0,160.67,4793532.0,44.23
2024-09-04,159.0,163.45,158.8,159.78,5577480.0,41.81
2024-09-05,161.0,168.01,160.95,167.31,8182127.0,41.71
2024-09-06,167.99,167.99,161.02,161.83,5145067.0,40.04
2024-09-09,161.5,161.82,157.51,160.19,4434292.0,36.72
2024-09-10,160.7,163.8,160.7,162.36,3175642.0,42.15
2024-09-11,160.4,163.15,156.4,156.99,5454872.0,54.39
2024-09-12,158.56,161.69,156.37,161.01,5674413.0,37.72
2024-09-13,161.99,173.12,160.75,168.41,19634376.0,33.65
2024-09-16,169.8,171.0,163.25,163.59,6894987.0,44.59
2024-09-17,164.1,166.32,162.56,164.29,6246845.0,41.88
2024-09-18,165.0,165.0,160.5,161.54,4224837.0,45.56
2024-09-19,162.4,163.44,156.41,158.18,6240007.0,43.54
2024-09-20,158.18,164.01,158.0,163.44,6075696.0,52.32
2024-09-23,165.0,168.6,164.05,165.26,7453975.0,49.65
2024-09-24,165.31,172.7,164.8,171.13,12791569.0,46.82
2024-09-25,171.13,172.45,168.59,171.53,7968136.0,54.1
2024-09-26,172.5,174.0,166.55,167.19,6823424.0,43.86
2024-09-27,167.5,168.1,165.2,166.87,4570888.0,47.97
2024-09-30,165.0,165.84,161.48,162.89,8285406.0,64.59
2024-10-01,163.1,164.34,161.8,162.11,3192516.0,48.06
2024-10-02,163.1,164.34,161.8,162.11,3192516.0,48.06
2024-10-03,160.0,160.9,158.2,159.48,6472880.0,53.69
2024-10-04,160.0,161.04,156.0,157.51,4979699.0,32.69
2024-10-07,158.75,159.4,147.12,148.8,9410911.0,46.45
2024-10-08,148.8,151.63,146.46,150.38,5688563.0,39.31
2024-10-09,151.4,156.05,150.5,151.15,4134915.0,42.59
2024-10-10,152.6,155.09,151.6,152.62,3882555.0,39.38
2024-10-11,153.5,154.94,152.0,154.01,3562732.0,35.23
2024-10-14,154.0,154.32,150.41,150.97,3329890.0,49.04
2024-10-15,151.4,151.89,147.8,148.4,4481488.0,47.12
2024-10-16,148.21,149.11,146.2,146.74,4628210.0,52.86
2024-10-17,147.21,148.25,139.67,140.82,7802755.0,53.25
2024-10-18,140.0,144.68,136.57,144.12,10540814.0,42.99
2024-10-21,144.95,145.4,141.21,142.18,4619835.0,42.42
2024-10-22,142.1,142.74,132.3,133.15,7419161.0,47.1
2024-10-23,133.99,140.7,131.13,138.98,8819353.0,34.42
2024-10-24,140.3,142.36,137.26,139.13,3859068.0,31.78
2024-10-25,140.0,140.49,134.01,135.0,4942431.0,38.55
2024-10-28,136.0,141.88,134.33,140.29,4659089.0,34.13
2024-10-29,139.5,143.91,139.5,143.2,4790596.0,45.97
2024-10-30,143.2,146.37,142.0,145.64,3370976.0,40.59
2024-10-31,145.0,146.41,143.17,144.22,2330188.0,39.9
2024-11-01,144.22,145.9,144.19,145.25,538893.0,60.44
2024-11-04,145.39,145.45,139.78,142.0,2964101.0,39.97
2024-11-05,141.1,143.95,141.0,143.48,2511442.0,39.74
2024-11-06,143.64,149.06,143.64,148.72,3882756.0,47.7
2024-11-07,149.0,149.98,144.42,144.95,3418436.0,50.43
2024-11-08,145.0,145.31,141.82,143.46,2677460.0,44.76
2024-11-11,142.75,142.77,138.5,140.43,4755673.0,43.37
2024-11-12,141.0,143.55,137.5,138.35,2846088.0,43.1
2024-11-13,138.79,139.29,133.11,133.74,5759495.0,54.41
2024-11-14,133.1,138.15,133.1,134.87,3803932.0,36.49
2024-11-18,131.01,145.95,130.69,144.59,16177210.0,33.28
2024-11-19,143.11,153.5,143.11,150.63,12715536.0,40.93
2024-11-20,143.11,153.5,143.11,150.63,12715536.0,40.93
2024-11-21,148.89,161.88,147.76,159.7,17635987.0,44.22
2024-11-22,161.4,161.62,155.19,155.79,6943026.0,38.19
2024-11-25,158.9,164.48,157.84,161.83,12995962.0,50.77
2024-11-26,161.0,163.2,158.96,160.7,5550689.0,40.57
2024-11-27,161.19,166.7,160.92,164.37,7800500.0,39.13
2024-11-28,165.19,169.35,163.81,167.14,10582246.0,42.55
2024-11-29,168.0,169.75,165.5,167.87,8628416.0,58.61
2024-12-02,166.25,168.0,163.26,166.67,6996548.0,50.16
2024-12-03,166.97,170.25,165.05,167.67,6562514.0,44.56
2024-12-04,168.65,169.8,165.5,166.79,5287792.0,48.33
2024-12-05,167.3,167.32,161.19,162.75,6289533.0,45.85
2024-12-06,163.5,166.4,160.0,161.02,7100114.0,49.99
2024-12-09,162.2,168.7,160.5,167.73,15521205.0,49.26
2024-12-10,169.0,170.11,165.1,165.76,5302434.0,41.98
2024-12-11,166.0,168.8,164.28,167.86,6581587.0,42.56
2024-12-12,168.9,169.49,161.91,162.36,8374794.0,41.35
2024-12-13,162.89,163.3,156.5,159.06,6476227.0,43.55
2024-12-16,159.7,164.95,159.3,159.81,6977948.0,43.47
2024-12-17,161.0,161.0,154.58,156.72,7741139.0,53.27
2024-12-18,157.01,158.24,154.03,154.93,4049120.0,45.62
2024-12-19,150.5,154.89,150.5,154.15,3665945.0,43.31
2024-12-20,155.0,158.5,150.11,151.87,18045173.0,58.97
2024-12-23,155.0,155.01,148.4,149.41,3624910.0,44.67
2024-12-24,150.05,151.0,149.4,149.98,2814619.0,54.14
2024-12-25,150.05,151.0,149.4,149.98,2814619.0,54.14
2024-12-26,151.25,154.8,149.98,154.08,3904492.0,44.79
2024-12-27,154.15,156.9,153.1,153.93,3164451.0,40.33
2024-12-30,154.48,154.56,148.42,149.73,2947186.0,45.97
2024-12-31,149.6,151.34,149.1,151.07,2081030.0,43.68
2025-01-01,151.0,153.55,150.76,152.98,1806501.0,44.55
2025-01-02,155.5,163.7,153.66,162.79,18059873.0,35.1
2025-01-03,162.1,165.24,161.1,163.23,7764290.0,40.12
2025-01-06,163.79,163.79,155.06,157.28,7183545.0,52.18
2025-01-07,159.04,161.3,157.95,159.59,5411161.0,47.13
2025-01-08,161.0,161.36,156.29,159.15,4590369.0,39.71
2025-01-09,159.15,159.27,153.36,156.01,4750347.0,51.84
2025-01-10,155.0,155.52,148.15,149.71,5374255.0,51.33
2025-01-13,149.69,150.68,139.4,141.57,7639874.0,55.39
2025-01-14,142.0,144.64,141.73,142.94,5402611.0,59.34
2025-01-15,144.4,146.01,141.8,142.71,3448244.0,48.81
2025-01-16,144.0,155.99,144.0,155.01,9222705.0,32.57
2025-01-17,152.99,160.25,152.47,159.17,7723327.0,37.73
2025-01-20,159.25,160.0,156.22,157.64,2805977.0,37.06
2025-01-21,157.65,164.3,157.55,160.91,9664303.0,39.73
2025-01-22,162.52,163.9,158.57,161.71,10655660.0,54.3
2025-01-23,158.95,159.12,154.71,157.19,7940315.0,55.5
2025-01-24,159.8,159.82,154.0,154.86,8105927.0,54.84
2025-01-27,153.75,153.75,142.05,143.29,9610285.0,48.5
2025-01-28,145.54,148.83,140.56,146.58,8618313.0,36.45
2025-01-29,147.1,148.0,144.59,145.94,4369677.0,47.1
2025-01-30,146.0,146.68,140.1,140.87,6136766.0,54.98
2025-01-31,141.5,142.23,139.2,140.7,5808661.0,49.11
2025-02-03,141.0,141.0,136.48,137.63,4335548.0,51.31
2025-02-04,140.09,142.0,136.66,141.29,7359868.0,48.33
2025-02-05,141.5,144.99,140.21,140.89,7708153.0,62.86
2025-02-06,142.0,149.8,141.47,147.86,8000023.0,55.54
2025-02-07,148.0,152.6,145.71,149.24,7419598.0,41.96
2025-02-10,149.2,149.85,142.15,143.09,4713666.0,46.91
2025-02-11,143.0,143.27,133.6,136.23,6569901.0,54.88
2025-02-12,136.6,136.6,120.2,125.32,19913320.0,41.04
2025-02-13,126.25,130.09,124.5,125.32,8110445.0,44.35
2025-02-14,126.1,126.95,118.53,122.19,13062718.0,48.13
2025-02-17,122.19,125.77,119.6,121.43,11736949.0,44.33
2025-02-18,122.0,123.19,115.11,117.93,6823503.0,45.7
2025-02-19,118.07,123.79,116.88,122.75,7267169.0,48.58
2025-02-20,122.0,124.74,121.06,121.48,5498523.0,56.02
2025-02-21,121.48,124.37,117.8,119.33,8635899.0,50.09
2025-02-24,119.34,119.84,115.81,116.59,6858958.0,54.48
2025-02-25,116.1,118.5,113.0,113.65,5654325.0,52.09
2025-02-27,114.07,115.7,111.5,112.24,8941345.0,51.84
2025-02-28,111.0,111.93,105.61,110.4,10745880.0,46.73
2025-03-03,111.04,112.38,103.85,108.92,9161270.0,46.25
2025-03-04,108.5,114.55,107.56,113.61,7647264.0,47.13
2025-03-05,113.9,118.2,113.9,117.09,6702385.0,54.61
2025-03-06,117.9,121.05,115.0,115.71,12433140.0,69.2
2025-03-07,115.15,119.6,115.05,116.84,10533999.0,56.49
2025-03-10,117.0,117.6,111.1,111.67,8299205.0,70.31
2025-03-11,110.44,111.84,108.4,110.13,9173133.0,55.87
2025-03-12,110.7,112.85,108.37,108.78,9778862.0,52.86
2025-03-13,109.01,110.65,107.27,107.57,7083673.0,59.49
2025-03-17,108.25,109.44,104.72,105.11,9990309.0,68.07
2025-03-18,106.71,110.3,106.62,109.94,9675157.0,51.62
2025-03-19,110.5,114.2,110.36,112.82,9918244.0,56.86
2025-03-20,114.9,115.6,110.2,110.51,8126669.0,53.69
2025-03-21,110.51,119.0,110.51,117.95,19688471.0,55.43
2025-03-24,119.0,120.9,118.08,119.0,10511437.0,59.27
2025-03-25,119.25,119.85,112.51,112.89,9893144.0,58.11
2025-03-26,112.96,113.69,110.0,110.22,9765855.0,61.07
2025-03-27,110.0,111.3,108.74,109.98,17074121.0,62.9
2025-03-28,110.6,113.13,106.26,107.1,13476376.0,56.15
2025-04-01,107.1,112.64,107.1,111.93,7140203.0,42.73
2025-04-02,111.0,112.26,108.7,111.84,4809290.0,36.84
2025-04-03,110.0,117.67,110.0,116.35,7953855.0,47.21
2025-04-04,115.0,115.96,109.1,110.59,8972230.0,50.24
2025-04-07,98.0,103.29,97.61,102.67,9329907.0,39.18
2025-04-08,105.9,107.23,103.79,106.29,5091030.0,38.18
2025-04-09,105.1,106.39,103.5,105.96,4274314.0,41.35
2025-04-11,108.9,108.96,105.84,107.8,4683792.0,37.56
2025-04-15,110.0,117.57,109.38,114.63,8909949.0,40.59
2025-04-16,115.09,119.79,114.69,115.58,9874822.0,48.73
2025-04-17,115.6,122.78,115.28,120.24,13295635.0,32.11
2025-04-21,120.9,125.59,119.2,124.99,13507399.0,44.37
2025-04-22,125.1,126.99,123.28,124.16,7345037.0,32.71
2025-04-23,125.0,125.87,122.2,124.97,6577453.0,37.78
2025-04-24,124.95,132.32,124.41,129.85,14630212.0,35.0
2025-04-25,129.85,131.2,122.93,123.82,9253075.0,33.43
2025-04-28,123.3,126.95,121.55,124.63,8018718.0,38.57
2025-04-29,125.55,128.55,123.0,123.22,6118058.0,49.31
2025-04-30,122.2,125.27,119.33,120.55,6762627.0,42.7
2025-05-02,121.0,122.95,118.53,119.2,4659629.0,36.79
2025-05-05,119.4,121.23,118.58,120.35,3083886.0,34.11
2025-05-06,120.45,121.74,113.46,113.86,4243248.0,46.65
2025-05-07,113.0,116.5,112.32,115.87,4155598.0,35.82
2025-05-08,116.4,119.65,112.69,113.19,6643081.0,48.0
2025-05-09,111.3,115.0,110.58,113.72,4001153.0,35.14
2025-05-12,118.0,121.32,118.0,120.01,5536279.0,45.66
2025-05-13,120.97,125.29,120.29,123.0,5141839.0,40.82
2025-05-14,123.5,124.99,122.31,124.52,3723766.0,37.71
2025-05-15,125.29,127.2,124.73,125.82,4121200.0,36.84
2025-05-16,127.09,127.6,123.95,125.2,5344856.0,46.83
2025-05-19,124.51,131.33,124.05,126.3,17622938.0,49.69
2025-05-20,127.99,128.28,121.76,122.18,10264557.0,59.37
2025-05-21,122.5,123.2,119.5,120.99,4190235.0,36.71
2025-05-22,120.99,126.59,120.82,126.07,9248754.0,43.16
2025-05-23,126.5,129.7,124.66,126.99,12542275.0,56.69
2025-05-26,127.2,128.68,121.97,123.22,6054145.0,59.62
2025-05-27,122.7,123.65,120.5,121.01,5718385.0,47.05
2025-05-28,121.2,123.55,121.2,122.38,2990255.0,36.65
2025-05-29,122.94,123.29,121.11,122.22,3169563.0,48.52
2025-05-30,122.05,125.25,120.85,124.12,7514951.0,51.44
2025-06-02,124.1,125.73,122.51,123.84,5927728.0,44.47
2025-06-03,124.26,127.09,123.0,123.7,6539860.0,35.48
2025-06-04,123.8,124.59,121.4,123.5,3749195.0,35.84
2025-06-05,124.0,125.4,121.84,122.5,2900293.0,37.25
2025-06-06,123.4,128.4,122.5,126.54,8840235.0,47.06
2025-06-09,127.15,129.99,126.59,126.98,8536835.0,44.84
2025-06-10,127.7,129.99,125.65,126.0,7961192.0,42.52
2025-06-11,126.7,135.39,125.65,130.14,24365569.0,36.4
2025-06-12,130.5,132.0,127.03,129.55,12497540.0,42.37
2025-06-13,125.1,128.9,124.65,127.91,7764924.0,34.31
2025-06-16,128.45,130.25,125.37,127.73,6186076.0,41.91
2025-06-17,128.23,130.96,125.0,125.77,4881905.0,31.22
2025-06-18,125.74,126.39,122.9,123.45,3981948.0,42.8
2025-06-19,123.49,124.1,118.3,119.51,5507924.0,46.14
2025-06-20,119.2,121.28,118.41,118.88,5452822.0,44.43
2025-06-23,118.01,123.95,118.01,123.41,6946752.0,34.77
2025-06-24,125.1,126.1,123.82,124.68,4893035.0,43.06
2025-06-25,125.6,146.82,124.75,143.5,74500502.0,28.73
2025-06-26,143.0,144.56,139.7,143.37,14499150.0,26.01
2025-06-27,144.0,145.4,140.21,140.69,7652914.0,41.73
2025-06-30,141.96,146.21,141.1,142.37,10217702.0,42.26
2025-07-01,143.8,144.2,139.36,140.41,6329096.0,43.11
2025-07-02,141.2,141.4,135.17,136.0,5936343.0,50.24
2025-07-03,136.36,136.81,134.05,135.73,4874265.0,43.99
