,Open,High,Low,Close,Volume,DeliveryPct
2021-11-18,1350.0,1380.05,1160.0,1211.55,8596126.0,43.41
2021-11-19,1350.0,1380.05,1160.0,1211.55,8596126.0,43.41
2021-11-22,1225.0,1258.0,1045.65,1172.05,3373458.0,26.82
2021-11-23,1165.0,1194.0,1128.05,1148.95,578700.0,33.15
2021-11-24,1153.7,1217.7,1143.4,1159.95,1024040.0,31.33
2021-11-25,1172.0,1227.0,1166.85,1193.8,602130.0,37.97
2021-11-26,1184.0,1184.0,1106.65,1113.55,436050.0,53.1
2021-11-29,1105.0,1106.5,980.0,992.45,710570.0,51.83
2021-11-30,1000.0,1037.7,974.45,1020.35,832706.0,46.79
2021-12-01,1047.8,1049.0,1000.1,1034.05,241286.0,42.53
2021-12-02,1050.0,1079.0,1018.85,1065.8,261773.0,42.62
2021-12-03,1066.0,1093.5,1051.15,1071.6,204894.0,43.81
2021-12-06,1074.0,1099.25,1044.15,1060.35,210562.0,41.6
2021-12-07,1064.0,1154.0,1055.0,1124.4,526591.0,48.03
2021-12-08,1130.0,1173.0,1124.55,1155.95,392204.0,34.03
2021-12-09,1165.0,1221.95,1155.2,1181.45,438312.0,43.42
2021-12-10,1181.0,1214.65,1163.85,1207.65,227727.0,43.7
2021-12-13,1212.8,1219.0,1195.8,1209.3,216130.0,73.84
2021-12-14,1188.0,1238.9,1188.0,1229.1,330890.0,61.25
2021-12-15,1220.3,1234.1,1176.1,1188.0,289627.0,70.12
2021-12-16,1155.0,1218.5,1155.0,1208.15,441033.0,47.53
2021-12-17,1196.0,1264.95,1192.05,1223.6,570590.0,58.02
2021-12-20,1191.0,1213.15,1174.8,1196.55,204284.0,47.44
2021-12-21,1193.0,1211.65,1183.4,1194.25,268471.0,67.97
2021-12-22,1199.0,1226.2,1195.15,1221.65,161180.0,64.9
2021-12-23,1224.0,1227.0,1180.5,1194.35,48996.0,62.28
2021-12-24,1199.85,1212.0,1183.0,1193.4,82756.0,45.18
