,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,136.7,136.7,132.7,133.15,38333.0,
2016-08-23,132.5,139.9,132.5,137.2,208512.0,
2016-08-24,137.15,139.7,135.15,137.9,99579.0,
2016-08-25,138.8,140.5,137.2,138.0,91326.0,
2016-08-26,138.85,138.9,135.4,135.95,23985.0,
2016-08-29,136.1,136.35,132.8,133.05,64598.0,
2016-08-30,132.75,134.35,131.55,132.5,72753.0,
2016-08-31,132.8,136.9,131.9,134.5,91104.0,
2016-09-01,133.7,136.25,131.0,131.75,71235.0,
2016-09-02,132.0,136.4,131.1,134.65,72962.0,
2016-09-06,135.0,137.5,135.0,136.0,39302.0,
2016-09-07,136.25,141.75,135.05,139.8,88670.0,
2016-09-08,137.35,142.2,137.2,137.55,69262.0,
2016-09-09,136.35,138.0,135.0,135.4,37508.0,
2016-09-12,133.05,134.8,132.5,132.65,52783.0,
2016-09-14,133.55,134.8,132.5,132.95,35511.0,
2016-09-15,133.5,135.6,132.5,132.85,62773.0,
2016-09-16,133.85,135.0,131.6,132.05,47585.0,
2016-09-19,134.45,134.45,131.4,132.35,56513.0,
2016-09-20,133.4,138.7,131.3,137.85,252013.0,
2016-09-21,137.25,140.2,135.8,137.0,107972.0,
2016-09-22,137.25,139.45,135.65,136.35,54822.0,
2016-09-23,137.9,149.4,137.9,145.2,697864.0,
2016-09-26,146.4,147.4,142.45,144.0,145817.0,
2016-09-27,144.0,145.35,141.2,141.85,42994.0,
2016-09-28,142.4,145.55,140.5,141.1,69745.0,
2016-09-29,142.3,143.2,132.2,134.5,128585.0,
2016-09-30,134.55,138.85,134.2,137.5,34163.0,
2016-10-03,137.9,142.05,137.9,141.45,55464.0,
2016-10-04,140.1,142.05,138.2,139.75,42732.0,
2016-10-05,139.75,148.5,139.75,144.75,185629.0,
2016-10-06,144.05,159.9,144.0,156.85,1455399.0,
2016-10-07,156.6,163.35,153.5,158.45,624326.0,
2016-10-10,158.55,159.95,154.3,155.9,131207.0,
2016-10-13,156.2,163.95,153.45,157.7,405930.0,
2016-10-14,158.7,167.0,156.5,164.0,558664.0,
2016-10-17,164.95,169.85,161.2,165.45,408590.0,
2016-10-18,166.8,169.0,163.0,163.8,188138.0,
2016-10-19,164.3,164.85,159.25,159.85,138935.0,
2016-10-20,159.25,163.0,157.55,158.75,122601.0,
2016-10-21,158.95,164.6,158.95,161.85,111308.0,
2016-10-24,161.85,163.3,160.3,161.3,75748.0,
2016-10-25,161.0,163.8,159.2,159.95,89310.0,
2016-10-26,160.35,161.8,158.05,159.35,49257.0,
2016-10-27,158.9,160.1,156.2,156.85,46949.0,
2016-10-28,156.85,158.8,156.0,156.45,39485.0,
2016-11-01,161.95,169.8,158.3,168.35,382049.0,
2016-11-02,167.0,173.75,165.0,166.5,448620.0,
2016-11-03,167.75,170.45,160.6,161.7,97413.0,
2016-11-04,161.7,163.95,155.1,157.25,99853.0,
2016-11-07,158.0,161.95,158.0,158.6,46877.0,
2016-11-08,159.0,160.9,155.6,156.5,42728.0,
2016-11-09,135.0,154.0,132.1,152.75,143445.0,
2016-11-10,155.05,158.95,153.5,155.15,78845.0,
2016-11-11,153.0,153.0,146.5,148.55,62468.0,
2016-11-15,147.9,148.0,138.7,141.2,99524.0,
2016-11-16,145.4,145.4,135.35,136.8,54889.0,
2016-11-17,137.6,139.55,134.55,135.65,33253.0,
2016-11-18,135.45,138.7,133.95,136.45,31279.0,
2016-11-21,136.45,139.9,130.4,132.3,66683.0,
2016-11-22,133.45,134.35,130.0,130.6,33611.0,
2016-11-23,131.9,142.3,131.9,141.0,101326.0,
2016-11-24,141.0,146.45,139.25,140.25,24728.0,
2016-11-25,142.2,144.4,139.55,141.2,34653.0,
2016-11-28,141.05,144.0,138.0,142.75,21405.0,
2016-11-29,142.75,149.7,141.55,145.7,81461.0,
2016-11-30,147.7,151.7,146.0,150.75,74149.0,
2016-12-01,150.75,151.8,142.15,142.85,96051.0,
2016-12-02,144.0,144.55,139.05,139.85,36096.0,
2016-12-05,140.05,142.65,139.25,141.45,22080.0,
2016-12-06,140.7,144.55,140.25,142.4,29316.0,
2016-12-07,143.1,143.85,141.0,141.4,21472.0,
2016-12-08,144.0,144.8,142.1,142.35,29986.0,
2016-12-09,143.6,144.0,141.2,142.1,28042.0,
2016-12-12,141.05,143.8,141.0,141.8,26567.0,
2016-12-13,141.65,147.7,140.8,145.7,107806.0,
2016-12-14,145.95,146.8,141.15,141.55,43411.0,
2016-12-15,140.5,143.75,140.5,141.45,22676.0,
2016-12-16,142.7,142.7,138.6,139.2,44637.0,
2016-12-19,139.2,141.65,138.1,138.5,19561.0,
2016-12-20,141.2,141.2,138.0,138.9,26061.0,
2016-12-21,138.15,142.0,138.1,139.95,27763.0,
2016-12-22,140.0,140.0,136.7,137.65,16569.0,
2016-12-23,137.45,139.7,137.25,138.55,14645.0,
2016-12-26,137.15,138.0,132.5,133.65,25670.0,
2016-12-27,134.85,137.05,132.65,134.7,23253.0,
2016-12-28,135.4,135.9,132.7,134.5,30179.0,
2016-12-29,134.85,135.9,133.3,134.5,13500.0,
2016-12-30,135.15,139.5,134.0,135.6,92053.0,
2017-01-02,135.15,138.65,135.1,137.9,31797.0,
2017-01-03,138.35,147.95,137.5,147.2,216497.0,
2017-01-04,147.5,148.7,144.0,145.95,63708.0,
2017-01-05,148.0,149.75,145.15,146.35,76503.0,
2017-01-06,147.65,148.3,143.0,143.75,50879.0,
2017-01-09,144.0,144.85,140.8,141.25,46600.0,
2017-01-10,141.0,143.9,139.55,141.25,54874.0,
2017-01-11,142.2,143.5,141.0,141.7,50424.0,
2017-01-12,141.55,147.9,141.35,142.3,103644.0,
2017-01-13,143.0,143.6,140.3,142.25,73356.0,
2017-01-16,142.1,144.65,142.05,143.4,44573.0,
2017-01-17,142.55,144.0,140.85,141.5,27471.0,
2017-01-18,142.9,145.0,141.1,143.4,68345.0,
2017-01-19,143.2,145.9,142.65,143.7,48844.0,
2017-01-20,143.4,151.0,143.4,145.5,168327.0,
2017-01-23,144.3,147.35,144.0,145.25,22649.0,
2017-01-24,145.05,147.9,143.9,147.0,42520.0,
2017-01-25,145.7,154.8,145.7,151.55,307203.0,
2017-01-27,152.8,154.9,147.0,147.85,183784.0,
2017-01-30,147.95,149.8,144.0,145.1,92177.0,
2017-01-31,145.05,146.0,141.1,142.9,42030.0,
2017-02-01,143.0,146.0,140.6,145.15,50692.0,
2017-02-02,145.55,146.0,142.5,143.45,44809.0,
2017-02-03,143.9,148.7,142.6,145.2,70970.0,
2017-02-06,145.05,146.9,143.3,143.7,56175.0,
2017-02-07,143.05,144.75,141.5,142.15,53229.0,
2017-02-08,142.2,144.9,141.0,141.9,63799.0,
2017-02-09,142.6,147.5,142.6,144.85,85714.0,
2017-02-10,145.65,145.65,142.6,143.3,48978.0,
2017-02-13,144.45,144.45,139.7,141.0,51417.0,
2017-02-14,140.9,142.95,140.9,141.35,28510.0,
2017-02-15,141.2,141.35,136.3,136.7,60406.0,
2017-02-16,136.3,138.5,136.15,136.8,48555.0,
2017-02-17,137.45,139.55,136.1,136.75,71556.0,
2017-02-20,136.75,139.7,136.5,137.65,58166.0,
2017-02-21,138.3,140.0,137.1,137.5,53537.0,
2017-02-22,137.0,138.7,136.8,137.5,51365.0,
2017-02-23,137.1,139.85,135.1,135.9,59478.0,
2017-02-27,135.85,137.9,134.5,135.0,38863.0,
2017-02-28,135.45,137.15,134.05,134.85,81295.0,
2017-03-01,136.1,137.5,133.95,134.6,119979.0,
2017-03-02,135.05,136.8,132.1,132.75,133412.0,
2017-03-03,133.1,135.0,132.25,132.7,94283.0,
2017-03-06,133.5,134.65,132.1,132.5,53203.0,
2017-03-07,133.35,133.9,132.0,132.35,35414.0,
2017-03-08,133.1,133.5,131.5,132.35,58429.0,
