,Open,High,Low,Close,Volume,DeliveryPct
2016-08-22,70.5,70.8,69.35,69.45,347734.0,
2016-08-23,69.65,69.75,68.05,68.2,353884.0,
2016-08-24,68.55,69.4,68.1,68.4,262458.0,
2016-08-25,68.8,70.85,68.25,68.45,474656.0,
2016-08-26,68.7,68.9,67.1,67.25,268825.0,
2016-08-29,67.25,67.65,66.0,66.25,267352.0,
2016-08-30,66.9,67.8,66.5,66.6,521440.0,
2016-08-31,66.7,67.4,66.1,66.3,270826.0,
2016-09-01,66.5,67.1,65.0,65.85,396086.0,
2016-09-02,68.75,74.5,67.7,70.35,6913866.0,
2016-09-06,70.55,71.9,69.85,70.3,1044396.0,
2016-09-07,70.1,70.6,68.75,68.95,513599.0,
2016-09-08,69.0,72.3,68.6,70.45,1199399.0,
2016-09-09,70.3,70.9,69.1,69.25,492245.0,
2016-09-12,68.7,68.7,67.5,67.65,422439.0,
2016-09-14,67.8,69.8,67.6,68.55,392396.0,
2016-09-15,69.3,70.45,68.3,69.8,896318.0,
2016-09-16,71.2,72.8,69.6,71.65,1923812.0,
2016-09-19,72.3,72.4,70.8,71.2,528814.0,
2016-09-20,71.25,71.35,69.5,69.8,429080.0,
2016-09-21,70.0,70.9,69.5,69.75,329390.0,
2016-09-22,70.5,73.8,70.2,73.15,2632952.0,
2016-09-23,73.2,73.5,71.1,71.4,758223.0,
2016-09-26,71.5,72.2,70.1,70.5,371046.0,
2016-09-27,71.0,71.3,69.5,69.65,460952.0,
2016-09-28,69.85,70.65,69.75,70.0,388126.0,
2016-09-29,70.7,70.7,64.6,65.25,943064.0,
2016-09-30,65.25,68.4,64.7,67.9,564900.0,
2016-10-03,70.4,70.8,69.4,69.8,900802.0,
2016-10-04,70.2,70.4,68.8,69.25,287418.0,
2016-10-05,69.5,70.1,68.8,69.55,760352.0,
2016-10-06,70.1,71.75,69.0,70.05,897660.0,
2016-10-07,70.5,70.55,69.25,69.45,349009.0,
2016-10-10,70.0,70.3,69.15,69.6,572919.0,
2016-10-13,69.0,69.35,66.6,67.25,456214.0,
2016-10-14,67.45,68.9,67.15,67.4,424008.0,
2016-10-17,67.9,68.3,66.75,66.9,343969.0,
2016-10-18,67.4,68.25,67.1,67.7,400669.0,
2016-10-19,68.1,68.95,67.7,68.2,508118.0,
2016-10-20,68.9,69.25,68.4,68.7,498015.0,
2016-10-21,69.0,69.0,67.2,67.95,369464.0,
2016-10-24,68.45,71.2,68.25,69.6,1084289.0,
2016-10-25,69.95,70.2,68.8,69.25,324498.0,
2016-10-26,69.45,69.75,68.6,68.75,212033.0,
2016-10-27,68.85,69.2,67.5,68.05,236572.0,
2016-10-28,68.2,68.6,67.1,67.85,276767.0,
2016-11-01,68.8,71.7,68.3,69.95,1250109.0,
2016-11-02,69.5,69.5,68.0,68.15,479790.0,
2016-11-03,68.35,69.2,66.55,66.95,424959.0,
2016-11-04,67.8,67.8,65.1,66.25,458692.0,
2016-11-07,67.4,68.75,66.15,68.3,457910.0,
2016-11-08,69.3,69.4,67.2,67.5,679945.0,
2016-11-09,60.0,64.8,56.75,64.55,532073.0,
2016-11-10,66.5,67.95,65.8,66.5,414701.0,
2016-11-11,65.15,66.3,64.1,64.35,346622.0,
2016-11-15,64.6,65.4,62.15,62.5,279141.0,
2016-11-16,63.15,64.0,62.15,63.2,352316.0,
2016-11-17,60.0,61.0,57.55,58.15,1365738.0,
2016-11-18,58.9,59.5,57.55,59.1,460930.0,
2016-11-21,60.9,60.9,55.5,55.7,646269.0,
2016-11-22,56.4,58.0,55.5,57.0,328265.0,
2016-11-23,58.7,58.7,56.7,57.25,151227.0,
2016-11-24,57.3,58.0,56.75,57.35,168016.0,
2016-11-25,58.25,59.65,57.2,59.0,303247.0,
2016-11-28,59.8,59.9,58.55,58.7,244611.0,
2016-11-29,58.8,59.7,58.0,58.15,274200.0,
2016-11-30,58.5,59.0,58.15,58.8,228347.0,
2016-12-01,60.4,60.85,59.15,59.4,658503.0,
2016-12-02,58.8,59.8,57.5,57.75,572911.0,
2016-12-05,58.25,58.4,57.65,57.85,286078.0,
2016-12-06,58.0,60.7,58.0,60.1,751281.0,
2016-12-07,61.0,63.5,60.2,61.9,2418097.0,
2016-12-08,62.65,62.9,61.3,61.9,557989.0,
2016-12-09,62.0,62.6,60.8,61.05,456679.0,
2016-12-12,61.0,62.65,61.0,61.85,551059.0,
2016-12-13,63.5,63.8,61.8,62.2,818292.0,
2016-12-14,61.9,62.25,60.5,60.65,323145.0,
2016-12-15,61.9,63.9,61.7,62.0,1518890.0,
2016-12-16,62.1,62.8,61.0,61.25,465742.0,
2016-12-19,61.0,61.15,60.1,60.2,231381.0,
2016-12-20,60.4,60.4,58.35,58.5,479941.0,
2016-12-21,58.2,59.3,58.2,58.55,281228.0,
2016-12-22,58.5,58.7,57.55,57.8,264848.0,
2016-12-23,57.15,58.6,57.15,57.55,277210.0,
2016-12-26,57.2,57.85,56.25,56.45,235995.0,
2016-12-27,57.45,57.55,56.55,57.1,211626.0,
2016-12-28,57.4,58.75,56.8,56.95,473423.0,
2016-12-29,57.15,58.0,56.85,57.85,238671.0,
2016-12-30,58.8,59.2,58.15,58.5,368603.0,
2017-01-02,58.8,60.65,58.15,60.3,607259.0,
2017-01-03,60.45,61.7,60.25,60.95,560029.0,
2017-01-04,62.5,66.0,61.6,64.25,3100051.0,
2017-01-05,65.0,66.8,64.55,65.6,1503384.0,
2017-01-06,66.3,66.85,63.25,63.65,1338847.0,
2017-01-09,64.0,65.75,63.15,65.0,635721.0,
2017-01-10,65.65,65.9,64.55,65.3,475666.0,
2017-01-11,65.8,66.9,65.3,65.75,627607.0,
2017-01-12,65.7,67.7,65.15,66.35,1154756.0,
2017-01-13,66.7,67.2,65.5,66.05,466937.0,
2017-01-16,66.0,67.15,65.7,66.45,320077.0,
2017-01-17,66.75,67.0,65.55,65.7,298582.0,
2017-01-18,66.2,66.9,65.4,65.55,303352.0,
2017-01-19,65.5,69.55,65.35,68.4,1758369.0,
2017-01-20,69.6,70.6,66.65,67.1,1337854.0,
2017-01-23,66.6,68.5,65.95,67.4,383543.0,
2017-01-24,67.9,68.25,67.15,67.25,242148.0,
2017-01-25,67.05,68.0,66.85,67.05,270046.0,
2017-01-27,67.0,69.85,66.85,67.15,881886.0,
2017-01-30,67.25,69.65,66.3,68.35,921881.0,
2017-01-31,68.5,69.05,66.35,66.75,407073.0,
2017-02-01,66.7,68.35,66.5,67.05,513609.0,
2017-02-02,67.1,69.6,66.1,68.85,1539242.0,
2017-02-03,69.0,69.35,67.45,67.65,364152.0,
2017-02-06,67.55,68.7,67.15,67.65,351572.0,
2017-02-07,68.0,69.7,67.15,69.0,644681.0,
2017-02-08,70.2,70.9,69.35,69.7,1149488.0,
2017-02-09,69.85,69.9,68.3,68.55,506617.0,
2017-02-10,67.9,67.9,66.0,66.55,705660.0,
2017-02-13,67.2,67.25,65.0,65.3,266950.0,
2017-02-14,65.55,66.3,63.8,64.0,379577.0,
2017-02-15,64.05,64.6,62.6,62.8,224315.0,
2017-02-16,63.2,63.65,62.5,63.05,256076.0,
2017-02-17,63.5,64.9,63.0,63.4,442021.0,
2017-02-20,64.25,64.35,63.5,63.75,329446.0,
2017-02-21,63.75,64.2,63.3,63.65,184796.0,
2017-02-22,63.65,65.4,62.6,62.75,650469.0,
2017-02-23,62.75,63.55,62.75,63.1,167841.0,
2017-02-27,63.1,63.5,62.0,62.25,237768.0,
2017-02-28,62.75,63.2,62.35,62.7,234061.0,
2017-03-01,62.7,63.7,62.7,62.85,261075.0,
2017-03-02,63.0,63.8,62.4,63.3,438529.0,
2017-03-03,63.5,64.7,63.5,64.05,878660.0,
2017-03-06,64.0,64.75,63.05,63.25,282222.0,
2017-03-07,63.6,63.75,62.4,62.55,215776.0,
2017-03-08,62.7,63.1,62.0,62.25,286477.0,
2017-03-09,62.25,63.3,61.8,61.95,341516.0,
2017-03-10,62.45,62.85,61.8,61.95,153135.0,
2017-03-14,63.3,63.3,62.4,62.85,226856.0,
2017-03-15,63.4,64.2,63.0,63.7,410870.0,
2017-03-16,64.0,65.25,63.9,64.75,569082.0,
2017-03-17,65.0,65.45,63.6,65.05,504083.0,
2017-03-20,65.05,68.65,64.15,67.4,3929123.0,
2017-03-21,68.0,69.4,66.6,67.7,2922402.0,
2017-03-22,66.6,71.7,66.35,69.35,5376698.0,
2017-03-23,69.85,70.4,68.25,68.6,774213.0,
2017-03-24,69.0,69.6,67.0,67.25,522011.0,
2017-03-27,67.25,68.45,66.6,67.4,475764.0,
2017-03-28,67.8,71.35,67.8,69.65,2761891.0,
2017-03-29,70.2,74.2,70.05,73.5,4832018.0,
2017-03-30,74.0,75.75,72.4,72.95,1730971.0,
2017-03-31,73.6,77.85,73.05,76.65,4324503.0,
2017-04-03,77.2,78.35,75.7,76.65,1673932.0,
